TCT Pro-Elite Challenge 2015 (Colorado Cup),Club - Men ,1,8,2015
Aurora,CO,2015-08-01,2015-08-02
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge/schedule/Men/Club-Men/
Revolver,1
38,Matthew Farrell
b,r,e,a,k
HIGH FIVE,7
teamInfo,,"Ohio &, Michigan",,https://www.facebook.com/MichiganHighFive,https://twitter.com/HighFiveUlti
01,Alex Edinger
02,HAMZA DODO
03,Matt Wilken
04,Nick Hamilton
06,James Highsmith
07,John-Michael Guest
08,JESSE WOHL
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
14,Mike Bruce
15,Connor Haley
16,Kevin Coulter
17,NATE BOTTI
19,Paul Arters
20,Eliot Alexander
21,Ben Ayres
22,Michael Dagher-Margosian
23,Benjamin Whiteman
25,Austin Engel
28,Michael Jahn
34,Jesse Buchsbaum
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
98,Dan Donovan
b,r,e,a,k
PoNY,11
teamInfo,,"New York, New York",www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
0,Michael Brenner
0,Alon Brown
0,Gary Dixon
0,Michael Drost
0,Chris Kocher
0,Jon Cox
0,Kevin Norton
0,William Katz
0,David Abbott
1,Markian Kuzmowycz
4,ANDREW WILKES
6,Chris Mazur
7,Taylor Brooks
7,Clark Cofer
8,Jack Marsh
10,David Ferraro
13,Alberto Alarcon
14,David Vuckovich
16,Samuel Taylor
27,Lionel Wininger
31,John Wodatch
33,Luke Wolckenhauer
33,Jake Herman
42,Ben Van Heuvelen
43,Josue Alorro
50,Milo Snyder
b,r,e,a,k
Prairie Fire,14
teamInfo,,"Kansas City, Kansas",http://prairiefireultimate.com,,https://www.twitter.com/pfultimate
0,BARRETT DAVIS
0,Jacob Kersten
0,DEREK THATCHER
0,DANIEL AGNE
0,Brett Hidaka
0,William Axtell
0,Jones Clemons
0,BEN DENEKA
0,Jay Froude
0,David Woods
0,Robert Coffin
0,Christian Simpson
0,Peter (PJ) Matulka
0,Jesse White
0,Colin Lord
0,Andrew Wimer
1,Joe Nickels
2,Zach Hunter
4,Joe Young
5,Allen Jones
17,Joe Wheelock
24,Danny Kurz
34,AARON DUFF
77,Tim Robbins
85,Valley Renshaw
b,r,e,a,k
Sockeye,10
teamInfo,,"Seattle, Washington",seattlesockeye.org,,@seattlesockeye
1,Donald Clark
2,John Raynolds
3,Jacob Speidel
4,ALEXANDER LENON
6,Phil Murray
7,Mario O'Brien
8,Matthew Rehder
9,Sam Harkness
10,Adam Simon
11,Reid Koss
13,Dongyang Chen
14,Kenneth Lim
16,Mark Burton
17,Zane Rankin
18,Matthew Russell
20,Michael Caldwell
21,Jesse Bolton
22,Spencer Wallis
23,Danny Karlinsky
24,Joe Sefton
25,Frank Devin Barich
28,Duncan Linn
33,Samuel Hart
55,Will Chen
70,Julian Hausman
97,Zack Smith
99,Ray Illian
b,r,e,a,k
Sub Zero,15
teamInfo,,"Minneapolis, Minnesota",subzeroultimate.com,https://www.facebook.com/pages/Sub-Zero-Ultimate/105463586149513,https://twitter.com/SubZeroUltimate
01,Ryan Osgar
02,Ben Feldman
03,Galen Ryan
04,Benjamin Jagt
06,Grayson Pangburn
08,Erik Jorgensen
09,Simon Montague
11,Conor Kline
13,Anthony Poletto
14,Gregory Cousins
15,Logan Weiss
17,Ethan Rasmussen
19,Connor Anderson
19,Marcus Ellson
22,Eric von Kampen
23,Nicholas Vogt
25,Nick Stuart
26,Grant Lindsley
31,Jason Tschida
42,Matt Burkhardt
71,Nicholas Simonelli
77,Cameron Hastings
78,Harper Garvey
88,Patrick Jensen
93,Kyle Gill
96,Joe Simonelli
99,Tristan Van De Moortele
b,r,e,a,k
Ironside,3
teamInfo,,"Boston, Massachusetts",http://www.bostonironside.com/,,
coaches,Josh McCarthy,Jacob Luria,Matt Rebholz
00,Jacob Taylor
01,Teddy Browar-Jarus
07,William Neff
10,Tyler Chan
11,James Smart
12,Alex Simmons
14,Miles Montgomery-Butler
15,Tannor Johnson
17,R. Thomas Sayre-McCord
18,Jim Foster
21,Misha Herscu
22,Jordan Queckboerner
23,Mark Vandenberg
24,David Reshef
27,Jack Hatchett
28,Benjamin Katz
77,Danny Clark
b,r,e,a,k
Chain Lightning,6
teamInfo,,"Atlanta, Georgia",www.chainlightning.org,https://www.facebook.com/pages/Chain-Lightning-Ultimate/188026257831,https://twitter.com/ATLchain
0,Timothy Stapleton
1,JACK KRIEGER
2,Austin Taylor
3,Matthew Knowles
5,Elliott Erickson
6,Allan Laviolette
7,Jason (Jay) Clark
8,Byron Liu
9,Samuel Little
10,Tyler Conger
12,Frank Wooten
13,Michael Fairley
16,Anders Olsen
18,Michael Spear
19,Mark Poole
21,David Berendes
22,Brian Moore
22,Parker Bray
24,Christian Olsen
25,Sun Choi
55,Blake Hannah
60,JOLIAN DAHL
81,Joseph Burns
87,Trenton Spinks
88,TAYLOR GOFORTH
b,r,e,a,k
Doublewide,9
teamInfo,,"Austin, Texas",http://www.doublewidetx.com/,https://www.facebook.com/DoublewideUltimate,https://twitter.com/doublewidetx
02,Jerrod Wolfe
04,Ernesto Maximillian Cook
05,Jeff Loskorn
06,Michael Matthis
07,Kurt Gibson
08,ANDREW WATSON
09,Kevin Richardson
10,Steven Darroh
11,TREY LAMASTRES
12,Andrew Walch
13,Dalton Smith
13,Matthew (Skip) Sewell
14,Michael Cramer
16,ZACH RIGGINS
19,Ethan Pollack
20,Chase Cunningham
21,William Driscoll
22,KIRAN THOMAS
24,Rory Orloff
31,Brandon Malecek
33,Ryan Purcell
42,Ryan Bigley
49,Caleb Denecour
84,Mike Ogren
b,r,e,a,k
Rhino,5
teamInfo,,"Portland, Oregon",http://www.pdxrhino.com/,https://www.facebook.com/pages/Portland-Rhino/406995056021898,https://twitter.com/RhinoUltimate
0,Tyler Cable
01,Jacob Janin
02,Connor Matthews
03,JUSTIN BECKER
04,ELI BLACKMAN
06,Cody Bjorklund
08,Benjamin Whitenack
11,Matt Melius
12,Riley Meinershagen
13,Timmy Perston
14,Adam Rees
18,Bryson Fox
21,Benjamin McGinn
22,Grant Cole
27,Trevor Smith
31,Kevin Minderhout
36,Adam Fagin
42,Jeremy Norden
55,Dylan Freechild
65,Topher Davis
75,Marvin Waldvogel
77,Brian Penner
88,DAN SUPPNICK
b,r,e,a,k
Truck Stop,4
teamInfo,,"Washington, District of Columbia",http://www.truckstopultimate.org,,@truckstopulti
coaches,Michael Lopresti
3,Keven Moldenhauer
4,Delrico Johnson
5,David Cranston
6,Bobby Gordon
7,Bradley Scott
7,Ben Feng
8,Peter Prial
9,Tom Doi
10,SETH WIGGINS
11,Jonathan Neeley
14,Sean Childers
15,Nathan Castine
16,Tyler Monroe
17,Eric Miner
21,John Agan
22,Brian Marshall
25,Matthew Gordon
27,Cody Johnston
28,Matthew Rowan McDonnell
34,David Boylan-Kolchin
36,Nick Spiva
43,Joe Freund
45,Jeff Wodatch
61,Erik Salmi
88,Calvin Oung
90,Markham Shofner
99,Alan Kolick
b,r,e,a,k
Boost FC,16
teamInfo,,"Crescent City, California",,,https://twitter.com/boostultimate
0,Andy Smith
01,Joaquin Nagle
03,Eric Thewalt
05,Bryan Cheng
08,James Pollard
09,Tommy Adams
10,Kohji Sugioka
11,THOMAS LASSETTER
13,Sonny Zaccaro
15,Lucas Young
17,Kirkwood Alex Cloud
17,NOLAN WALSH
19,James Hansell
21,Jackson Stearns
22,COLIN MORGAN-OUTHISACK
24,Jason Yun
27,Bob Madden
34,ALEX GRUVER
35,Andrew Goldstein
42,Brandon Fein
57,Ian Meyer
66,Edward Yanosik
74,Alvin Kim
99,Lior Givol
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Revolver,Temper,13,7,"08/01/2015, 08:00",Pool A,Final
Chicago Machine,Furious George,13,5,"08/01/2015, 08:00",Pool A,Final
Revolver,Furious George,13,10,"08/01/2015, 10:00",Pool A,Final
Chicago Machine,Temper,13,10,"08/01/2015, 10:00",Pool A,Final
Revolver,Chicago Machine,13,11,"08/01/2015, 14:00",Pool A,Final
Temper,Furious George,13,10,"08/01/2015, 14:00",Pool A,Final
pool,Pool B
Johnny Bravo,PoNY,12,10,"08/01/2015, 08:00",Pool B,Final
HIGH FIVE,Prairie Fire,13,7,"08/01/2015, 08:00",Pool B,Final
Johnny Bravo,Prairie Fire,13,10,"08/01/2015, 10:00",Pool B,Final
HIGH FIVE,PoNY,10,11,"08/01/2015, 10:00",Pool B,Final
Johnny Bravo,HIGH FIVE,13,10,"08/01/2015, 12:00",Pool B,Final
PoNY,Prairie Fire,12,13,"08/01/2015, 12:00",Pool B,Final
pool,Pool C
Ironside,Sockeye,7,13,"08/01/2015, 08:00",Pool C,Final
Chain Lightning,Sub Zero,10,11,"08/01/2015, 08:00",Pool C,Final
Ironside,Sub Zero,9,13,"08/01/2015, 12:00",Pool C,Final
Chain Lightning,Sockeye,12,13,"08/01/2015, 12:00",Pool C,Final
Ironside,Chain Lightning,13,10,"08/01/2015, 14:00",Pool C,Final
Sockeye,Sub Zero,13,10,"08/01/2015, 14:00",Pool C,Final
pool,Pool D
Truck Stop,Doublewide,11,12,"08/01/2015, 10:00",Pool D,Final
Rhino,Boost FC,13,10,"08/01/2015, 10:00",Pool D,Final
Truck Stop,Boost FC,13,6,"08/01/2015, 12:00",Pool D,Final
Rhino,Doublewide,7,13,"08/01/2015, 12:00",Pool D,Final
Truck Stop,Rhino,12,13,"08/01/2015, 14:00",Pool D,Final
Doublewide,Boost FC,13,4,"08/01/2015, 14:00",Pool D,Final
b,r,e,a,k
brackets,Men's Bracket Play
bracket,1st Place Bracket
Revolver,Sockeye,9,13,"08/02/2015, 12:00",1st Place Finals,Final
Revolver,PoNY,14,13,"08/02/2015, 10:00",1st Place Semis,Final
Sockeye,Johnny Bravo,13,11,"08/02/2015, 10:00",1st Place Semis,Final
Revolver,HIGH FIVE,13,8,"08/02/2015, 08:00",1st Place Quarters,Final
Doublewide,PoNY,9,11,"08/02/2015, 08:00",1st Place Quarters,Final
Sockeye,Rhino,13,10,"08/02/2015, 08:00",1st Place Quarters,Final
Johnny Bravo,Chicago Machine,12,11,"08/02/2015, 08:00",1st Place Quarters,Final
HIGH FIVE,Ironside,13,12,"08/01/2015, 16:00",1st Place Prequarters,Final
Sub Zero,PoNY,10,11,"08/01/2015, 16:00",1st Place Prequarters,Final
Temper,Rhino,11,13,"08/01/2015, 16:00",1st Place Prequarters,Final
Truck Stop,Chicago Machine,10,13,"08/01/2015, 16:00",1st Place Prequarters,Final
bracket,3rd Place
PoNY,Johnny Bravo,0,0,"08/03/2015, 12:00",3rd Place Finals,Cancelled
bracket,5th Place Bracket
Doublewide,Chicago Machine,7,13,"08/02/2015, 12:00",5th Place Finals,Final
HIGH FIVE,Doublewide,10,12,"08/02/2015, 10:00",5th Place Semis,Final
Rhino,Chicago Machine,11,13,"08/02/2015, 10:00",5th Place Semis,Final
bracket,7th Place
HIGH FIVE,Rhino,14,13,"08/02/2015, 12:00",7th Place Finals,Final
bracket,9th Place Bracket
Ironside,Truck Stop,5,13,"08/02/2015, 10:00",9th Place Finals,Final
Ironside,Temper,12,10,"08/02/2015, 08:00",9th Place Semis,Final
Sub Zero,Truck Stop,9,12,"08/02/2015, 08:00",9th Place Semis,Final
bracket,11th Place
Temper,Sub Zero,14,13,"08/02/2015, 10:00",11th Place Finals,Final
b,r,e,a,k
pools,Placement Round Robin (4 Seeds)
pool,Pool F
Furious George,Chain Lightning,9,12,"08/01/2015, 16:00",Pool F,Final
Prairie Fire,Boost FC,13,4,"08/01/2015, 16:00",Pool F,Final
Furious George,Boost FC,9,10,"08/02/2015, 12:00",Pool F,Final
Prairie Fire,Chain Lightning,12,13,"08/02/2015, 12:00",Pool F,Final
Furious George,Prairie Fire,6,7,"08/02/2015, 14:00",Pool F,Final
Chain Lightning,Boost FC,13,5,"08/02/2015, 14:00",Pool F,Final
b,r,e,a,k
