Chesapeake Open 2015,Club - Men ,1,8,2015
Poolesville,MD,2015-08-01,2015-08-02
https://play.usaultimate.org/events/Chesapeake-Open-2015/schedule/Men/Club-Men/
Patrol,1
73,Brendan Blaney
81,ERIC RATHBUN
88,Jason Freedman
98,Zackery Smith
b,r,e,a,k
Richmond Floodwall,5
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/FloodwallUltimate?fref=ts,
coaches,Raymond Heath Jr.
0,Justin Morrison
0,Matthew Graves
0,Jameson Hinkle
0,Paul Corbett
0,KYLE PRESS
0,Evan  Hurley
0,Trent Cooper
0,Morgan Robinson
0,Tim Jackson
0,Aaron Richards
0,BRIAN BROWN
0,Chris Bowling
0,Chuck Cantone
0,Torin Porter
0,Cam Barnhardt
0,Sam Gabrielson
0,Adam Rupert
9,Owen Thompson
10,Matthew Reynolds
11,Scott Andrews
13,Keys Pattie
21,Jack Field
29,Josh (Red) Reynolds
32,DOMINIQUE GIBSON
48,Benjamin Broser
99,Adante Thompson
b,r,e,a,k
8$OLD (SOL),12
teamInfo,SOL,"State College, Pennsylvania",,,
0,MATT JERRY
0,COLIN MCNULTY
0,Jacob Belitsky
0,Richard Devasagayaraj
0,Aki Ohdera
0,Brian Magerr
0,Victor Shen
0,MASON STRAWSER
0,JOHN (JACK) KELLY
0,ANDY MOG
0,MICHAEL KINNEY
0,Thomas Allen
2,Alexander Paulos
10,MATT OLAH
12,Jacob Smith
20,Jonathan Yeoh
21,Codi Wood
21,Brendan Reed
24,Adam Shrager
25,Nate Long
25,Marcus Thaw
44,JOHN HOPKINS
66,Robert Jenkins
86,Brett Wall
b,r,e,a,k
Colt,4
teamInfo,,"Southington, Connecticut",,,
0,Jeffrey Adams
0,Kyle Saroka
0,Pat Kunkel
0,Daniel Reilly
0,RYAN POSSARDT
0,Bryan Forman
0,Kevin Chubet
0,Gavin Clemmey
0,Corey Danko
0,Andre Martinez
0,Brian Varis
0,Luke Diorio
0,Garrett Bowen
9,Patrick Laramee
9,Maxwell Langevin
14,Joseph Ouellette
20,Will Percival
25,Richard McFadden
25,Jake Hansen
28,Ben Weyers
32,Zach Grappone
37,David Griffin
50,Brendan Loyot
52,Ryan Strobel
66,Garrett Santi
81,Alex Morrone
99,Timmer Farrell
b,r,e,a,k
RUNTIME,13
teamInfo,,"Baltimore, Maryland",http://www.runtimeultimate.org,https://www.facebook.com/RUNTIMEultimate,https://twitter.com/RUNTIMEultimate
0,Michael Newman
0,Andrew Han
0,Zach Sabin
1,Zachary Hall
2,Bradley Tinney
3,Jeremiah Leblanc
5,Samuel Besse
6,JOSEPH YU
7,Daniel Paoletti
8,RODERICK STREET
10,ADAM ROSS
14,Simon Pollock
16,Joseph Leo Pepper
17,Akshay Shanker
18,TONY BAEG
23,Eric Sussman
28,Todd Dutton
31,Christopher Cahoon
32,Brett Youngerman
33,Jesse Goldstein
42,Warren Wells
61,Carlos Lalimarmo
81,KYLE BLACKISTON
89,Lorenzo Lalimarmo
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Patrol,Genny Tall Boys,13,5,"08/01/2015, 09:00",Pool A,Final
Youngbloods,Beltway Bullets,13,4,"08/01/2015, 09:00",Pool A,Final
Patrol,Beltway Bullets,13,0,"08/01/2015, 10:45",Pool A,Final
Youngbloods,Genny Tall Boys,12,11,"08/01/2015, 10:45",Pool A,Final
Patrol,Youngbloods,13,6,"08/01/2015, 12:30",Pool A,Final
Genny Tall Boys,Beltway Bullets,13,4,"08/01/2015, 12:30",Pool A,Final
pool,Pool B
Big Wrench,CityWide Special,9,11,"08/01/2015, 09:00",Pool B,Final
Town Hall Stars,Watchdogs,13,4,"08/01/2015, 09:00",Pool B,Final
Big Wrench,Watchdogs,13,3,"08/01/2015, 12:30",Pool B,Final
Town Hall Stars,CityWide Special,12,10,"08/01/2015, 12:30",Pool B,Final
Big Wrench,Town Hall Stars,7,13,"08/01/2015, 14:15",Pool B,Final
CityWide Special,Watchdogs,12,9,"08/01/2015, 14:15",Pool B,Final
pool,Pool C
Medicine Men,John Doe,8,11,"08/01/2015, 10:45",Pool C,Final
Bruises,Takers,11,12,"08/01/2015, 10:45",Pool C,Final
Medicine Men,Takers,15,14,"08/01/2015, 12:30",Pool C,Final
Bruises,John Doe,6,10,"08/01/2015, 12:30",Pool C,Final
Medicine Men,Bruises,13,8,"08/01/2015, 14:15",Pool C,Final
John Doe,Takers,13,7,"08/01/2015, 14:15",Pool C,Final
pool,Pool D
Colt,8$OLD (SOL),11,10,"08/01/2015, 09:00",Pool D,Final
Richmond Floodwall,RUNTIME,13,5,"08/01/2015, 09:00",Pool D,Final
Colt,RUNTIME,13,6,"08/01/2015, 10:45",Pool D,Final
Richmond Floodwall,8$OLD (SOL),9,10,"08/01/2015, 10:45",Pool D,Final
Colt,Richmond Floodwall,8,13,"08/01/2015, 14:15",Pool D,Final
8$OLD (SOL),RUNTIME,11,8,"08/01/2015, 14:15",Pool D,Final
b,r,e,a,k
clusters,Crossover Games 
cluster,Pool Winners
Patrol,John Doe,13,8,"08/01/2015, 16:00",,Final
Town Hall Stars,Richmond Floodwall,13,11,"08/01/2015, 16:00",,Final
b,r,e,a,k
brackets,Brackets
bracket,Championship Bracket
Patrol,Town Hall Stars,13,7,"08/02/2015, 12:30",Champ Finals,Final
Patrol,Medicine Men,13,7,"08/02/2015, 10:45",Champ Semis,Final
Town Hall Stars,John Doe,10,8,"08/02/2015, 10:45",Champ Semis,Final
Patrol,Takers,13,11,"08/02/2015, 09:00",Champ Quarters,Final
Richmond Floodwall,Medicine Men,11,13,"08/02/2015, 09:00",Champ Quarters,Final
Town Hall Stars,Genny Tall Boys,13,11,"08/02/2015, 09:00",Champ Quarters,Final
John Doe,Youngbloods,13,11,"08/02/2015, 09:00",Champ Quarters,Final
CityWide Special,Takers,10,12,"08/01/2015, 16:00",Champ Pre-Quarters,Final
Medicine Men,Big Wrench,15,14,"08/01/2015, 16:00",Champ Pre-Quarters,Final
8$OLD (SOL),Genny Tall Boys,10,11,"08/01/2015, 16:00",Champ Pre-Quarters,Final
Youngbloods,Colt,12,11,"08/01/2015, 16:00",Champ Pre-Quarters,Final
bracket,9th Place Bracket
Big Wrench,Colt,10,8,"08/02/2015, 12:30",9th Place Finals,Final
CityWide Special,Big Wrench,8,13,"08/02/2015, 10:45",9th Place Semis,Final
8$OLD (SOL),Colt,9,12,"08/02/2015, 10:45",9th Place Semis,Final
CityWide Special,RUNTIME,12,11,"08/02/2015, 09:00",9th Place Quarters,Final
Big Wrench,Beltway Bullets,13,3,"08/02/2015, 09:00",9th Place Quarters,Final
8$OLD (SOL),Bruises,12,11,"08/02/2015, 09:00",9th Place Quarters,Final
Colt,Watchdogs,13,2,"08/02/2015, 09:00",9th Place Quarters,Final
bracket,5th Place
Takers,Genny Tall Boys,13,8,"08/02/2015, 12:30",5th Place Finals,Final
Takers,Richmond Floodwall,13,12,"08/02/2015, 10:45",5th Place Semis,Final
Genny Tall Boys,Youngbloods,13,11,"08/02/2015, 10:45",5th Place Semis,Final
bracket,13th Place
RUNTIME,Bruises,11,13,"08/02/2015, 14:15",13th Place Finals,Final
RUNTIME,Beltway Bullets,13,9,"08/02/2015, 12:30",13th Place Semis,Final
Bruises,Watchdogs,12,9,"08/02/2015, 12:30",13th Place Semis,Final
bracket,15th Place
Beltway Bullets,Watchdogs,13,7,"08/02/2015, 14:15",15th Place Game,Final
b,r,e,a,k
