Stonewalled 2015,Club - Men ,18,7,2015
Richmond,VA,2015-07-18,2015-07-19
https://play.usaultimate.org/events/Stonewalled-2015/schedule/Men/Club-Men/
Turbine,1
17,Michael Moses
18,Scott Long
19,Scott Hampton
26,Brendan Smullen
27,Collier Cobb
42,Caleb Ward
43,Tim Spiridonov
44,Gunnar Olgren
47,Graham Katz
68,Scotty Crabtree
88,Kevin Healey
b,r,e,a,k
Carolina Sky,15
0,Conor Chickos
1,Jason Chung
2,Corey Cox
3,Valeri Kozarev
4,Ethan Cole
5,Benjamin Bourret
9,Tristan Manturuk
11,Kaylen Alexis
12,Chathan Driehuys
13,Andrew Mouw
17,Everett Dang
18,Kyle Davis
20,Thomas Williams
22,Seth Lee
25,Avery Acierno
32,Yuma Kobayashi
55,Dean Merritt
81,DANIEL GRETSCH Jr.
85,Ted Randby
99,Matthew Carson
99,Austin Sorscher
99,Matt Schinsky
b,r,e,a,k
Town Hall Stars,4
0,Tom Noll
0,Tim Kreutzfeldt
0,Robert Krasnansky
0,DANIEL MONGEON
0,Taylor Knapp
0,Eliot Fenton
0,Nate Pascale
3,Eric Biggs
7,MARSHALL SCHROEDER
8,Sean Reischel
01,Ben Slade
10,DAVIDSON GIRARD
12,DOUGLAS LAVIN
12,Christopher Bernard
14,Mac Keller
20,Isaac Kinton
21,Max Cassell
74,Andrew Creighton
87,MARK MIFSUD
99,Walker Hatchett
b,r,e,a,k
Triforce,5
01,Nicholas Donahue
02,Ethan Bloodworth
03,Austin von Alten
04,Jacob Warshauer
05,Sean Murray
07,Matt Gouchoe-Hanas
08,ALEC TOLENTINO
10,Marcus Rovner
10,Nick Tansey
11,Taek Lee
13,Matas Zdanavicius
15,Henry Fisher
24,Elijah Long
25,Tyler French
33,Liam Searles-Bohs
34,Dillon Lanier
38,Jeffrey Perkins
64,Abraham Eichner
72,Benjamin Landry
81,Rhys Gretsch
88,Jeffrey He
99,JOSHUA IRONS
b,r,e,a,k
SideWall,9
00,Christopher Larimer
00,Sam Gabrielson
00,Scott Andrews
00,DAVID GARRETT
00,John Bellows
00,Adam Rupert
00,Kristopher Harrison
00,John Dugan
00,Keith Stanley
00,Patrick Martin
00,Brian Palomo
00,Andy Shin
00,Alexis Planche
00,ADAM HUNTER
00,Joseph (Joe) Gerdes
b,r,e,a,k
Deadrise,16
0,Ben Weinstein
0,Gabe Westergren
0,SETH HAGE
0,Markus Wolf
0,Andrew Lewis
0,Beau De Koninck
0,Ben Masterson
0,Joe Sanz
0,Sam Masling
0,Michael Lesmez
0,Adam Norrbom
2,Haroon Matties
7,Noah Kline
13,Benjamin Preiss
15,Garrett Johnston
17,Moussa Dia
23,Jon Tiernan
27,Joe Spaeth
28,Aaron Mermelstein
32,Andrew Roy
34,Austin Alvarado
53,Jonny Malks
69,Kevin Versteeg
b,r,e,a,k
Richmond Floodwall,2
00,Keys Pattie
00,Aaron Richards
00,BRIAN BROWN
00,Owen Thompson
00,Justin Morrison
00,Jack Field
00,Josh (Red) Reynolds
00,Benjamin Broser
00,Matthew Graves
00,Jameson Hinkle
00,Paul Corbett
00,Adante Thompson
00,KYLE PRESS
00,James Howell
00,Evan  Hurley
00,Trent Cooper
00,Morgan Robinson
00,Tim Jackson
00,Matthew Reynolds
00,Matthew Goff
00,Chris Bowling
00,DOMINIQUE GIBSON
00,ROBERT BLAKE
00,Chuck Cantone
00,Lloyd Blake
00,Torin Porter
00,Cam Barnhardt
b,r,e,a,k
8$OLD (SOL),7
0,Richard Devasagayaraj
0,COLIN MCNULTY
0,Victor Shen
0,JOHN (JACK) KELLY
0,MATT JERRY
0,Brian Nevison
0,MASON STRAWSER
0,ANDY MOG
2,Matt Snyder
2,Alexander Paulos
10,Jeff Kiel
10,MATT OLAH
12,Jacob Smith
20,Jonathan Yeoh
21,Brendan Reed
21,Codi Wood
24,Adam Shrager
25,Nate Long
44,JOHN HOPKINS
66,Robert Jenkins
86,Brett Wall
b,r,e,a,k
Takers,11
0,Eric Gallagher
2,Zachary Sands
5,Kevin Venose
9,Cole Drummond
11,Sam Morgan
18,Jake Doyle
20,Jesse Gormley
25,PAVEL KARAVAYEV
31,Paul Klimkowski
32,Robert Walker
37,Ryan Coughlan
55,Frank Harris
69,Matt Tacheron
79,David Hampson
b,r,e,a,k
Watchdogs,14
04,Will Yetvin
05,Timothy Pugarelli
07,Andrew Nguyen
10,Dietrich Epp Schmidt
11,Toshihiko Oka
17,Theodore Lannert
18,Luc Bouchard
19,NOAH TONDARI
21,Joseph Miller
22,Couper Turkewitz
25,ADAM ALTAMIRANO
28,Justin Fitzgerald
81,Sean Phippen
88,ERIK TWETEN
99,ADAM BERNSTEIN
99,ALLEN SMITH
99,ANDREW JANSEN
99,BRENDAN RICHARD
99,Austin Duke
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
RoadHouse,NC Hammer,13,1,"07/18/2015, 11:00",Pool A,Final
CityWide Special,Beltway Bullets,13,5,"07/18/2015, 11:00",Pool A,Final
Turbine,Beltway Bullets,13,10,"07/18/2015, 12:35",Pool A,Final
CityWide Special,RoadHouse,8,11,"07/18/2015, 12:35",Pool A,Final
Turbine,NC Hammer,13,4,"07/18/2015, 14:10",Pool A,Final
Beltway Bullets,RoadHouse,9,11,"07/18/2015, 14:10",Pool A,Final
Turbine,RoadHouse,13,3,"07/18/2015, 15:45",Pool A,Final
CityWide Special,NC Hammer,13,1,"07/18/2015, 15:45",Pool A,Final
Turbine,CityWide Special,12,10,"07/18/2015, 17:20",Pool A,Final
Beltway Bullets,NC Hammer,13,5,"07/18/2015, 17:20",Pool A,Final
pool,Pool C
John Doe,RUNTIME,13,15,"07/18/2015, 11:00",Pool C,Final
Lost Boys,Carolina Sky,15,5,"07/18/2015, 11:00",Pool C,Final
John Doe,Carolina Sky,15,8,"07/18/2015, 13:00",Pool C,Final
John Doe,Lost Boys,7,15,"07/18/2015, 15:00",Pool C,Final
RUNTIME,Carolina Sky,15,9,"07/18/2015, 15:00",Pool C,Final
Lost Boys,RUNTIME,15,9,"07/18/2015, 17:00",Pool C,Final
pool,Pool D
Triforce,SideWall,15,11,"07/18/2015, 11:00",Pool D,Final
Town Hall Stars,SideWall,15,7,"07/18/2015, 13:00",Pool D,Final
Triforce,Deadrise,15,5,"07/18/2015, 13:00",Pool D,Final
Town Hall Stars,Deadrise,15,1,"07/18/2015, 15:00",Pool D,Final
Town Hall Stars,Triforce,15,8,"07/18/2015, 17:00",Pool D,Final
SideWall,Deadrise,15,5,"07/18/2015, 17:00",Pool D,Final
pool,Pool B
Richmond Floodwall,Takers,15,7,"07/18/2015, 11:30",Pool B,Final
8$OLD (SOL),Watchdogs,15,8,"07/18/2015, 11:30",Pool B,Final
Richmond Floodwall,Watchdogs,15,2,"07/18/2015, 13:30",Pool B,Final
8$OLD (SOL),Takers,15,11,"07/18/2015, 13:30",Pool B,Final
Richmond Floodwall,8$OLD (SOL),15,8,"07/18/2015, 15:30",Pool B,Final
Takers,Watchdogs,15,13,"07/18/2015, 15:30",Pool B,Final
b,r,e,a,k
brackets,Top 8 Bracket
bracket,Championship
Town Hall Stars,Richmond Floodwall,5,11,"07/19/2015, 11:00",Final,Final
Turbine,Town Hall Stars,8,11,"07/19/2015, 09:45",Semifinal,Final
Lost Boys,Richmond Floodwall,6,11,"07/19/2015, 09:45",Semifinal,Final
Turbine,8$OLD (SOL),8,6,"07/19/2015, 08:30",Quarterfinal,Final
RUNTIME,Town Hall Stars,8,10,"07/19/2015, 08:30",Quarterfinal,Final
Lost Boys,Triforce,11,7,"07/19/2015, 08:30",Quarterfinal,Final
RoadHouse,Richmond Floodwall,4,11,"07/19/2015, 08:30",Quarterfinal,Final
bracket,Fifth Bracket
8$OLD (SOL),Triforce,6,5,"07/19/2015, 11:00",5th Place,Final
RoadHouse,8$OLD (SOL),4,10,"07/19/2015, 09:45",Fifth Semi,Final
Triforce,RUNTIME,9,6,"07/19/2015, 09:45",Fifth Semi,Final
bracket,Third Bracket
Lost Boys,Turbine,11,8,"07/19/2015, 11:00",3rd Place,Final
bracket,Seventh Bracket
RUNTIME,RoadHouse,0,1,"07/19/2015, 11:00",7th Place,Final
b,r,e,a,k
brackets,Middle 4 Bracket
bracket,Ninth Bracket
CityWide Special,John Doe,10,9,"07/19/2015, 11:00",9th Place,Final
CityWide Special,SideWall,10,2,"07/19/2015, 08:30",Semi,Final
John Doe,Takers,11,2,"07/19/2015, 09:45",Semi,Final
bracket,Eleventh Bracket
Takers,SideWall,1,0,"07/19/2015, 12:15",11th Place,Final
b,r,e,a,k
pools,Bottom 5 Pool
pool,Pool C
Carolina Sky,Deadrise,11,1,"07/19/2015, 08:30",Pool C,Final
Beltway Bullets,Watchdogs,11,7,"07/19/2015, 08:30",Pool C,Final
Beltway Bullets,Deadrise,10,6,"07/19/2015, 09:45",Pool C,Final
Watchdogs,NC Hammer,11,3,"07/19/2015, 09:45",Pool C,Final
Deadrise,NC Hammer,11,10,"07/19/2015, 11:00",Pool C,Final
Beltway Bullets,Carolina Sky,8,10,"07/19/2015, 11:00",Pool C,Final
Watchdogs,Deadrise,0,0,"07/19/2015, 12:15",Pool C,Cancelled
Carolina Sky,NC Hammer,0,0,"07/19/2015, 12:15",Pool C,Cancelled
Watchdogs,Carolina Sky,0,0,"07/19/2015, 13:30",Pool C,Cancelled
b,r,e,a,k
