Bring The Huckus VI,College - Men ,28,2,2015
Princeton,NJ,2015-02-28,2015-03-01
https://play.usaultimate.org/events/Bring-The-Huckus-VI/schedule/Men/CollegeMen/
Penn State (B),21
Penn State (B),Princeton (B),13,1,"02/28/2015, 11:40",Pool C,Final
Penn State (B),Northeastern (B),13,9,"02/28/2015, 13:00",Pool C,Final
pool,Pool D
Gannon,MIT (B),11,4,"02/28/2015, 10:20",Pool D,Final
Muhlenberg,MIT (B),13,3,"02/28/2015, 11:40",Pool D,Final
Muhlenberg,Gannon,13,0,"02/28/2015, 13:00",Pool D,Final
pool,Pool E
Connecticut (B),Boston University (B),13,7,"02/28/2015, 10:20",Pool E,Final
Clarion,Boston University (B),11,2,"02/28/2015, 11:40",Pool E,Final
Clarion,Connecticut (B),9,7,"02/28/2015, 13:00",Pool E,Final
pool,Pool F
Catholic,SUNY-Buffalo (B),11,10,"02/28/2015, 10:20",Pool F,Final
Swarthmore,SUNY-Buffalo (B),9,11,"02/28/2015, 11:40",Pool F,Final
Swarthmore,Catholic,6,11,"02/28/2015, 13:00",Pool F,Final
pool,Pool A
SUNY-Buffalo,College of New Jersey,9,10,"03/01/2015, 09:00",Pool A,Final
Catholic,Pittsburgh (B),8,11,"03/01/2015, 09:00",Pool A,Final
SUNY-Buffalo,Pittsburgh (B),9,6,"03/01/2015, 10:20",Pool A,Final
Catholic,College of New Jersey,4,11,"03/01/2015, 10:20",Pool A,Final
SUNY-Buffalo,Catholic,11,6,"03/01/2015, 11:40",Pool A,Final
College of New Jersey,Pittsburgh (B),6,11,"03/01/2015, 11:40",Pool A,Final
pool,Pool B
SUNY-Fredonia,MIT,11,9,"03/01/2015, 09:00",Pool B,Final
Stockton,Penn State (B),13,2,"03/01/2015, 09:00",Pool B,Final
SUNY-Fredonia,Penn State (B),13,4,"03/01/2015, 10:20",Pool B,Final
Stockton,MIT,13,7,"03/01/2015, 10:20",Pool B,Final
SUNY-Fredonia,Stockton,13,5,"03/01/2015, 11:40",Pool B,Final
MIT,Penn State (B),13,11,"03/01/2015, 11:40",Pool B,Final
b,r,e,a,k
clusters,Crossover (Pool Play)
cluster,Pool Play
George Mason,Pittsburgh (B),13,6,"02/28/2015, 09:00",,Final
Penn State (B),Gannon,8,3,"02/28/2015, 14:20",,Final
Northeastern (B),Muhlenberg,4,13,"02/28/2015, 14:20",,Final
Princeton (B),MIT (B),10,9,"02/28/2015, 14:20",,Final
Clarion,SUNY-Buffalo (B),11,6,"02/28/2015, 14:20",,Final
Connecticut (B),Catholic,12,10,"02/28/2015, 14:20",,Final
Boston University (B),Swarthmore,7,13,"02/28/2015, 14:20",,Final
b,r,e,a,k
clusters,Additional Games
cluster,Crossover
Rensselaer Polytech,Brown,10,13,"02/28/2015, 09:00",,Final
MIT,Worcester Polytech,8,13,"02/28/2015, 11:40",,Final
Muhlenberg,Gannon,W,F,"03/01/2015, 09:00",,Final
Muhlenberg,Connecticut (B),13,8,"03/01/2015, 11:40",,Final
Pittsburgh (B),SUNY-Fredonia,6,13,"03/01/2015, 13:00",,Final
MIT,Boston University,13,7,"03/02/2015, 01:40",,Final
b,r,e,a,k
