Warm Up: A Florida Affair 2015,College - Men ,13,2,2015
,FL,2015-02-13,2015-02-15
https://play.usaultimate.org/events/Warm-Up-A-Florida-Affair-2015/schedule/Men/CollegeMen/
Arizona State,1
03,Terence Murphy
04,Kyle Reedy
05,Michael Fairley
06,Kyle Lockwood
07,JOHN COLLINS
08,Alex Bullock
09,JACOB RADFORD
10,James Dangler
12,Matt Helms
13,Zachary Marks
15,Chad Russom
25,Jeremy Langdon
27,Austin Mercadante
30,Andrew McKelvey
32,Austin Malone
44,DAVID HANKIN
45,Jeffrey Shapiro
51,Michael Taylor
74,Stuart Little
b,r,e,a,k
Brigham Young,2
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
00,MATTHEW  DELANGE
00,Dan Doxey
00,Jordan Hill
00,Taylor Caldwell
00,Wyatt Nethercott
00,Brayden Connole
00,Spencer Hodson
00,Devin Kimball
00,Kristopher McIntire
00,Jesse Taylor
01,CODY SIMMONS
07,CHRISTOPHER (MICHAEL) BJORLING
09,Brad McKeen
10,Ben Olpin
11,ROBERT BODILY
13,Seokhee Burningham
21,BRYANT BOYER
22,Lance Gardner
24,Patrik Connole
32,Nacody de la Rosa
64,Jason McKeen
b,r,e,a,k
Penn State,18
teamInfo,Spank),"State College, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
00,Richard Devasagayaraj
00,Victor Shen
01,Joseph Hacker
02,Alexander Paulos
03,David Rocco
04,Adam Shrager
14,Sean Reiterman
17,Alex Liu
18,DANIEL OFFLEY
19,Fred Wolf
20,Graham Walker
21,Codi Wood
23,Matt Snyder
25,Marcus Thaw
27,Matthew Brenfleck
32,Jacob Smith
37,Noah Shandelman
42,Patrick Kelly
86,Brett Wall
91,COLIN MCNULTY
99,MASON STRAWSER
b,r,e,a,k
Pittsburgh,19
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
00,PETER MCCLOSKEY
02,Joseph Bender
03,Patrick Earles
05,Saul Graves
07,Richard Boyle
08,Tyler Kunsa
09,Carl Morgenstern
10,Max Thorne
11,Kyle Hartley
12,KEVIN TANG
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,Matthew Hanna
18,Stephen Shaw
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
36,Daniel Wickens
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Daniel O'Connor
48,Jimmy Towle
77,Dillon Tranquillo
81,Vince Tranquillo
b,r,e,a,k
Central Florida (B),5
teamInfo,Havoc,"Orlando, Florida",www.centralfloridaultimate.com,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/UCF_Havoc
0,JOON PARK
00,Austin Lachmann
00,SETH CALHOUN
00,Thomas Milana
00,Derek Schmitt
00,Sam Johnson
00,Alexander Mejido
00,HUNTER HAYES
00,Alec Thomas
00,Tyler Knowles
00,JORGE DE GOUVEIA
00,Erik Phillips 
00,Clayton Sheldon
00,Duc-Quy Nguyen
00,Jesse Lu
00,Harrison Slate
00,Tyler Bradley
00,Conor Forgey
06,Mieshko Debicki
10,Bryce Walker
11,Sebastian Martinez
12,Brett Stone
14,Brian Crabtree
15,Timothy Conner
18,Alex Schmoling
19,Brandon Hamamura
27,Jesse Wesenberg
36,TYLER JETTE
45,Joseph Holland
49,Nicholas Coury
50,RYAN CALLAHAN
74,Remi Prendergast
84,Timothy Gleeson
b,r,e,a,k
Embry-Riddle (Florida),7
teamInfo,Dirty Birds,"Daytona Beach, Florida",,,
01,Ethan Jolly
07,Allyson Smith
09,Shane Bonner
11,Jonathan McMaken
13,Ian Price
14,Manan Kothari
18,Adrian Sokol
21,Dylan Maki
25,Jeremy Kerson
32,Truett Bloxsom
39,Philip Kletzli
44,Charles Barrett
48,Thomas Ahearn
49,James Grayson
68,Christopher J Svetlick
77,Matthew McCormick
87,Tristan Papes
88,Jonathan Gelsick
99,Jordan Lee
b,r,e,a,k
Florida Gulf Coast,10
teamInfo,FGCU Eagles,"Fort Myers, Florida",,https://www.facebook.com/groups/867685003261127/,
00,Dylan Eskridge
00,Dylan Mertzlufft
00,ADAM LINN
00,GOCE ANDONOVSKI
00,Michael Earles
00,Adam Tardif
00,Austin Arden
00,JOSH MCAULIFFE
02,Brandon Dessingue
33,Matthew Frisbee
99,Zachary Domrase
b,r,e,a,k
Florida (B),9
teamInfo,Florida B,"Gainesville, Florida",,,
00,Hayden Chappel
00,ADAM STOLLER
00,JARED BRODY
00,Jonathan  Beaubrun
00,Connor Boles
00,Cody Thompson
00,Donovan Johnson
00,Andy Therathanakorn
00,Sterling Miller
00,Ely Levine
00,TROY BRYANT
00,ANDRIS OTISONS
00,Daniel Conrad
00,Steven Fox
00,Brian Palmer
00,Noah Barnes
00,Jesse Everett
00,Parks Weatherford
00,Tyler Wallace
00,Jose Varillas
03,Steven Nguy
b,r,e,a,k
Florida State (B),12
teamInfo,DUF Lite,"Tallahassee, Florida",http://www.fsultimate.com/mens-ultimate,,
00,Patrick Cox
03,Conner Smith
04,Michael Ulrich
06,Jonathan Sapp
07,Carlito Que
09,Bryce Frohlich
12,TYLER LEVESQUE
18,Ryan Baker
20,Joshua Goraum
23,Peter Backhaus
24,Dylan Claerbout
27,BRADLEY PATTERSON
30,JEREMY SANCHEZ
33,Daniel Parlier
35,Michael (Dalton) Carter
40,Jacob Ihlenfeldt
42,BRIAN TOUPS
44,Cameron Mele
69,David Heether
93,HERBERT DESPAGNE
95,Zachary Monahan
99,John Kern
b,r,e,a,k
Cornell,6
teamInfo,Buds,"Ithaca, New York",,https://www.facebook.com/pages/Cornell-Buds/249069366500,https://twitter.com/BudsUltimate
00,Carsten Thue-Bludworth
00,Jacob Herrera
00,Yi Fan Wang
00,Jake Dunoyer
00,Daniel Wekstein
00,FRANKLIN LI
00,AUSTIN HARTLEY
00,JAY TAPPEN
00,Christopher Perrotti
00,Robert Vander Meulen
00,Russell Gray
00,Eliyahu Lehmann 
00,JOSHUA KLEIN
00,Jamie McClintock
00,Evan Greenberg
00,Alex Semaca
00,Pablo Avila
00,Robert Rickert
00,Francesco Bray
00,Mikael Hammer
00,ETHAN KANNEL
00,Joe Thompson
00,Wyatt Eberspacher
00,Nick James
18,John Brancato
25,Jordan Diamond
88,Nate August
b,r,e,a,k
Northwestern,17
teamInfo,NUT,"Evanston, Illinois",https://www.nutultimate.com,https://www.facebook.com/NUTUltimate,https://twitter.com/NUTUltimate
02,Benjamin Spielman
07,Sahaj Kumar
08,Elliott Siu
09,Michael Hamburger
13,Jeremy Piech
16,LEO GALBRAITH-PAUL
17,Nathan Yeazel
20,Jay Valdillez
21,RYAN WERFFELI
22,Alex Champe
24,Kedric Daly
27,Edward Speyer
29,Michael Koho
31,Christopher Pierce
33,Jakub Jezusek
36,Will Frolich
41,Christian Rozolis
42,Henry Richey
44,Remy Smith
51,Yiding Hou
57,Bif Reiser
59,LINCOLN OLIVER-ONEIL
82,William Hoover
90,Kyle Condron
b,r,e,a,k
Illinois,15
teamInfo,Illinois Ultimate,"Champaign, Illinois",www.illinoisultimate.com,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/IlliniUlti
00,Jacob Komenda
00,Marty Markenson
00,MARK PETERSON
00,MICHAEL POHLING
00,Grant Hallan
00,Wilson Wang
00,Ben Foster
00,Chris Buchta
00,Tyler Denooyer
00,KEVIN BIRCHOK
00,JONATHAN MCKOY
00,Joe Moyles
00,Eric Bultman
00,Matt West
00,Jarred Elliott
00,Johnny Saniat
00,Max Willis
00,PRAYAG  PATEL
00,SCOTT LUNARDINI
00,Kevin Lin
00,NICK PROZOROVSKY
00,Eric Badger
b,r,e,a,k
South Florida (B),21
teamInfo,Scourge,"Tampa, Florida",,https://www.facebook.com/USFUltimate,@usfultimate
00,Joseph Ungos
00,Rocco Davis
00,William Buchanan
00,KEVIN KOVAC
00,Alejandro Padron-Cruz
00,Paul Bednarek
00,Andrew Romero
00,Nathan Callihan
00,Jason Norwood
00,MCGREGOR COYNE
00,Zackery Scott
00,ADAM WOODARD
00,JONATHON BURROUGHS
00,Christian Villar
00,Jeff Brzycki
b,r,e,a,k
Florida,8
teamInfo,Florida,"Gainesville, Florida",http://gvilleultimate.com/,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
02,Billy O'Bryan
03,James Dahl
04,Bradley Seuntjens
05,Ryan Hiser
06,Danny Bishop
08,JOSEPH SUTHERLAND
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
12,Samuel Shaffer
13,MATTHEW TERZA
15,Tanner Repasky
16,Ryan Goetz
18,Hayden Wachob
18,Gabriel Lucas
19,Doug Terza
23,Justin Lucas
24,Alec Cutajar
26,Aaron Spector
32,Patrick Gettino
33,BRIAN BENGE
39,Evan Murray
b,r,e,a,k
Wisconsin,26
teamInfo,Hodags,"Madison, Wisconsin",www.hodags.org,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256,https://twitter.com/hodaglove
00,BRIAN NOVOTNY
03,Nicholas Vogt
06,Gordon Peterson
07,Avery Johnson
09,Erik Jorgensen
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
16,DANIEL  STULIGROSS
17,Thomas Gallagher
22,Aaron Speiss
23,Graeme Kernick
24,Walter Cai
25,Ross Barker
26,Eric von Kampen
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
57,Austin Reif
84,CRAIG COX
b,r,e,a,k
Miami,16
teamInfo,UMiami Cartel,"Coral Gables, Florida",http://umstudentactivities.orgsync.com/org/ultimatefrisbee/home,https://www.facebook.com/UniversityOfMiamiUltimateClub,https://twitter.com/UMiamiUltimate
02,Connor Smith
05,Alex Zacharkiewicz
06,Loren Tanksley
08,Daniel Scribner
09,Benjamin O'Brien
13,Carlos Morales
14,Zachary Silberberg
17,Brian Morgenlander
20,Daniel McDermott
21,Byron Fang
24,JOE BARRA
26,Logan Riddick
28,Matthew Walter
36,Benjamin Caplan
42,Daniel Richter
44,LUKE FRENTSOS
48,DEREK SHELDON
49,Dimitri Alexis
51,Joachim Lopez
b,r,e,a,k
Florida State,11
teamInfo,DUF,"Tallahassee, Florida",fsultimate.com,https://www.facebook.com/FSUltimate,https://twitter.com/DUFtrainroll
00,William Boor
00,Robert Larsen
00,Daniel Miller
00,Stephen  Muir
01,Jason Holleran
02,Bobby Patterson
03,Andrew Roney
05,Thomas Mazza
08,CHENTE ORTIZ
11,LIAM RAWSON
12,WAYDE VOSS
14,Austin Bass
16,ZACH WERNICK
18,Chris LaRocque
19,Bryce Vokus
20,Keno Catabay
22,Spencer Howett
23,Peter Van Brussel
25,Cole Friedes
27,Connor Holcombe
28,Andrew Larocque
33,Kody Cotton
35,James Dobson
46,Brian Phillips
88,Scott Moore
b,r,e,a,k
Texas,22
teamInfo,TUFF,"Austin, Texas",http://texasultimate.wix.com/texasultimate,https://www.facebook.com/TexasUltimate,@texasultimate
01,SIDNEY WATTS
02,GAVIN MURPHY
06,Garrett Idler
07,Jordan Taylor
10,Connor Breen
11,Dillon Larberg
13,Nash Mock
15,Joey Hemann
16,Michael Hays
17,DUFF NEUBAUER
18,David Miller
19,Jonathan Clutton
20,Chase Cunningham
21,Joel Clutton
23,Matt Mihovil
24,Daniel Murray
27,DEREK TINKER
29,Logan Kinney
31,Luke Simerly
32,JOSH BRUNELLI
34,Carlos Vargas
93,Christopher Schultz-Davis
96,Keivaun Waugh
b,r,e,a,k
Virginia Tech,25
teamInfo,Burn,"Blacksburg, Virginia",http://vtultimate.wix.com/virginiatechultimate,,
00,Hunter Taylor
00,Conner Fox
00,Lucas Fenstermacher
00,Ferry Akbar Buchanan
00,Tim Slade
00,Logan Healy
00,Alexander DeLuca
00,Joe Novak
00,MARSHALL PIERCE
00,Christian Gilbertson
00,Dylan Hitt
00,Kyle Flynn
00,Daniel Sablosky
00,Alexander Wu
00,Christopher Granito
00,Rhys Bergeron
00,Nicholas Gigliotti
b,r,e,a,k
South Florida,20
teamInfo,ScallyWags,"Tampa, Florida",,facebook.com/usfultimate,twitter.com/usfultimate
00,Ian Lynch
00,JOSEPH BUSTABAD
00,Clay Hewett
00,BENJAMIN BREWER
00,Christopher Tiedge
00,Sagar Shahani
00,Vikrant Pendharkar
00,SEAN DACONCEICAO
00,Scott DeLuca
00,Connor Vice
00,RODRIGO ANGULO
00,Shane Voshell
00,Alex DeSouza
01,Jody Louis
02,JASON TACKETT
21,Keith Patterson
27,Francisco Benito-Agostini 
33,JESSE GOLDSMITH
51,Patrick Dougherty
87,TAD PALMER
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Tufts,24
teamInfo,Elephant Men,"Medford, Massachusetts",,,
00,Thomas Gartman
00,Matthew Fasano
00,Tate Tabtieng
00,MARK  COOKS
00,Alex Caulfield
00,Owen Martin
00,Michael Dillard
00,Benjamin Wittenberg
00,Kevin O'Brien
00,Scott Nicholson
00,Daniel Weinstein
03,Nicholas Roberts
04,Tyler Chan
05,Carter Thallon
10,Dylan Gully
12,Skyler Tom
19,Jason Shnipes
32,David Lyle
41,JESSE MAHLER
70,SETH DREW
82,Ariel Rascoe
94,Eamon Wick
b,r,e,a,k
Texas A&M,23
teamInfo,Dozen,"College Station, Texas",ultimatefrisbee.tamu.edu/,,
00,Thomas Slack
00,Robert Lewis
00,Casey Aldridge
00,Connor Cole
00,IAN SMITH
00,Ben Lewis
00,Marshall Dinges
00,Jamie Wall
00,Brendan Adams
00,Zach Marbach
00,Connor Ughetta
00,Jon Corser
00,Jared Schueler
00,Charles Coleman
00,RYAN  JONES
00,DAVID SMITH
00,Carter Hollo
00,Dalton Smith
00,AARON SUNSTRUM
00,Evan Parizot
00,Kevin Land
00,Jonathan Barnes
00,Michael Bryant
00,Matthew Bennett
00,Nick Ochoa
00,Carson Smith
00,Jonathan Shaffer
00,Scott Campbell
00,David  Thompson
b,r,e,a,k
s,t,a,g,e,s
clusters,Games
cluster,Friday Games
Arizona State,Wisconsin-Milwaukee,12,8,"02/13/2015, 12:00",,Final
Arizona State,Georgia Tech,12,11,"02/13/2015, 12:00",,Final
Carleton College,Georgetown,13,7,"02/13/2015, 12:00",,Final
Central Florida,Brigham Young,13,5,"02/13/2015, 12:00",,Final
Central Florida,Penn State,13,6,"02/13/2015, 12:00",,Final
Central Florida,Carleton College,13,11,"02/13/2015, 12:00",,Final
Central Florida,Pittsburgh,6,13,"02/13/2015, 12:00",,Final
Central Florida (B),Embry-Riddle (Florida),12,8,"02/13/2015, 12:00",,Final
Central Florida (B),Florida Gulf Coast,6,13,"02/13/2015, 12:00",,Final
Central Florida (B),Florida (B),7,13,"02/13/2015, 12:00",,Final
Central Florida (B),Florida State (B),13,14,"02/13/2015, 12:00",,Final
Cornell,Northwestern,13,11,"02/13/2015, 12:00",,Final
Cornell,Georgetown,11,12,"02/13/2015, 12:00",,Final
Cornell,Illinois,9,13,"02/13/2015, 12:00",,Final
Embry-Riddle (Florida),South Florida (B),12,9,"02/13/2015, 12:00",,Final
Florida,Penn State,13,4,"02/13/2015, 12:00",,Final
Florida,Northwestern,13,7,"02/13/2015, 12:00",,Final
Florida,Wisconsin,13,10,"02/13/2015, 12:00",,Final
Florida (B),Florida State (B),13,5,"02/13/2015, 12:00",,Final
Florida (B),South Florida (B),13,5,"02/13/2015, 12:00",,Final
Florida (B),Florida Gulf Coast,13,6,"02/13/2015, 12:00",,Final
Florida Gulf Coast,South Florida (B),13,9,"02/13/2015, 12:00",,Final
Florida Gulf Coast,Miami,5,13,"02/13/2015, 12:00",,Final
Florida State,Texas,13,6,"02/13/2015, 12:00",,Final
Florida State,Carleton College,13,8,"02/13/2015, 12:00",,Final
Florida State,Virginia Tech,13,8,"02/13/2015, 12:00",,Final
Florida State (B),South Florida (B),13,3,"02/13/2015, 12:00",,Final
Florida State (B),Miami,6,11,"02/13/2015, 12:00",,Final
Georgia Tech,Georgetown,13,6,"02/13/2015, 12:00",,Final
Georgia Tech,Virginia Tech,12,13,"02/13/2015, 12:00",,Final
Illinois,Brigham Young,8,11,"02/13/2015, 12:00",,Final
Illinois,Penn State,13,14,"02/13/2015, 12:00",,Final
Pittsburgh,Wisconsin-Milwaukee,13,6,"02/13/2015, 12:00",,Final
Pittsburgh,Wisconsin,12,11,"02/13/2015, 12:00",,Final
South Florida,Texas,5,13,"02/13/2015, 12:00",,Final
South Florida,Georgetown,5,13,"02/13/2015, 12:00",,Final
South Florida,Tufts,6,13,"02/13/2015, 12:00",,Final
South Florida,Wisconsin-Milwaukee,7,13,"02/13/2015, 12:00",,Final
Texas,Tufts,13,11,"02/13/2015, 12:00",,Final
Texas A&M,Brigham Young,13,7,"02/13/2015, 12:00",,Final
Texas A&M,Penn State,13,7,"02/13/2015, 12:00",,Final
Texas A&M,Illinois,13,8,"02/13/2015, 12:00",,Final
Texas A&M,Cornell,13,10,"02/13/2015, 12:00",,Final
Tufts,Northwestern,13,7,"02/13/2015, 12:00",,Final
Wisconsin,Virginia Tech,13,9,"02/13/2015, 12:00",,Final
Wisconsin,Arizona State,12,10,"02/13/2015, 12:00",,Final
cluster,Saturday Games
Arizona State,Cornell,13,6,"02/14/2015, 12:00",,Final
Arizona State,Virginia Tech,13,6,"02/14/2015, 12:00",,Final
Carleton College,Northwestern,13,4,"02/14/2015, 12:00",,Final
Carleton College,Cornell,13,4,"02/14/2015, 12:00",,Final
Carleton College,Brigham Young,13,6,"02/14/2015, 12:00",,Final
Central Florida,Northwestern,13,6,"02/14/2015, 12:00",,Final
Central Florida,Texas A&M,14,12,"02/14/2015, 12:00",,Final
Central Florida,Illinois,9,13,"02/14/2015, 12:00",,Final
Central Florida (B),South Florida (B),10,11,"02/14/2015, 12:00",,Final
Central Florida (B),Miami,9,13,"02/14/2015, 12:00",,Final
Embry-Riddle (Florida),Florida (B),3,13,"02/14/2015, 12:00",,Final
Embry-Riddle (Florida),Miami,4,13,"02/14/2015, 12:00",,Final
Embry-Riddle (Florida),Florida Gulf Coast,7,13,"02/14/2015, 12:00",,Final
Embry-Riddle (Florida),Florida State (B),8,13,"02/14/2015, 12:00",,Final
Florida,Cornell,13,5,"02/14/2015, 12:00",,Final
Florida,Georgetown,13,5,"02/14/2015, 12:00",,Final
Florida,Texas A&M,12,10,"02/14/2015, 12:00",,Final
Florida,Carleton College,9,13,"02/14/2015, 12:00",,Final
Florida (B),Miami,12,13,"02/14/2015, 12:00",,Final
Florida Gulf Coast,Florida State (B),9,13,"02/14/2015, 12:00",,Final
Florida State,Tufts,13,5,"02/14/2015, 12:00",,Final
Florida State,Wisconsin,13,8,"02/14/2015, 12:00",,Final
Florida State,Georgia Tech,13,8,"02/14/2015, 12:00",,Final
Florida State,Arizona State,12,10,"02/14/2015, 12:00",,Final
Georgetown,Brigham Young,11,13,"02/14/2015, 12:00",,Final
Georgia Tech,Wisconsin-Milwaukee,11,12,"02/14/2015, 12:00",,Final
Illinois,Virginia Tech,13,9,"02/14/2015, 12:00",,Final
Illinois,Georgia Tech,13,11,"02/14/2015, 12:00",,Final
Miami,South Florida (B),13,4,"02/14/2015, 12:00",,Final
Northwestern,Penn State,5,13,"02/14/2015, 12:00",,Final
Northwestern,Georgetown,11,13,"02/14/2015, 12:00",,Final
Penn State,Brigham Young,13,9,"02/14/2015, 12:00",,Final
Pittsburgh,Tufts,13,8,"02/14/2015, 12:00",,Final
Pittsburgh,Texas,12,11,"02/14/2015, 12:00",,Final
Pittsburgh,Texas A&M,13,11,"02/14/2015, 12:00",,Final
South Florida,Pittsburgh,5,12,"02/14/2015, 12:00",,Final
South Florida,Penn State,6,13,"02/14/2015, 12:00",,Final
South Florida,Virginia Tech,9,13,"02/14/2015, 12:00",,Final
Texas,Wisconsin-Milwaukee,13,8,"02/14/2015, 12:00",,Final
Texas,Arizona State,9,13,"02/14/2015, 12:00",,Final
Tufts,Brigham Young,13,10,"02/14/2015, 12:00",,Final
Tufts,Wisconsin-Milwaukee,13,10,"02/14/2015, 12:00",,Final
Virginia Tech,Wisconsin-Milwaukee,10,13,"02/14/2015, 12:00",,Final
Wisconsin,Georgia Tech,13,9,"02/14/2015, 12:00",,Final
Wisconsin,Texas,8,13,"02/14/2015, 12:00",,Final
cluster,Sunday Games
Arizona State,Pittsburgh,9,13,"02/15/2015, 12:00",,Final
Carleton College,Central Florida,11,10,"02/15/2015, 12:00",,Final
Carleton College,Florida State,6,15,"02/15/2015, 12:00",,Final
Cornell,Virginia Tech,8,12,"02/15/2015, 12:00",,Final
Florida,Arizona State,9,10,"02/15/2015, 12:00",,Final
Florida (B),South Florida (B),15,4,"02/15/2015, 12:00",,Final
Florida Gulf Coast,Central Florida (B),14,13,"02/15/2015, 12:00",,Final
Florida Gulf Coast,Miami,6,15,"02/15/2015, 12:00",,Final
Florida State,Pittsburgh,8,15,"02/15/2015, 12:00",,Final
Florida State (B),Embry-Riddle (Florida),15,6,"02/15/2015, 12:00",,Final
Florida State (B),Florida (B),12,14,"02/15/2015, 12:00",,Final
Georgetown,Illinois,15,9,"02/15/2015, 12:00",,Final
Georgia Tech,Northwestern,6,13,"02/15/2015, 12:00",,Final
Miami,Florida (B),11,15,"02/15/2015, 12:00",,Final
Penn State,Wisconsin-Milwaukee,12,9,"02/15/2015, 12:00",,Final
Penn State,Georgetown,10,13,"02/15/2015, 12:00",,Final
South Florida,Cornell,6,13,"02/15/2015, 12:00",,Final
Texas,Tufts,9,8,"02/15/2015, 12:00",,Final
Texas,Texas A&M,10,15,"02/15/2015, 12:00",,Final
Texas A&M,Wisconsin,15,11,"02/15/2015, 12:00",,Final
Wisconsin,Tufts,15,7,"02/15/2015, 12:00",,Final
Wisconsin-Milwaukee,Illinois,7,11,"02/15/2015, 12:00",,Final
b,r,e,a,k
