Heavyweights 2015,Club - Mixed ,8,8,2015
Loves Park,IL,2015-08-08,2015-08-09
https://play.usaultimate.org/events/Heavyweights-2015/schedule/Mixed/Club-Mixed
Lions,8
Spirit Fowl,Los  Heros,13,5,"08/08/2015, 10:45",Pool C,Final
Dream Killas,Spirit Fowl,13,7,"08/08/2015, 14:15",Pool C,Final
Los  Heros,Jabba the Huck,13,10,"08/08/2015, 14:15",Pool C,Final
pool,Pool D
Pileup,Stack Cats,11,9,"08/08/2015, 10:45",Pool D,Final
Mojo Jojo,Brew City Bandits,13,1,"08/08/2015, 10:45",Pool D,Final
Pileup,Brew City Bandits,13,3,"08/08/2015, 12:30",Pool D,Final
Mojo Jojo,Stack Cats,13,4,"08/08/2015, 12:30",Pool D,Final
Pileup,Mojo Jojo,13,10,"08/08/2015, 14:15",Pool D,Final
Stack Cats,Brew City Bandits,13,9,"08/08/2015, 14:15",Pool D,Final
pool,Pool E
tHUMP,ELevate,10,11,"08/08/2015, 09:00",Pool E,Final
No Touching,Liquid Hustle B,13,3,"08/08/2015, 09:00",Pool E,Final
tHUMP,Liquid Hustle B,13,6,"08/08/2015, 12:30",Pool E,Final
No Touching,ELevate,10,8,"08/08/2015, 12:30",Pool E,Final
tHUMP,No Touching,12,7,"08/08/2015, 14:15",Pool E,Final
ELevate,Liquid Hustle B,13,5,"08/08/2015, 14:15",Pool E,Final
pool,Pool F
Cream City Crooks,Goose Lee,13,9,"08/08/2015, 10:45",Pool F,Final
Mad Udderburn,Mishigami,11,12,"08/08/2015, 10:45",Pool F,Final
Cream City Crooks,Mishigami,13,4,"08/08/2015, 12:30",Pool F,Final
Mad Udderburn,Goose Lee,12,11,"08/08/2015, 12:30",Pool F,Final
Cream City Crooks,Mad Udderburn,12,13,"08/08/2015, 14:15",Pool F,Final
Goose Lee,Mishigami,12,7,"08/08/2015, 14:15",Pool F,Final
b,r,e,a,k
brackets,MIXED BRACKET PLAY
bracket,CHAMPIONSHIP BRACKET
The UPA,panIC,13,9,"08/09/2015, 15:00",FINALS,Final
Lions,The UPA,9,14,"08/09/2015, 13:00",SEMIS,Final
panIC,Cream City Crooks,15,7,"08/09/2015, 13:00",SEMIS,Final
Lions,Rubix,12,9,"08/09/2015, 11:00",QUARTERS,Final
The UPA,Tequila Mockingbird,13,10,"08/09/2015, 11:00",QUARTERS,Final
Omertà,panIC,7,15,"08/09/2015, 11:00",QUARTERS,Final
Cream City Crooks,Prion,14,10,"08/09/2015, 11:00",QUARTERS,Final
Lions,Mojo Jojo,15,7,"08/08/2015, 16:30",PRE-QUARTERS,Final
Rubix,Dream Killas,15,12,"08/08/2015, 16:30",PRE-QUARTERS,Final
The UPA,ELevate,15,6,"08/08/2015, 16:30",PRE-QUARTERS,Final
Tequila Mockingbird,Mad Udderburn,15,13,"08/08/2015, 16:30",PRE-QUARTERS,Final
Omertà,Spirit Fowl,13,7,"08/08/2015, 16:30",PRE-QUARTERS,Final
panIC,Pileup,15,12,"08/08/2015, 16:30",PRE-QUARTERS,Final
Liquid Hustle,Cream City Crooks,12,13,"08/08/2015, 16:30",PRE-QUARTERS,Final
Prion,tHUMP,15,9,"08/08/2015, 16:30",PRE-QUARTERS,Final
bracket,3RD PLACE GAME
Cream City Crooks,Lions,9,14,"08/09/2015, 15:00",3RD PLACE,Final
bracket,5TH PLACE BRACKET
Omertà,Tequila Mockingbird,12,14,"08/09/2015, 15:00",5TH PLACE GAME,Final
Prion,Omertà,7,13,"08/09/2015, 13:00",5TH PLACE SEMIS,Final
Tequila Mockingbird,Rubix,13,12,"08/09/2015, 13:00",5TH PLACE SEMIS,Final
bracket,7TH PLACE GAME
Rubix,Prion,0,1,"08/09/2015, 15:00",7TH PLACE GAME,Final
bracket,9TH PLACE BRACKET
Dream Killas,tHUMP,9,5,"08/09/2015, 15:00",9TH PLACE GAME,Final
Dream Killas,Mad Udderburn,15,13,"08/09/2015, 11:00",9TH PLACE SEMIS,Final
Spirit Fowl,tHUMP,12,15,"08/09/2015, 11:00",9TH PLACE SEMIS,Final
Mojo Jojo,Dream Killas,5,15,"08/09/2015, 09:00",9TH PLACE QUARTERS,Final
ELevate,Mad Udderburn,5,15,"08/09/2015, 09:00",9TH PLACE QUARTERS,Final
Spirit Fowl,Pileup,15,11,"08/09/2015, 09:00",9TH PLACE QUARTERS,Final
Liquid Hustle,tHUMP,10,12,"08/09/2015, 09:00",9TH PLACE QUARTERS,Final
bracket,11TH PLACE GAME
Spirit Fowl,Mad Udderburn,0,1,"08/09/2015, 15:00",11TH PLACE GAME,Final
bracket,13TH PLACE BRACKET
Mojo Jojo,Liquid Hustle,11,15,"08/09/2015, 15:00",13TH PLACE GAME,Final
Mojo Jojo,ELevate,15,14,"08/09/2015, 13:00",13TH PLACE SEMIS,Final
Pileup,Liquid Hustle,11,15,"08/09/2015, 13:00",13TH PLACE SEMIS,Final
bracket,15TH PLACE GAME
Pileup,ELevate,13,12,"08/09/2015, 15:00",15TH PLACE GAME,Final
bracket,17TH PLACE BRACKET
Goose Lee,No Touching,10,14,"08/09/2015, 13:00",17TH PLACE GAME,Final
Los  Heros,Goose Lee,6,15,"08/09/2015, 11:00",17TH PLACE SEMIS,Final
Stack Cats,No Touching,4,15,"08/09/2015, 11:00",17TH PLACE SEMIS,Final
Los  Heros,Brew City Bandits,15,12,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
Goose Lee,Liquid Hustle B,15,6,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
Stack Cats,Jabba the Huck,15,7,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
No Touching,Mishigami,15,7,"08/09/2015, 09:00",17TH PLACE QUARTERS,Final
bracket,19TH PLACE GAME
Stack Cats,Los  Heros,15,5,"08/09/2015, 13:00",19TH PLACE GAME,Final
bracket,21ST PLACE BRACKET
Mishigami,Liquid Hustle B,13,3,"08/09/2015, 15:00",21ST PLACE GAME,Final
Mishigami,Jabba the Huck,15,8,"08/09/2015, 13:00",21ST PLACE SEMIS,Final
Liquid Hustle B,Brew City Bandits,15,9,"08/09/2015, 13:00",21ST PLACE SEMIS,Final
bracket,23RD PLACE GAME
Brew City Bandits,Jabba the Huck,10,15,"08/09/2015, 15:00",23RD PLACE GAME,Final
b,r,e,a,k
