Southwest D-I College Men's Regionals,College - Men ,2,5,2015
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/
Arizona State,1
10,Kohji Sugioka
11,Michael Neff
12,Ben Chiu
16,Christopher McKeag
17,Sean Luna
18,Jesus Avila
19,Eric Thewalt
20,Greg Salazar
21,Alexander Max
22,Andrew Ouyang
23,Patrick Lerchi
24,Michael Girard
25,Taiki Chiba
26,Rajiv Sambharya
28,Maxwell Fenton
31,Justin Geffrey
35,Andrew Goldstein
42,Aaron Yuan
44,MACCALLUM ROBERTSON
b,r,e,a,k
Arizona State (B),16
0,AUSTIN CLAIR
0,Bennett Christoffersen
0,Blaine Farber
3,TYLER HOLLMANN
7,Paysen Bramblett
13,BRYSON OLSON
15,Tyler Prime
21,William Hanson
22,Cody Peterson
24,GREG SCALIA
28,GLENNON MONTGOMERY
33,Mitchell Marois
33,Brian Dryden
36,Matt Patterson
42,Michael Nassief
95,Kolton Nelder
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Arizona State,Arizona,11,3,"05/02/2015, 08:00",Pool A
Cal Poly-SLO,Southern California,10,9,"05/02/2015, 08:00",Pool A
Arizona State,Southern California,13,4,"05/02/2015, 09:30",Pool A
Cal Poly-SLO,Arizona,13,10,"05/02/2015, 09:30",Pool A
Arizona,Southern California,10,11,"05/02/2015, 11:00",Pool A
Arizona State,Cal Poly-SLO,13,8,"05/02/2015, 11:00",Pool A
pool,Pool B
California-Santa Barbara,California-Santa Cruz,9,8,"05/02/2015, 08:00",Pool B
California-Davis,Northern Arizona,13,12,"05/02/2015, 08:00",Pool B
California-Santa Barbara,Northern Arizona,12,5,"05/02/2015, 09:30",Pool B
California-Davis,California-Santa Cruz,10,7,"05/02/2015, 09:30",Pool B
California-Santa Barbara,California-Davis,10,8,"05/02/2015, 11:00",Pool B
California-Santa Cruz,Northern Arizona,12,7,"05/02/2015, 11:00",Pool B
pool,Pool C
California-San Diego,San Diego State,9,13,"05/02/2015, 08:00",Pool C
UCLA,Santa Clara,13,12,"05/02/2015, 08:00",Pool C
California-San Diego,Santa Clara,13,3,"05/02/2015, 09:30",Pool C
UCLA,San Diego State,7,13,"05/02/2015, 09:30",Pool C
California-San Diego,UCLA,13,9,"05/02/2015, 11:00",Pool C
pool,Pool D
Chico State,California,11,10,"05/02/2015, 08:00",Pool D
Stanford,Arizona State (B),13,10,"05/02/2015, 08:00",Pool D
Chico State,Arizona State (B),12,6,"05/02/2015, 09:30",Pool D
Stanford,California,11,8,"05/02/2015, 09:30",Pool D
Chico State,Stanford,8,9,"05/02/2015, 11:00",Pool D
California,Arizona State (B),11,7,"05/02/2015, 11:00",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Stanford,California-Santa Barbara,9,11,"05/03/2015, 12:00",1st Place Finals
Arizona State,Stanford,11,12,"05/03/2015, 10:00",1st Place Semis
Chico State,California-Santa Barbara,13,15,"05/03/2015, 10:00",1st Place Semis
Arizona State,UCLA,15,8,"05/03/2015, 08:00",1st Place Quarters
Stanford,California-San Diego,15,11,"05/03/2015, 08:00",1st Place Quarters
San Diego State,Chico State,12,15,"05/03/2015, 08:00",1st Place Quarters
California-Santa Barbara,Cal Poly-SLO,14,9,"05/03/2015, 08:00",1st Place Quarters
California-Davis,UCLA,9,12,"05/02/2015, 12:30",1st Place Prequarters
California-San Diego,California-Santa Cruz,15,10,"05/02/2015, 12:30",1st Place Prequarters
Southern California,Chico State,5,15,"05/02/2015, 12:30",1st Place Prequarters
California,Cal Poly-SLO,14,16,"05/02/2015, 12:30",1st Place Prequarters
b,r,e,a,k
brackets,Placement Brackets
bracket,13th Place Bracket
Arizona,Santa Clara,15,12,"05/03/2015, 12:00",13th Place Finals
Arizona,Arizona State (B),15,9,"05/03/2015, 10:00",13th Place Semis
Northern Arizona,Santa Clara,11,15,"05/03/2015, 10:00",13th Place Semis
bracket,9th Place Bracket
Southern California,California-Davis,0,1,"05/03/2015, 14:00",9th Place Finals
Southern California,California-Santa Cruz,14,9,"05/03/2015, 10:00",9th Place Semis
California-Davis,California,15,8,"05/03/2015, 10:00",9th Place Semis
bracket,15th Place
Northern Arizona,Arizona State (B),13,9,"05/03/2015, 12:00",15th Place
bracket,11th Place
California,California-Santa Cruz,10,15,"05/03/2015, 14:00",11th Place
bracket,5th Place Bracket
California-San Diego,Cal Poly-SLO,13,11,"05/03/2015, 14:00",5th Place Finals
UCLA,California-San Diego,9,15,"05/03/2015, 12:00",5th Place Semis
San Diego State,Cal Poly-SLO,0,1,"05/03/2015, 12:00",5th Place Semis
bracket,7th Place
San Diego State,UCLA,0,1,"05/03/2015, 14:00",7th Place
bracket,3rd Place
Arizona State,Chico State,1,0,"05/03/2015, 14:00",3rd Place
b,r,e,a,k
