Kleinman Eruption-2023,Club - Mixed ,12,8,2023
Portland,OR,2023-08-12,2023-08-13
https://play.usaultimate.org/events/Kleinman-Eruption-2023/schedule/Mixed/Club-Mixed
Grit City,1
American Barbecue,Igneous Ultimate,11,8,"08/12/2023, 12:30",Pool C,Final
Stump,Night Cap,13,4,"08/12/2023, 12:30",Pool C,Final
pool,Pool D
Bullet Train,Squid Inc.,13,10,"08/12/2023, 10:45",Pool D,Final
Hive,Breakers Mark,10,8,"08/12/2023, 12:30",Pool D,Final
Bullet Train,Breakers Mark,12,7,"08/12/2023, 14:15",Pool D,Final
Hive,Squid Inc.,13,7,"08/12/2023, 14:15",Pool D,Final
Bullet Train,Hive,12,5,"08/12/2023, 16:00",Pool D,Final
Squid Inc.,Breakers Mark,9,5,"08/12/2023, 16:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Bullet Train,Spoke,9,10,"08/13/2023, 13:00",Finals,Final
Grit City,Bullet Train,5,8,"08/13/2023, 11:20",Semifinals,Final
Hive,Spoke,6,10,"08/13/2023, 11:20",Semifinals,Final
Grit City,Nebula,13,7,"08/13/2023, 09:40",Quarterfinals,Final
Bullet Train,Igneous Ultimate,11,10,"08/13/2023, 09:40",Quarterfinals,Final
American Barbecue,Hive,7,9,"08/13/2023, 09:40",Quarterfinals,Final
Spoke,Seattle Soft Serve,9,4,"08/13/2023, 09:40",Quarterfinals,Final
Garbage,Nebula,11,12,"08/13/2023, 08:00",Prequarterfinals,Final
Choco Ghost House,Seattle Soft Serve,4,12,"08/13/2023, 08:00",Prequarterfinals,Final
bracket,5th Place
Igneous Ultimate,Seattle Soft Serve,6,8,"08/13/2023, 13:00",5th Finals,Final
Nebula,Igneous Ultimate,7,12,"08/13/2023, 11:20",5th Semifinals,Final
American Barbecue,Seattle Soft Serve,7,9,"08/13/2023, 11:20",5th Semifinals,Final
bracket,9th Place
Choco Ghost House,Garbage,3,11,"08/13/2023, 09:40",9th Finals,Final
bracket,7th Place
Nebula,American Barbecue,3,7,"08/13/2023, 13:00",7th Place,Final
b,r,e,a,k
brackets,B Bracket
bracket,11th Place
Stump,Squid Inc.,10,6,"08/13/2023, 11:20",Finals,Final
Garage Sale,Stump,9,13,"08/13/2023, 09:40",Semifinals,Final
Drip,Squid Inc.,10,11,"08/13/2023, 09:40",Semifinals,Final
Garage Sale,Breakers Mark,12,9,"08/13/2023, 08:00",Quarterfinals,Final
Stump,SkyLab,13,2,"08/13/2023, 08:00",Quarterfinals,Final
Drip,Night Cap,13,6,"08/13/2023, 09:00",Quarterfinals,Final
Squid Inc.,Surge,10,5,"08/13/2023, 09:00",Quarterfinals,Final
bracket,15th Place
Breakers Mark,Surge,7,11,"08/13/2023, 13:00",15th Finals,Final
Breakers Mark,SkyLab,13,4,"08/13/2023, 11:20",15th Semifinals,Final
Night Cap,Surge,8,12,"08/13/2023, 11:20",15th Semifinals,Final
bracket,13th Place
Garage Sale,Drip,13,5,"08/13/2023, 13:00",13th Place Finals,Final
bracket,17th Place
SkyLab,Night Cap,13,9,"08/13/2023, 13:00",17th Finals,Final
b,r,e,a,k
