Cooler Classic 34,Club - Mixed ,19,8,2023
Hartland,WI,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Cooler-Classic-34/schedule/Mixed/Club-Mixed
Chicago Parlay,1
3,Jordan Speicher
5,Hannah Rapp
7,Carolyn Juergens
8,Thomas Schiltz
10,James Rosenberger
12,Kaylin Weber
12,Kevin Scopoline
13,Luke Bodnar
14,Abby Seltzer
16,Alec Li
17,Anna Wozniak
20,Zach Hallum
22,Maximilian Nytko
23,Marc Pedone
64,Aaron Rapp
79,Amanda Strickland
89,Patrick Kopp
99,Emma Cosby
b,r,e,a,k
Pushovers,17
teamInfo,,"Lake Elmo, Minnesota",,,
0,Alexander Kucich
0,Claire James
0,Erick Knudson
1,Derek Anderson
2,Tyler Wolf Williams
3,Carly Rasmussen
4,Hannah Hackenmueller
6,Abigail Skerker
7,Michael Scharlau
8,Erin Marshall
9,Kendra Anderson
10,Kyra Anderson
11,Lucas Bulger
12,Joseph Ling
15,Harper Brooks-Kahn
21,Donovan ODowd
31,Ross Screaton
34,Madeline Scott
39,Elizabeth Curtiss
42,Sam Baker
55,Liv Myers
62,Marcus Cannon
95,Eric Volkmeier
98,Bryan Kim
b,r,e,a,k
Northern Comfort,15
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
coaches,Nick Hwang
0,Adam Klopfenstein
0,Claire Kelley
0,Elliott Blackburn
0,Erika Watson
0,Francis Kelley
0,Joseph Blankenheim
0,Kaleigh Wurster
0,Leann Malenke
0,Mackenzie Carpenter
0,Molly Watson
0,Morgan Klug
0,Olivia Casper
0,Jake Leutenegger
0,WHITNEY FOSE
5,Rachel Moore
8,Rozelynn Becker
9,Greg Maddox
19,Austin Johnson
20,Alex Ballinger
20,Alex Ballinger
22,Max Carpenter
24,Andrew Fischer
33,Joe M Rogers
42,Raleke Hughes
59,Todd Miller
b,r,e,a,k
Mousetrap,10
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/mousetrapulti,https://twitter.com/MouseTrapUlti
0,Genevieve  Dockry 
0,Henry Fremont
0,Jacob Johnson
0,Jacob Calbaum
0,Jami Riley
0,Kali Stanger
0,Kelsie Tingle
0,Lily Mae Abels
0,Margo Stanger
0,Noah Petersen
0,Alex Larsen
0,Alexander Gravatt
0,Annie Shriver
0,Ben Stanger
0,Camille O'Connell
0,Catherine Morita
0,Sef van Kan
0,Spencer Olsson
7,Zeke Witter
8,Samuel Erickson
8,Ben Schewe
9,Peter Walker
10,Tierney Bilstrom
13,Preet Talwar
28,Eleanor Knauss
49,Benjamin Petersen
b,r,e,a,k
Underdogs,18
teamInfo,,"St. Paul, Minnesota",,,
0,Athena Bolton-Steiner
0,Chase Claflin
0,Emily Lanegraff
0,Felicia Walker
0,Henry Weismann
0,Jessica Sigler
0,Katherine Giorgio
0,Katie Sherer
0,Kiernan Bartlett
0,Mason Meyer
0,Matt (Blue) Pasiuk
0,Shannon Hayes
0,William Chapman-Renaud
2,Christina Lacher
4,Emmett Forster
6,Abigail Fischer
7,Charles Schulz
7,Madeline Crockett
12,Sean Prichard
23,Noah Chen
25,Sadie Haas
26,Alyson Sato
28,Laura Osterlund
54,Sawyer Neske
69,Dylan Lian
b,r,e,a,k
Jabba,11
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,https://twitter.com/JabbaChi
0,Abby Jones
0,Anna Martinello
0,Bethany DaRin
0,Brianna Rider-Leiner
0,Danny Nguyen
0,David Lee
0,Elkin Albarracin 
0,Francesca Rascati
0,Jailene Famania
0,Jessica Fairhurst
0,Josh Cahn
0,Liam Condon
0,Marissa Leff
0,Mike L'Hommedieu
0,Nadeem Demian
1,Will Hsieh
7,Amber Waite
9,Jorge Duarte
11,Kelly Kulig
13,Beth Messaglia
20,Courtney Rachke
20,Matt Afryl
23,Kathryn Kembitzky
27,Ryan Logan
41,Benjamin Wallerstedt
69,Chan Woo Park
b,r,e,a,k
Stackcats,19
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/stackcatsultimate/,@stackcatsultimate
0,Abigail Moseman
0,Abigail Taylor
0,Anthony Oplawski
0,Anthony Himmelberger
0,Caden Canavan
0,Daniel Lore
0,Grant Carlson
0,Haili McConnell
0,Heather Riesenberg
0,Joseph Roarty
0,Juan Amador
0,Maeve Hickey
0,Mark Valzonis
0,Edith Jaucian
0,Rachel Hunt
0,Ryan Kantor
0,Ryan Cunnea
0,Zhi-Hui Ling
12,Ashley Betke
14,Dennis Gisler
14,Claire Szilagyi
18,Rachael Kern
23,Elizabeth Thorsell
24,Ethan Datwyler
26,Matthew Golz
75,Emily Nadler
b,r,e,a,k
Lake Superior Disc,14
teamInfo,,"Duluth, Minnesota",,,
0,Cole Carignan
03,Paul Valley
04,Ryan Nord
05,Aaron Kueffer
06,Anne Senechalle
07,Logan Rudolph Lavalier
09,Nick Budnik
10,Yiming Liu
11,Zach Wood
13,Sam Voigt
14,Jill Geyer
19,Ella King
24,Sarah Lehnertz
28,Karisa Mueller
33,Tabler Elliott
42,Sarah Bakko
69,Bryce Hebert
71,Aaron Pinney
73,Ashley Kantor
79,Mara Halls
88,Kyle Anderson
93,Ann Farley
97,Rachael Lamman
b,r,e,a,k
Point of No Return,12
teamInfo,,"Stevens Point, Wisconsin",,https://www.facebook.com/PointOfNoReturnUltimate/,@PointUltimate
7,Thomas Roltgen
03,Julie Edwards
06,Kevin Reimer
08,Kylie Abel
09,Grant Hellestad
10,Pedro Ivo Saldanha
11,Angela Roltgen
14,KRISTINA INGROUILLE
15,Abby Jones
16,Kylie Macdonald
17,Katie Daily
19,Jade Pritzl
20,David Jones
21,Joel Hielema
22,Kaitlin Woyak
23,Austin Zdroik
24,Amanda Hellestad
28,Anna Whitford
31,Steve Piazza
34,Trevor Pritzl
40,Joe Verstegen
42,Brendon Fogelberg
44,Steven Swan
59,rebecca marsh
59,Hazel Radtke
87,David Horgan
b,r,e,a,k
Great Minnesota Get Together,13
teamInfo,,"Falcon Heights, Minnesota",,,
0,Austin Downs
0,Daniel Le-Tran
0,Dustin Berglin
0,Eric Leppink
0,Kevin Gresmer
0,Lindsey Aanestad
0,Sigrid Stensvold
2,Lauren Hagen
3,Michelle Keohane
11,Katie Pace
12,Ryan Reding
15,David Palo
16,Emma Burt
17,Ellie Clarin
20,Jennifer Degen
22,Lauren McPherson
23,Dan Monfre
24,Matthew Bailey
25,Brandon Woody
32,Charles Robshaw
37,Daniel Snyder
50,Carl Aanestad
60,Paul Westin
88,Melissa Lo
92,Sarah Espinoza
b,r,e,a,k
Frostbite,20
teamInfo,,"Milwaukee, Wisconsin",,,
0,Amanda Bartz
0,Mark Hwang
1,Hanna Leight
2,Oliver Rytman
3,Carly Serketich
4,Ali Shamsa
7,Jared Peyer
9,Hayes Barry
10,Charlette Peyer
11,Julie Haley
12,Heather Erickson
13,Megan Wetzell
14,Jeffery  Schubert
15,Carli Wood
17,Peyton Miller
18,Asa Hatcher
22,Donna January
23,Adam Wadlington
24,Erin Koth
25,TJ BARTCZAK
26,Chris Kuecker
27,Kensington Naze
30,Tyler Ignatowski
33,Fiona McGilligan
42,Daniel Burss
89,DEVON ARMSTRONG
b,r,e,a,k
Prion,21
teamInfo,,"Champaign, Illinois",www.prionultimate.com,,
0,Angela Gavic
0,Anne Cook
0,Boyd Rinehart
0,Dani Hartt
0,Daniel Sawai
0,Giovi Kelly
0,Katherine Koch
0,Nora Schnulle
0,Pupetch Nimnark
0,Leah Uteg
0,Megan Brazelton
0,Zach Ohlsson
3,David Lindsey
10,Kevin Zhang
18,Eleanor Vandel
20,Mukil Guruparan
20,Scott Nelson
22,Sierra Rinehart
22,Andrew Almeter
29,Jake Corley
31,Laurel Shepherd
41,Abbey Mullen
42,Kevin Tan
52,John Wolff
69,Eric Badger
69,Brennen Clark
b,r,e,a,k
Locomotion,24
teamInfo,,"Columbia, Missouri",,,https://twitter.com/LoCoultimate
0,Adin Aberbach
0,Isaac Saathoff
0,Jacob Schweikert
0,JAMES GORDON
0,Michael Nece
3,Joel Williams
04,Rob Jones
08,Samantha Huddleston
11,Colin O'Brien
12,Margaret O'Brien
13,Shannon Granger
14,Eileen Finley
19,Lillie McConnell
20,Luke Stir
21,Patrick Krantz
24,Patrick Preston
25,Blake Bixler
26,Demi White
28,Chase Johnson
31,Paige Blasberg
80,Noelle Hogrebe
92,John Dames
b,r,e,a,k
Arms Race,28
teamInfo,,"Iowa City, Iowa",,,
0,Ronak Bhagat
3,Erin Newman
01,Eric  Clifton
06,Greg Zarse
07,James Hean
10,Hailey Olsen
12,David Lopez
13,Lila Eggerling-Boeck
15,Wyatt  Sailer
16,Thomas Helm
20,Zach Frevert
21,Nick Schoon
22,Nicole Johnson
23,Anne Boxeth
32,Liam Edberg
34,Miah Boyle
37,Megan Davis
48,Skylar Hoffman
55,Tatum Long
b,r,e,a,k
Mastodon,25
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/MastodonUltimate/?ref=aymt_homepage_panel,https://www.twitter.com/MastodonUlti
0,Emma Petersen
0,Erik Nuenninghoff
0,Sarah Fahlberg
0,Veronica Judson
2,Dylan Petersen
3,Aidan Euclide
3,Aurora Purper
6,Nicholas Tangwall
01,Caitlin Clevenger
05,Jonathan Pizzo
07,David Cann
08,Kate McKay
10,Ansley Williams
12,Zach Laubscher
16,Paul Scudder
17,Tyler Stiers
18,Brooke Lewis
20,Noah Webster
24,Veiga Goethel
25,Kyle West
28,Isaac Fine
31,Thomas Jungbluth
33,Jared Scheinberg
37,Anna  Goforth
79,Yiran Li
88,Rachel Coile
b,r,e,a,k
Boomtown Pandas,22
teamInfo,,"Madison, Wisconsin",,https://www.facebook.com/BoomtownPandas/,https://twitter.com/boomtownpandas
0,Anne Gardner
0,Benjamin Bates
0,Daniel Seybold
0,Laura Knepel
0,Maddie Schneider
0,Matthew Wykle
0,Megan Lagerquist
0,Yujia Huo
2,Edward Kaul
4,Brooke Schoepp
13,Maxwell Underhill
17,Adam Throne
18,April Peterson
22,Harry Moore
29,Sarah Doege
32,Molly Snow
33,Aidan Boyle
33,Eli Melnick
42,Britney Lane
53,Thomas Hotvedt
61,Reed Gardner
64,Rachel Martin
