Fuego,College - Men ,1,4,2023
Vineland,NJ,2023-04-01,2023-04-02
https://play.usaultimate.org/events/Fuego2/schedule/Men/CollegeMen/
Bowdoin,1
0,Erik Arnold
0,Ethan Hood
0,Ethan Wolf
0,James Tinker
0,Matthew Gaetano
0,Peter Carlson-Belanger
0,Samson Hurwitz
0,Tate Mullin
0,Tucker Johnsen
24,Hessain Tamang
59,Zachary Wellins
b,r,e,a,k
Wesleyan,7
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,https://www.facebook.com/nietzschfactor/,https://twitter.com/nietzschfactor
0,Denis Cha
01,Stephen Vaughn
02,Sy Schoen
03,Derek Chen
07,Ethan Lubin
11,Theodore Businger
16,Neil Bohan
17,Adam Sussbauer
19,Daniel Becker
21,Thomas Kan
22,Dash Merrill
27,Jonah  Yas
30,Daniel Glickman
47,Sam Harris
59,Jack Noble
77,Dylan McCaleb
b,r,e,a,k
West Chester,10
teamInfo,A,"West Chester , Pennsylvania",,,
0,Carter Shelton
0,Chris Terry
0,Alex Hanna
0,Jacob Taylor
0,Kyle Gebhardt
0,Logan Pennella
0,Lucas Schiff
0,Noah Theobald
0,Patrick Joyce
0,Quinn Reed
0,John-Patrick Duffy
0,Shawn Lanzillo
1,Joshua Mebane
2,Ryan Cornelius
4,Jason Chen
9,Luke Jarvis
11,Connor Cook
13,James Tarantino
16,Dylan Edelman
22,Robert Cicchinelli
24,Jacob Maciag
32,Evan Parker
33,Jack Forgione
35,Joe Mirra
42,Anthony sanfelice
44,Nathaniel Thorne
82,Jimmy Dougherty
88,Sean Whoriskey
95,Ricky Lyons
b,r,e,a,k
Dickinson,11
teamInfo,Junkyard Turkeys,"Carlisle, Pennsylvania",,,https://twitter.com/jfturks
b,r,e,a,k
Stevens Tech,14
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Daniel Partika
0,Nicholas Hennessy
0,Olivia Parlow
0,Oscar Schlimer
0,Ryan Chin
0,Zack Petrov
0,Kayhan Durmus
2,Matt Hullstrung
7,Charles  Canata
14,Cole Gardella
24,Dylan Regan
27,Aidan Ouckama
30,Johnny Wong
b,r,e,a,k
Towson,15
teamInfo,Pandamonium,"Towson, Maryland",https://towsonupandamonium.com/,https://www.facebook.com/TowsonPandamonium/,https://twitter.com/tupandamonium
0,Elijah Best
0,Kyle Ben-Gera
0,Peter Lamousin
0,SunYoung Kim
5,Daniel Cade
7,Austin Miller
12,Ben Davis
13,Logan Call
18,Colin Jett
22,Donte Saccenti
27,Louis Endrich
62,Ben Watts
69,Liam Jones
b,r,e,a,k
Edinboro,18
teamInfo,Haggis,"Edinboro, Pennsylvania",,https://www.facebook.com/HaggisUltimate/,https://twitter.com/haggisultimate
0,Michael Hilinski
4,Austin Leisher
6,Katherine Swiech
7,Jordan Napierkowski
02,Derek Johnson
11,Reagan Hutton
12,Richard Armagost
14,Brian Derby
16,Kellen Smith
17,Virginia Jeffrey
18,Alex Plante
20,Adam Rhine
22,jacob Humenik
24,Joseph  Carreras
27,Jasmyn Murdie
28,Dalton Thomas
57,Alex Covelens
73,Alex Fairbanks
b,r,e,a,k
Salisbury,19
teamInfo,Buzz Ultimate A,"Salisbury, Maryland",,,
0,Jarod Kuether
0,Joshua Nasuta
0,Kevin Bowers
0,Luke Hartlaub
0,Nicholas Levchenko
0,Tyler McCluskey
0,Tyler Hummer
0,William Miller
0,Ansumane Diane
0,Dominic Frontera
27,Jacob Havins
b,r,e,a,k
Haverford,12
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
0,Alec Wallach
0,Billy Broker
0,Deep Patel
0,Mihir Patel
0,Nathan Maya
0,Shi Jie Samuel Tan
0,Simon Byrne
1,Leo Wellmann
3,Benjamin Bergerson
3,Darren Belanger
5,Will Murdock
6,Gavin Crowell
7,Vir Goyal
10,Zekiah Juliusson
11,Matthew Curran
17,Adiel Benisty
21,Liam Mears
26,Robert Betts Cope
29,Anna Malkov
34,Aaron Xu
36,Cade Fanning
37,Clay Stoltenberg
b,r,e,a,k
Villanova,13
teamInfo,Main Line Ultimate,"Villanova, Pennsylvania",http://villanovaultimate.weebly.com,,https://twitter.com/VUMainLine
0,Ben Plishker
0,Benjamin Berlin
0,Patrick Gill
0,Richard Stanton
0,Riley McCarry
0,Ronik Gupta
0,Ryan Vaughan
0,Ryan Keenan
0,Theo  Runiewicz
0,Tommaso Reres
0,Trevor Collins
4,David Pinkowsky
7,Jacob Cibilich
19,Robert Spinnler
20,Colby Luiz
47,Ryan Kryscnski
79,Stephen Collins
b,r,e,a,k
Sacred Heart,16
teamInfo,Laces,"Fairfield, Connecticut",,,
coaches,Matthew Cestone
0,Annette Wunsch
0,Anthony Marino
0,Cameron Connelly
0,Grace Alcott
0,Keara Mulrooney
0,Layla Cerverizzo
2,Kathleen Ferrall
5,Samantha Cunniff
10,Patrick Milner
13,Peter Milner
b,r,e,a,k
Hofstra,17
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
0,Julia Mills
0,Karl Basile-Baehr
0,Luke Gruppuso
0,Nadya Svidzerskaya
0,Patrick Bruso
0,Robert Shea
0,Robert Beanland
0,Sean Kupstas
0,Timothy Chang
0,Christina Kyprianou
0,Jake Olney
8,Joshua Garatti
19,Jason Valverde
31,Gabriel Kritz
38,Caleb Rockhill
57,Joseph Cicione
b,r,e,a,k
West Chester (B),20
teamInfo,B,"West Chester, Pennsylvania",,,
0,Anthony Farina
0,Eli Moore
0,Jacob Taylor
0,John-Patrick Duffy
0,Jordan Siegfried
0,Kyle Gebhardt
0,Lucas Schiff
0,Luke Messina
0,Robert Cicchinelli
0,Thomas Mains
1,Joshua Mebane
10,Ethan Scolastico
13,James Tarantino
15,Thomas Baumberger
33,Jack Forgione
47,Pierce Barfell
77,Colin McGinnis
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Bowdoin,College of New Jersey,0,0,"04/01/2023, 09:00",Pool A,Scheduled
New Hampshire,Rhode Island,0,0,"04/01/2023, 09:00",Pool A,Scheduled
Bowdoin,New Hampshire,0,0,"04/01/2023, 10:30",Pool A,Scheduled
SUNY-Stony Brook,Rhode Island,0,0,"04/01/2023, 10:30",Pool A,Scheduled
Rhode Island,College of New Jersey,0,0,"04/01/2023, 12:00",Pool A,Scheduled
SUNY-Stony Brook,New Hampshire,0,0,"04/01/2023, 12:00",Pool A,Scheduled
Bowdoin,Rhode Island,0,0,"04/01/2023, 13:30",Pool A,Scheduled
SUNY-Stony Brook,College of New Jersey,0,0,"04/01/2023, 13:30",Pool A,Scheduled
Bowdoin,SUNY-Stony Brook,0,0,"04/01/2023, 15:00",Pool A,Scheduled
New Hampshire,College of New Jersey,0,0,"04/01/2023, 15:00",Pool A,Scheduled
pool,Pool B
Massachusetts (B),West Chester,0,0,"04/01/2023, 09:00",Pool B,Scheduled
Vermont (B),Wesleyan,0,0,"04/01/2023, 09:00",Pool B,Scheduled
Massachusetts (B),Vermont (B),0,0,"04/01/2023, 10:30",Pool B,Scheduled
Rowan,Wesleyan,0,0,"04/01/2023, 10:30",Pool B,Scheduled
Wesleyan,West Chester,0,0,"04/01/2023, 12:00",Pool B,Scheduled
Rowan,Vermont (B),0,0,"04/01/2023, 12:00",Pool B,Scheduled
Massachusetts (B),Wesleyan,0,0,"04/01/2023, 13:30",Pool B,Scheduled
Rowan,West Chester,0,0,"04/01/2023, 13:30",Pool B,Scheduled
Massachusetts (B),Rowan,0,0,"04/01/2023, 15:00",Pool B,Scheduled
Vermont (B),West Chester,0,0,"04/01/2023, 15:00",Pool B,Scheduled
pool,Pool C
Dickinson,Salisbury,0,0,"04/01/2023, 09:00",Pool C,Scheduled
Towson,Edinboro,0,0,"04/01/2023, 09:00",Pool C,Scheduled
Dickinson,Towson,0,0,"04/01/2023, 10:30",Pool C,Scheduled
Stevens Tech,Edinboro,0,0,"04/01/2023, 10:30",Pool C,Scheduled
Edinboro,Salisbury,0,0,"04/01/2023, 12:00",Pool C,Scheduled
Stevens Tech,Towson,0,0,"04/01/2023, 12:00",Pool C,Scheduled
Dickinson,Edinboro,0,0,"04/01/2023, 13:30",Pool C,Scheduled
Stevens Tech,Salisbury,0,0,"04/01/2023, 13:30",Pool C,Scheduled
Dickinson,Stevens Tech,0,0,"04/01/2023, 15:00",Pool C,Scheduled
Towson,Salisbury,0,0,"04/01/2023, 15:00",Pool C,Scheduled
pool,Pool D
Haverford,West Chester (B),0,0,"04/01/2023, 09:00",Pool D,Scheduled
Sacred Heart,Hofstra,0,0,"04/01/2023, 09:00",Pool D,Scheduled
Haverford,Sacred Heart,0,0,"04/01/2023, 10:30",Pool D,Scheduled
Villanova,Hofstra,0,0,"04/01/2023, 10:30",Pool D,Scheduled
Hofstra,West Chester (B),0,0,"04/01/2023, 12:00",Pool D,Scheduled
Villanova,Sacred Heart,0,0,"04/01/2023, 12:00",Pool D,Scheduled
Haverford,Hofstra,0,0,"04/01/2023, 13:30",Pool D,Scheduled
Villanova,West Chester (B),0,0,"04/01/2023, 13:30",Pool D,Scheduled
Haverford,Villanova,0,0,"04/01/2023, 15:00",Pool D,Scheduled
Sacred Heart,West Chester (B),0,0,"04/01/2023, 15:00",Pool D,Scheduled
b,r,e,a,k
brackets,Bracket
bracket,Championship
bracket,9th Place
bracket,11th Place
bracket,5th Place
bracket,7th Place
bracket,3rd Place
bracket,13th Place Bracket
bracket,17th Place
bracket,15th Place
b,r,e,a,k
