HoDown Showdown 2023,Club - Mixed ,12,8,2023
Asheville,NC,2023-08-12,2023-08-13
https://play.usaultimate.org/events/HoDown-Showdown-2023/schedule/Mixed/Club-Mixed
Dirty Bird,1
26,Hannah Scanlon
27,Jacob  Freedman
30,Kevin Lee
37,Katie Radulovacki
38,Jeffrey Perkins
47,BRIAN MAULUCCI
59,Caroline Herring
70,Julian Hester
b,r,e,a,k
Crown Peach,5
teamInfo,,"Atlanta, Georgia",,,
0,ALEX TAT
0,Carly Matthews
0,Hailey Gassiot
0,Jalal Sylvester
0,Jasmine Tumlin
0,Jerome Jackson
0,Matthew Davidorf
0,Matthew Cook
0,Reece Overholt
0,Sara Allen
0,Thomas Watts
2,Austin Poole
6,James Myatt
8,Troy Stegeman
9,Matthew Entrekin
10,Gabrielle Hartman
11,Stephen Cook
12,Jeffrey Oravic
21,Maya Phillips
21,Summer Sanders
24,Ashley Boncimino
25,Jill Hawes
31,Chris Warren
39,Brooke  Thompson
88,Thomas O'Donnell
93,Travis Crawford
b,r,e,a,k
Verdant,13
teamInfo,,"Greenville, South Carolina",,,
0,Makenzye Whitman
01,Caroline Helms
02,Cassidy Stiglbauer
03,Madison Martin
06,Jordan Monroe
07,Emily Rouse
08,Matthew Abraham
09,Jessica Vance
10,Mary Hamvas
12,Asia Johnson
13,Hannah Abraham
14,Cameron Maund
15,Hunter Hamvas
17,Angela Tran
19,Stanlee Wahl
20,Christopher Billman
21,Andrew Brownlow
22,William Swan
23,Stephen Finley
24,Bryan Anders
25,Brandon Kwietniewski
28,JD Quinn
31,Kathryn Olds
69,Spencer Simon
81,Matthew Ellison
99,Khris Kirk
b,r,e,a,k
FlyTrap,12
teamInfo,,"Wilmington, North Carolina",,https://www.facebook.com/FlyTrap-Ultimate-599420990399270/,
0,Alyson Edwards
0,Andy Magee
0,Brandon Watford
0,Brittani Isidoro
0,Cristiana Falvo
0,Daniel Lemmen
0,Jacqueline  Chivers
0,Jessica Cheu
0,Joey Bye
0,Joseph Sharp
0,Julia Buehler
0,Kelly Funderburk
0,Mason Oppert
0,Sarah Hasch
0,vincent  frungillo
0,Whitney Elliott
0,Lacey Coppage
10,Luke Hancock
13,Artemio Pascual
56,Kyle Gibbons
66,Jordan Haines
87,Colin Eimers
b,r,e,a,k
Flood Zone,20
teamInfo,,"Charleston, South Carolina",,,
0,Ali Rockett
0,Andrew Zavada
0,Angela Quaranto
0,Cory Potter
0,Danielle Eiler
0,Dylan Beckman
0,Gabrielle Williams
0,Jack Brutzer
0,Jacob Markward
0,John Richey
0,Katie Anderson
0,Kristen Daniel
0,LUIS MOLINA
0,Marley Dickson
0,Nolan Cole
0,Rennie Scott
0,Robert Weiss
0,Rosie Driscoll
0,Tim Hammond
0,Tyler Brotton
11,Kelsey Tjen
22,Meg  Montgomery
26,Chloe Greene
30,Asher Wallen
41,Hassan Polani
44,Ryan Chubb
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Dirty Bird,Piedmont United,15,1,"08/12/2023, 09:00",Pool A,Final
Barefoot,MoonPi,12,9,"08/12/2023, 09:00",Pool A,Final
Dirty Bird,Barefoot,15,7,"08/12/2023, 10:45",Pool A,Final
Bear Jordan,MoonPi,12,9,"08/12/2023, 10:45",Pool A,Final
MoonPi,Piedmont United,10,14,"08/12/2023, 12:30",Pool A,Final
Bear Jordan,Barefoot,15,5,"08/12/2023, 12:30",Pool A,Final
Dirty Bird,MoonPi,15,0,"08/12/2023, 14:15",Pool A,Final
Bear Jordan,Piedmont United,15,5,"08/12/2023, 14:15",Pool A,Final
Dirty Bird,Bear Jordan,0,0,"08/12/2023, 16:00",Pool A,Cancelled
Barefoot,Piedmont United,0,0,"08/12/2023, 16:00",Pool A,Cancelled
pool,Pool B
m'kay Ultimate,Pickles,15,4,"08/12/2023, 09:00",Pool B,Final
