Summer Glazed Daze 2023,Club - Mixed ,8,7,2023
Winston-Salem,NC,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Summer-Glazed-Daze-2023/schedule/Mixed/Club-Mixed
Too Much Fun,1
00,Alex Bienkowski
00,Alison Bender
00,Alyssa Irons
00,Christian Forde
00,Cole Robinette
00,Dean Culver
00,Derrick Marcey
00,George Guthrie
00,Ivy Johnson
00,Jenna Dahl
00,Jinny Riedel
00,Joseph Connelly
00,Josh Day
00,Judy Ledlee
00,Justine Neville
00,Kalene Morozumi
00,Kerry Green
00,Kofi Thompson
00,Sarah McKee
00,Savannah Erwin
00,Stephen Bender
00,TJ McCourt
b,r,e,a,k
District Cocktails,15
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/CocktailsUltimate,https://twitter.com/DCCocktailsUlti
0,Ian Edgell
1,Kane Gormley
3,Nicholas Mozer
5,Daley Burns
6,Megan Humes
7,Noah Carter
8,Daniel Bowman
10,Erik Larmore
11,Joseph Miller
12,Jennifer Wu
14,Natsu Manning
16,Collin Brooks
17,Frances Taschuk
18,Galen Reifsnider
22,Camila Cabanne
25,Thomas Frazier
27,Jennifer Pridemore
28,Alec Marks
29,Emily Xu
33,Melissa Bierschenk
34,Austin Do
42,Andrew O'Neill
79,Daniel Dresser
86,Julianne Twomey
b,r,e,a,k
Rampage,10
teamInfo,,"Raleigh, North Carolina",,https://www.facebook.com/rampageultinc/,https://twitter.com/rampageultinc
0,Anthony Spizzirri
0,Ashlee Dunlevy
0,Bailey Stein
0,Chris Seip
0,Clara Meier
0,Allyson Fion
0,Erin Love
0,Kayleigh McHugh
0,Laura Mindlin
0,Nathan Steinmetz
0,Neal Raval
0,Zaki Phelan
7,Jackson Bunte
7,Elias Williamson
13,Eric Feigin
13,Pearl Sullivan
14,Jonah Kadens
22,Molly Spero
28,Amanda English
30,Harris Yudin
64,Max Randall
b,r,e,a,k
Pickles,18
teamInfo,,"Asheville, North Carolina",,,
0,Jon Reed
0,Julian Cacua
0,Keira Donaldson
0,Kyle Donaldson
0,Mark Bennink
0,Matt Hanson
0,Natalie Hollenback
0,Genevieve Holbrook
0,Grace Snell
0,Jacob Skinsacos
0,Jane  Tyler 
0,Allison  Parker
0,Stephanie Furnish
0,Sydnee Hanson
5,Ely Levine
5,Rocky Morris
10,Noah Shearer
13,Jeff Nowiski
54,Caden Bennett-Werley
b,r,e,a,k
Malice in Wonderland,3
teamInfo,,"Raleigh, North Carolina",https://ultiworld.com/tag/raleigh-malice-in-wonderland/,https://www.facebook.com/MaliceUltimate/,https://twitter.com/maliceulti
01,Nate Griffith
02,Bobby Patterson
03,ryan schanz
04,Sophia Thayer
05,Patrick Limer
08,Alice Widman
11,Juliette Sanchez
12,Molly Arwood
17,Sam Widmayer
18,Kelly Merhar
19,Ellen Yu
22,Maya Sugg
24,Jericho Barbour
25,Avery Acierno
26,Hannah Scanlon
27,Jacob  Freedman
30,Kevin Lee
36,Kelsea Fitzpatrick
38,Jeffrey Perkins
47,BRIAN MAULUCCI
59,Caroline Herring
66,William Huffer
70,Julian Hester
84,Caitlyn Horgan
88,Mikaela Nelson
99,Daniel Fonte
b,r,e,a,k
Columbus Chaos,6
teamInfo,,"Columbus, Ohio",,,https://twitter.com/cbusmixed/
0,Arden Piepho
0,Ashley Boehmke
0,Casey Schomer
0,Christopher Wohl
0,Cora Turney
0,Curtis Kinnaman
0,Eric Border
0,Haley Morman
0,Jason Rosser
0,Jonathan Rosen
0,Joseph Rains
0,Kayla Hamm
0,Lucas Antoszewski
0,Nic Gill
0,Sky Gill
2,Clark Seese
7,Todd Grace
17,Benjamin Reith
22,Mallory Griffith
23,Derek Fitch
44,Chelsea Ardle
76,Jordan Kinde
95,Allyson Perkins
b,r,e,a,k
Dizzy Kitty,11
teamInfo,,"Columbia, South Carolina",https://www.instagram.com/dizzykittyultimate/,,https://twitter.com/DizzyKitty_Ulti
0,Corrie LaBelle
0,Jacob McClary
0,Joseph  Cammarata
0,Katherine Tse
0,Kayla McClary
0,Michael Cote
0,Emma Owens
0,Erin Kemp
0,Sara Steger
0,Thomas Davidson
0,Tristin Ray
0,William Caspino
4,Elizabeth Williams
5,Carter Hayes
7,Caspar Tarr
10,Sam Schmoker
13,Christopher Chen
25,Gabriella Cruz
28,David Olsen
66,Robert Gunshefski
b,r,e,a,k
MoonPi,14
teamInfo,,"Chattanooga, Tennessee",,,
0,Andrew Tharp
0,Derek Ziesmer
0,Ed Fox
0,Joshua Dunford
0,Julie Guthrie
0,Kenneth Andejeski
0,Mary Scott
0,Matilda Silvestri
0,McKenna Cressman
0,Nickolas Wilson
0,PAUL SIROTA
5,Callie Fulghum
10,Nathaniel Orquia
16,Allyssa Raspa
19,Lori Granath
25,Ayman Handal
33,Alexandria Frost
b,r,e,a,k
FlyTrap,4
teamInfo,,"Wilmington, North Carolina",,https://www.facebook.com/FlyTrap-Ultimate-599420990399270/,
0,Alyson Edwards
0,Andy Magee
0,Brandon Watford
0,Brittani Isidoro
0,Cristiana Falvo
0,Daniel Lemmen
0,Jacqueline  Chivers
0,Jessica Cheu
0,Joey Bye
0,Joseph Sharp
0,Julia Buehler
0,Kelly Funderburk
0,Lacey Coppage
0,Mason Oppert
0,Sarah Hasch
0,Whitney Elliott
10,Luke Hancock
13,Artemio Pascual
56,Kyle Gibbons
66,Jordan Haines
87,Colin Eimers
b,r,e,a,k
Catalyst,5
teamInfo,,"Charlotte, North Carolina",,,
0,Andres Castaneda
0,Ashley King
0,Brian Stepanek
0,Caroline Hiers
0,Grace McIntyre
0,Jacob DePauw
0,Jon Drawdy
0,juan arjona
0,Lucy Endean
0,Manue Alaimo
0,Mark Trompeter
0,Rachel Monnin
0,Rithika Vatchavai
0,Ryan Manuel
0,Hannah Samuelson
0,Sheridan Cleave
0,Sheyanne Johnsen
0,Will Heisner
6,Morgan Reminder
17,Mica Cline
18,Ismael Salgado
22,Gracie Gardner
24,Cliff Totherow
33,Samuel Sigler
41,Charles Villano
47,Ethan Rhodes
b,r,e,a,k
Oasis Ultimate,13
teamInfo,,"Tallahassee, Florida",https://www.theoasisultimate.com,https://www.facebook.com/OasisUltimate,https://twitter.com/oasis_ultimate
0,Ashlyn O'Connor
0,Avery Cook
0,Brandon French
0,Brenton Baxley
0,Brianna Coia
0,Calla Michetti
0,Catherine Tortorici
0,Christina Levy
0,Greg Hulet
0,Kristi Fowler
0,Lia Groulx
0,Noah Sullivan
0,Sam  Snell
0,Tanwaya Boyts
0,Tim Offerdahl
0,TIMOTHY LEE
0,Zach Rowland
8,Riley Olsen
8,Michael Green
9,Trevor McBride
14,Cameron Paul
69,Catherine  Fidd
69,Patrick Cox
85,Rachael Thompson
96,Jon Smidt
b,r,e,a,k
Flood Zone,12
teamInfo,,"Charleston, South Carolina",,,
0,Cory Potter
0,Danielle Eiler
0,Delaney McAleer
0,Dylan Beckman
0,Emilio Gray
0,Gabrielle Williams
0,Gil Robinson
0,Jack Brutzer
0,Jacob Markward
0,John Richey
0,Kayla Clement
0,Ali Rockett
0,Andrew Zavada
0,Kristen Daniel
0,Nolan Cole
0,Rosie Driscoll
0,Tim Hammond
11,Kelsey Tjen
22,Meg  Montgomery
26,Chloe Greene
30,Asher Wallen
41,Hassan Polani
44,Ryan Chubb
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Too Much Fun,Verdant,0,0,"07/08/2023, 09:00",Pool A,Scheduled
904 Shipwreck,Spice,0,0,"07/08/2023, 09:00",Pool A,Scheduled
Too Much Fun,904 Shipwreck,0,0,"07/08/2023, 10:45",Pool A,Scheduled
Bear Jordan,Spice,0,0,"07/08/2023, 10:45",Pool A,Scheduled
Spice,Verdant,0,0,"07/08/2023, 12:30",Pool A,Scheduled
Bear Jordan,904 Shipwreck,0,0,"07/08/2023, 12:30",Pool A,Scheduled
Too Much Fun,Spice,0,0,"07/08/2023, 14:15",Pool A,Scheduled
Bear Jordan,Verdant,0,0,"07/08/2023, 14:15",Pool A,Scheduled
Too Much Fun,Bear Jordan,0,0,"07/08/2023, 16:00",Pool A,Scheduled
904 Shipwreck,Verdant,0,0,"07/08/2023, 16:00",Pool A,Scheduled
pool,Pool B
Brunch Club,Pickles,13,4,"07/08/2023, 09:00",Pool B,Final
Rampage,District Cocktails,0,0,"07/08/2023, 09:00",Pool B,Scheduled
Brunch Club,Rampage,0,0,"07/08/2023, 10:45",Pool B,Scheduled
Magnanimouse,District Cocktails,0,0,"07/08/2023, 10:45",Pool B,Scheduled
District Cocktails,Pickles,12,9,"07/08/2023, 12:30",Pool B,Final
Magnanimouse,Rampage,0,0,"07/08/2023, 12:30",Pool B,Scheduled
Brunch Club,District Cocktails,0,0,"07/08/2023, 14:15",Pool B,Scheduled
Magnanimouse,Pickles,13,3,"07/08/2023, 14:15",Pool B,Final
Brunch Club,Magnanimouse,0,0,"07/08/2023, 16:00",Pool B,Scheduled
Rampage,Pickles,0,0,"07/08/2023, 16:00",Pool B,Scheduled
pool,Pool C
Malice in Wonderland,Dizzy Kitty,0,0,"07/08/2023, 11:30",Pool C,Scheduled
Columbus Chaos,MoonPi,0,0,"07/08/2023, 11:30",Pool C,Scheduled
Malice in Wonderland,MoonPi,0,0,"07/08/2023, 13:30",Pool C,Scheduled
Columbus Chaos,Dizzy Kitty,0,0,"07/08/2023, 13:30",Pool C,Scheduled
Malice in Wonderland,Columbus Chaos,0,0,"07/08/2023, 15:30",Pool C,Scheduled
Dizzy Kitty,MoonPi,0,0,"07/08/2023, 15:30",Pool C,Scheduled
pool,Pool D
FlyTrap,Flood Zone,15,4,"07/08/2023, 11:30",Pool D,Final
Catalyst,Oasis Ultimate,0,0,"07/08/2023, 11:30",Pool D,Scheduled
FlyTrap,Oasis Ultimate,0,0,"07/08/2023, 13:30",Pool D,Scheduled
Catalyst,Flood Zone,15,8,"07/08/2023, 13:30",Pool D,Final
FlyTrap,Catalyst,0,0,"07/08/2023, 15:30",Pool D,Scheduled
Flood Zone,Oasis Ultimate,0,0,"07/08/2023, 15:30",Pool D,Scheduled
b,r,e,a,k
brackets,CHAMPIONSHIP
bracket,CHAMPIONSHIP
b,r,e,a,k
brackets,5th Place 
bracket,5th Place
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,9th Place Semis
bracket,9th Place Semis
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place 
bracket,13th Place
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
brackets,17th Place
bracket,17th Place
b,r,e,a,k
