Midwest Throwdown 2023,College - Men ,4,3,2023
Columbia,MO,2023-03-04,2023-03-05
https://play.usaultimate.org/events/Midwest-Throwdown-2023/schedule/Men/CollegeMen/
Missouri,4
38,Peter Milburn
47,Alex Kielbasa
51,Aiden Rathmann
b,r,e,a,k
Minnesota-Duluth,22
0,Diego Umana
0,Evan Malone
0,Joey Wozniak
0,Nathan Salberg
0,Tyler McBride
0,Wyatt Hall
0,Yunchan Hur
0,Zachary Huffaker
0,Zander Harris
3,Owen Cloutier
3,Thomas Donahue
4,Evan Boelter
5,Reese Pinney
8,Henry Liebl
9,Aidan Sutton
10,Alejandro Christenson
16,Alex Hubley
20,Cory Kurkowski
21,Joseph Peterson
24,Aaron Reiser
26,Jack Fritschel
69,Reagan Nguyen
b,r,e,a,k
Wisconsin-Oshkosh,31
0,Dane Carey
0,James Banks
0,Jonathan May
0,matthew glocka
0,Maxwell Lippert
0,Thomas Covey
7,Austin Est 
16,Spencer Lebedun
18,Caleb Nolan
23,Anthony Blando
41,James Tishler
b,r,e,a,k
Iowa State,7
0,Ellery Sabado
0,Andrew Grotenhuis
0,Jeremy Marchesani
0,Matthew Glanzmann
0,Noah Arends
0,Owen Jewell
0,Ramon Puente Jr.
0,Luke Walsh
0,Malcolm Chow
0,Stephen Mann
1,Logan Castle
13,Gabriel Schoepke
14,Will Hager
24,Abram Demo
27,Wonsuk Jung
32,Matt Johnson
32,Holden Fahnhorst
33,Sean Fjellman
41,Brian Goode
42,Tanner Holtz
57,Jason Luciani
62,Justin  Hua
72,Thomas Glass
73,Jordan Wright
99,Jacob  Shockley
b,r,e,a,k
Wisconsin-Eau Claire,18
0,Benjamin Kirkwood
0,Brett Duncan
0,Cameron Waldal
0,Christian Kiener
0,Connor McKeown
0,David Krueger
0,Dylan Schohn
0,Elliot Mitchell Larson
0,Evan Schreier
0,Evan Carter
0,Gabriel Smerillo
0,Hugh Olson
0,Isaiah Gengembre
0,Jacob Freund
0,Jalen Lonetree-Miller
0,Adam Stecker
0,Aidan Helmberger
0,James Briscoe
0,Joe Brandt
0,Matthias Stokosa
0,Max Muench
0,Nehemiah Senger
0,Quinlan Bonnett
0,Reed Selvey
0,Robert Buckley
0,Zachary Miller
2,John Stevenson
3,James Harvey
12,Simon Koeper
21,Ben Leurquin
22,Owen Mitchell
23,Haakon Neske
b,r,e,a,k
Wisconsin (B),23
0,Benjamin Salomon
0,Cameron Stover
0,Derrick Houmey
0,Ethan Napierala
0,Evan Rees
0,Frans Larson
0,Haoyang Yan
0,Jacob Goldthorpe
0,Matthew Zabawski
0,Adam  Jasensky 
0,Paul Scudder
0,Rahul Polavarapu
0,Samuel Fronek
0,Sarvesh Sakthivel
0,Teigue McCormack
0,Thomas Leibert
6,Nicholas Tangwall
9,Aidan Euclide
49,Benjamin Petersen
53,Thomas Hotvedt
62,Max Drexler
79,Yiran Li
99,Ryan Mikol
b,r,e,a,k
Knox,28
0,Jake Shelton
0,John Peterson
0,Matthew Sprenger
9,Finnegan Hautau
07,Patrick Cawley
13,Garrett Trimble
15,Ben  Ertle
18,Adam Gadiel
19,Zachary Benson
20,Caleb Baird
23,Vyaas Subramanian
27,An Trieu
31,Aadil Kherani
46,Ethan Lundblad
78,Colton Degen
b,r,e,a,k
Grinnell,14
0,Benjamin Shulman
02,Joseph Barrows
07,Cole Beattie
08,Noah Fehr
10,Sam Bigham
11,William Norry
20,Jack Connelly
21,Fergus Braun
22,Ishai Melamede
24,Jacob  Cowan
26,Collin Thomas-Green
27,Chris Dickinson
31,Duncan Lambert
34,Jeremy Trachtenberg
44,Duncan Steele-Maley
52,Solomon Golden
64,Eamon Worden
65,Jonny Bachman
68,Harold MacArthur
76,Zade Mullin
87,Dominic D’Ascenzo
b,r,e,a,k
Northern Iowa,24
0,Bennett Ludwig
0,Elliot Drew
0,Hunter Sullivan
0,Isaac Timm
0,Lincoln LaSourd
0,Ryan Plummer
0,Thomas Manternach
0,Trevor Diederichs
5,Carson Boyer
11,Matt Adams
19,Aaron Burger
21,Casey Shanaberger
22,Duncan Wierzchowski
69,Brendan Finley
b,r,e,a,k
Kansas,16
0,Henry Haw
0,Nickolas Krehbiel
0,Zain Brittain
1,John David Thor
2,Connor Looney
3,Andrew Pottinger
7,Braeden Huslig
8,Ryley Ballard
9,Luke Wirtz
10,Andrew Farrar
11,Seppo Hoijarvi
14,Connor Anderson
17,Elijah Ditto
21,Manu Redd
22,Benjamin Abell
24,David Marx
25,Dylan Mcgarr
31,Ryan Klahr
34,Peter Czerwinski
40,Liam Marsh
50,Brandon Brown
51,Judson Miller
61,Aiden Jacobs 
66,Kaden Hubler
77,Alejandro (Alex) Perez
b,r,e,a,k
Iowa State (B),30
0,Andrew Chizek
0,Bradley Nordwall
0,Ethan Symonik
0,Hunter Rose
0,Ishaan Patel
0,John Symeonidis 
0,Luka Elges
0,Mike Cawiezell
0,Nathaniel Ferguson
0,Nick Pehl
0,Noah Roy
0,Riley Wallace
0,Ritvik Ambekar
0,Wade Schaeffer
0,Alexander Kovar
3,Andrew Olson
4,Zachary Bye
95,Mitchell Wood
b,r,e,a,k
Washington University,1
0,Christopher Heron
0,Ethan  Zhang
0,Evan Tompkins 
0,Ian Grochocinski
0,Jake Hyman
0,Mitchell Oldham
0,Noah Kaller
1,Noah Stovitz
3,Cameron Freeman
6,Bennett Schwartz
7,Sam Schwartz
8,Joel Brown
9,Nicholas Jeschke
10,Zachary Kahn
13,Wilson Tryon
15,Jacob Tindall
17,Dylan Plemper
24,Seth Fisher-Olvera
25,Benjamin Deppen
28,Elie Weitzman
33,Nicolas Sprague
35,Benjamin Reimler
36,Jakob Ayala
44,David Higuchi
77,Nicolas Rios
81,Nate Ackerman
88,Cole Segal
99,Oliver Every
b,r,e,a,k
Wisconsin-Milwaukee,11
0,Donte  Buckingham 
03,Jackson McCausland
06,Leo Ohkerrmann
15,Charlie Benforado
16,Joseph Mueller
20,Kyle East
22,Jack Loomis
23,Zachary Vosberg
24,Justin Stubbe
35,Jonny Holstead
37,James Kaine
42,Elliot Shager
45,Colton Smith
48,Blair Weber
55,Charles Waechter
69,Benjamin Michalak
69,Reid Lancaster
72,Connor Schuberth
74,Alex Martinich
74,Josh Lopez
77,Alex Henige
88,Ryan Waller
94,Shiv Patel
b,r,e,a,k
Carleton College-CHOP,12
0,Andrew Yeh
0,Avery Hall
0,Beckett Schafer
0,Brendan Banfield
0,Danny Shope
0,Ed Dowling
0,Elk Thomas-Toth
0,Felix Lion
0,Henry Weismann
0,James Texter
0,Jonah Barer
0,Liam Etelson
0,Matthew Smith-Erb
0,Nathan Wang
0,Pah Na
4,Emmett Forster
6,Isaac Endo
13,Gabriel Driscoll
15,William Hassell
17,Graham Gordon
19,Jonah Tannen
25,Collin Pearson
48,Gavyn Jensen-Schneider
57,Christopher O'Mara
68,Cameron Dolbow
b,r,e,a,k
Illinois (B),27
0,Alexander Utsis
0,Boon Sheng Lee
0,Carson Splear
0,Jack Larson
0,Kevin Lui
0,Luca Iasinschi
0,Pupetch Nimnark
0,Ryan Hof
0,Sam Dong
5,Srikur Kanuparthy
8,Nicholas Hurst
14,Sam Chen
18,Evan Sebastian
24,Jonathan Kang
36,Jeff Burda
41,Abbey Mullen
50,Jacob Harris
69,Brennen Clark
71,Christopher Read
75,Matthew Rylander
b,r,e,a,k
St. Olaf,2
0,Daniel Brown
0,Jesse Laursen
00,Eric Crosby Lehmann
01,Grady Conquergood
02,Henry Geffert
03,Matthew Kompelien
07,Cade Ashland
09,Owen Lehmkuhl
11,Will Brandt
12,Josh Stanton
13,Luke Bleers
14,Carter Petrella
15,Bram Rossinow 
16,Taro Jelinek
17,Cade O'Fallon
19,Jonas Geere
19,Sean Rogers
21,Trevor Laugen
22,Carter Schafer
28,Caleb Griffiths
32,Justin Vorndran
37,Karsten Wennerlund
39,Kai Assef
69,Quinn Munson
b,r,e,a,k
Chicago,10
0,Aiden Tandiono
0,Andrew Kindseth
0,Ben Brink
0,Cory McCormack
0,Dylan Zhou
0,Gabriel Chalker
0,Gavin Kelly
0,Han Zhang
0,Jared Brodie
0,Joseph Sifakis
0,Krishna Jaikumar Kamath
0,Leon Tan
0,Matthew Wieseltier
0,Raphael Rosen
0,Suhaas Katikaneni
0,Tom Dupor
0,Trevor Ung
0,Tuhin Ghosh
10,Eliot Lajaunie
18,Dale Decatur
28,Grant Harris
b,r,e,a,k
Marquette,13
7,Luke Marciniak
03,Robbie McChesney
04,Gabe Gonzalez
05,Vincent Ricciardi
08,Joseph Branca
09,Jonathan Snell
11,Sean Bishop
14,Jackson Seltzer
17,Michael Donlin
19,Evan Frias
20,Isaac  Shimek
23,Gunnar Thompson
28,Kyle Reader
30,Sean Habash
33,nathan shannon
39,Francis Nuguid
44,Benjamin Bolz
80,JJ Mansour
84,Bruce Deal
85,John Wall
88,Johnathan Mika
b,r,e,a,k
Carleton College-Karls,29
0,Abraham Faber
0,Alek Pochan
0,Cole Weinstein
0,Daniel Nykamp
0,Elliot Hanson
0,Luke Bisio
0,Magnus Ames
0,Micah Day-O'Connell
0,Mitchell Anderson
0,Nathan Przybyla
0,Peter Kelly
0,Rhys Lewis
0,Sean Zheng
0,Henry Edmonds
0,Thomas Monson
0,Will Shrestha
5,Per Johnson
7,Theodore Weldon
9,Griffin Momsen-Hudson
13,Seth Grauer
16,Anders Brodnax
18,Benjamin Garcia
23,Alex Gran
44,Lee Li
54,Jonathan Vilms
69,Brian Caplan
b,r,e,a,k
Colorado College,3
0,Anders Pohlmann
0,Ben Carpenter
0,Cooper Quatrochi
0,Daonysos Hatzigiannis
0,Eliot Kirkham
0,Fremont Forsberg
0,Gordon  Clark
0,Jack Hills
0,Matan Fields
0,Oliver Kraft
0,Oliver van Linder
0,Samuel Davis
0,Tanner Flagg
0,Thomas Nielsen
0,Will Wallace
7,Lincoln Grench
8,Simon Broan
19,Leo McGaraghan
35,Walker Thompson
66,Sean McGonigle
99,Quinn Eaheart
b,r,e,a,k
Wisconsin-Platteville,9
6,Adam Butzen
01,Kayley Latham
03,Cole Quigley
04,Braden Lendosky
05,Anders Lind
06,Jack Weis
07,Caleb Krueger
08,Vincent De Ceuster
09,Grant McClendon
10,Matthew Montano
11,Mary Ellen Moran
12,Kaleb Robey
13,JoJo Peplinski
14,Keagan Gustin
15,Michael Rego
17,Lucas Johnson
18,Adam Martin
21,Ted Plewa
22,Maximilian Nytko
24,Luther Anderson
26,Shae  Sullivan
27,Nick Smies
28,Tony Kaseman
31,Andrew McGinley
33,Logan Bruck
39,Luke  Skoumal
42,Zach Blotz
52,John Anderson
99,Caleb Fleming
b,r,e,a,k
Saint Louis,15
0,AJ Ciaramitaro
0,Alex Davis
0,Ardi Hoxhaj 
0,Brian Weigus
0,Charles Twenter
0,Conor Corcoran
0,Daniel Juergens
0,Derian Ryker
0,Grant Gorman
0,Henry Davis
0,Ian Roudebush
0,Jared Thornberry
0,Mason Kimbarovsky
0,Samuel Liu
0,Stuart Montgomery
0,Tamish Sapkota
0,Timothy Convery
0,Trenton Schultz
0,Victor Geiser
0,Waleed Abdulla
0,Willow Parker
2,Ryan Hilty
3,Michael McCormick
3,Gabriel Bissland
11,Patrick McLaughlin
17,Santiago Lopez
23,Max Yue
34,William Drexler
69,Stephen Rashford
b,r,e,a,k
Northwestern (B),26
0,Americo Garza
0,Cameron Chang
0,Eric Gandhi
0,Kevin Su
0,Mark Li
0,Owen Handelman
0,Parth Patel
11,Jordan Bass
24,Ayush Gaggar
62,John Izzo
b,r,e,a,k
Northwestern,6
0,Charlie Geci
0,Christopher Lee
0,Conner Goodwin
0,Elijah Hansen
0,Ezra Danzig
0,Gabriel Bassin
0,Ian Falck
0,Isidore Donnelly
0,Jack Peckham
0,Jett House
0,Joshua Divak
0,Julian Baldwin
0,Kevin Ji
0,Nathan Rachwalski
0,Robin Erdakos
0,Sam Jonas
0,Sean Liu
8,Peter Walsh
13,Jack Daenzer
21,Benjamin  Fried
42,Ezra Rich
44,Ethan Less
88,Jason Paul
b,r,e,a,k
Missouri S&T,8
0,Aidan Tow
0,Austin King
0,Calvin Curran
0,Carson Kempf
0,Ethan McIntyre
0,Gino Lanasa
0,Kevin Wyle
0,Shane Keeton
02,Ray Mauntel
03,Wesley Fransen
07,Owen Thoms
11,Daniel Faust
13,Keaton Black
16,Sam Papin
22,Aidan Byrne
27,Brandyss Sherman-Hall
28,Zachary Sanders
32,Kyle Johnson
34,Thomas O'Hanlon
40,Michael Lahmeyer
64,Kenneth Stanley
66,Zachary Lopez
81,Zachary Szatkowski
b,r,e,a,k
Illinois State,17
0,Blake McKee
0,Brandon Hill
0,Carter Whitlow
0,Cody  Wyatt
0,Elliott Tubbs
0,Ethan  Moore 
0,James Henning
0,Adrian Esquivel
0,Alessandro Gibson
0,Andrew Roth
0,Joseph Baker
0,Kacper Wujda
0,Logan Dudley
0,Max Marcionetti
0,Patrick Corlett
0,Riley Hendron
0,Thomas  Diveley
0,Zach Ohlsson
1,Sean Dickerson
5,Luke Brigman
23,Joe Cercello
24,Anthony Serio
24,Truman Arie
26,Nick Wollney
32,Jonathan Gancarczyk
b,r,e,a,k
Washington University (B),25
0,Ford Vaughters
17,Max Gordon
69,Noah Naddaff-Slocum
69,Oliver Rosand
69,Owen Rice
69,Peter Jakiela
69,Ulysses Atkeson
69,William Silberstein
69,Arko Chatterjee
69,Daniel Bailen
69,Griffin Lorimer
69,Jack Heuberger
69,Jacob Hammer
69,JP Torack
69,Levi Kaster
69,Louie Kotler
69,Mateo Hain
b,r,e,a,k
s,t,a,g,e,s
pools,Columbia Pool
pool,Pool A
Missouri,Grinnell (B),13,0,"03/04/2023, 08:00",Pool A,Final
Truman State,Luther,12,7,"03/04/2023, 08:00",Pool A,Final
Missouri,Luther,13,6,"03/04/2023, 09:30",Pool A,Final
Truman State,Grinnell (B),0,0,"03/04/2023, 09:30",Pool A,Scheduled
Missouri,Truman State,9,6,"03/04/2023, 11:00",Pool A,Final
Luther,Grinnell (B),13,1,"03/04/2023, 11:00",Pool A,Final
pool,Pool B
Indiana,Wisconsin-Oshkosh,0,0,"03/04/2023, 12:30",Pool B,Scheduled
DePaul,Minnesota-Duluth,0,0,"03/04/2023, 12:30",Pool B,Scheduled
Indiana,Minnesota-Duluth,0,0,"03/04/2023, 14:00",Pool B,Scheduled
DePaul,Wisconsin-Oshkosh,0,0,"03/04/2023, 14:00",Pool B,Scheduled
Indiana,DePaul,0,0,"03/04/2023, 15:30",Pool B,Scheduled
Minnesota-Duluth,Wisconsin-Oshkosh,0,0,"03/04/2023, 15:30",Pool B,Scheduled
pool,Pool C
Iowa State,Knox,0,0,"03/04/2023, 17:00",Pool C,Scheduled
Wisconsin-Eau Claire,Wisconsin (B),0,0,"03/04/2023, 17:00",Pool C,Scheduled
Iowa State,Wisconsin (B),0,0,"03/04/2023, 18:30",Pool C,Scheduled
Wisconsin-Eau Claire,Knox,0,0,"03/04/2023, 18:30",Pool C,Scheduled
Iowa State,Wisconsin-Eau Claire,0,0,"03/04/2023, 20:00",Pool C,Scheduled
Wisconsin (B),Knox,0,0,"03/04/2023, 20:00",Pool C,Scheduled
pool,Pool D
Grinnell,Iowa State (B),13,2,"03/04/2023, 08:00",Pool D,Final
Kansas,Northern Iowa,0,0,"03/04/2023, 08:00",Pool D,Scheduled
Grinnell,Northern Iowa,0,0,"03/04/2023, 09:30",Pool D,Scheduled
Kansas,Iowa State (B),13,0,"03/04/2023, 09:30",Pool D,Final
Grinnell,Kansas,0,0,"03/04/2023, 11:00",Pool D,Scheduled
Northern Iowa,Iowa State (B),13,2,"03/04/2023, 11:00",Pool D,Final
b,r,e,a,k
pools,STL Pool
pool,Pool A
Washington University,Wisconsin-Milwaukee,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Carleton College-CHOP,Illinois (B),0,0,"03/04/2023, 12:30",Pool A,Scheduled
Washington University,Illinois (B),0,0,"03/04/2023, 14:00",Pool A,Scheduled
Wisconsin-Milwaukee,Carleton College-CHOP,0,0,"03/04/2023, 14:00",Pool A,Scheduled
Washington University,Carleton College-CHOP,0,0,"03/04/2023, 15:30",Pool A,Scheduled
Wisconsin-Milwaukee,Illinois (B),0,0,"03/04/2023, 15:30",Pool A,Scheduled
pool,Pool B
St. Olaf,Chicago,0,0,"03/04/2023, 12:30",Pool B,Scheduled
Marquette,Carleton College-Karls,0,0,"03/04/2023, 12:30",Pool B,Scheduled
St. Olaf,Carleton College-Karls,0,0,"03/04/2023, 14:00",Pool B,Scheduled
Chicago,Marquette,0,0,"03/04/2023, 14:00",Pool B,Scheduled
St. Olaf,Marquette,0,0,"03/04/2023, 15:30",Pool B,Scheduled
Chicago,Carleton College-Karls,0,0,"03/04/2023, 15:30",Pool B,Scheduled
pool,Pool C
Colorado College,Wisconsin-Platteville,0,0,"03/04/2023, 12:30",Pool C,Scheduled
Saint Louis,Northwestern (B),0,0,"03/04/2023, 12:30",Pool C,Scheduled
Colorado College,Northwestern (B),0,0,"03/04/2023, 14:00",Pool C,Scheduled
Wisconsin-Platteville,Saint Louis,0,0,"03/04/2023, 14:00",Pool C,Scheduled
Colorado College,Saint Louis,0,0,"03/04/2023, 15:30",Pool C,Scheduled
Wisconsin-Platteville,Northwestern (B),0,0,"03/04/2023, 15:30",Pool C,Scheduled
pool,Pool D
Northwestern,Washington University (B),0,0,"03/04/2023, 12:30",Pool D,Scheduled
Missouri S&T,Illinois State,0,0,"03/04/2023, 12:30",Pool D,Scheduled
Northwestern,Illinois State,0,0,"03/04/2023, 14:00",Pool D,Scheduled
Missouri S&T,Washington University (B),0,0,"03/04/2023, 14:00",Pool D,Scheduled
Northwestern,Missouri S&T,0,0,"03/04/2023, 15:30",Pool D,Scheduled
Illinois State,Washington University (B),0,0,"03/04/2023, 15:30",Pool D,Scheduled
b,r,e,a,k
