Bring The Huckus,College - Men ,25,2,2023
Vineland,NJ,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Bring-The-Huckus1/schedule/Men/CollegeMen/
Rochester,2
0,Deep Patel
0,Mihir Patel
0,Nathan Maya
0,Shi Jie Samuel Tan
1,Leo Wellmann
3,Darren Belanger
3,Benjamin Bergerson
5,Will Murdock
10,Zekiah Juliusson
11,Matthew Curran
17,Adiel Benisty
21,Liam Mears
26,Robert Betts Cope
29,Anna Malkov
36,Cade Fanning
37,Clay Stoltenberg
69,Gavin Crowell
b,r,e,a,k
Temple University (B),17
teamInfo,False Alarm,"Philadelphia, Pennsylvania",,,
0,Eric Ravenscroft
02,James Imdorf
06,Ethan Hall
07,Jacob Eiseman
08,Noah Hill
11,William Schultheis
11,Faron Connelly
15,Vince DeHoratus
17,Jack Hewitt
27,Clement Smith
37,Benjamin  Kamide
38,Alex Sobkowiak
88,Angelo Lombardo
b,r,e,a,k
Stevens Tech,13
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Alex D'Agostino
0,Austin Colletti
0,Caroline Moore
0,Kayhan Durmus
0,Luke Evanego
0,Nathanael Vachon
0,Nicholas Hennessy
0,Olivia Parlow
0,Oscar Schlimer
0,Ryan Chin
0,William Hines
0,Zack Petrov
0,Domenico Savatta
0,Jack Morrison
2,Matt Hullstrung
7,Charles  Canata
14,Cole Gardella
18,Mihir Savalia
27,Aidan Ouckama
30,Johnny Wong
b,r,e,a,k
SUNY-Binghamton (B),12
teamInfo,SUNY-Binghamton B,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
0,Kaleb Istvan
3,Jack Hannagan
8,Christopher Adami
10,Devon Umeozor
11,Christian Cincotta
13,Simon Rebecca
19,Patrick Pellittiere
21,Dennis Ahmetaj
24,Dylan Guzman
37,Caleb Carpenter
43,Zisis Zias
54,Nicholas D'Souza
64,Justin  Marciano
84,Evan Stouber
86,John Giaccio
88,Matthew Stancampiano
94,Eric Stern
99,Matthew Shulman
b,r,e,a,k
SUNY-Albany (B),20
teamInfo,SCAM,"Albany, New York",,,
0,John Hanson
9,Pierce O'Connell
10,Jason San Lucas
22,Joseph Regan
24,Giovanni Scotti
25,Kevin De Lara
26,Tyler Stack
28,Alexander Blake
33,Brandon  Patanjo
42,Justin Kimbrough
52,Jaden Linares
62,Michael Scaccianoce
65,Christopher Roux
66,Colin Fitzgerald
76,Nicholas Scalera
77,Ion Efros
81,John Ruoff
91,George  Delgado
92,Zachary Bach
99,Joseph Gutierrez
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
Ithaca,SUNY Cortland,9,6,"02/25/2023, 09:00",Pool A,Final
SUNY-Albany,Connecticut College,7,13,"02/25/2023, 09:00",Pool A,Final
Ithaca,SUNY-Albany,10,4,"02/25/2023, 10:30",Pool A,Final
Rochester,Connecticut College,9,13,"02/25/2023, 10:30",Pool A,Final
Connecticut College,SUNY Cortland,13,12,"02/25/2023, 12:00",Pool A,Final
Rochester,SUNY-Albany,11,4,"02/25/2023, 12:00",Pool A,Final
Ithaca,Connecticut College,10,9,"02/25/2023, 13:30",Pool A,Final
Rochester,SUNY Cortland,10,7,"02/25/2023, 13:30",Pool A,Final
Ithaca,Rochester,4,13,"02/25/2023, 15:00",Pool A,Final
SUNY-Albany,SUNY Cortland,6,10,"02/25/2023, 15:00",Pool A,Final
pool,Pool B
Penn State (B),Swarthmore,13,2,"02/25/2023, 09:00",Pool B,Final
Vermont (B),Massachusetts (B),8,10,"02/25/2023, 09:00",Pool B,Final
Penn State (B),Vermont (B),10,11,"02/25/2023, 10:30",Pool B,Final
Army,Massachusetts (B),8,9,"02/25/2023, 10:30",Pool B,Final
Massachusetts (B),Swarthmore,13,4,"02/25/2023, 12:00",Pool B,Final
Army,Vermont (B),7,13,"02/25/2023, 12:00",Pool B,Final
Penn State (B),Massachusetts (B),6,10,"02/25/2023, 13:30",Pool B,Final
Army,Swarthmore,13,3,"02/25/2023, 13:30",Pool B,Final
Penn State (B),Army,6,13,"02/25/2023, 15:00",Pool B,Final
Vermont (B),Swarthmore,13,1,"02/25/2023, 15:00",Pool B,Final
pool,Pool C
Edinboro,Lehigh (B),8,7,"02/25/2023, 09:00",Pool C,Final
Dickinson,Pennsylvania (B),13,2,"02/25/2023, 09:00",Pool C,Final
Edinboro,Dickinson,5,11,"02/25/2023, 10:30",Pool C,Final
Rutgers (B),Pennsylvania (B),13,2,"02/25/2023, 10:30",Pool C,Final
Pennsylvania (B),Lehigh (B),7,11,"02/25/2023, 12:00",Pool C,Final
Rutgers (B),Dickinson,7,12,"02/25/2023, 12:00",Pool C,Final
Edinboro,Pennsylvania (B),13,6,"02/25/2023, 13:30",Pool C,Final
Rutgers (B),Lehigh (B),9,6,"02/25/2023, 13:30",Pool C,Final
Edinboro,Rutgers (B),5,8,"02/25/2023, 15:00",Pool C,Final
Dickinson,Lehigh (B),12,5,"02/25/2023, 15:00",Pool C,Final
pool,Pool D
SUNY-Binghamton (B),SUNY-Albany (B),13,2,"02/25/2023, 09:00",Pool D,Final
Haverford,Temple University (B),8,6,"02/25/2023, 09:00",Pool D,Final
SUNY-Binghamton (B),Haverford,6,12,"02/25/2023, 10:30",Pool D,Final
Stevens Tech,Temple University (B),8,10,"02/25/2023, 10:30",Pool D,Final
Temple University (B),SUNY-Albany (B),13,0,"02/25/2023, 12:00",Pool D,Final
Stevens Tech,Haverford,6,7,"02/25/2023, 12:00",Pool D,Final
SUNY-Binghamton (B),Temple University (B),8,11,"02/25/2023, 13:30",Pool D,Final
Stevens Tech,SUNY-Albany (B),12,6,"02/25/2023, 13:30",Pool D,Final
SUNY-Binghamton (B),Stevens Tech,6,12,"02/25/2023, 15:00",Pool D,Final
Haverford,SUNY-Albany (B),13,2,"02/25/2023, 15:00",Pool D,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
Rochester,Connecticut College,8,15,"02/26/2023, 14:00",Championship,Final
Rochester,SUNY Cortland,12,4,"02/26/2023, 12:00",Semis,Final
Massachusetts (B),Connecticut College,9,15,"02/26/2023, 12:00",Semis,Final
Penn State (B),Rochester,6,7,"02/26/2023, 10:30",Quarters,Final
SUNY-Albany,SUNY Cortland,4,10,"02/26/2023, 10:30",Quarters,Final
Ithaca,Massachusetts (B),4,10,"02/26/2023, 10:30",Quarters,Final
Connecticut College,Vermont (B),10,8,"02/26/2023, 10:30",Quarters,Final
Penn State (B),Swarthmore,13,4,"02/26/2023, 09:00",Play In,Final
SUNY-Albany,Haverford,9,8,"02/26/2023, 09:00",Play In,Final
Massachusetts (B),Dickinson,13,6,"02/26/2023, 09:00",Play In,Final
Vermont (B),Army,12,10,"02/26/2023, 09:00",Play In,Final
bracket,9th Place
Swarthmore,Dickinson,1,0,"02/26/2023, 13:30",9th Place,Final
Swarthmore,Haverford,9,8,"02/26/2023, 10:30",9th Semis,Final
Dickinson,Army,1,0,"02/26/2023, 12:00",9th Semis,Final
bracket,5th Place
Penn State (B),Vermont (B),8,10,"02/26/2023, 13:30",5th Place,Final
Penn State (B),SUNY-Albany,1,0,"02/26/2023, 12:00",5th Semis,Final
Ithaca,Vermont (B),1,13,"02/26/2023, 12:00",5th Semis,Final
bracket,7th Place
SUNY-Albany,Ithaca,0,1,"02/26/2023, 13:30",7th Place,Final
bracket,3rd Place
SUNY Cortland,Massachusetts (B),7,9,"02/26/2023, 13:30",3rd Place,Final
bracket,13th Place
Stevens Tech,Temple University (B),11,4,"02/26/2023, 10:30",13th Place,Final
Rutgers (B),Stevens Tech,7,10,"02/26/2023, 09:00",13th Semis,Final
Edinboro,Temple University (B),6,12,"02/26/2023, 09:00",13th Semis,Final
bracket,15th Place
Rutgers (B),Edinboro,1,0,"02/26/2023, 12:00",15th Place,Final
bracket,17th Place
Lehigh (B),SUNY-Albany (B),7,8,"02/26/2023, 10:30",17th Place,Final
b,r,e,a,k
