2023 USA Ultimate Masters Championships,Great Grand Masters - Men ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Surly GGM,1
00,Rabah Sbitani
00,Seth Martin
00,Shane Sawyer
00,Steve Tryon
00,Wayne Biever
00,Wayne Swanson
b,r,e,a,k
Zombiemaker,9
teamInfo,,"Chicago, Illinois",,,
00,Angelo Artemakis
01,Wayne Tang
03,Brian Sullivan
05,John Asnis
06,Matt Watenpool
07,Murray Lantner
08,Noam Frankel
12,Eric Newman
13,Frank Menendez
17,Jerry Parks
18,Alan Salzberg
24,Danny Lee
25,Darrin Speegle
27,Chris Oldstone-Moore
28,Ernie Miyashita
29,Paul Kretkowski
33,Dave Donat
41,Scott Dietrich
43,Paul Grafing
50,Theodore Weldon III
64,Mark Abney
67,Mark Lonsway
72,Mike Tomaszewski
80,Jake Stake
b,r,e,a,k
Relics,3
teamInfo,,"San Francisco Bay Area, California",,,https://twitter.com/ultimaterelics
00,Aaron Switzer
00,Adam Smith
00,Alan Harder
00,Anthony Wagner
00,Brett Mitchell
00,Clayton Hurd
00,Colin Smith
00,Daniel Powers
00,Daryl Nounnan
00,Eliot Linforth-Hall
00,Harris Masket
00,Hartti Suomela
00,Ian Appleyard
00,Jim Middlebrook
00,Joey Stewart
00,Kevin Lee
00,Kevin Cale
00,Lars Fjelstad
00,Mark Pletcher
00,Mark Driver
00,Peter Wells
00,Peter Nieh
00,Robert Briant
00,Russell Furr
00,Simon Verghese
00,Spencer Reeder
00,Stephen LaBonge
00,Steve Joye
b,r,e,a,k
Recycled,5
teamInfo,,"Decatur, Georgia",,,
00,Bryant Depenbrok
00,Chris Cleaver
00,Florian Pfender
00,Gregory Allpow
00,Hector Fulco
00,James Allen
00,Greg Murray
00,Jens Achenbach
00,Luis Novoa
00,Mark Stuewe
00,Nick Josties
00,Pablo Jose Saade Garcia
00,Rich Franck
03,Grant Cashin
05,David Goode
06,Charles Yood
18,Alan Reeves
23,Calvin Lin
44,Marc Seto
55,Richard Whitcomb
67,Jason Kirkpatrick
71,Eric Nelson
98,Gregg Shapiro
b,r,e,a,k
SICK,12
teamInfo,,"Texas, Texas",,,
00,Bradley Strahan
00,Chris Cosgrove
00,Chris Conley
00,Dan Wachter
00,DAVID ARMSTRONG
00,David Edwards
00,Derek Unger
00,Eugene Downing
00,Greg Lopp
00,Jay Banner
00,Jeff Vilord
00,Joey Barcio
00,Joseph Knize
00,Marcus (Mark) May
00,Mark Jenesse
00,Mike Jaris
00,Ramiro Santana
00,Rob Seidenberg
00,Scott Cilento
00,Tim Allen
00,Tom Blinn
b,r,e,a,k
wreckAge,14
teamInfo,,"Boston, Massachusetts",,,
00,Cimarron Buser
00,Daniel Fisherman
00,David Delorenzo
00,Erik Sebesta
00,THEPTHAI TABTIENG
02,Michael Lass
03,Andy Liu
04,Jason Dumont
05,Shaun Logan
07,Michael Ho
12,Richard Dorff
16,Don Phillips
18,Jotham Tausig
19,Philip Lewis
23,Clayton Cardin
30,Brian Krue
33,Ezra Levine
42,Zak DonGia
55,John Turi
73,Jesse Mager
b,r,e,a,k
HURT,6
teamInfo,,"Triangle, North Carolina",,,
00,Ed Fox
04,Christoph Boshoff
05,Aaron Brown
06,Eric Davis
09,Garrett Dyer
11,Rex Taylor
13,Nathan Fritze
15,Peter Winslett
17,Sean Britton
18,Doug Schwartz
23,Louis Lessard
25,Daniel McConville
26,Roland Kays
30,Jon Proctor
34,Augie Kreivenas
40,Dan Konisky
43,Richard (Jay) Pigford
44,Brett Marinelli
72,Tim Coppinger
77,MATT (JONATHAN) HULL
84,David Kaminski
b,r,e,a,k
No Country 50,4
teamInfo,,"New England, Massachusetts",,,
03,James (Jim) Johnston
05,Howard Liu
10,Marshall Goff
11,Philip Lawrence
18,Daniel Sage
19,Jon Bakija
20,Will Seto
22,Brian Bishop
24,Joel Thompson
28,Jim Hui
33,Ian MacDonald
37,Phil Vlahakis
44,christian hajok
54,Michael Friedland
61,Jeff Talbot
69,Hicham Laaouan
70,JON BRANDT
71,Lawrence (Larry) David
72,Duane Bronson
86,Wyeth Hunnable
b,r,e,a,k
Kingdome,11
teamInfo,,"Seattle, Washington",,,@kingdomedisc
00,Alex Blanton
00,Andrew Tulchin
00,Aubrey Cohen
00,Benjamin Gordon
00,Bil Elsinger
00,Bruce Pooler
00,Bryan M McGriff
00,Chris Cook
00,Craig Chambers
00,David Chickering
00,David Peabody
00,Dylan Righi
00,Michael Lapin
00,Michael Vacirca
00,Noah Tannen
00,Robert Vogel
00,Rodrigo Prudencio
00,Ryan  Dean
00,Steve Pockross
00,Terrence Crowley
00,thomas knipe
11,Jude LaRene
39,Gene Calo
b,r,e,a,k
Throwback,13
teamInfo,,"Madison, Wisconsin",,,
00,Brian Corradi
00,Brian Jakubowski
00,David Fawcett
00,David Toland
00,Derek Jacobs
00,James Royea
00,Jeff McFarland
00,Jim Shope
00,Jim Schewe
00,Joe Bendix
00,Keith Pollock
00,Ken Rosenberg
00,Kevin Kinneavy
00,Mark Palmer
00,Mel Greiser
00,Michael Janney
00,Michael Hixenbaugh
00,Miguel Cline
00,Philip Crawford
00,RICHARD WAGNER
00,Robert Popp
00,Tom Coffin
11,Samson Sackett
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Surly GGM,Burnside Five-0,14,7,"07/21/2023, 08:30",Pool A,Final
Gritty,AGE Against the Machine GGM,11,13,"07/21/2023, 08:30",Pool A,Final
Surly GGM,AGE Against the Machine GGM,15,5,"07/21/2023, 10:45",Pool A,Final
Gritty,Burnside Five-0,14,12,"07/21/2023, 10:45",Pool A,Final
Surly GGM,Gritty,15,11,"07/21/2023, 13:00",Pool A,Final
Burnside Five-0,AGE Against the Machine GGM,15,11,"07/21/2023, 13:00",Pool A,Final
pool,Pool B
Immortals,Zombiemaker,15,4,"07/21/2023, 08:30",Pool B,Final
Silverhorn,Shelf Life,15,6,"07/21/2023, 08:30",Pool B,Final
Immortals,Shelf Life,15,1,"07/21/2023, 10:45",Pool B,Final
Silverhorn,Zombiemaker,15,7,"07/21/2023, 10:45",Pool B,Final
Immortals,Silverhorn,15,7,"07/21/2023, 13:00",Pool B,Final
Zombiemaker,Shelf Life,8,15,"07/21/2023, 13:00",Pool B,Final
pool,Pool C
Relics,SICK,15,4,"07/21/2023, 08:30",Pool C,Final
Recycled,wreckAge,15,6,"07/21/2023, 08:30",Pool C,Final
Relics,wreckAge,15,3,"07/21/2023, 10:45",Pool C,Final
Recycled,SICK,15,9,"07/21/2023, 10:45",Pool C,Final
Relics,Recycled,14,5,"07/21/2023, 13:00",Pool C,Final
SICK,wreckAge,15,9,"07/21/2023, 13:00",Pool C,Final
pool,Pool D
No Country 50,Kingdome,14,9,"07/21/2023, 08:30",Pool D,Final
HURT,Throwback,15,1,"07/21/2023, 08:30",Pool D,Final
No Country 50,Throwback,15,5,"07/21/2023, 10:45",Pool D,Final
HURT,Kingdome,15,7,"07/21/2023, 10:45",Pool D,Final
No Country 50,HURT,10,15,"07/21/2023, 13:00",Pool D,Final
Kingdome,Throwback,15,11,"07/21/2023, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Surly GGM,Recycled,3,1,"07/22/2023, 13:00",Semifinals,In Progress
Relics,Immortals,0,0,"07/22/2023, 13:00",Semifinals,In Progress
Surly GGM,Silverhorn,15,10,"07/22/2023, 08:30",Quarterfinals,Final
Recycled,HURT,13,10,"07/22/2023, 08:30",Quarterfinals,Final
Relics,No Country 50,15,8,"07/22/2023, 08:30",Quarterfinals,Final
Burnside Five-0,Immortals,3,15,"07/22/2023, 08:30",Quarterfinals,Final
b,r,e,a,k
brackets,Placement
bracket,3rd Place
b,r,e,a,k
brackets,Placement
bracket,5th Place
Silverhorn,HURT,0,0,"07/22/2023, 13:00",Semifinals,In Progress
No Country 50,Burnside Five-0,0,0,"07/22/2023, 13:00",Semifinals,In Progress
b,r,e,a,k
brackets,Placement
bracket,7th Place
b,r,e,a,k
brackets,Placement
bracket,9th Place
Zombiemaker,Kingdome,0,0,"07/22/2023, 15:15",Semifinals,In Progress
SICK,AGE Against the Machine GGM,0,0,"07/22/2023, 15:15",Semifinals,In Progress
Gritty,Zombiemaker,11,14,"07/22/2023, 10:45",Quarterfinals,Final
Kingdome,wreckAge,15,2,"07/22/2023, 10:45",Quarterfinals,Final
SICK,Throwback,15,2,"07/22/2023, 10:45",Quarterfinals,Final
AGE Against the Machine GGM,Shelf Life,15,10,"07/22/2023, 10:45",Quarterfinals,Final
b,r,e,a,k
brackets,Placement
bracket,11th Place
b,r,e,a,k
brackets,Placement
bracket,13th Place
Gritty,wreckAge,0,0,"07/22/2023, 15:15",Semifinals,In Progress
Throwback,Shelf Life,0,0,"07/22/2023, 15:15",Semifinals,In Progress
b,r,e,a,k
brackets,Placement
bracket,15th Place
b,r,e,a,k
