2023 Mixed Capital Sectional Championship,Club - Mixed ,9,9,2023
Fredericksburg,VA,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mixed-Capital-Sectional-Championship/schedule/Mixed/Club-Mixed
Rally,1
teamInfo,,"Washington, District of Columbia",,,
0,Adam Sigelman
0,Adam Hoehn
0,Aden Richards
0,Austin Bartenstein
0,Becka Alper
0,Calvin Oung
0,Caroline Loh
0,Christina Chang
0,Conor Tidgewell
0,Daniela Reeve
0,Jessie Durrett
0,Katie Khoury
0,Mark Kresowik
0,Nicole Kresowik
0,Samuel Dinning
0,Wei Lu
13,Chris Muller
18,Aaron Swaney
22,Robert Luhrs
28,Sara Handy
31,Linda Farley
34,Elise Garton
63,Jon Pressimone
67,Benjamin Cohen
92,Alexandra Erwin
b,r,e,a,k
Espionage,11
teamInfo,,"Washington, District of Columbia",,,@espionageulti
0,Allison Marcellino
0,Alyssa Attonito
0,Ana Scoular
0,Anja Kochendoerfer
0,Araba Tawiah-otoo
0,Dana Egan
0,Daniel Bernstein
0,Darius Brown
0,David Thornton
0,Galen Fitzkee
0,JOSHUA SEFCIK
0,Katherine deCourcy
0,Nicholas Dacosta
0,Pat Reese
0,Sara Genell
0,Bryn Coldwell
1,Griffin Must
1,Alec Miller
1,AUBREY WAHL
9,Alice Emch
11,Isabella Wahl
12,CeCelia Long
18,Ashley Pepple
31,Scott Hetu
42,Alex Velto
77,Christopher Scoular
b,r,e,a,k
Deep Cut,17
teamInfo,,"Washington, District of Columbia",,,
0,Christopher Grenier
0,Daniel Wang
0,Emily Schneider
0,Ezra Pine
0,Frances Taschuk
0,Ivan Peng
0,John Giannini
0,Jonathan Lee
0,Aman Chawla
0,Audrey Cheng
0,Katherine Sylvester
0,Lauren Koehler-Lee
0,Lucie Warga
0,Megan  Wilson
0,Bryce Wiedenbeck
0,Charlotte Lin
0,Sophia Kierstead
0,WEILIN YANG
2,BRIAN GOODELL
7,Bradley Smith
17,Molly Robertson
26,Alden Daniel
32,Jorge Chavez
32,Christian Lund
b,r,e,a,k
Greater Baltimore Anthem,4
teamInfo,,"Baltimore, Maryland",,,https://twitter.com/AnthemUltimate/status/1617652961299279872?s=20&t=gFOPhZpWzglqQWxTQUxcTA
coaches,Andrew Creighton,Anya Lagasse
0,Nate Harnish
01,Francesca Corna
03,Jessika Turner-Sears
04,Collin Stokes
05,Jack Engle
06,Molly Fisher
08,Grant Kern
10,Elias White
11,Mitchell Lauer
12,Destiny Lim
18,Stacy Lu
19,Kyle Morgan
21,Claudia Wang
22,Julia Richardson
23,Kelly Simons
24,Simeon Lee
25,Ian Piper
26,Annette Kukunas
28,Tjia Ern Lau
37,Scott Wheeler
44,Stephanie Coward
52,Aaron Collins
72,Justin Creighton
73,Mark Flores
86,Justin Solis
88,Selina Cheng
b,r,e,a,k
Ant Madness,6
teamInfo,,"Arlington, Virginia",,,https://twitter.com/antmadness
3,Brian Doherty
4,Nicholas Kwan
5,Mariska  Bogaard 
7,Vikas Vannappagari
9,Meaghan McSorley
13,William Strang
14,Jordan Tippitt
15,Fia Hargil
17,Donovan Hambley
19,Bridgette Heine
20,Katrien Hinderdael
21,Harper James
22,Sean McCoy
24,Adam Shrager
25,Meghan Grimes
27,Wallis Grant
35,Oren Lieber-Kotz
41,Sumner Gubisch
42,Madalyn  Sica
44,Samantha Clough
51,Clara-Ann Joyce
53,Jackson Gode
55,Kylie Auble
64,Ian Decker
91,Erin Doyle
b,r,e,a,k
Swampbenders,13
teamInfo,,"Washington, District of Columbia",,,https://twitter.com/DCSwampbenders?s=20&t=_yIE5QrgkyXJmRtt4iUg-Q
0,Abraham Cruz
0,David Paladin-Fernandez
0,David Paul
0,Elnatan Lemma
0,Emily Zeng
0,Hasan Bhatti
0,Henry Dietrich
0,Joe Donovan
0,Borchueh Wu
0,Cat Ramsey
0,Maya Collins
1,Christian Daniel
2,Michael Johnson
17,Tyler Shaw
20,Alex Khater
27,Chris Keane
32,Amelia Becker
33,Andrew Deshler
33,Evan Lindeman
52,Maddox Kromash
b,r,e,a,k
Voltage,15
teamInfo,,"Baltimore, Maryland",,,https://twitter.com/VoltageUltimat1
0,Esther Louise Garchitorena
1,Tyler New
2,Ryan Manion
01,Haley Challgren
07,Cate Ness
08,Cary Gerhardt
09,Austin Aguilera
11,Danica Palacio
13,Matthew Healey
14,Christina Hoffman
16,Garrett Goltz
17,Tyler Lance
18,Mykiah Ashley
19,Amelia Huang
21,Evan  Silwick
22,Peter Scrandis
23,Natalie Zverev
24,Aden O'Donoghue
25,Colby Agar
25,Kelly Cronan 
27,Annie Tang
32,Christopher McCormick
43,Ann Postolowski
83,Sean Hill
92,Neil Kpamegan
99,Keiko Luke
b,r,e,a,k
s,t,a,g,e,s
pools,Group A Pool Play
pool,Group A Pool A
District Cocktails,Pumphouse,0,0,"09/09/2023, 08:30",Group A Pool A,Scheduled
Legion,Heavy Flow,0,0,"09/09/2023, 08:30",Group A Pool A,Scheduled
Rally,Heavy Flow,0,0,"09/09/2023, 10:15",Group A Pool A,Scheduled
Legion,District Cocktails,0,0,"09/09/2023, 10:15",Group A Pool A,Scheduled
Rally,Pumphouse,0,0,"09/09/2023, 12:00",Group A Pool A,Scheduled
Heavy Flow,District Cocktails,0,0,"09/09/2023, 12:00",Group A Pool A,Scheduled
Rally,District Cocktails,0,0,"09/09/2023, 13:45",Group A Pool A,Scheduled
Legion,Pumphouse,0,0,"09/09/2023, 13:45",Group A Pool A,Scheduled
Rally,Legion,0,0,"09/09/2023, 15:30",Group A Pool A,Scheduled
Heavy Flow,Pumphouse,0,0,"09/09/2023, 15:30",Group A Pool A,Scheduled
pool,Group A Pool B
Brackish,One More Year,0,0,"09/09/2023, 08:30",Group A Pool B,Scheduled
Spice,Vanguard and Friends,0,0,"09/09/2023, 08:30",Group A Pool B,Scheduled
HVAC,One More Year,0,0,"09/09/2023, 10:15",Group A Pool B,Scheduled
Brackish,Spice,0,0,"09/09/2023, 10:15",Group A Pool B,Scheduled
One More Year,Spice,0,0,"09/09/2023, 12:00",Group A Pool B,Scheduled
HVAC,Vanguard and Friends,0,0,"09/09/2023, 12:00",Group A Pool B,Scheduled
Brackish,Vanguard and Friends,0,0,"09/09/2023, 13:45",Group A Pool B,Scheduled
HVAC,Spice,0,0,"09/09/2023, 13:45",Group A Pool B,Scheduled
Brackish,HVAC,0,0,"09/09/2023, 15:30",Group A Pool B,Scheduled
One More Year,Vanguard and Friends,0,0,"09/09/2023, 15:30",Group A Pool B,Scheduled
b,r,e,a,k
pools,Group B Pool Play
pool,Group B Pool C
Revival,Espionage,0,0,"09/09/2023, 12:00",Group B Pool C,Scheduled
Deep Cut,Fireball,0,0,"09/09/2023, 12:00",Group B Pool C,Scheduled
Revival,Deep Cut,0,0,"09/09/2023, 13:45",Group B Pool C,Scheduled
Espionage,Fireball,0,0,"09/09/2023, 13:45",Group B Pool C,Scheduled
Revival,Fireball,0,0,"09/09/2023, 15:30",Group B Pool C,Scheduled
Espionage,Deep Cut,0,0,"09/09/2023, 15:30",Group B Pool C,Scheduled
pool,Group B Pool D
Greater Baltimore Anthem,Swampbenders,0,0,"09/09/2023, 12:00",Group B Pool D,Scheduled
Ant Madness,Voltage,0,0,"09/09/2023, 12:00",Group B Pool D,Scheduled
Greater Baltimore Anthem,Voltage,0,0,"09/09/2023, 13:45",Group B Pool D,Scheduled
Swampbenders,Ant Madness,0,0,"09/09/2023, 13:45",Group B Pool D,Scheduled
Greater Baltimore Anthem,Ant Madness,0,0,"09/09/2023, 15:30",Group B Pool D,Scheduled
Swampbenders,Voltage,0,0,"09/09/2023, 15:30",Group B Pool D,Scheduled
b,r,e,a,k
brackets,Group A Brackets
bracket,Group A Championship
bracket,Group A 2nd Place
bracket,Group A 5th Place
bracket,Group A 9th Place
b,r,e,a,k
brackets,Group B Brackets
bracket,Group B Championship
bracket,Group B 2nd Place
bracket,Group B 4th Place
bracket,Group B 7th Place
b,r,e,a,k
brackets,Championship Crossover
bracket,1st Place 
b,r,e,a,k
