TCT Select Flight East 2023,Club - Mixed ,29,7,2023
Columbus,OH,2023-07-29,2023-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-East-2023/schedule/Mixed/Club-Mixed
Red Flag,1
0,Andrew Shanafelt
0,Ashley Ludack
0,Carolyn Lober
0,Chaz Harris
0,Ethan Yourd
0,Jake Ralston
0,Jesse Hannifin
0,john hofacre
0,Sam Hines
0,Scott Glickman
0,Talon Johnson
0,Lisa Keller
3,Jay Kinzel
10,William Stewart
12,Kari Shelkey
22,Liz Grimes
29,Zach Baumann
33,Cian McGinn
34,Davis Mossman
34,Ben Perkel
b,r,e,a,k
Roma Ultima,8
teamInfo,,"ATL, Georgia",,,
0,Ivan Khoo
0,Karsen Brantley
0,Kevin Tran
0,Malia Ellard
0,Marshall Cornell
0,Megan Jarriel
0,Anna Graham
0,Chris Gmeiner
0,Morgan Dale
0,Rhoxie Booth
0,Rosemari Hill
1,Stephanie Peters
2,Cori Bradham
5,Weaver Ellard
7,Hannah Tritschler
10,Mia Griner
11,Walter Ellard
12,Aidan Meek
13,Nicholas Smith
17,Nicholas Huffman
18,Daniela Ortiz Rodriguez
25,Robert Bradham
50,Miles Lally
66,Ian VanOrder
b,r,e,a,k
Flight Club,9
teamInfo,,"Denver, Colorado",,https://www.facebook.com/FlightClubUltimate/,https://twitter.com/flightclubult
coaches,Madison Olesen
0,Julia Lober
0,Madison Boyd
0,Ryan Meinkoth
1,Jessica Rabin
1,Andrew Muller
3,Michael Armstrong
5,Stephen Lin
5,Marianna Malin
6,Alex Flamm
7,John Stavinga
8,Daniel Leo Hogan
10,Anna Zucchero
12,Jennie Wainer
13,David Yu
13,Linda Jencyowski
15,Claire Simpson
15,Zachary Radcliff
16,Alex Walsh
16,Lucia Wei
20,Thomas Echols
22,Caroline McKee
32,Rachel Stockdale
37,Mackenzie Timbel
44,Nicholas Wetzel
92,Hannah Filley
99,Michael Faaborg
b,r,e,a,k
Revival,15
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
0,Jameson Hinkle
1,Griffin Schutte
3,Kate Marston
4,Mimi Tran
7,Catherine Grossman
10,Matthew Reynolds
11,Skye Whitlow
12,Tyler Davis
13,Keys Pattie
16,Donald Clark
17,Cullen Monahan
18,Brittany Taylor
21,Akram Abudheer
22,Mary Molly Rowland
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
33,Sam Bean
38,Ariel Vogel
48,Benjamin Broser
59,Laura  Cataño Silva
64,Victoria Davis
87,Griffin Lang
89,Nicholas Gigliotti
b,r,e,a,k
Kansas City United,3
teamInfo,,"Kansas City, Kansas",,,https://twitter.com/turtleskc
0,Christian Simpson
0,Claire Hackl
0,Clare Frantz
0,Eliza Hutchings
0,Janani Ragothaman
0,Jordan Eissner
0,Lauren Wiggins
0,Madison Fulte
0,Nadine Rowen
0,Sowmya Ragothaman
4,Joe Young
4,Gabriel Valencia
5,Courtney Walbe
5,Allen Jones
8,Cameron Guidry
11,Thomas Schreiber
16,Taylor Hession
17,Joe Wheelock
18,Haley Johnson
22,Travis Pratt
24,Danny Kurz
32,Drew Taylor
33,Ryan Tuschhoff
42,David Valentine-Elam
86,Amanda Johnson
b,r,e,a,k
RAMP,5
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
0,Alicia Chu
0,Daniel Buwalda
0,Katie Bristol
0,Kylie Chesner
0,Max Moore
0,Megan Morales
0,Molly Cowley
0,Nathan King
0,Gina Stees
0,Jeffrey Weis
0,Thomas Alford
0,Vedant Sachdeva
0,Wyatt DeYoung
2,Annie Phan
5,Madison Lang
7,Sydney Stelzer
18,Dale Decatur
20,Briana Morales
32,Sean McSweeney
42,Matt Jaffe
47,Penelope Wu
56,DeAngelo Barragan
78,Julia Kasner
84,Matthias Ling
b,r,e,a,k
Darkwing,12
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Alexander Donadio
0,Alicia Chang
0,Elle Burstein
0,Emet Schwartz
0,Etta Robb
0,Jacob Arwe
0,James Sabean
0,Anna Glass
0,Chloe de Campos
0,Michael Humbert
0,Nikki Chang
0,Nilos Makino
0,Olivia Brissette
0,Sophie Shen
3,Steven Her
5,Conor Dowling
9,Sara Rudolph
11,Allegra Donadio
14,Amelia Chalfant
14,Myles Wagner
19,Jacob Herz
35,Pierre-Yves Lavertu
40,Alex Jenkins
99,Jordan Kaufman
99,Kunzang Namgyal
b,r,e,a,k
Bullet Train,14
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
coaches,Benjamin LaRoque
00,Abbey Estrada
00,Allen Rishel
00,Anna Fisher Lopez
00,Brian Wandrei
00,Caitlin Durston
00,Chauncey Holland
00,Daniel Boynton
00,Devon Chapman
00,Hannah DeVault
00,Jack Baba
00,Louie Bertoncin
00,Madeline Goss
00,Manish Tulzapur
00,Megan Baunsgard
00,Melinda Ding
00,Ryan Shin
00,Sarah Teichman
00,Vincent Chase
00,Yonatan Tadesse
00,Ziqi Zhao
b,r,e,a,k
Cleveland Crocs,4
teamInfo,,"Cleveland, Ohio",,,https://twitter.com/CLEMixUltimate
2,Elizabeth Lehman
3,Eliot Alexander
4,Zac Byrnes
7,Delaney Marsalek
8,Jonathon Grgat
9,Iris Javersak
10,Eric Zarobila
11,Sion Agami Contreras
12,Mitch Cihon
13,Charlie Vukovic
15,Michael O'Brien
17,Maxwell Devine
18,Axel Agami Contreras
19,AJ Uthe
21,Rachel Mast
22,Chelsea Zhu
24,Jonathan Mast
25,Marshall Wildmann
28,Riley Dickson
30,Kunwoo Shin
33,Lexie Thomas
36,Griffin Binkley
38,Meghan Drews
46,Graham Cunningham
66,Rachel Graber
88,Madeleine Pletzke
b,r,e,a,k
Classy,6
teamInfo,,"San Francisco, California",,https://www.facebook.com/classyultimate/,
0,Alex Pien
0,Anne Hemmelgarn
0,Arianna Aldebot
0,Ashwin Anantharaman
0,Betsy Siegal
0,Cappy Pitts
0,Chris Wilen
0,Jayna Wu 
0,Justin Hinman
0,Mitch Frauenheim
0,Monica Donegan
0,Philip Chang
0,Zachary Bruno
1,Matthew Zelin
5,Suk lyn Lim
6,Courtney Greenley
7,Joseph Ricks
8,Jenna Ray
11,Joel Miller
12,Payton Laurie
15,Juleon Robinson
16,Sarah Kaufman
17,Sheila Robles
45,Jacob Hobbie
55,Tyler Condit
b,r,e,a,k
League of Shadows,11
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Abby Ritterband
0,Charles Marokhovsky
0,Elizabeth Zelten
0,Jack Deschler
0,Jenny Li
0,Julia Leung
0,Karissa  Tabtieng
0,Kate Stafford
0,Kevin O'Brien
0,Matthew Cote
0,Melissa Tong
0,Meredith Duffy
0,Sam VanNoy
0,Terren Moore
0,Pierre Fabris
0,Zoe Honigberg
4,Theodore Bisdikian
5,David Huang
9,Kyle Jannak-Huang
15,Casey Zhu
16,Yuval Pearl
17,Lillian Huang
20,Prosser Friedman
29,Jesse Moore
96,Mina Bozeman
b,r,e,a,k
Chicago Parlay,13
teamInfo,,"Chicago, Illinois",https://chicago-parlay.com/,https://www.instagram.com/parlayultimate/,https://twitter.com/ParlayUltimate
0,Andrew Patel
0,Claire Schwaba
0,Eric Wong
0,Kendra Griesman
0,Kenneth Allen
0,Larkin Johnson
0,Lucy Petersen
0,Maddie Galvin
0,Nick Longo
0,Raul Rosenfeld
1,Tanner Mayo
1,Adam Klaus
3,Elliot Lee
3,Meryl Davis
4,TC Burrows
6,Risa Umeno
10,Nickolas Pappas
10,Emilie Willingham
11,Anthony Ji
15,Zach Kieffer
20,Laramie Aspegren
25,Hindeke Tewodros
25,Elaine Sundberg
88,Catherine Chen
88,Jessica Louie
99,Benjamin Zhang
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Red Flag,Steamboat,0,0,"07/29/2023, 10:30",Pool A,Scheduled
Waterloo,Northern Comfort,0,0,"07/29/2023, 10:30",Pool A,Scheduled
Red Flag,Northern Comfort,0,0,"07/29/2023, 13:30",Pool A,Scheduled
Waterloo,Steamboat,0,0,"07/29/2023, 13:30",Pool A,Scheduled
Red Flag,Waterloo,0,0,"07/29/2023, 16:30",Pool A,Scheduled
Steamboat,Northern Comfort,0,0,"07/29/2023, 16:30",Pool A,Scheduled
pool,Pool B
MOONDOG,Flight Club,0,0,"07/29/2023, 10:30",Pool B,Scheduled
Roma Ultima,Revival,0,0,"07/29/2023, 10:30",Pool B,Scheduled
MOONDOG,Revival,0,0,"07/29/2023, 13:30",Pool B,Scheduled
Roma Ultima,Flight Club,0,0,"07/29/2023, 13:30",Pool B,Scheduled
MOONDOG,Roma Ultima,0,0,"07/29/2023, 16:30",Pool B,Scheduled
Flight Club,Revival,0,0,"07/29/2023, 16:30",Pool B,Scheduled
pool,Pool C
Kansas City United,Darkwing,0,0,"07/29/2023, 10:30",Pool C,Scheduled
RAMP,Bullet Train,0,0,"07/29/2023, 10:30",Pool C,Scheduled
Kansas City United,Bullet Train,0,0,"07/29/2023, 13:30",Pool C,Scheduled
RAMP,Darkwing,0,0,"07/29/2023, 13:30",Pool C,Scheduled
Kansas City United,RAMP,0,0,"07/29/2023, 16:30",Pool C,Scheduled
Darkwing,Bullet Train,0,0,"07/29/2023, 16:30",Pool C,Scheduled
pool,Pool D
Cleveland Crocs,League of Shadows,6,3,"07/29/2023, 10:30",Pool D,In Progress
Classy,Chicago Parlay,8,2,"07/29/2023, 10:30",Pool D,In Progress
Cleveland Crocs,Chicago Parlay,0,0,"07/29/2023, 13:30",Pool D,Scheduled
Classy,League of Shadows,0,0,"07/29/2023, 13:30",Pool D,Scheduled
Cleveland Crocs,Classy,0,0,"07/29/2023, 16:30",Pool D,Scheduled
League of Shadows,Chicago Parlay,0,0,"07/29/2023, 16:30",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Final
b,r,e,a,k
brackets,Placement Brackets
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
b,r,e,a,k
brackets,Ninth Place Bracket
bracket,Ninth Place Bracket
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
