2023 USA Ultimate Masters Championships,Masters - Men ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Voltron2020,1
00,Dylan Leighton
00,Grant Kunkel
00,Hillel Sapir
00,Ivan Peng
00,Jack Reickel
00,James Correnti
00,James McIntyre
00,Jeremiah Leblanc
00,John Wang
00,Jon Pressimone
00,Lucius Kahng
00,Max Dyer
00,Paul Froeschle
00,Peter Linton
00,Samuel Dinning
00,Scott Hetu
00,Stefan Dicker
00,Tim Lee
89,Sean Phippen
b,r,e,a,k
Boneyard,2
teamInfo,,"Raleigh/Durham/chapel Hill, North Carolina",,https://www.facebook.com/boneyardultimate,https://twitter.com/boneyardUlt
00,Aaron Saylor
00,Allan Laviolette
00,Delrico Johnson
00,Evan Howey
00,George Lampron
00,JARRETT BOWEN
00,Joey Cretella
00,Matthew Smith
00,Matthew Thomas
00,Michael Pannone
00,Michael Panna
00,Noah Saul
00,Joshua Hartzog
00,Tristan Green
03,Casey Degnan
04,Matt Zumbrum
06,Ben Dieter
08,Josh Mullen
09,Taylor Pope
10,Tim Monahan
11,Jared Inselmann
13,Shane Sisco
18,David Snoke
22,Brian Casey
32,Josh Berkowitz
33,Eric Martin
45,Brett Matzuka
66,Jeff Loperfido
b,r,e,a,k
NSOM,9
teamInfo,,"Montreal, Quebec CA",https://www.nsomultimate.com,https://www.facebook.com/nsomultimate,https://twitter.com/NSOMultimate
00,Antoine LEPAGNOL
00,Eric Preseault
00,Mathieu Madison
00,PIERPAUL MAILLE
00,Tobi Gauthier
00,Virath Chamroeun
17,ANTOINE GENEST
26,Dany Cote
29,Simon Ayotte
36,Maxime Guy
38,ALEXANDRE PIUZE
43,felix Miron
44,FRANCIS MARTEL
49,Félix-Antoine Daigle
52,Louis-Pierre Lauzon
64,Simon Charette
76,Michael  Maurus
83,Frederic Fortin
88,Jean-Philippe Hamel
90,ALEXANDRE ST-ONGE
b,r,e,a,k
Wasted Talent,8
teamInfo,,"Lincoln, Nebraska",,,
0,Tim Scarrow
00,Austin DeHoogh
00,Brett DeHoogh
00,Brian Lucido
00,Colin Punt
00,Ethan Levine
02,Tim Hopp
03,Trevor Rice
05,Brad Ashley
06,Nick Sanchez
08,Grant Maynard
09,Chandler Good
15,Lev Ginsburg
16,Paul Hanson
19,Alexander Zupan
24,Curtis Nuzback
25,Kyle Orians
27,Evan Kerr
28,Andrew Curry
29,Adam Levine
31,Eric Hart
36,Ben Busiek
44,Timothy Hoarty
47,James West
55,Matt Stoker
69,Kevin Cunningham
99,Charlie Hubbard
b,r,e,a,k
Gravy Train,15
teamInfo,,"Seattle, Washington",,https://www.facebook.com/groups/gravytrainultimate,
01,Alex Forman
02,Kevin Black
03,Jesse Newman
05,Jon Fok
06,Stephen Hain
07,Matt Granberry
08,John Hall
09,Andrew Lovejoy
10,Joseph Cirnigliaro
14,Sean Galagan
16,Jeremy Liu
17,Eric Vernon
19,Lex Overholt
21,Ryan Shin
23,Mark Bangcaya
24,Greg Wycklendt
29,Peter Frost
33,Aaron Bernstein
34,ANDREW SOBIESIAK
37,Brian Le
42,Chauncey Holland
48,Jason Arends
55,Nathan Stock
62,Erik Schmidt
67,Timothy Ellis
68,Joseph Gooden
69,Gordon Meyer
b,r,e,a,k
Johnny Encore,3
teamInfo,,"Denver, Colorado",,https://www.facebook.com/pages/Johnny-Encore/1428961947365066,
0,Curtis Salcedo
0,Jesse Roehm
00,John Dunlop
00,Joseph Patterson
00,Joseph Anderson
00,Josh Moore
00,Killian Burns
00,Owen Westbrook
00,Patrick Shriwise
00,Peter (PJ) Matulka
00,Steve Schwab
00,Tom Annen
00,Vincent Ciaramitaro
00,Vinny Fiacco
00,Zach Zebarth
00,David Protter
00,David Kamin
00,David Wiseman
00,Eric Hubbard
00,Henry Konker
00,Jack (John) McShane
00,James Cantwell
00,Andrew Priester
00,Andrew Watson
00,Brandon Malecek
00,Bryan Downey
00,Colton Steiner
b,r,e,a,k
Salt.,12
teamInfo,,"Provo, Utah",,,
9,Brad McKeen
00,BRYANT BOYER
00,Bryce Merrill
00,Chris Brooks
00,CHRISTOPHER MERKLEY
00,Dan Doxey
00,David Kroupa
00,David Brooks
00,Devin Andersen
00,Eldon Robertson
00,Eric Christensen
00,Isaac Davis
00,Jacob Quinn
00,James Fiala
00,Lance McNicoll
00,Nacody de la Rosa
00,Patrik Connole
00,Ryan McCready
00,Sam Pugh
00,Saul Howard
00,Scott Cochran
00,Shane Froebe
00,Steven Shepherd
00,Alex Walker
00,Ben Hirschman
00,Benjamin Walker
00,Bernie Lee
b,r,e,a,k
"JOIN, or DIE.",5
teamInfo,,"Philadelphia, Pennsylvania",,,
00,Adam Sutherland
00,Adam Kracht
00,Andre Martinez
00,Bryant Dean
00,Charlie Muniz
00,Chris Gray
00,Colin McIntyre
00,Dan Donovan
00,David Boyer
00,David Baer
00,Dustin Damiano
00,Edward Brakoniecki
00,Eric Gallagher
00,Eric Hoover
00,Jesse Lieberman
00,Justin Solis
00,Kevin Venose
00,Mark Flores
00,MATTHEW CONGDON
00,Matthew Dennin
00,Ross Littauer
00,Ryan Forster
00,Seth Buchsbaum
00,Steve Rosso
00,Steven Willis
b,r,e,a,k
Minimum Effort,14
teamInfo,,"Cincinnati, Ohio",,,
00,David Hazlett
00,Kevin Crawford
10,Matt Brown
16,ADAM TARDIO
16,Jason Rosser
25,Josh Keyser
27,Micah Smith
32,Tim Ryan
33,Ryan Crawford
36,Andrew McDonald
42,Scott Chadwick
55,Samuel Lieberman
56,Jonathan Zapf
82,Isaac Jeffries
85,Peter Hilligoss
88,Simon Reiter
91,Alex Ho
99,Justin Wilson
b,r,e,a,k
All Bashed Out,4
teamInfo,,"Albany ""Cap City Bang Bang"", New York",,,
0,Kevin McCarthy
01,Theodore Mason
02,Chris Neitzey
03,Daniel Butler
04,Dave Tedeyan
05,Ken (KJ) Dziak
07,Matt Chun
08,Michael Brenner
09,Austin Raymond
10,Michael Miller
12,Young Jo Fontaine
22,Seth Reinhardt
23,Matthew Foley
24,Seth Canetti
26,Andrew Bosco
31,Mathew Berg
33,Chris Zybert
34,Colin Green
36,Adam Stern
45,William Olli
47,Lucas Murphy
58,Elliott Gould
64,Carl Frederik Brasz
68,Benjamin Nelson
72,Alon Brown
80,John Palmer
84,John Geraghty
b,r,e,a,k
Royal Stag,13
teamInfo,,"Madison, Wisconsin",,,https://twitter.com/RoyalStagUlti
0,Nicholas Jacobson
00,Ryan Moore
00,Seth Meyer
00,Thomas Roltgen
00,Tyler Owen
00,Zeke Witter
00,Aidan Boyle
00,Andrew Fischer
00,Benjy Keren
00,Blake Metz
00,Chase Everett
00,Christopher Reichel
00,Clay Schelitzche
00,Craig Umland
00,Dan Margulis
00,Daniel Rowan
00,Daniel Kaul
00,Frank Qin
00,Grant Hellestad
00,Jayd Phelps
00,Kevin Reimer
00,Kevin Scopoline
00,Kevin Herrera
00,Kristopher McIntire
00,Nathan Kleinhans
36,Brian Niver
b,r,e,a,k
Woolly Mammoth,6
teamInfo,,"Tamallando, Florida",https://www.woollyultimate.com,https://www.facebook.com/WoollyUltimate,https://twitter.com/WoollyUltimate
00,David Vatz
00,Dean Stupar
00,Dustin Rooffener
00,Dylan Shields
00,Eric Socrates
00,Hensley Sejour
00,Jacob Christian
00,Jason Silverman
00,Alton Gaines
00,Andrew Roca
00,Antoine Cava
00,Ken McWilliams
00,Kevin Halprin
00,Mark Schimmel
00,Matt Chandler
00,Morgan Bambace
00,Ryan Chard
00,Cameron Amey
00,Daniel Vockeroth
00,Stephen Ierardi
02,Jonathan Beilan
05,Travis Catron
07,Danny Bumgarner
14,Stephen Poulos
19,Brett Egger
20,Tom Chrzanowski
21,Brandon Perales
b,r,e,a,k
Beyondors,11
teamInfo,,"Santa Barbara, California",https://beyondors.weebly.com/,,
00,Andrew Kirchhoff
00,Armand Debose
00,Cameron Armstrong
00,Chanchai Hongdoxmai
00,Chris Godek
00,Corey Howard
00,Dan Dzoan
00,Daniel DeTone
00,David Ryan
00,Edward Helderop
00,Gabriel Haack
00,Jacob Serrano
00,Jake Rifkin
00,Jamison Klang
00,Jeremy Kharrazi
00,Jeremy Ziskind
00,John Bergen
00,Louis LaCroix
00,Nico Gurney
00,Peter Zellman
00,TYLER NELSON
00,Aaron Leung
00,Adam Bronstein
00,Adam Sprachman
13,James Erdmann
15,Zachary Bruno
54,Andrew Lorentson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Voltron2020,King Louie,13,12,"07/21/2023, 08:30",Pool A,Final
Ex Machina,DC UnCurrent,15,11,"07/21/2023, 08:30",Pool A,Final
Voltron2020,DC UnCurrent,15,5,"07/21/2023, 10:45",Pool A,Final
Ex Machina,King Louie,11,15,"07/21/2023, 10:45",Pool A,Final
Voltron2020,Ex Machina,0,1,"07/21/2023, 13:00",Pool A,In Progress
King Louie,DC UnCurrent,0,0,"07/21/2023, 13:00",Pool A,Scheduled
pool,Pool B
Boneyard,NSOM,15,11,"07/21/2023, 08:30",Pool B,Final
Wasted Talent,Gravy Train,15,9,"07/21/2023, 08:30",Pool B,Final
Boneyard,Gravy Train,15,5,"07/21/2023, 10:45",Pool B,Final
Wasted Talent,NSOM,11,14,"07/21/2023, 10:45",Pool B,Final
Boneyard,Wasted Talent,0,0,"07/21/2023, 13:00",Pool B,Scheduled
NSOM,Gravy Train,0,0,"07/21/2023, 13:00",Pool B,Scheduled
pool,Pool C
Johnny Encore,Salt.,15,9,"07/21/2023, 08:30",Pool C,Final
"JOIN, or DIE.",Minimum Effort,15,4,"07/21/2023, 08:30",Pool C,Final
Johnny Encore,Minimum Effort,15,2,"07/21/2023, 10:45",Pool C,Final
"JOIN, or DIE.",Salt.,13,15,"07/21/2023, 10:45",Pool C,Final
Johnny Encore,"JOIN, or DIE.",0,0,"07/21/2023, 13:00",Pool C,Scheduled
Salt.,Minimum Effort,0,0,"07/21/2023, 13:00",Pool C,Scheduled
pool,Pool D
All Bashed Out,Beyondors,15,8,"07/21/2023, 08:30",Pool D,Final
Woolly Mammoth,Royal Stag,13,14,"07/21/2023, 08:30",Pool D,Final
All Bashed Out,Royal Stag,15,6,"07/21/2023, 10:45",Pool D,Final
Woolly Mammoth,Beyondors,13,5,"07/21/2023, 10:45",Pool D,Final
All Bashed Out,Woolly Mammoth,0,0,"07/21/2023, 13:00",Pool D,Scheduled
Beyondors,Royal Stag,0,0,"07/21/2023, 13:00",Pool D,Scheduled
b,r,e,a,k
brackets,Championship
bracket,1st Place
b,r,e,a,k
brackets,Placement
bracket,3rd Place
b,r,e,a,k
brackets,Placement
bracket,5th Place
b,r,e,a,k
brackets,Placement
bracket,7th Place
b,r,e,a,k
brackets,Placement
bracket,9th Place
b,r,e,a,k
brackets,Placement
bracket,11th Place
b,r,e,a,k
brackets,Placement
bracket,13th Place
b,r,e,a,k
brackets,Placement
bracket,15th Place
b,r,e,a,k
