Dust Bowl 2023,College - Men ,25,2,2023
Tulsa,OK,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Dust-Bowl-2023/schedule/Men/CollegeMen/
Texas-Dallas,1
34,Peter Czerwinski
40,Liam Marsh
50,Brandon Brown
61,Aiden Jacobs 
66,Kaden Hubler
77,Alejandro (Alex) Perez
b,r,e,a,k
Oklahoma,10
0,Andrew Kenny
0,Andrew Davis
0,Carson Nowland
0,Jackson Morton
0,Jose Saldivar 
0,Keon Moradi
0,Luke Terry
0,Matthew Agron
0,Ryan Smith
9,Adam Hanizeski
22,Nolan Armstrong
24,Aidan Callahan
30,William Wilson
47,Sebastian Puerta
69,Matthew Smith
b,r,e,a,k
Illinois State,18
0,Blake McKee
0,Brandon Hill
0,Carter Whitlow
0,Cody  Wyatt
0,Elliott Tubbs
0,Ethan  Moore 
0,James Henning
0,Joseph Baker
0,Kacper Wujda
0,Logan Dudley
0,Adrian Esquivel
0,Alessandro Gibson
0,Max Marcionetti
0,Patrick Corlett
0,Riley Hendron
0,Thomas  Diveley
1,Sean Dickerson
5,Luke Brigman
23,Joe Cercello
24,Anthony Serio
24,Truman Arie
26,Nick Wollney
32,Jonathan Gancarczyk
b,r,e,a,k
Missouri,3
0,Alexander Bernier
0,Alon Barzilay
0,Brian Jorgensen
0,Christian Marble
0,Christopher Ave
0,Cooper George-Lander
0,Eric Holtmeyer
0,Evan Dobson
0,Jamison Martin
0,John Marsh
0,Lukas Reinbold
0,Matthew Kaminsky
0,Michael Rashford
0,Quentin  Corpuel
0,Thomas Jamison
3,Drew Clutes
5,Landon Evans
11,Ashton Kautzner
12,Spencer Keith
37,Nathan Sneller
69,Mario Tran
85,Hunter Latson
88,Christian Holzl
98,Richard Adams 
b,r,e,a,k
Rice,14
01,Jonah Jimenez
02,Gavin Mason
05,Corey Tolbert
07,Max Kuhlman
11,Samuel Zhou
13,Justin Guilak
15,Brandon Zhang
16,Darrell  Good
19,Akash Karanam
20,Benjamin Otting
21,Jacob Lurvey
24,Benjamin Burstain
41,Luke Moore
44,Alex Sansom
52,Nathan Moskowitz
72,Jake Sperry
b,r,e,a,k
Iowa,6
02,Luke Rubin
03,Max Swinton
04,Duncan Shay
05,Avery Bandstra
06,Joshua Vierke
09,Lucas DeMatteis
10,Robert Goode
11,Samson Kimani
12,Jason Chen
14,Cole Davis
15,Wyatt  Sailer
17,Kaleb Owens
19,Michael (Max) Vinyon
20,Tony Abdel-Malek
22,Kyle Lavrisa
32,Nick Youngstrom
55,Nick Rider
91,Thomas Helm
b,r,e,a,k
Texas (B),11
0,Alex Valdes
0,Ammar Fatehi
0,Avery Brennen
0,Christian Salazar
0,Daniel Ramirez
0,David Lau
0,Griffin Keene
0,Helen Goh
0,Jason Rivas
0,Jeremy Boyle
0,Kameron Liao
0,Karan Chandra
0,Kevin Zhang
0,Malav Shah
0,Peter Chacko 
0,Richmond Lagueux
0,Adam Varghese
0,Thomas Plaxton
0,Will Promecene
0,William DiCarlo
2,Aidan Beam
15,Rohan Patel
b,r,e,a,k
Oklahoma State University,19
0,Antonio Baldeon
0,Isaac Jones
0,Joseph Lynch
0,Macormick Lyne
0,Michael Tate
0,Simon Landrum
0,Stuart Wire
0,Will Jones
0,William Faust
5,Matthew Greene
22,Justin Arney
23,Ryan Whisenhunt
32,Matthew Nare
63,Collin Wycoff
b,r,e,a,k
Arkansas,4
0,Ben Sampson
0,Christopher Roy
0,Cole Peterson
0,David Pojunas
0,Adam Donaldson
0,Matt Markiewicz
0,Trevor Wingate
5,Tanner Thornberry
7,Jake Dahl
8,Kele Estes-Beard
9,Ben Morgan
13,William Ayers
16,Roman Bearman
18,Joan Garcia
25,Nathan Reynolds
69,Asa Brown
92,Tommy  Medford
b,r,e,a,k
Wichita State University,12
0,Carter Murdock
0,Jontell Russ
3,Dustin Dye
01,Brandon Griffith
02,Ethan Doerksen
05,Derek Van Lanen
08,Kristoffer Broadley
09,Brayden Ruble
10,Kyle Schluben
13,Logan Langel
15,Joey Nichols
21,Kayden  Rawls 
22,Josiah Pfeiffer
44,Jack King
81,Patrick Loganbill
b,r,e,a,k
Baylor,5
0,Abigail Baier
0,Ben Meister
0,Matthew Eubanks
0,Samuel Jarrett
0,Tryston McGuyre
4,Harrison West
8,Joe Berni
11,Andrew Brown
17,Brady Hammond
24,Blake Baldwin
27,William Thomas
b,r,e,a,k
North Texas,13
0,Harold Hubbard
0,Jancarlo  Perez
0,Jason  Borchers 
0,Joshua Fambro
0,Nolan Henderson
0,Parker Moran
0,Ryan Munoz
7,Samuel Garza
11,Jonathan Scott
11,Andrew Hambrick
b,r,e,a,k
Harding,20
03,Noah Sears
04,Charles Cooper
07,Chris Carroll
08,Mike Mensah 
10,Sophie Balentine
11,Alex Hall
17,Steven Burdge
18,Jacob Anderson
25,Denver Mitchell
45,Zachary Denny
66,Luke Bensinger
77,Hunter Simmons
90,Gavin Whitaker
99,Micah Hill
b,r,e,a,k
s,t,a,g,e,s
pools,Mens Pool Play Saturday
pool,Pool A
Texas-Dallas,Kansas State,13,5,"02/25/2023, 08:30",Pool A,Final
John Brown,Luther,13,6,"02/25/2023, 08:30",Pool A,Final
Texas-Dallas,John Brown,0,0,"02/25/2023, 10:00",Pool A,Scheduled
Missouri S&T,Luther,0,0,"02/25/2023, 10:00",Pool A,Scheduled
Luther,Kansas State,0,0,"02/25/2023, 11:30",Pool A,Scheduled
Missouri S&T,John Brown,0,0,"02/25/2023, 11:30",Pool A,Scheduled
Texas-Dallas,Luther,0,0,"02/25/2023, 13:00",Pool A,Scheduled
Missouri S&T,Kansas State,0,0,"02/25/2023, 13:00",Pool A,Scheduled
Texas-Dallas,Missouri S&T,0,0,"02/25/2023, 14:30",Pool A,Scheduled
John Brown,Kansas State,0,0,"02/25/2023, 14:30",Pool A,Scheduled
pool,Pool B
Oklahoma Christian,Illinois State,10,6,"02/25/2023, 08:30",Pool B,Final
Oklahoma,Texas A&M (B),8,11,"02/25/2023, 08:30",Pool B,Final
Oklahoma Christian,Oklahoma,0,0,"02/25/2023, 10:00",Pool B,Scheduled
Kansas,Texas A&M (B),0,0,"02/25/2023, 10:00",Pool B,Scheduled
Texas A&M (B),Illinois State,0,0,"02/25/2023, 11:30",Pool B,Scheduled
Kansas,Oklahoma,0,0,"02/25/2023, 11:30",Pool B,Scheduled
Oklahoma Christian,Texas A&M (B),0,0,"02/25/2023, 13:00",Pool B,Scheduled
Kansas,Illinois State,0,0,"02/25/2023, 13:00",Pool B,Scheduled
Oklahoma Christian,Kansas,0,0,"02/25/2023, 14:30",Pool B,Scheduled
Oklahoma,Illinois State,0,0,"02/25/2023, 14:30",Pool B,Scheduled
pool,Pool C
Missouri,Oklahoma State University,12,4,"02/25/2023, 08:30",Pool C,Final
Texas (B),Rice,5,11,"02/25/2023, 08:30",Pool C,Final
Missouri,Texas (B),0,0,"02/25/2023, 10:00",Pool C,Scheduled
Iowa,Rice,0,0,"02/25/2023, 10:00",Pool C,Scheduled
Rice,Oklahoma State University,0,0,"02/25/2023, 11:30",Pool C,Scheduled
Iowa,Texas (B),0,0,"02/25/2023, 11:30",Pool C,Scheduled
Missouri,Rice,0,0,"02/25/2023, 13:00",Pool C,Scheduled
Iowa,Oklahoma State University,0,0,"02/25/2023, 13:00",Pool C,Scheduled
Missouri,Iowa,0,0,"02/25/2023, 14:30",Pool C,Scheduled
Texas (B),Oklahoma State University,0,0,"02/25/2023, 14:30",Pool C,Scheduled
pool,Pool D
Arkansas,Harding,13,5,"02/25/2023, 08:30",Pool D,Final
Wichita State University,North Texas,9,8,"02/25/2023, 08:30",Pool D,Final
Arkansas,Wichita State University,0,0,"02/25/2023, 10:00",Pool D,Scheduled
Baylor,North Texas,0,0,"02/25/2023, 10:00",Pool D,Scheduled
North Texas,Harding,0,0,"02/25/2023, 11:30",Pool D,Scheduled
Baylor,Wichita State University,0,0,"02/25/2023, 11:30",Pool D,Scheduled
Arkansas,North Texas,0,0,"02/25/2023, 13:00",Pool D,Scheduled
Baylor,Harding,0,0,"02/25/2023, 13:00",Pool D,Scheduled
Arkansas,Baylor,0,0,"02/25/2023, 14:30",Pool D,Scheduled
Wichita State University,Harding,0,0,"02/25/2023, 14:30",Pool D,Scheduled
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship Bracket
bracket,5th Place Game
bracket,7th Place Game
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
bracket,15th Place Bracket
bracket,17th Place Bracket
bracket,19th Place Bracket
bracket,3rd Place Game
b,r,e,a,k
