Metro East D-I College Men's Regionals,College - Men ,29,4,2023
Batavia,NY,2023-04-29,2023-04-30
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2023/schedule/Men/CollegeMen/
Rutgers,1
7,Noah Archer
9,William Zhu
06,Nolan Isa
08,Erik de Waal
12,Brandon Adibe
16,Noah Bailey
22,Liam Daigeler
23,Joshua Smith
26,Jack Lau
31,Ian Wallace
32,Jeremy Hornung
33,Owen Smith
38,Andrew Hodge
42,Cam Sommerville
48,Jessie Sellars
67,Desmond Top
69,Bee Kim
99,Akiishan Thirukumaran
b,r,e,a,k
Syracuse,11
teamInfo,Doom,"Syracuse, New York",http://doomultimate.wixsite.com/su-ultimate-frisbee,https://www.facebook.com/SyracuseUltimate,https://twitter.com/doomultimate
0,Benjamin Robinson
0,Casey Kelley
0,Charles Aubitz
0,Alexander Metcalf
0,Daniel Ricci
0,David Urban
0,Julian  Boscoo
0,Kfir Shoham
0,Matt Latvis
0,Nicholas Rubino
0,Noah Sullivan
0,Quinn Daly
0,Quinn Whitbeck
0,Eamon Conneely
0,Grady Bosch
0,Tim  Ha
7,Reece Nelson
9,Jason McElhinney
11,Tayara Romero
13,Arthur Maiorella
35,Joshua Friedman
52,Cole  Arnold
69,Dean Lourenco
69,Jack Doran
74,Ian Daughton
b,r,e,a,k
Connecticut,2
teamInfo,UConn Huskies,"Storrs, Connecticut",https://www.instagram.com/uconnultimate/,,https://twitter.com/UConnMensUlti
coaches,Jeremy Bernier
0,Alexander Manos
0,Austin Rey
0,Christopher Fan
0,Coleman Ross
0,Conor Broderick 
0,David Jones
0,Dillon Burke
0,Dominic Rendero
0,Eviatar Ashkenazi
0,Ian Kreciglowa
0,Krystian Pawlowski
0,Matt De Vlieghere
0,Ryan O'Connor
0,Tim Ayers
0,Trevor Anderson
0,Von Lindenthal
0,Will Dougherty
0,Zhanbo Wang
0,Jeffrey Hannigan
0,Jiahao Wang
0,John Mathew
20,Joshua Kaplan
37,James Tibolla
55,Jimmy Kearney
b,r,e,a,k
SUNY-Albany,14
teamInfo,SCAM,"Albany, New York",https://www.instagram.com/ualbanyultimate/,,
03,Aidan Mclaren
04,Daniel Bishop
05,Mason Hotaling
06,Matthew O'Brien
11,Jacob Buono
18,Cory Chin
19,jeremy Doornick
20,Spencer Li
21,William Vasoll Jr.
23,Griffin Ghiraldini
27,Kyle  Behrenfeld
31,Eric Riemer
33,Jonathan Kelly
34,Harry Rothstein
35,Rafi Cohen
36,Nick Motto
57,Sean White
69,Kazuma Lomanto
77,Winter Exley
79,Michael Shannon
88,Evan Gorthy
99,Chris Cooney
b,r,e,a,k
Cornell,3
teamInfo,Buds,"Ithaca, New York",budsultimate.com,https://www.facebook.com/pages/Cornell-Buds/249069366500,https://twitter.com/BudsUltimate
coaches,Tanner Yuhas
0,Davith  Chan
0,Donovan Cho
0,Mason Raffo
0,Max Trager
0,Nathaniel Chin
0,Roan Chadsey
0,Thomas Wu
0,Thomas Zhao
1,Simon Alford
3,Ben Goldman
5,Eli Robinson
7,Jack Waxman
11,Christopher Fernandes
13,Tomer Poole-Dayan
14,Ying-Chi Chen
15,Dylan Kenniff
22,Spencer Peters
23,Sanjar Kushaliev
44,Eric Freitag
52,Gabe Biers-Browne
66,Elijah Sheridan
69,Christopher Chan
69,Dylan Winchell
77,Lewis Sisler
81,Matthew Hui
88,Iram Liu
92,Sam Garncarz
94,Ka Lok Ethan Lau
b,r,e,a,k
Yale,6
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
coaches,Scott Graber,Alex Grande
0,Andrew Lau
0,Andrew Yang
0,Ben Chaimberg
0,Ben Phifer
0,Benjamin Raab
0,Christopher Gumina
0,Daniel Lu
0,Dashiell Stevanovich
0,Elijah  Kennard
0,Harry Greenblatt
0,Henry Berger
0,Ian Wang
0,AJ Nakash
0,Jack Griffin
0,Jerry Tan
0,John Kiely
0,Max Saffer-Meng
0,Neal Ma
0,Owen Hathaway Hacker
0,Sungho Moon
0,Thomas Venarde
0,Wolf Boone
0,Zubin Birnbach
0,Nathan Brown
5,Javier Pardo
9,Nayan Birnbach
17,Kosuke Tominaga
18,Micah Derringer
21,Andrew Weitzman
27,Jack Cloherty
98,Jonah Sparling
b,r,e,a,k
SUNY-Stony Brook,10
teamInfo,Panic,"Stony Brook, New York",,https://www.facebook.com/SBUUltimateFrisbee/,
0,Kevin  Gamboa
0,Leonardo Morelli
0,Matthew Seeley
0,Myles Moore
0,Philip Liu
0,Ryan Wales
0,Sean O'Sullivan
0,Spencer Cona
0,Syed  Gillani
0,Timothy Werkmeister
0,Bryson Mariano
0,Daniel Chao
0,Efrain Martinez
0,Eric He
0,Ferrick Robertson
0,Flynn McCarthy
16,Blake Reino
29,Acero Liang Li
36,James Quiroz
69,Wes Collins
b,r,e,a,k
Hofstra,15
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
coaches,Christopher Kizis
0,Alexandra Jerreld
0,Christina Kyprianou
0,Darsh Patel
0,Evan Bernstein
0,Julia Mills
0,Karl Basile-Baehr
0,Luke Gruppuso
0,Nadya Svidzerskaya
0,Patrick Bruso
0,Robert Shea
0,Robert Beanland
0,Sean Kupstas
0,Timothy Chang
0,Jake Olney
1,Aidan Henry
7,Diante Ferguson
8,Joshua Garatti
19,Jason Valverde
23,Jacob Lewis
31,Gabriel Kritz
38,Caleb Rockhill
57,Joseph Cicione
b,r,e,a,k
RIT,5
teamInfo,RIT Spudheds,"Rochester, New York",,http://www.facebook.com/ritspudheds,http://www.twitter.com/spudheds
0,Bailey Sweetser
0,Brandon Korn
0,Daniel Pisetzner
0,Eamon O'Connor
0,Ethan Silver-Riskin
0,Ian Singer
0,Ian Thompson
0,Jack Lowrey
0,Jonathan  O’Connor
0,Joseph Schneggenburger
0,Logan Kelly
0,Max Deng
0,Michael Kilgallon
0,Nathan Templeman
0,Nathan Begly
0,Patrick Collins
0,Paul Anzelone 
0,Quinn Dominick
0,Reilly Lawson
0,Ross  Janezic 
0,Samuel Lloyd
0,Stephen Sampson
0,Tucker Routenberg
0,William Chamberlin
2,Ryan McManus
8,Nicholas Deis
30,Ethan Iannicelli
31,Kobe Oley
32,Isaac McClelland
34,Adrian Ricketts
36,Andrew Gallagher
37,James Murphy
47,Anthony Patti
49,Jensen Li
57,Bryce Roman
67,Cooper Pinaud
99,Harrison Barnes
b,r,e,a,k
Princeton,9
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Austin Fan
0,Creston Brooks
0,Dane Utley
0,David Hwang
0,Gregory Guggenmos
0,Hugh Shields
0,Isaac Wills
0,Isaiah Fletcher
0,Jeffrey Cheng
0,John Van Horn
0,Kevin Boateng
0,Lewin Levine
0,Alexander Khoretonenko
0,Na'im Ahdieh
0,Oren Swagel
0,Patrick Townsend
0,Paul Fletcher
0,Rahul Kalavagunta
0,Theo Mitchell
0,Zeyu Wang
17,Nathaniel Hess
28,August Wietfeldt
28,Mark Gazzerro
34,Tam (Jimmy) Tran
73,Alex Baroody
b,r,e,a,k
Columbia,4
teamInfo,Uptown Local,"New York, New York",http://www.columbia.edu/cu/ultimate/?DB_OEM_ID=9600,https://www.facebook.com/CU.uplo/,
coaches,Chris Nelson,Benjamin Korman,Kevin Lai
0,Anil Kamdar
0,Benjamin Waltman
0,Cason Hancock
0,Daniel Esler
0,Ethan Ostrow
0,Haijian Wu
0,Isaac Stiepleman
0,Jalaj Mehta
0,James Byrd
0,Javier Dobles
0,Julian Esler
0,Kar Lok Pang
0,Matthew Ramirez
0,Oliver Wang
0,Rocco Vitalone
0,Samuel Yelnosky
0,Siming Wu
0,Stanley Jian
0,William Hoppin
0,Zane Harbison
1,Bernard Wang
3,Cole Donat
4,Manny Benitez
9,Carl Gross
10,Miles Savitz
18,Albert Rosario-Pichardo
21,Jonathan Chylinski
24,Jude Ogden
41,Luke Holtzman
42,Aaron Bruce
99,Timon Hruschka
b,r,e,a,k
Cornell (B),16
teamInfo,Shake,"Ithaca, New York",https://cornell.campusgroups.com/shake/home/,,https://twitter.com/shakeultimate
0,Brady  Weyble 
1,Adam Cahall
04,Maximilian Griner
06,John Lovier
07,Joseph Horwitz
09,Jake Altman
10,Noah Grenert
11,Zachary Cheslock
12,Toby Lidov
16,Kenny Chamberlain
17,Alex Buzali
22,Bradley Stoller
22,William Tu
24,David Wu
25,Mitchell Woodhouse
28,Nelson Liu
37,Zachary Roitman
52,Mitchell Leung
56,Max Siragusa
69,Kevin Chirinos
73,Robert Bridges
84,Charles Wang
96,Mattieu Zhai
99,Joel Pang
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pools
pool,Pool A
Rutgers,Rowan,15,4,"04/29/2023, 09:00",Pool A,Final
NYU,SUNY-Binghamton,7,9,"04/29/2023, 09:00",Pool A,Final
Rutgers,SUNY-Binghamton,13,11,"04/29/2023, 11:00",Pool A,Final
NYU,Rowan,10,6,"04/29/2023, 11:00",Pool A,Final
Rutgers,NYU,12,8,"04/29/2023, 13:00",Pool A,Final
Rowan,SUNY-Binghamton,6,15,"04/29/2023, 13:00",Pool A,Final
pool,Pool B
Connecticut,Syracuse,9,11,"04/29/2023, 09:00",Pool B,Final
Carleton University,SUNY-Albany,15,4,"04/29/2023, 09:00",Pool B,Final
Connecticut,SUNY-Albany,14,8,"04/29/2023, 11:00",Pool B,Final
Carleton University,Syracuse,15,4,"04/29/2023, 11:00",Pool B,Final
Connecticut,Carleton University,9,14,"04/29/2023, 13:00",Pool B,Final
Syracuse,SUNY-Albany,12,11,"04/29/2023, 13:00",Pool B,Final
pool,Pool C
Cornell,SUNY-Stony Brook,12,3,"04/29/2023, 09:00",Pool C,Final
Yale,Hofstra,12,7,"04/29/2023, 09:00",Pool C,Final
Cornell,Hofstra,15,2,"04/29/2023, 11:00",Pool C,Final
Yale,SUNY-Stony Brook,12,11,"04/29/2023, 11:00",Pool C,Final
Cornell,Yale,15,3,"04/29/2023, 13:00",Pool C,Final
SUNY-Stony Brook,Hofstra,10,8,"04/29/2023, 13:00",Pool C,Final
pool,Pool D
Columbia,Princeton,11,15,"04/29/2023, 09:00",Pool D,Final
RIT,Cornell (B),15,3,"04/29/2023, 09:00",Pool D,Final
Columbia,Cornell (B),15,6,"04/29/2023, 11:00",Pool D,Final
RIT,Princeton,12,10,"04/29/2023, 11:00",Pool D,Final
Columbia,RIT,10,13,"04/29/2023, 13:00",Pool D,Final
Princeton,Cornell (B),15,4,"04/29/2023, 13:00",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossover
cluster,PreQuarters
SUNY-Binghamton,Columbia,0,0,"04/29/2023, 15:00",,Scheduled
Princeton,NYU,11,9,"04/29/2023, 15:00",,Final
Syracuse,SUNY-Stony Brook,0,0,"04/29/2023, 15:00",,Scheduled
Yale,Connecticut,0,0,"04/29/2023, 15:00",,Scheduled
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,Championship
Cornell,Princeton,0,0,"04/30/2023, 09:00",Quarters,Scheduled
bracket,Third Place
bracket,Fifth Place
bracket,Seventh Place
b,r,e,a,k
pools,Sunday Consolation Pools
pool,Pool E
pool,Pool F
Rowan,Hofstra,0,0,"04/30/2023, 09:00",Pool F,Scheduled
SUNY-Albany,Cornell (B),0,0,"04/30/2023, 09:00",Pool F,Scheduled
Rowan,Cornell (B),0,0,"04/30/2023, 11:00",Pool F,Scheduled
SUNY-Albany,Hofstra,0,0,"04/30/2023, 11:00",Pool F,Scheduled
Rowan,SUNY-Albany,0,0,"04/30/2023, 13:00",Pool F,Scheduled
Hofstra,Cornell (B),0,0,"04/30/2023, 13:00",Pool F,Scheduled
b,r,e,a,k
