Ski Town Classic,Club - Men ,19,8,2023
Salt Lake City,UT,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Ski-Town-Classic-2023/schedule/Men/Club-Men/
Dark Star,1
02,Oliver Cecchini
03,Ethan Hilding
07,Porter Stobbe
11,Carter Christopherson
13,Eli Wolk
14,Lee Jensen
15,Garrett Konopka
17,Scott Grimm
17,Will  Hopkins
20,Russ Barr
21,Trong Nguyen
24,Matt Fredrickson
27,Sean Stackhouse
28,George Voellinger
32,Graham Dow
34,Malcolm Starr
37,Cameron Porter
42,Zak Diana
45,Nate Reavy
54,Mike Merzel
66,Jackson Hammond
72,Aaron Coleman
73,Aiden Coutin
90,Scott Jackson
97,Phineas Johnson
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Dark Star,OC Crows,12,11,"08/19/2023, 09:00",Pool A,Final
Drought,Sundance Kids,10,13,"08/19/2023, 09:00",Pool A,Final
Dark Star,Sundance Kids,12,10,"08/19/2023, 10:45",Pool A,Final
Drought,OC Crows,7,9,"08/19/2023, 10:45",Pool A,Final
pool,Pool B
ISO Atmo,Fat Stacks,13,5,"08/19/2023, 09:00",Pool B,Final
Brawl,Sawtooth,8,10,"08/19/2023, 09:00",Pool B,Final
ISO Atmo,Sawtooth,11,8,"08/19/2023, 10:45",Pool B,Final
Brawl,Fat Stacks,13,9,"08/19/2023, 10:45",Pool B,Final
pool,Pool C
Shrimp,Sonoran Dog,13,3,"08/19/2023, 09:00",Pool C,Final
Hazard,Green River Swordfish,10,6,"08/19/2023, 09:00",Pool C,Final
Shrimp,Hazard,12,7,"08/19/2023, 10:45",Pool C,Final
Sonoran Dog,Green River Swordfish,8,13,"08/19/2023, 10:45",Pool C,Final
pool,Pool D
Switchback,PowderHogs,10,7,"08/19/2023, 09:00",Pool D,Final
Fungi,Utah Hatu,12,9,"08/19/2023, 09:00",Pool D,Final
Switchback,Fungi,10,12,"08/19/2023, 10:45",Pool D,Final
PowderHogs,Utah Hatu,8,13,"08/19/2023, 10:45",Pool D,Final
b,r,e,a,k
clusters,Saturday Crossover
cluster,Seeding Crossover
Dark Star,Fungi,13,7,"08/19/2023, 12:30",,Scheduled
ISO Atmo,Shrimp,12,13,"08/19/2023, 12:30",,Final
cluster,Prequarters
Sundance Kids,Switchback,0,0,"08/19/2023, 12:30",,Scheduled
Sawtooth,Green River Swordfish,13,5,"08/19/2023, 12:30",,Final
Hazard,Brawl,13,10,"08/19/2023, 12:30",,Final
Utah Hatu,OC Crows,12,13,"08/19/2023, 12:30",,Final
cluster,4th Place Crossover
Drought,PowderHogs,0,0,"08/19/2023, 12:30",,Scheduled
Fat Stacks,Sonoran Dog,0,0,"08/19/2023, 12:30",,Scheduled
b,r,e,a,k
brackets,Sunday 1st-8th
bracket,1st Place
Shrimp,OC Crows,0,0,"08/20/2023, 09:00",Quarters,Scheduled
bracket,3rd
bracket,5th
bracket,7th
b,r,e,a,k
brackets,Sunday 9th-16th
bracket,Ninth
bracket,11th
bracket,13th
bracket,15th
b,r,e,a,k
