Easterns Qualifier 2023,College - Men ,25,2,2023
Little River,SC,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Easterns-Qualifier-2023/schedule/Men/CollegeMen/
North Carolina-Charlotte,8
0,Nolan Hawkins
0,Nicholas Bayer
0,Shaan Narayan
0,Tate Staples
0,Xander Wilcox
1,Ty Naquin
1,Ryan Zhu
3,Albert Yuan
4,Seth Weaver
6,Zachary Burd
9,Jack Duhon
15,Alex Whang
20,Nick Bos
24,Matthew Bloom
25,Matthew Wang
30,Asher Wallen
38,Alex Zhuang
75,Jason Tran
b,r,e,a,k
Maryland,7
b,r,e,a,k
Notre Dame,18
b,r,e,a,k
North Carolina-Wilmington,2
b,r,e,a,k
Florida State,14
b,r,e,a,k
South Carolina,6
0,Achilles Hahn
0,Aidan Comer
0,Alex Euston
0,Andy Larsen
0,Drew Belanger 
0,Ethan Johnson
0,Ethan Ho 
0,Jackson  Giovanelli
0,Jacob McClary
0,John Pellegrino
0,Joseph  Cammarata
0,Keegan Ford
0,Luke Hatchl
0,Michael Murawski
0,Michael Cote
0,Thomas Davidson
1,Trip Crowley
3,Coleman Devaney
4,Nicholas Lopez
7,Caspar Tarr
15,William Caspino
23,Gavin Russell
23,Elizabeth Pung
24,Jaida King
38,Evan Sanderson
52,Tyler Catton
66,Robert Gunshefski
81,Deven Riley
83,Nate Reiss
95,Payne Thomas
b,r,e,a,k
James Madison,10
0,Alex Ricci
0,Benjamin Scott
0,Brett Marchant
0,Charles Gaylord
0,Christopher King
0,Jackson Solley
0,Jason Eisen
0,Jeffrey Gale
0,John Maxwell
0,Jonathan Nahmias
0,Kyle Anderson
0,Quinn Redick
0,Ryan Lowe
0,Ryan Endries
0,Stuart Kent
0,William Anderson
2,Matt LaBar
8,Harrison Wolfson
16,Luke Barry
22,Patrick Vorathiankul
27,Matt Krauss
34,Benjamin Barnett
41,Aidan Magee
50,Dylan Ballard
84,Dylan Wallace
96,Benjamin Corrigan
b,r,e,a,k
McGill,3
37,Calvin Coulbury
69,Daniel Tu
69,Dylan Wu
69,Fritz Rehmus
69,Hugh Kelly
69,Jaden Verlaan
69,Joy Zhou
69,Nathan Wu
69,Owen Kolinski
69,Rafael Imbert Rivas
69,Ruari McEwan
69,Ruben Hari
69,Sam Dummer
69,Tristan Leclair-Vani
69,Tynan Peterson
69,Aidan Mckibben
b,r,e,a,k
Georgia State,19
01,Spencer Pennington
04,Shaheer Khan
05,Robert Mobley
06,Harrison  Briggs 
08,Joey Hassett
09,Sho Dixon
11,Lee Phan
13,Charles Myers
14,Maxwell Lopez
15,Misael Hernandez
16,Tanjid Mitul
17,Christian  Montufar
18,Aly Jiwani
21,Jaden Medley-Fowlkes
22,Chip Seidenberg
23,Andrew Frazer
24,Elliott Park
25,Tabish Rayani
27,Michael Copeland
36,Eric Frega
66,Jeremiah Liu
78,William Sales
82,Isaac Marder
88,Wesley Patrick
b,r,e,a,k
Temple,15
0,Andrew Barczak
0,Avery Campbell
0,Colin Clapper
0,Daniel Goll
0,Francesco Russo
0,Jaleel Bivins
0,Jorge Barillas
0,Joseph Meixler
0,Kye Haniph
0,Oskar Glahn
0,Sunvy  Yalamarthy
7,Robert Geddes
10,Jack Maynard
13,Jeremy Eland
15,Eli Greenstein
24,Cole Salomon
35,Adam Weingast
43,Lucas Oberholtzer Hess
44,Massin Larbi
47,Nate Little
56,Max Blakelock
87,Andrew Seibert
89,Joshua Heacock
96,Jacob Prunes
b,r,e,a,k
Virginia,9
2,Nicolas West
6,Tyler Husband
7,Gregory Cho
10,Hayden Ratliff
12,Joseph Burton
15,Kevin Chung
16,Rohan van Heyningen
18,Jack Vietmeyer 
20,Josh Rosenberg
21,Nathaniel Stevenson
23,Calvin Roe
25,Ben Kuster
27,Joe Spaeth
29,Matthew Callen
33,Owen Solomon
42,Patrick Fox
43,Kian Thomasbeer
44,Stephen Dolan
52,Zeya Min-Fink
b,r,e,a,k
Cornell,16
0,Donovan Cho
0,Nathaniel Chin
0,Thomas Wu
0,Thomas Zhao
1,Simon Alford
3,Ben Goldman
7,Jack Waxman
13,Tomer Poole-Dayan
22,Spencer Peters
23,Sanjar Kushaliev
44,Eric Freitag
69,Dylan Winchell
77,Lewis Sisler
88,Iram Liu
92,Sam Garncarz
94,Ka Lok Ethan Lau
b,r,e,a,k
Case Western Reserve,4
0,Alex Flores
0,Anil Driehuys
0,Barry McCoy
0,Aidan Gangai
0,Elias Hinson
0,Ellis Wright
0,Jacob Rollins
0,Mace Korytko
0,Maddox Sutton
0,Nathaniel Poshkus
0,Nitin Chockalingam
0,Owen Zhou
0,Ryan Coneway
0,Jason Zhou
0,Kayman Cooke
0,Sam King
4,James Kennelly
5,Jake Stahl
7,Sam Greenberg
10,AJ Campbell
13,Mason Jester
15,Michael O'Brien
21,Ben Alexander
31,Jacob Warmath
40,Lucas Jones
76,Logan Heck
77,Will Oltjen 
81,Graham Galts
99,Daniel Estrin
b,r,e,a,k
Georgia Tech,5
0,Alex Broering
0,Chris Gmeiner
0,Ephraim Connor
0,Joshua Ngotiaoco
0,Nikos Verlenden
0,Philip Emry
0,Sean Jung
2,Derek Rizzi
2,Carter Tegen
5,Neil Barry
6,Raymond Jia
7,Christopher Zuo
13,Nathan Adair
14,Alden Rosakranse
16,Kevin Fan
17,Charlie Orth
18,Nicholas Huffman
19,Sam Orth
24,Matthew Mills
26,Keller Smith
28,Eric Shen
37,Owen Hammond-Lee
42,Adam Grossberg
46,Brendan McCluskey
72,Matthew Dacey-Koo
77,Flavius Penescu
88,Peter Gardner
b,r,e,a,k
The George Washington University,20
0,Daniel Davis
0,Diego Asencio
0,Dill Eisendrath
0,Ben Wehrley
0,Ben Brown
0,John Ronel
0,Koen Kyer
0,Mason Levitt
0,Mills Rentz-Baker
0,Nathan Dixon
0,Raphael Kellner
0,Sasha Frank-Stempel
0,Spencer Sacks
0,Thomas Dillon
3,Hyosam Jeon
10,Cameron Johnson
20,Alex Khater
30,Jack Palaian
33,Evan Lindeman
39,Samuel Fritz
41,Sumner Gubisch
43,Evan Campbell
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
William & Mary,Cincinnati,12,10,"02/25/2023, 09:00",Pool A,Final
Georgetown,Alabama,12,13,"02/25/2023, 09:00",Pool A,Final
William & Mary,Georgetown,12,13,"02/25/2023, 10:45",Pool A,Final
North Carolina-Charlotte,Alabama,13,9,"02/25/2023, 10:45",Pool A,Final
Alabama,Cincinnati,13,12,"02/25/2023, 12:30",Pool A,Final
North Carolina-Charlotte,Georgetown,13,9,"02/25/2023, 12:30",Pool A,Final
William & Mary,Alabama,13,6,"02/25/2023, 14:15",Pool A,Final
North Carolina-Charlotte,Cincinnati,13,7,"02/25/2023, 14:15",Pool A,Final
William & Mary,North Carolina-Charlotte,0,0,"02/25/2023, 16:00",Pool A,Scheduled
Georgetown,Cincinnati,0,0,"02/25/2023, 16:00",Pool A,Scheduled
pool,Pool B
North Carolina-Wilmington,Notre Dame,11,12,"02/25/2023, 09:00",Pool B,Final
Duke,Florida State,12,9,"02/25/2023, 09:00",Pool B,Final
North Carolina-Wilmington,Duke,11,12,"02/25/2023, 10:45",Pool B,Final
Maryland,Florida State,12,11,"02/25/2023, 10:45",Pool B,Final
Florida State,Notre Dame,10,13,"02/25/2023, 12:30",Pool B,Final
Maryland,Duke,11,12,"02/25/2023, 12:30",Pool B,Final
North Carolina-Wilmington,Florida State,13,7,"02/25/2023, 14:15",Pool B,Final
Maryland,Notre Dame,13,12,"02/25/2023, 14:15",Pool B,Final
North Carolina-Wilmington,Maryland,0,0,"02/25/2023, 16:00",Pool B,Scheduled
Duke,Notre Dame,4,4,"02/25/2023, 16:00",Pool B,Scheduled
pool,Pool C
McGill,Georgia State,13,7,"02/25/2023, 09:00",Pool C,Final
James Madison,Temple,13,11,"02/25/2023, 09:00",Pool C,Final
McGill,James Madison,12,13,"02/25/2023, 10:45",Pool C,Final
South Carolina,Temple,13,7,"02/25/2023, 10:45",Pool C,Final
Temple,Georgia State,7,11,"02/25/2023, 12:30",Pool C,Final
South Carolina,James Madison,13,9,"02/25/2023, 12:30",Pool C,Final
McGill,Temple,10,8,"02/25/2023, 14:15",Pool C,Final
South Carolina,Georgia State,13,4,"02/25/2023, 14:15",Pool C,Final
McGill,South Carolina,0,0,"02/25/2023, 16:00",Pool C,Scheduled
James Madison,Georgia State,0,0,"02/25/2023, 16:00",Pool C,Scheduled
pool,Pool D
Case Western Reserve,The George Washington University,13,12,"02/25/2023, 09:00",Pool D,Final
Virginia,Cornell,12,7,"02/25/2023, 09:00",Pool D,Final
Case Western Reserve,Virginia,8,13,"02/25/2023, 10:45",Pool D,Final
Georgia Tech,Cornell,9,12,"02/25/2023, 10:45",Pool D,Final
Cornell,The George Washington University,12,10,"02/25/2023, 12:30",Pool D,Final
Georgia Tech,Virginia,10,12,"02/25/2023, 12:30",Pool D,Final
Case Western Reserve,Cornell,13,11,"02/25/2023, 14:15",Pool D,Final
Georgia Tech,The George Washington University,13,5,"02/25/2023, 14:15",Pool D,Final
Case Western Reserve,Georgia Tech,0,0,"02/25/2023, 16:00",Pool D,Scheduled
Virginia,The George Washington University,0,0,"02/25/2023, 16:00",Pool D,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place
bracket,5th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
bracket,11th Place
bracket,13th Place Bracket
bracket,15th Place
b,r,e,a,k
pools,Sunday Consolation Pool
pool,Pool E
b,r,e,a,k
