Northwest Fruit Bowl 2023,Club - Mixed ,26,8,2023
Federal Way,WA,2023-08-26,2023-08-27
https://play.usaultimate.org/events/Northwest-Fruit-Bowl-2023/schedule/Mixed/Club-Mixed
Red Flag,1
12,Kari Shelkey
22,Liz Grimes
29,Zach Baumann
34,Tara Santi
34,Davis Mossman
34,Ben Perkel
b,r,e,a,k
Sunshine,9
teamInfo,,"Bay Area, California",,,https://twitter.com/sunshineult
0,Andrew Hooker
0,Brittany Kaplan
0,Ethan Kleinman
0,Lili Gu
0,Reeve Grobecker
0,Russell Wynne
0,Sam Kanner
1,Felicia Yang
2,Catherine Chen
3,Margo Urheim
5,Nathan Kwon
8,Morgan Sommer
9,McKinley McQuaide
10,Karl Kingma
14,Keaton Viadro
17,Noelle Nelson
19,Alexander Pan
23,Julia Raney
23,Ryan Messersmith
25,Carmen Resnick
32,Jake Coleman
35,Lucas Dallmann
44,Devy Weir
77,Emily Prader
90,Markham Shofner
97,Kevin Lin
b,r,e,a,k
Kansas City United,5
teamInfo,,"Kansas City, Kansas",,,https://twitter.com/turtleskc
0,Christian Simpson
0,Clare Frantz
0,Janani Ragothaman
0,Lauren Wiggins
0,Madison Fulte
0,Nadine Rowen
0,Sowmya Ragothaman
4,Joe Young
4,Gabriel Valencia
5,Courtney Walbe
5,Allen Jones
8,Cameron Guidry
11,Thomas Schreiber
16,Taylor Hession
18,Haley Johnson
22,Travis Pratt
24,Danny Kurz
25,Jessica Tiller
32,Drew Taylor
33,Ryan Tuschhoff
42,David Valentine-Elam
86,Amanda Johnson
b,r,e,a,k
Lights Out,16
teamInfo,,"Seattle, Washington",,https://www.facebook.com/Lights-Out-Ultimate-982520691925825/,https://twitter.com/LightsOutUlti
coaches,Charlie Mercer
01,Jessica Spaulding
02,Patrick Brady
03,Nathaniel Wipfler
04,Phillip Young
05,Claudia Vasquez
06,Roy Fang
08,Michael Shum
09,John Mattes
10,Katherine Speck
11,Tony Ngo
13,Krysia Davis
14,Jessica Zaslove
16,Lily Zhang
17,Rio Kimura
19,Bridget Wipfler
21,Maya Kalmus
23,Emily Traylor
24,Jacob Cohen
25,Gavin Sing
25,Spencer Land
28,Julia Downing
33,Kristine Kornmann
37,Daniel Zakaria
42,Cameron Jewett
47,Aakar Mehra
77,Evan Reding
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Wild Card,BW Ultimate,10,11,"08/26/2023, 09:00",Pool A,Final
Red Flag,Wild Card,13,4,"08/26/2023, 10:50",Pool A,Final
Loco,BW Ultimate,9,6,"08/26/2023, 10:50",Pool A,Final
Red Flag,BW Ultimate,13,6,"08/26/2023, 12:40",Pool A,Final
Loco,Wild Card,13,8,"08/26/2023, 12:40",Pool A,Final
Red Flag,Loco,13,9,"08/26/2023, 14:30",Pool A,Final
pool,Pool B
Oregon Scorch,California Burrito,13,8,"08/26/2023, 09:00",Pool B,Final
Mile High Trash,Donuts,11,10,"08/26/2023, 09:00",Pool B,Final
Oregon Scorch,Donuts,11,10,"08/26/2023, 10:50",Pool B,Final
Mile High Trash,California Burrito,12,10,"08/26/2023, 12:40",Pool B,Final
Oregon Scorch,Mile High Trash,9,13,"08/26/2023, 14:30",Pool B,Final
California Burrito,Donuts,10,11,"08/26/2023, 14:30",Pool B,Final
pool,Pool C
Seattle Mixtape,Lotus,13,9,"08/26/2023, 09:00",Pool C,Final
Classy,Pegasus,12,8,"08/26/2023, 09:00",Pool C,Final
Seattle Mixtape,Pegasus,13,8,"08/26/2023, 10:50",Pool C,Final
Classy,Lotus,10,11,"08/26/2023, 10:50",Pool C,Final
Seattle Mixtape,Classy,13,6,"08/26/2023, 12:40",Pool C,Final
Lotus,Pegasus,10,11,"08/26/2023, 12:40",Pool C,Final
pool,Pool D
MOONDOG,Sunshine,13,10,"08/26/2023, 09:00",Pool D,Final
Kansas City United,Lights Out,13,8,"08/26/2023, 09:00",Pool D,Final
MOONDOG,Lights Out,12,6,"08/26/2023, 10:50",Pool D,Final
Kansas City United,Sunshine,12,13,"08/26/2023, 10:50",Pool D,Final
MOONDOG,Kansas City United,13,9,"08/26/2023, 12:40",Pool D,Final
Sunshine,Lights Out,10,9,"08/26/2023, 12:40",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Oregon Scorch,MOONDOG,0,0,"08/27/2023, 11:00",Semis,In Progress
Loco,Seattle Mixtape,11,12,"08/27/2023, 11:00",Semis,In Progress
Red Flag,Oregon Scorch,12,13,"08/27/2023, 09:00",Quarters,Final
MOONDOG,Classy,12,9,"08/27/2023, 09:00",Quarters,Final
Mile High Trash,Loco,10,12,"08/27/2023, 09:00",Quarters,Final
Seattle Mixtape,Sunshine,13,6,"08/27/2023, 09:00",Quarters,Final
bracket,9th Place Championship
BW Ultimate,Wild Card,0,0,"08/27/2023, 13:00",Ninals,Scheduled
BW Ultimate,Kansas City United,13,12,"08/27/2023, 09:00",Ninal Semis,Final
Wild Card,Lights Out,13,12,"08/27/2023, 11:00",Ninal Semis,Final
BW Ultimate,California Burrito,13,11,"08/26/2023, 16:30",Ninal Quarters,Final
Kansas City United,Pegasus,13,8,"08/26/2023, 16:30",Ninal Quarters,Final
Donuts,Wild Card,12,13,"08/26/2023, 16:30",Ninal Quarters,Final
Lotus,Lights Out,10,13,"08/26/2023, 16:30",Ninal Quarters,Final
bracket,5th Place Bracket
Red Flag,Classy,13,8,"08/27/2023, 11:00",Fival Semis,Final
Mile High Trash,Sunshine,0,0,"08/27/2023, 11:00",Fival Semis,In Progress
bracket,13th Place Bracket
California Burrito,Pegasus,0,0,"08/27/2023, 09:00",Thirteenal Semis,In Progress
Donuts,Lotus,13,6,"08/27/2023, 09:00",Thirteenal Semis,Final
bracket,3rd Place
bracket,7th Place
bracket,11th Place
Kansas City United,Lights Out,0,0,"08/27/2023, 13:00",11th Place,Scheduled
bracket,15th Place
b,r,e,a,k
