2023 USA Ultimate Masters Championships,Masters - Women ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Women/Masters-Women/
Reboot Squad,1
00,Katie Horsley
00,Maya Gilliss-Chapman
00,Rachel Auerbach
00,Rebecca Perston
00,Shannon Dennehy
15,Kelsey Salvo
17,Jenica Villamor
b,r,e,a,k
Surly COUGARS,9
teamInfo,,"Minneapolis, Minnesota",,,
00,Adrienne Baker
00,Alicia Carr
00,Biz Cook
00,Brit Gartner
00,Carolyn Vlach
00,Erin Westin
00,Megan Molteni
00,Megan Randall
00,Rachel Gage
00,Rebecca Enders
00,Rebecca Morales
00,Rose Gruenhagen
00,Sarah Robinson
02,Huldah Gronvall
09,Graciela Quintana
11,Emma Peaslee
14,Elyssa Yesnes
15,Katie Godfrey
25,Courtney Kiesow
29,Kelsey Peterson
31,Kelsey Mueller
39,Meghan Conrad
b,r,e,a,k
Winded City,15
teamInfo,,"Chicago, Illinois",,,
0,Yevanit Reschechtko
00,Alexandra Moxley
00,Alyssa Graham
00,Amy Doherty
00,Anri Brod
00,Antonia Van Twisk
00,Bridget Miles
00,Bridget Doherty
00,Caitlin Reidy
00,Callie Floyd
00,Candace Brahm
00,Courtney Rachke
00,Elizabeth Anderson
00,Emily Molloy
00,KATHERINE CROMER
00,Kathryn Kembitzky
00,Lauren Miller
00,Lauren Brauer
00,Lauren Guzman
00,Liz Biggane
00,LT Tucker
00,Maria Janina Sarol
00,Samantha Cameron
00,Stephanie Landry
00,Stephanie Sauer
00,Victoria Lee
b,r,e,a,k
Ripe,3
teamInfo,,"Chapel Hill, North Carolina",,,
00,Sarah Espinoza
02,Savannah Erwin
06,Kalene Morozumi
07,Sarah Hasch
08,Logan Shapiro
15,Brittani Isidoro
19,Tracy d'Arbeloff
20,Savannah Hadwiger
22,Heather Zimmerman
23,Lacey Coppage
26,Michelle Landis
27,Toni Gomes
33,Lauren Ding
35,Elizabeth Smith
64,Laura Matzuka
88,Christine Bookhout
b,r,e,a,k
Old Bae,5
teamInfo,,"Oakland, California",,,
00,Bryn Levitan
00,Caylin Gentile
00,Christina Casler
00,Christy Cheung
00,Jennifer Thomas
00,Jodi McCloskey
00,Katie Palmer
00,Katie Ogden
00,Lauren Carden
00,Sarah Tenpas
00,Sayako Uchida
00,Suk lyn Lim
00,Teresa Feng
03,Samantha Hing
04,Emily Tucci
08,Amanda Chan
11,Anne Hemmelgarn
15,Zhimin Xie
16,Sarah Kaufman
19,Adrienne Lemberger
29,Lily Steponaitis
33,Cathleen Hartge
88,Jamie Lam
b,r,e,a,k
Aged Cheddar,14
teamInfo,,"Madison, Wisconsin",,,
00,Alex Ballinger
00,Alexis Rose
00,Dana Demmert
00,Elizabeth Just
00,Erika Gotcher
00,Erynn Schroeder
00,Hannah Rapp
00,Hannah Frank
00,Jessica Liu
00,Kelly O'Connor
00,Kristin Pelzel
00,Laura Borth
00,Laurel Schmidt
00,Lizabeth Held
00,Mal Kaul
00,Margrethe Hippensteel
00,Mei-Lien Converse
00,Mikaela Hagen
00,Monica Kappes
00,Nora Mitchell
00,Rachael Romaniak
00,Stefanie Bugasch Scopoline
b,r,e,a,k
Hot Flash,12
teamInfo,,"Indianapolis, Indiana",,,
00,Abbey Geib
00,Anastasia Foster
00,Ariel Choi
00,Claire Milton
00,Danica Keefe
00,Brittney Ballard
00,Lisa Paluszkiewicz
00,Michaela Ward
00,Molly Cheviron-Hamilton
00,Valerie Locker
05,Michelle Farb
07,Aileen Murphy
20,Jody Kissane
22,Mary Uthuppuru
23,Brianna Blair
31,Jessica Sipperley
35,Justine Weyers
38,Emily Wyckoff
42,Amanda Hinchee
47,Allison Knight
61,Jacqueline Lai
76,Izzi Bikun
81,Jamie Smets
85,Carmella Vizza
99,Kristi Schmeling
b,r,e,a,k
PUMAS,6
teamInfo,,"Ames, Iowa",,,@pumasultimate
00,Austin Prucha
00,Caitlin Lisk
00,Cameron Sisler
00,CAMILLE NELSON
00,Courtney Walbe
00,Eliza Hutchings
00,Emily Langland
00,Emily Stege
00,Gabriella Lavezzi
00,Hanna Jensen
00,Janani Ragothaman
00,Jasmine Draper-Matthew
00,Jessica Brisbois
00,Julianne Crockett
00,Kathryn Sanders Lyons
00,Melissa Gibbs
00,Rebecca Storey
00,Rose Glinka
00,Sarah Stoker
00,Sarah Hoistad
00,Stephanie Rupp
00,Tracy Farrell
02,Lindsey Gapstur
06,Kathleen Horton
23,Laura Halfmann-Morris
86,Amanda Johnson
b,r,e,a,k
UniCORN,11
teamInfo,,"Hartford, Connecticut",,,
01,Erica Stamboulian
04,Liv Erhard
06,Adrienne Wells
08,Paige Howell
09,Chelsea Leeder
10,Sadie Perkins
12,Maureen Dougherty
13,Sterling Morrone
14,Christine Georgakakos
15,Elena Arnosky
16,Jess Stitt
18,Cassondra Hunter
20,Maryann Platt
23,Jacqueline Oakes
29,Jennine Kanaby
32,Ashley Gulyas (Snyder)
49,Emily Qian
51,Clara-Ann Joyce
52,Alyson Brokaw
55,Dakota Lippincott
71,CLAIRE Gunderson
83,Jean Tuvilla
97,Taylor Simpson
99,Mariana Lopes
b,r,e,a,k
Night Cheese,4
teamInfo,,"Seattle, Washington",,,
01,Jessica Spaulding
02,Ali Jensen
03,Katie Nielsen
06,Courtney Greenley
08,Alex Mathison
09,Kaitlin Webster
10,Seraphie Allen
11,Mary Lamkin
13,Kelly Bruno
14,Ashley Chan
15,Ann Huang
17,Taylor Kanemori
19,Lyda Harris
22,Gina Phillips
24,Sarah Titcomb
28,Maya Golan
29,Maria Sumner
30,Melissa Merrick
35,Lauren Louderback
39,Maria Mendiburo
50,Lauren Pattie
51,Kate Crawford
66,Laura Manson
77,Emily Beylerian
89,Sophia Scofield-Selby
99,Taylor Martin
b,r,e,a,k
Cracked Belles,13
teamInfo,,"Philadelphia , Pennsylvania",,,
0,ANNA IMPERATRICE
0,Caitlin Gleason
0,Casey Lynch
0,Emilie Mohler
0,Lindsay Arnone
0,Rae Conklin
0,Shannon Schriver
0,Tomoe Bien
4,Alyssa Willis
6,Victoria Wischerth
9,Julia Larson
00,Loryn Way
00,Emily Fridberg
00,Faith Clayton
00,Jenna Borges
00,Valerie Estela-Pro
00,Victoria Spofford
14,Seval Kanik
15,Kelly Wojtan
15,Bailey Rowland
32,Haley Stottlemyre
47,Stacey Spencer
52,Amy Stewart
56,Lauren Feder
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Reboot Squad,Mint,15,3,"07/21/2023, 08:30",Pool A,Final
Ghost Town,Rusting Bridge Face,15,7,"07/21/2023, 08:30",Pool A,Final
Reboot Squad,Rusting Bridge Face,15,1,"07/21/2023, 10:45",Pool A,Final
Ghost Town,Mint,15,4,"07/21/2023, 10:45",Pool A,Final
Reboot Squad,Ghost Town,15,6,"07/21/2023, 13:00",Pool A,Final
Mint,Rusting Bridge Face,15,14,"07/21/2023, 13:00",Pool A,Final
pool,Pool B
Soar! *sore,Surly COUGARS,15,6,"07/21/2023, 08:30",Pool B,Final
PDXtra,Winded City,15,4,"07/21/2023, 08:30",Pool B,Final
Soar! *sore,Winded City,15,1,"07/21/2023, 10:45",Pool B,Final
PDXtra,Surly COUGARS,14,9,"07/21/2023, 10:45",Pool B,Final
Soar! *sore,PDXtra,15,3,"07/21/2023, 13:00",Pool B,Final
Surly COUGARS,Winded City,15,3,"07/21/2023, 13:00",Pool B,Final
pool,Pool C
Ripe,Hot Flash,15,7,"07/21/2023, 08:30",Pool C,Final
Old Bae,Aged Cheddar,15,11,"07/21/2023, 08:30",Pool C,Final
Ripe,Aged Cheddar,15,5,"07/21/2023, 10:45",Pool C,Final
Old Bae,Hot Flash,15,8,"07/21/2023, 10:45",Pool C,Final
Ripe,Old Bae,15,14,"07/21/2023, 13:00",Pool C,Final
Hot Flash,Aged Cheddar,10,15,"07/21/2023, 13:00",Pool C,Final
pool,Pool D
Night Cheese,UniCORN,9,12,"07/21/2023, 08:30",Pool D,Final
PUMAS,Cracked Belles,15,6,"07/21/2023, 08:30",Pool D,Final
Night Cheese,Cracked Belles,15,10,"07/21/2023, 10:45",Pool D,Final
PUMAS,UniCORN,15,10,"07/21/2023, 10:45",Pool D,Final
Night Cheese,PUMAS,9,15,"07/21/2023, 13:00",Pool D,Final
UniCORN,Cracked Belles,15,7,"07/21/2023, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Reboot Squad,PUMAS,0,0,"07/22/2023, 13:00",Semis,Scheduled
Ripe,Soar! *sore,0,0,"07/22/2023, 13:00",Semis,Scheduled
Reboot Squad,PDXtra,15,3,"07/22/2023, 08:30",Quarters,Final
Old Bae,PUMAS,6,15,"07/22/2023, 08:30",Quarters,Final
Ripe,UniCORN,13,12,"07/22/2023, 08:30",Quarters,Final
Ghost Town,Soar! *sore,12,15,"07/22/2023, 08:30",Quarters,Final
b,r,e,a,k
brackets,Placement
bracket,3rd Place
b,r,e,a,k
brackets,Placement
bracket,5th Place
PDXtra,Old Bae,0,0,"07/22/2023, 13:00",Semis,Scheduled
UniCORN,Ghost Town,0,0,"07/22/2023, 13:00",Semis,Scheduled
b,r,e,a,k
brackets,Placement
bracket,7th Place
b,r,e,a,k
brackets,Placement
bracket,9th Place
Mint,Night Cheese,0,0,"07/22/2023, 15:15",Semis,In Progress
Mint,Winded City,13,10,"07/22/2023, 08:30",Quarters,Final
Hot Flash,Night Cheese,9,15,"07/22/2023, 08:30",Quarters,Final
Aged Cheddar,Cracked Belles,11,7,"07/22/2023, 10:45",Quarters,Scheduled
Rusting Bridge Face,Surly COUGARS,3,8,"07/22/2023, 10:45",Quarters,In Progress
b,r,e,a,k
brackets,Placement
bracket,11th Place
b,r,e,a,k
brackets,Placement
bracket,13th Place
Winded City,Hot Flash,0,0,"07/22/2023, 15:15",Semis,Scheduled
b,r,e,a,k
brackets,Placement
bracket,15th Place
b,r,e,a,k
