Stanford Invite (Mens),College - Men ,4,3,2023
Stanford,CA,2023-03-04,2023-03-05
https://play.usaultimate.org/events/Stanford-Invite-Mens/schedule/Men/CollegeMen/
California-Santa Cruz,5
2,David Ng
4,Jordan Smith
6,Isaac Tan
7,Alexander Kabat
8,Martin Le
9,Max Ramstad
11,Luke Horris
11,Kevin Tellez
12,Tony Venneri
13,Nicholas Yin
13,Jasper Dean
15,Assaf Golan
16,Ryan Liao
21,Keishin Lam
22,Davis Wright
25,Thomas Axtell
29,Grayson Hoffman
32,Souma Yabuki
33,Leonardo Kruse
34,Akash Shrestha
44,Delano Muongchan
52,Soren Dahl
73,Chackgarin Brown
95,Griffin Lo
b,r,e,a,k
California,7
teamInfo,California-Berkeley,"Berkeley, California",,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate?lang=en
0,Aditya  Vunnum
0,Carter Lankford
0,Gavin May
0,Lawson Graham
0,Ridge Huang
1,Renzo Soatto
4,Samuel Laur
5,Robert McCabe
6,Kushal Khangaonkar
8,Drew Palmer
9,Evan Kandell
13,Emery Goulet
14,Dexter Clyburn
20,Owen Zuidema
28,Donovan Mierlak
29,Vincent Su
33,Lucas Intagliata
43,Gabriel Gatewood-Wolfe
69,Camden Mah
97,Eric Johnson
99,Vikram Deepak
b,r,e,a,k
Oregon State,10
teamInfo,Beavers,"Corvallis, Oregon",http://osumensultimate.wix.com/oregon-state-ultimate,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
0,Antonio Rueda
0,Ben Thoennes
0,Challis Holloway
0,Felix Moren
0,Forrest Vargyas
0,Jack Weinberg
0,Jack Dehmer
0,Leo Wolf
0,Lucas Henry
0,Peter Barrette
0,Sam Jordan
0,Seiji Koenigsberg
0,Seth Lockard
0,Myles Robinson
4,Kaenan Combs
13,Callahan Bosworth
13,Ian Shibley-Styer
15,Nikolaus Elsaesser
15,Cole Eustis
18,Elliott Haberman
18,Finn Lawless
20,Galen Moll
31,Henry Wayte
96,Matt Rix
b,r,e,a,k
Victoria,8
teamInfo,Vikes,"Victoria, British Columbia CA",modules/common/www.uvicultimate.com,https://www.facebook.com/UVictimUltimate,https://twitter.com/uvictimultimate
0,Alex Piepjohn 
0,Dylan Cochrane
0,Fraser Buck
0,Jake Douglas
0,James Edgell
0,Lochlan Margison
0,William Alexander
0,Zhangsong Gao
2,Brett Sommerville
3,Duncan Armstrong
3,Richard Mcleod 
7,Nyle Lebbell
14,Ian Robinson
27,Ian McLaren
31,Keegan Freeland
40,Jordan Atchison
51,Justin Pettenuzzo
53,Benjamin Savage
55,Ben Baird
69,Max Pettenuzzo
72,Timothy Friesen
81,Theo Davis
99,Anderson Grafton-Freeze
b,r,e,a,k
California-San Diego,12
teamInfo,Air Squids,"San Diego, California",,,
0,Bradley Zanteson
0,Caleb Robinson
0,Charlie Wilson-Jackson
0,Cireus Eghtessadi-Reed
0,Ethan Wang
0,Ghislain Demeester
0,John Loftus
0,Jonathan McGurrin
0,joseph duran
0,Joshua Creasman
0,Matthew Deckerman
0,Max Gibson
0,Nate Becker
0,Nilesh Mukundan
0,Param Shah
0,Ryan Barry
0,Sumedh Prasad
0,Trey Scheid
0,Tyler Kurpanek
0,Tyler May
0,Tynan Sander
9,Dylan  Ryfe
12,Hillel Avital
40,Adam Tran
41,Spencer Rebman
42,Yin Lam Lai
53,Daniel Pryke
76,Andrew Shen
b,r,e,a,k
Colorado State,11
teamInfo,Hibida,"Fort Collins, Colorado",,,https://twitter.com/csuhibida
coaches,Janie Mockrish,Peter Raines,Marvin Vuong
0,Charlie Knott
0,Davis Lenz
0,Davis Cutforth
0,Dexter Shafer-White
0,Drew Grant
0,Flynn Nyman
0,Hayden McAdoo
0,Hunter Cunningham
0,Markus Olson
0,Nathaniel Goodwin
0,Nick Phillips
0,Rory Lenny
0,Sam Ruiz Harding
0,Aidan Williams
0,Tucker Martin
0,Wesley Poole
0,Zach Monahan
2,Jonathan Steiner
12,Linus Mallett
46,Axel Williams
65,Trevor Isaacson
69,Griffin Geving
b,r,e,a,k
British Columbia,6
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",,,
01,Karim Jamal
06,Matthew Wood
07,Filip Kragl
08,Devon Bringeland-Powell
11,Justin Podnar
13,Kevin Tong
14,Davis Toth
17,Jesse Watt
23,Nicholas Cheng
24,Wesley Choi
25,Bryn McColl
27,Zephaniah Ko
57,Jacob Mundo
71,Victor Tiet
72,Wesley  Wong
73,Angus Chan
76,Josiah Crawford
77,Ryan Graves
83,Nathan Roorda
86,Yu Chi Lin
88,Nicolas Sanchez
99,Abeer Lamba
b,r,e,a,k
Wisconsin,4
teamInfo,Hodags,"Madison, Wisconsin",https://www.hodaglove.org,https://www.facebook.com/Wisconsin-Hodags-118125241585256/,https://twitter.com/hodaglove
01,Ian Jefcoat
02,Oliver Walke
03,Graeme Alexander
05,Patrick LaVallee
08,Carson Batchelor
10,Sam Pieper
11,Mark Nelson
13,Drake Miller III
14,Simi Fadiran
18,Nico Ranabhat
19,Simon Brooks
22,Luke  Youngdahl
25,Andrew Paulson
26,Saul Diaz
27,Jacob Sak
30,Kale Johnson
38,Noah Petersen
40,Thomas Walker
42,Tyler Grim
64,Joe Leibforth
74,Kyle West
94,Pieran Robert
99,Zane Stein
b,r,e,a,k
Utah State,9
teamInfo,Scotsmen,"Logan, Utah",,,https://twitter.com/usult_imate?lang=en
4,Bryson McNair
05,Samuel Huntzinger
06,Tucker Jewkes
07,Conrad Anhder
08,Scott Jackson
10,DJ Sorensen
11,Zachary Mulkey
12,Landon Lloyd
15,Weston Zwahlen
16,Boston Musgrave
17,Jackson Egbert
19,Ashton McMahon
22,Ryan Beck
24,Jonny Hoffman
25,Henry Nguyen
33,Seth Wilcox
45,Alan Poulsen
47,Calvin Clark
55,Ethan Black
77,Logan Thueson
80,Jake Osborne
92,Jaren Newswander
95,Brock Hyatt
b,r,e,a,k
Santa Clara,16
teamInfo,SCAB,"Santa Clara, California",,,https://twitter.com/SCABUltiFris
coaches,Ryan Messersmith
0,Joshua Colleran
0,Liam Reese
0,Owen Duffy
2,Kieran Greeley
5,Peyton Clark
10,Gavin Malone
11,William Bennett
14,Keaton Viadro
15,Skyler Weight
16,Willy Martinez
18,Agustin Pace
20,Mason Gerwig
22,Rowan Olds
23,David Cummings
24,Daniel Flores
27,Jonah Engelmann
29,Miles Falcone
31,Will DeGasparis
33,Ambrose Vellequette
37,Holden Abramonte
41,Declan Bernal
68,Logan Barnes
88,Declan Lavery
98,David Rogers
99,Zachary Harvey
b,r,e,a,k
Stanford,14
teamInfo,Stanford Bloodthirsty,"Stanford, California",,https://www.facebook.com/stanfordbloodthirsty/,https://twitter.com/stanfordblood
0,Alexander Belfiore
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Josh Walensky
0,Leo Jacoby
0,Mathurin LeDorze
0,Morgan Wyatt
0,Owen Camp
0,Sepehr Asgari
0,Simon Covington
6,Sean Sewell
9,Isandro Malik
10,Charles Shi
12,Charlie Shors
14,Baker Sharp
20,Matan Abrams
21,Tee Monsereenusorn
22,Aristotle Marangu
26,Max Vandervelden
41,William Hartog
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
Southern California,13
teamInfo,USC Lockdown,"Los Angeles, California",https://www.uscmensultimate.org/,https://www.facebook.com/uscmensultimate/,https://www.twitter.com/uscmensultimate/
0,Bicheng Si
0,Calvin Ryan
0,Eli Dorn
0,Giancarlo Rodriguez
0,Mike DiLoreto
0,Yutian Qian
2,Dox Raskin
5,Mateusz Pienkowski
6,Noah Schlenk
08,Dylan Baker
10,Daniel Hochberg
13,Thomas Johnson
14,Jack Fassett
28,Quinn Booth
35,Valentin Post
36,Christian Barrett
41,Emilio Fassett
72,Hari Sridhara
77,Clay Kaufman
99,Alexander Zambidis
b,r,e,a,k
California-Santa Barbara,15
teamInfo,Black Tide,"Santa Barbara, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Ayaaz Shah
0,Derek Rojas
0,Luke Weaver
3,Max Combs
4,Everett Grass
6,Colin Baylis
7,Cole Bushner
8,Ryan Ridenour
9,Christian Van Stralen
10,Daniel Hwang
11,Brendan McGuinness
12,Dosym Kunhardt
13,Ralph Martini
14,Maxwell Fong
15,Michael Demonteverde
15,Leo Ford
23,Grayson Arensdorf
23,Ian Ilgenfritz
23,Alex Cheng
24,Austin Thornburgh
26,Rowan King
27,Phillip Loo
30,Elijah Geduldig
31,Jackson Hill
32,Isaac Duan
33,Liam Kilbridge
38,Ryan Grossklaus
69,Sam Nosler
77,Charlie Rous
88,Caden Lane
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship Bracket
bracket,First Place Bracket
California-Santa Cruz,Cal Poly-SLO,7,6,"03/05/2023, 13:00",Finals,Final
Oregon,California-Santa Cruz,7,11,"03/05/2023, 11:30",Semis,Final
Washington,Cal Poly-SLO,10,11,"03/05/2023, 11:30",Semis,Final
California,Oregon,6,13,"03/05/2023, 10:00",Quarters,Final
Oregon State,California-Santa Cruz,7,10,"03/05/2023, 10:00",Quarters,Final
Victoria,Washington,6,12,"03/05/2023, 10:00",Quarters,Final
California-San Diego,Cal Poly-SLO,10,11,"03/05/2023, 10:00",Quarters,Final
California,Colorado State,13,9,"03/05/2023, 08:30",Prequarters,Final
British Columbia,Oregon State,10,11,"03/05/2023, 08:30",Prequarters,Final
Wisconsin,Victoria,10,12,"03/05/2023, 08:30",Prequarters,Final
Utah State,California-San Diego,10,11,"03/05/2023, 08:30",Prequarters,Final
bracket,Third Place Game
Oregon,Washington,10,11,"03/05/2023, 13:00",Third Place Finals,Final
bracket,Fifth Place Bracket
Victoria,Oregon State,11,12,"03/05/2023, 13:00",Fifth Place Finals,Final
California,Victoria,7,12,"03/05/2023, 11:30",Fifth Place Semis,Final
Oregon State,California-San Diego,13,10,"03/05/2023, 11:30",Fifth Place Semis,Final
bracket,Seventh Place Game
California,California-San Diego,13,8,"03/05/2023, 13:00",Seventh Place Game,Final
b,r,e,a,k
brackets,Ninth Place Bracket
bracket,Ninth Place Bracket
Wisconsin,British Columbia,10,11,"03/05/2023, 13:00",9th Place game,Final
Colorado State,Wisconsin,7,12,"03/05/2023, 11:30",Ninth Place Semis,Final
British Columbia,Utah State,12,11,"03/05/2023, 11:30",Ninth Place Semis,Final
bracket,11th Place Game
Colorado State,Utah State,10,11,"03/04/2023, 00:00",11th Place Game,Final
b,r,e,a,k
brackets,13th Place Bracket
bracket,13th Place Bracket
Santa Clara,Stanford,9,11,"03/05/2023, 10:00",13th Place Bracket,Final
Santa Clara,Southern California,8,7,"03/05/2023, 08:30",13th Place Semis,Final
California-Santa Barbara,Stanford,8,9,"03/05/2023, 08:30",13th Place Semis,Final
bracket,15th Place Game
Southern California,California-Santa Barbara,6,11,"03/05/2023, 10:00",15th Place Game,Final
b,r,e,a,k
pools,Pool Play
pool,Pool A
Oregon,Utah State,13,8,"03/04/2023, 08:30",Pool A,Final
Victoria,Santa Clara,13,5,"03/04/2023, 08:30",Pool A,Final
Oregon,Santa Clara,11,7,"03/04/2023, 10:00",Pool A,Final
Victoria,Utah State,10,13,"03/04/2023, 10:00",Pool A,Final
Oregon,Victoria,13,9,"03/04/2023, 11:30",Pool A,Final
Utah State,Santa Clara,13,4,"03/04/2023, 11:30",Pool A,Final
pool,Pool B
Cal Poly-SLO,Oregon State,13,8,"03/04/2023, 13:00",Pool B,Final
California,California-Santa Barbara,11,10,"03/04/2023, 13:00",Pool B,Final
Cal Poly-SLO,California-Santa Barbara,13,2,"03/04/2023, 14:30",Pool B,Final
California,Oregon State,10,9,"03/04/2023, 14:30",Pool B,Final
Cal Poly-SLO,California,12,8,"03/04/2023, 16:00",Pool B,Final
Oregon State,California-Santa Barbara,12,7,"03/04/2023, 16:00",Pool B,Final
pool,Pool C
Washington,Colorado State,12,13,"03/04/2023, 13:00",Pool C,Final
British Columbia,Stanford,13,6,"03/04/2023, 13:00",Pool C,Final
Washington,Stanford,12,10,"03/04/2023, 14:30",Pool C,Final
British Columbia,Colorado State,13,9,"03/04/2023, 14:30",Pool C,Final
Washington,British Columbia,13,10,"03/04/2023, 16:00",Pool C,Final
Colorado State,Stanford,10,8,"03/04/2023, 16:00",Pool C,Final
pool,Pool D
Wisconsin,California-San Diego,13,7,"03/04/2023, 08:30",Pool D,Final
California-Santa Cruz,Southern California,13,5,"03/04/2023, 08:30",Pool D,Final
Wisconsin,Southern California,13,4,"03/04/2023, 10:00",Pool D,Final
California-Santa Cruz,California-San Diego,12,8,"03/04/2023, 10:00",Pool D,Final
Wisconsin,California-Santa Cruz,10,11,"03/04/2023, 11:30",Pool D,Final
California-San Diego,Southern California,13,11,"03/04/2023, 11:30",Pool D,Final
b,r,e,a,k
