2023 Northwest Mixed Regional Championship,Club - Mixed ,23,9,2023
Lacey,WA,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Northwest-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
BFG,1
28,Brandy Turcotte
29,Chad Encinas
30,Miguel Rodriguez
b,r,e,a,k
Garage Sale,16
teamInfo,,"Eugene, Oregon",,,
0,Bao Pham
0,Brielle Ramsdal
0,Caitlin Winterbottom
0,Emma Bartlett
0,Eric Rosenfeld
0,Isabelle  Bartter
0,Myisha Tarvin
0,Noah Martin
0,Ollie Fox
0,Kimber Muth
0,Phoenix Adams
0,Takisha Tarvin
0,Zach Starr
1,Ravi Cullop
1,Paul Kempler
6,Justin Carter
10,Eli Donohue
14,Bendeguz Pigniczky
14,William Carter
16,Yausi Khajavei
18,Eliana Norton
18,Jackson Riley
23,Archer Gordon
26,Arianna Munro
34,Max Spiegel
42,Theo Schaid Hefley
b,r,e,a,k
s,t,a,g,e,s
clusters,Crossover
cluster,Crossover
BFG,Seattle Mixtape,14,13,"09/23/2023, 13:10",,Final
Red Flag,MOONDOG,15,10,"09/23/2023, 13:10",,Final
Spoke,Hive,15,5,"09/23/2023, 13:10",,Final
Grit City,Igneous Ultimate,13,15,"09/23/2023, 13:10",,Final
Pegasus,Lights Out,10,15,"09/23/2023, 13:10",,Final
Quick Draw,Oregon Scorch,11,14,"09/23/2023, 13:10",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place
BFG,MOONDOG,0,0,"09/24/2023, 09:00",1st Semis,Scheduled
Seattle Mixtape,Red Flag,15,11,"09/24/2023, 09:00",1st Semis,Final
BFG,Oregon Scorch,15,13,"09/23/2023, 15:20",1st Quarters,Final
Spoke,MOONDOG,10,14,"09/23/2023, 15:20",1st Quarters,Final
Seattle Mixtape,Igneous Ultimate,15,6,"09/23/2023, 15:20",1st Quarters,Final
Lights Out,Red Flag,10,15,"09/23/2023, 15:20",1st Quarters,Final
bracket,3rd Place
Oregon Scorch,Red Flag,0,0,"09/24/2023, 11:00",3rd Semis,Scheduled
Oregon Scorch,Spoke,15,8,"09/24/2023, 09:00",3rd Quarters,Final
Igneous Ultimate,Lights Out,0,0,"09/24/2023, 09:00",3rd Quarters,Scheduled
bracket,5th Place
bracket,7th Place
bracket,9th Place
Hive,Grit City,0,0,"09/24/2023, 09:00",9th Semis,In Progress
Pegasus,Quick Draw,0,0,"09/24/2023, 09:00",9th Semis,In Progress
bracket,11th Place
b,r,e,a,k
pools,13th Place Pool
pool,13th Place
Bullet Train,Garage Sale,15,9,"09/23/2023, 13:00",13th Place,Final
Squid Inc.,Stump,14,13,"09/23/2023, 13:00",13th Place,Final
Bullet Train,Stump,0,0,"09/24/2023, 09:00",13th Place,Scheduled
Squid Inc.,Garage Sale,0,0,"09/24/2023, 09:00",13th Place,Scheduled
Bullet Train,Squid Inc.,0,0,"09/24/2023, 11:00",13th Place,Scheduled
Garage Sale,Stump,0,0,"09/24/2023, 11:00",13th Place,Scheduled
b,r,e,a,k
pools,Pool Play
pool,Pool A
BFG,Bullet Train,15,8,"09/23/2023, 09:00",Pool A,Final
Pegasus,Hive,14,11,"09/23/2023, 09:00",Pool A,Final
BFG,Pegasus,15,5,"09/23/2023, 11:00",Pool A,Final
Hive,Bullet Train,12,8,"09/23/2023, 11:00",Pool A,Final
pool,Pool B
Red Flag,Squid Inc.,15,6,"09/23/2023, 09:00",Pool B,Final
Quick Draw,Igneous Ultimate,15,13,"09/23/2023, 09:00",Pool B,Final
Red Flag,Quick Draw,12,9,"09/23/2023, 11:00",Pool B,Final
Igneous Ultimate,Squid Inc.,12,10,"09/23/2023, 11:00",Pool B,Final
pool,Pool C
Seattle Mixtape,Garage Sale,15,7,"09/23/2023, 09:00",Pool C,Final
Spoke,Lights Out,15,10,"09/23/2023, 09:00",Pool C,Final
Seattle Mixtape,Spoke,15,10,"09/23/2023, 11:00",Pool C,Final
Lights Out,Garage Sale,15,10,"09/23/2023, 11:00",Pool C,Final
pool,Pool D
MOONDOG,Stump,15,7,"09/23/2023, 09:00",Pool D,Final
Oregon Scorch,Grit City,11,12,"09/23/2023, 09:00",Pool D,Final
MOONDOG,Grit City,15,7,"09/23/2023, 11:00",Pool D,Final
Oregon Scorch,Stump,15,8,"09/23/2023, 11:00",Pool D,Final
b,r,e,a,k
