2023 Northeast Mixed Regional Championship,Club - Mixed ,23,9,2023
Devens,MA,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Northeast-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
XIST,1
15,Caitlin Fitzgerald
16,Erin Rea
17,Kelsey Devlin
19,Olivia Hampton
20,Zach Wolfe
21,Ben Field
26,Elana Schwam
36,Carl Frederik Brasz
37,Hannah Henkin
45,Sarah Jeung
46,Amy Stoddard
52,Alexander Trahey
55,Ryan Cardinal
63,Amber Sinicrope
64,Davis Whitehead
82,Edward Tu
83,Lucas Lytel
89,Emma Palacio
b,r,e,a,k
Garbage Plates,9
teamInfo,,"Rochester, New York",,,https://twitter.com/gplatesulti?s=17
0,Christine Purtell
0,Colin O'Keefe
0,Dudley Loew
0,Emmett Wilson
0,Jack Kirby
0,Kathryn Toffolo
0,Ken (KJ) Dziak
0,Kevin Mirabal
0,Marisa Wilson
0,MARLENA VERA-SCHOCKNER
0,Angela Dana
0,Aoife Scannell
0,Benjamin Kelley
0,Matthew Rybak
0,Sarah Sheldon
4,Matthew Hall
5,Sarah Wegman
11,Briana Newman
17,Michael Sheldon
21,Sarah Johnson
30,Anna Purtell
36,Andrew Gallagher
39,Noelle Evans
47,Patrick Voorhees
88,Nate August
95,Peter Carter
b,r,e,a,k
Funk,6
teamInfo,,"Newburgh, New York",,https://www.facebook.com/HudsonValleyFunk/,https://twitter.com/HVFunk
0,Briana Chanowitz
0,Cheyenne Mallo
0,Christopher Losapio
0,Dan  McCune
0,Diane Turner
0,Jake Murray
0,Lucas Murphy
2,Allison Case
3,Ava Harnick
5,Melissa Torchio
7,Hannah Chang
8,Emily Mildner
9,Flynn McCarthy
10,Robert (Bobby) Owens
12,Jasper Smith
13,Rebecca Tucker
14,Joseph Ouellette
16,Matthew Keegan
17,Liam McCarthy
18,Arianna Edwards
19,Faith Summers
24,Jordan Acker
28,Matthew Bartell
29,David Leibert
30,Jessica Jolley
36,Lindsay Ork
b,r,e,a,k
LAX,16
teamInfo,,"Montréal, Québec CA",,,
0,Chuck Cantone
0,Cloé Riel
0,Geneviève Richard
0,Janick St-Cyr
0,Francoise Delisle
0,Simon Charette
0,steve bonneau
0,Thomas Faber
10,Jean-Levy Champagne
11,Julie Landry
12,Gabriel Monfette
22,Eric Preseault
23,JULIE TREMBLAY
26,Dany Cote
26,CAROLINE CADOTTE
32,MARIE-EVE ROBERT
44,Christian Mathieu
b,r,e,a,k
UNION,4
teamInfo,,"Toronto, Ontario CA",http://union.playwithspirit.com/,https://www.facebook.com/pages/Union-Ultimate/190712307636599,@unionultimate
0,Jordan Ing-Chen
0,Oren Binnun
5,Emmalyne Azucena
03,MIHAJLO ANTONIJEVIC
05,Emma Seaborn
06,Sarah Burke
10,Hugo Lynch
11,Nelson Le
12,Thomas Panayiotopoulos
15,Matthew Kishi
17,Jason Li
18,Brianna Prentice
19,Tasha McFarland
22,Curtis Campbell
23,Eelavan Jeevarajah
24,Jamee Nepom
25,Jordan Atchison
27,Janet Wan
33,Emma Thorpe
71,Bryan Yue
77,Kathryn Marcelino
90,Ian Hanson
91,Lindsay Musalem
99,Leah Tackaberry-Giddens
b,r,e,a,k
Wild Card,5
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
coaches,Eliot Fenton
0,Aidan McLeod
0,Alex Kapiamba
0,Charlie Bushman
0,Christina Stellwagen
0,Christopher Layden
0,Emma Bushman
0,Fernanda Brena
0,Hannah Marr
0,Iris Rukshin
0,Katherine Connelly
0,Matthew Yee
0,Maxwell Rick
0,Natalie Wheeler
0,Shelly Tsirulik
0,Tamar Austin
0,Tessa Bertozzi
4,Hannah Crowley
4,Alexander Curreri
8,Jason Freedman
10,Annika Chan
11,Scott Dollen
13,Carolina Brager
16,Jacob Arons
24,Pablo Reimers
27,Kaitlyn Thibault
38,Will Burks
b,r,e,a,k
Heat Wave,10
teamInfo,,"Brooklyn, New York",,,
0,Alex Hu
0,Alex Becker
0,Anna Lieberman
0,Becky Chen
0,Caitlin Toner
0,Christina Secor
0,Elissa Picozzi
0,Kevin Ludwig
0,Kyle Chylinski
0,Kylie Sterling
0,Miriam Nielsen
0,Renee Heller
0,Samuel Feder
0,Tia Esposito
0,Zoe Zhu
1,Bernard Wang
2,Tessa Jones
4,Ethan Lieman
7,Cullen MacDowell
16,Robert Hsu
18,Emily Verticchio
20,Cameron Barth
21,Brendan Chin
21,Jonathan Chylinski
40,Justin Thomas
48,Ian Foley
b,r,e,a,k
Buffalo Lake Effect,15
teamInfo,,"Buffalo, New York",www.nickelcityultimate.com,https://www.facebook.com/groups/50331329455/,
0,Bethany Ortquist
0,Colton Zack
0,Emily Porterfield
0,Emma Roberts
0,George Scheibel
0,Isabella Rubin
0,Katie Bilicki
0,Nick Lenhard
0,Riley Robertson
0,Sumner Cushman
0,Theresa Dames
0,Timothy (TJ) Burns
0,Zachary Flint
0,Sarah Flint
1,Jeffrey Harvey
5,Anthony Ceddia
8,Sarah Burns
8,Shane Watts
9,Michelle Tran
13,Ellen Chapman
26,Matthew Montera
55,Loriana Schneider
61,Kristin Poinar
63,Jack Puttre
96,Emma Romell
99,Eoin Joyce
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
XIST,Obscure,13,6,"09/23/2023, 08:00",Pool A,Final
Darkwing,Townies,10,12,"09/23/2023, 08:00",Pool A,Final
XIST,Townies,0,0,"09/23/2023, 09:45",Pool A,Scheduled
Darkwing,Obscure,0,0,"09/23/2023, 09:45",Pool A,Scheduled
XIST,Darkwing,0,0,"09/23/2023, 09:45",Pool A,Scheduled
Townies,Obscure,0,0,"09/23/2023, 09:45",Pool A,Scheduled
pool,Pool B
Sprocket,Grand Army,13,5,"09/23/2023, 08:00",Pool B,Final
The Buoy Association,Deadweight,13,7,"09/23/2023, 08:00",Pool B,Final
Sprocket,Deadweight,0,0,"09/23/2023, 09:45",Pool B,Scheduled
The Buoy Association,Grand Army,0,0,"09/23/2023, 09:45",Pool B,Scheduled
Sprocket,The Buoy Association,0,0,"09/23/2023, 09:45",Pool B,Scheduled
Deadweight,Grand Army,0,0,"09/23/2023, 09:45",Pool B,Scheduled
pool,Pool C
Slow,LAX,13,10,"09/23/2023, 08:00",Pool C,Final
Funk,Garbage Plates,11,12,"09/23/2023, 08:00",Pool C,Final
Slow,Garbage Plates,0,0,"09/23/2023, 09:45",Pool C,Scheduled
Funk,LAX,0,0,"09/23/2023, 09:45",Pool C,Scheduled
Slow,Funk,0,0,"09/23/2023, 09:45",Pool C,Scheduled
Garbage Plates,LAX,0,0,"09/23/2023, 09:45",Pool C,Scheduled
pool,Pool D
UNION,Buffalo Lake Effect,13,8,"09/23/2023, 08:00",Pool D,Final
Wild Card,Heat Wave,13,10,"09/23/2023, 08:00",Pool D,Final
UNION,Heat Wave,0,0,"09/23/2023, 09:45",Pool D,Scheduled
Wild Card,Buffalo Lake Effect,0,0,"09/23/2023, 09:45",Pool D,Scheduled
UNION,Wild Card,0,0,"09/23/2023, 09:45",Pool D,Scheduled
Heat Wave,Buffalo Lake Effect,0,0,"09/23/2023, 09:45",Pool D,Scheduled
b,r,e,a,k
clusters,Crossovers
b,r,e,a,k
brackets,Bracket Play
bracket,Championship of Northeast Mixed Regionals
bracket,3rd Place Bracket
bracket,5th Place
bracket,7th Place
bracket,9th Place
bracket,11th Place
b,r,e,a,k
pools,Consolation
pool,Pool E
b,r,e,a,k
