TCT Select Flight Invite - East 2021,Club - Mixed ,24,7,2021
Columbus,OH,2021-07-24,2021-07-25
https://play.usaultimate.org/events/TCT-Select-Flight-Invite---East-2021/schedule/Mixed/Club-Mixed
Columbus Cocktails,1
27,Abby Guimond
28,Kelsea Fitzpatrick
33,Jessica Budnick
36,Naomi Kantor
47,Dan Kwass
98,John DePaul
99,Daniel Fonte
b,r,e,a,k
Alloy,4
0,Allison Hill
0,Benjamin Attal
0,Gabrielle Doran
0,Hannah Boyd
0,Katy Holt
0,Maxwell Olesen
0,Thomas Merante
2,Sean Newell
5,Kelsey Fink
8,Jeremy Kanter
8,Joseph Merante
01,Christie Lawry
08,Vivian Shen
11,Leo Warren
12,Nicole Fiorentino
15,Connor Newell
19,Joseph Keat
20,Laramie Aspegren
24,Sam Schurer
30,Rachael Liu
34,Will Hoffenkamp
37,Svetlana Romanova
52,Ellis Baehr
b,r,e,a,k
Fleet,13
0,Delrico Johnson
0,Adilina Malave
00,Alexandra Slaughter
00,Alexis Faccone
00,Casey Vaughn
00,Chris Neitzey
00,Daniel Selwyn
00,Aaron Collins
00,Elise Jackson
00,Emily Christ
00,Eric Mooney
00,Grace Champion
00,Jon Pressimone
00,Joseph DiPaula
00,Kara Schulden
00,Kelly Wallace
00,Manuel Miranda
00,Marie Collins
00,Matthew Radhe
00,Natalie Drake
00,Scott Wheeler
00,Stephanie Rolek
36,David Jones
b,r,e,a,k
Petey's Pirates,12
0,Alexandria Hughes
0,Alora Reiff
0,Amanda Noonan
0,Andrew Bustle
0,Austin Eilbeck
0,Delaney Marsalek
0,Eric Border
0,Gordon (Gordy) Sjostrom
0,Hannah Grace Morrison
0,Jonathan Rosen
0,Kelly Ross
0,Logan Reimbold-Thomas
0,Nathan Morgan
0,Sarah Craycraft
0,Stephan Dober
0,Tyler Higgins
5,Milo Eder
7,Luke Groom
12,Alec Mathena
16,Jennifer Dai
19,Sebastian Miner
34,James (Drew) Barkley
37,Tony Donato
44,Chelsea Ardle
b,r,e,a,k
Storm,5
0,Alex Ballentine
0,Alexandra Magid
0,Brandon Eng
0,Eliza Rich
0,Hannah Samuelson
0,Marika Samuelsson
0,Nathan Lyle
0,Ransome Martin
0,Stephanie Herman
0,Kallen Busker
0,Zachary Clark
2,Suhas Madiraju
3,Colin White
6,Dylan Welchman
14,Ellen Yu
33,Abigail Barry
49,Jamie Bryson
69,Jayden Feagans
83,Margaret Barry
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Columbus Cocktails,Chalice,15,9,"07/24/2021, 10:00",Pool A,Final
Minnesota Star Power,POW!,15,4,"07/24/2021, 10:00",Pool A,Final
Columbus Cocktails,POW!,15,7,"07/24/2021, 12:00",Pool A,Final
Minnesota Star Power,Chalice,7,13,"07/24/2021, 12:00",Pool A,Final
Columbus Cocktails,Minnesota Star Power,15,6,"07/24/2021, 14:00",Pool A,Final
Chalice,POW!,12,7,"07/24/2021, 14:00",Pool A,Final
pool,Pool B
Cleveland Crocs,Toast,15,7,"07/24/2021, 10:00",Pool B,Final
'Shine,CHImera,15,5,"07/24/2021, 10:00",Pool B,Final
Cleveland Crocs,CHImera,15,2,"07/24/2021, 12:00",Pool B,Final
'Shine,Toast,15,4,"07/24/2021, 12:00",Pool B,Final
Cleveland Crocs,'Shine,14,15,"07/24/2021, 14:00",Pool B,Final
Toast,CHImera,13,9,"07/24/2021, 14:00",Pool B,Final
pool,Pool C
Steamboat,Ant Madness,14,6,"07/24/2021, 10:00",Pool C,Final
Hybrid,Pixel,15,3,"07/24/2021, 10:00",Pool C,Final
Steamboat,Pixel,12,9,"07/24/2021, 12:00",Pool C,Final
Hybrid,Ant Madness,14,9,"07/24/2021, 12:00",Pool C,Final
Steamboat,Hybrid,8,15,"07/24/2021, 14:00",Pool C,Final
Ant Madness,Pixel,11,10,"07/24/2021, 14:00",Pool C,Final
pool,Pool D
Alloy,Petey's Pirates,14,9,"07/24/2021, 10:00",Pool D,Final
Storm,Fleet,11,15,"07/24/2021, 10:00",Pool D,Final
Alloy,Fleet,12,10,"07/24/2021, 12:00",Pool D,Final
Storm,Petey's Pirates,12,13,"07/24/2021, 12:00",Pool D,Final
Alloy,Storm,6,13,"07/24/2021, 14:00",Pool D,Final
Petey's Pirates,Fleet,10,15,"07/24/2021, 14:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Cleveland Crocs,Hybrid,12,10,"07/25/2021, 15:00",Finals,Final
Cleveland Crocs,Steamboat,15,10,"07/25/2021, 11:00",Semifinals,Final
Hybrid,'Shine,14,10,"07/25/2021, 11:00",Semifinals,Final
Columbus Cocktails,Cleveland Crocs,11,12,"07/25/2021, 09:00",Quarterfinals,Final
Steamboat,Alloy,13,12,"07/25/2021, 09:00",Quarterfinals,Final
Hybrid,Fleet,15,7,"07/25/2021, 09:00",Quarterfinals,Final
Chalice,'Shine,12,13,"07/25/2021, 09:00",Quarterfinals,Final
bracket,3rd Place Bracket
Steamboat,'Shine,10,14,"07/25/2021, 13:00",3rd Place Finals,Final
bracket,5th Place Bracket
Columbus Cocktails,Fleet,15,10,"07/25/2021, 13:00",5th Place Finals,Final
Columbus Cocktails,Alloy,15,10,"07/25/2021, 11:00",5th Place Semifinals,Final
Fleet,Chalice,13,12,"07/25/2021, 11:00",5th Place Semifinals,Final
bracket,7th Place Bracket
Alloy,Chalice,9,11,"07/25/2021, 13:00",7th Place Finals,Final
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
Minnesota Star Power,Storm,10,12,"07/25/2021, 13:00",9th Place Finals,Final
Minnesota Star Power,Petey's Pirates,15,10,"07/25/2021, 11:00",9th Place Semifinals,Final
Storm,Toast,12,11,"07/25/2021, 11:00",9th Place Semifinals,Final
Minnesota Star Power,CHImera,15,12,"07/25/2021, 09:00",9th Place Quarterfinals,Final
Petey's Pirates,Pixel,15,10,"07/25/2021, 09:00",9th Place Quarterfinals,Final
Ant Madness,Storm,12,13,"07/25/2021, 09:00",9th Place Quarterfinals,Final
Toast,POW!,12,6,"07/25/2021, 09:00",9th Place Quarterfinals,Final
bracket,11th Place Bracket
Petey's Pirates,Toast,9,13,"07/25/2021, 13:00",11th Place Finals,Final
bracket,13th Place Bracket
CHImera,Ant Madness,12,11,"07/25/2021, 13:00",13th Place Finals,Final
CHImera,POW!,14,9,"07/25/2021, 11:00",13th Place Semifinals,Final
Pixel,Ant Madness,8,13,"07/25/2021, 11:00",13th Place Semifinals,Final
bracket,15th Place Bracket
POW!,Pixel,11,8,"07/25/2021, 13:00",15th Place Finals,Final
b,r,e,a,k
