Texas Men's Club Sectional Championship 2021,Club - Men ,11,9,2021
Austin,TX,2021-09-11,2021-09-12
https://play.usaultimate.org/events/Texas-Mens-Club-Sectional-Championship-2021/schedule/Men/Club-Men/
Doublewide,1
13,Timothy (Bonesaw!) Kepner
14,Ben Arnecke
17,Henry Charbeneau
21,Rick Artus
22,Hudson Martin
23,Calvin Lin
23,Will Goodwin
27,Trevor Sawatzky
29,Jonathan Zygarlenski
30,Jon Olson
31,Paul Lowe
39,Dylan Lee
44,Ethan Banner
45,Kade Morris
47,Johnathan Roniger
60,Louis Fausak
87,Josh Venter
b,r,e,a,k
Alamode,12
teamInfo,,"San Antonio, Texas",,,
02,Jheremi Villarreal
02,Skye Knight
03,Harrison Greaves
05,Enrique Trejo
06,Christian Lundy-Hawkins
07,Gavin Hart
09,Andrew Camp
10,Fabian Briesmoore
12,Belisario Garza
14,Zane  Fassett
17,Joe Williams
19,Camden Hayes
21,Stuart Hanson
23,Franklin Davis
26,Dylan Chbeir
27,Tat Whitley
30,Tyler Zinck
33,Benjamin Hanson
35,Matthew Moshea
42,Alan Villanueva
47,John Shelley
55,Michael Nguyen
66,Erick  Neilson
69,Christian Paterka
92,Benjamin Andrade
99,Silas Paterka
b,r,e,a,k
Cowtown Cannons,13
teamInfo,,"Fort Worth, Texas",,,
00,Austin  Rector 
00,Benjamin Dipprey
00,Dennis Miller II
00,Nicholas Williams 
00,Ryan Salters
01,Bryan Fancher
02,Sou Sou Phomsavanh
04,Michael Samek
06,Long Nguyen
08,Isaac Fuller
08,Nathaniel Austin
08,Daniel Smith
09,Steve Harring
10,Alec Wilson Holliday
11,Aaron Dyreson
21,Matthew Goebel
22,William Brinkmeyer
25,Ryan Welch
27,Daniel Richards
28,Caleb Mills
32,Justin Holt
70,Clint Blackwell
83,Ryan Buckingham
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Doublewide,Firefly TX,15,2,"09/11/2021, 08:30",Pool A,Final
Foxtrot,Firefly TX,11,8,"09/11/2021, 10:10",Pool A,Final
Doublewide,Foxtrot,15,3,"09/11/2021, 11:50",Pool A,Final
pool,Pool B
H.I.P,Glycerine,13,6,"09/11/2021, 08:30",Pool B,Final
Harvey Cats,San Antonio Warhawks,13,5,"09/11/2021, 08:30",Pool B,Final
H.I.P,San Antonio Warhawks,13,4,"09/11/2021, 10:10",Pool B,Final
Harvey Cats,Glycerine,9,12,"09/11/2021, 10:10",Pool B,Final
H.I.P,Harvey Cats,13,9,"09/11/2021, 11:50",Pool B,Final
Glycerine,San Antonio Warhawks,13,7,"09/11/2021, 11:50",Pool B,Final
pool,Pool C
Flash Flood,Texas United,13,4,"09/11/2021, 08:30",Pool C,Final
Joe Sefton's Little Heroes,cRutch city,11,10,"09/11/2021, 08:30",Pool C,Final
Flash Flood,cRutch city,13,6,"09/11/2021, 10:10",Pool C,Final
Joe Sefton's Little Heroes,Texas United,13,3,"09/11/2021, 10:10",Pool C,Final
Flash Flood,Joe Sefton's Little Heroes,11,9,"09/11/2021, 11:50",Pool C,Final
Texas United,cRutch city,1,13,"09/11/2021, 11:50",Pool C,Final
pool,Pool D
Clutch,Alamode,13,8,"09/11/2021, 08:30",Pool D,Final
Riverside,Cowtown Cannons,13,6,"09/11/2021, 08:30",Pool D,Final
Clutch,Cowtown Cannons,13,12,"09/11/2021, 10:10",Pool D,Final
Riverside,Alamode,11,8,"09/11/2021, 10:10",Pool D,Final
Clutch,Riverside,13,5,"09/11/2021, 11:50",Pool D,Final
Alamode,Cowtown Cannons,13,12,"09/11/2021, 11:50",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship bracket
Doublewide,H.I.P,15,8,"09/12/2021, 10:10",Championship,Final
Doublewide,Clutch,14,5,"09/11/2021, 13:30",Semifinals,Final
Flash Flood,H.I.P,5,15,"09/11/2021, 13:30",Semifinals,Final
bracket,2nd place bracket
H.I.P,Clutch,5,9,"09/12/2021, 11:50",2nd place ,Final
Flash Flood,Clutch,6,10,"09/12/2021, 10:10",4th place,Final
Flash Flood,Riverside,11,4,"09/12/2021, 08:30",Sun Rd 1,Final
Joe Sefton's Little Heroes,Clutch,9,14,"09/12/2021, 08:30",Sun Rd 1,Final
Foxtrot,Riverside,12,13,"09/11/2021, 13:30",Sat Rd 4,Final
Joe Sefton's Little Heroes,Glycerine,11,7,"09/11/2021, 13:30",Sat Rd 4,Final
bracket,5th place bracket
Riverside,Joe Sefton's Little Heroes,7,9,"09/12/2021, 11:50",5th place,Final
Harvey Cats,Riverside,7,10,"09/12/2021, 10:10",5th place semifinal,Final
Joe Sefton's Little Heroes,Firefly TX,9,8,"09/12/2021, 10:10",5th place semifinal,Final
Foxtrot,Harvey Cats,9,12,"09/12/2021, 08:30",5th place quarterfinal,Final
Firefly TX,Glycerine,11,5,"09/12/2021, 08:30",5th place quarterfinal,Final
bracket,9th place bracket
Cowtown Cannons,Alamode,12,10,"09/12/2021, 11:50",9th place,Final
Cowtown Cannons,Foxtrot,15,9,"09/12/2021, 10:10",9th place semifinal,Final
Glycerine,Alamode,8,11,"09/12/2021, 10:10",9th place semifinal,Final
cRutch city,Cowtown Cannons,11,14,"09/12/2021, 08:30",9th place quarterfinal,Final
San Antonio Warhawks,Alamode,7,15,"09/12/2021, 08:30",9th place quarterfinal,Final
Texas United,San Antonio Warhawks,9,11,"09/11/2021, 13:30",9th place Saturday,Final
bracket,7th/8th Place Game
Harvey Cats,Firefly TX,13,9,"09/12/2021, 11:50",7th/8th Place Game,Final
b,r,e,a,k
