TCT Pro-Elite Challenge (Colorado Cup) 2021,Club - Men ,10,7,2021
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-Colorado-Cup-2021/schedule/Men/Club-Men/
PoNY,2
10,Jacob Louie
11,Robert Locke
14,John Kost
21,Danny Wilson-Simpson
27,Caleb Louie
37,Lucas Meade
42,Jonathanc Callahan
44,Dillon Bruer
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
80,Benj Thomsen
b,r,e,a,k
Black Market I,6
0,Ben Royko
0,Joe Cercello
0,Josh Van Cleave
0,Kevin Zhang
0,Nate Cinnamon
0,Phuoc-an Vo
0,Sam Kerner
0,Scott Klein
1,Alex Straczek
1,Daniel Vockeroth
2,Dexter Straczek
2,Ben Sabourin
2,Carlson Chiles
2,Joe Sidrys
5,Zach Kieffer
19,Dylan Magahis
22,Brian Rathunde
23,Mauricio Galeano Rios
26,Matthew Golz
31,Nicholas Golini
31,Justin Forman
40,Canaan Murray
59,Brett Ploussard
66,Jacob  Cuthbert
72,Thomas Glass
76,Girolamo S Kelly
b,r,e,a,k
Scythe,13
01,Daniel Forsyth
02,Tyler Roberts
03,Sean Rock
05,Grant Dunbar
06,Isaiah  Moore
07,Gavin Helligso
08,Michael Schwaderer
09,Nich Rush
10,Nick Sedore
12,Tye Klinnert
13,Tristan Kelly
14,Travis Pratt
15,Derek Vallis
16,Jacob Whempner
17,Austin Heckel
18,William Schmitt
19,Stewart Buckley
20,David Zheng
24,Thomas Sitorius
32,David Kasper
42,Chas Busch
66,Daniel Cabrera
b,r,e,a,k
ISO Atmo,17
0,Christopher Ward
0,Daniel Lepsch
0,Gregory Pullen
0,Brian Ward
0,Matthew Pollard
0,Nate Hopp
0,Shane Eckert
0,Vincent Chen
0,Zacary Parkhill
1,Sam Sincere
9,Preston Goulson
11,Caleb Bevers
11,Jordan  Huntoon 
14,Kyle Rogers
21,David Popp
23,Christopher Smith
25,Chris Fox
42,Tyler Carr
44,Matt Sehgal
64,Eric Gillwald
66,Parker Damon
b,r,e,a,k
Nain Rouge,7
01,Andrew Sjogren
03,Kenneth Debacker
06,Ashwin Pothukuchi
07,Jake Kovalic
11,Elliot Deeds
14,Benjamin Page
16,Raymond Lu
20,Adam Stautberg
21,Travis Compo
25,Bryan Walsh
27,Ian Crowley
28,Alex Barber
29,Alex Bertoia
30,Parker Howard
35,Erik Huemiller
36,Samuel DeVine
39,Theo Shapinsky
42,Evan Parizot
52,Nicholas Colucci
56,Milan Rivas
59,Nicholas Gerber
60,Jordan Kinde
84,Cian Johnson
b,r,e,a,k
Cryptic,12
02,Daniel Neese
05,Dillon Crowell
07,Nathan Bielecki
08,Jacob Knobloch
09,Anthony Newberry
10,Jacob Jahnke
11,Cade Zschiesche
12,David Lopez
14,Cole Davis
17,Reno Brinn
18,Jonathan Beavers
19,Michael (Max) Vinyon
21,Ben Masterson
24,Dominick Peluso
25,Adam Wong
26,Zach Ohnesorge
30,Nolan Cochran
33,Ian Taylor
64,Gabriel Weigel
84,Kegan Wakefield
b,r,e,a,k
Colorado Cutthroat: Youth Club U-20 Boys,22
0,Ahanu Reiva
0,Aidan Williams
0,Aiden Scudder
0,Budger Clark
0,Davis Cutforth
0,Dexter Luecke
0,James Knoblauch
0,Jayden Kazantsev
0,Jeremy Gordon
0,Lincoln Boyd
0,Randy Lahm
0,Rory Lenny
0,Ryan Allenson
0,Sam Ruiz Harding
0,Zeke Thoreson
1,Zach Piepho
1,Collin Ruprecht
12,Logan Sadler
13,Dylan Wu
17,Logan Krehbiel
21,Zackary Bacon
24,Jonah Hammes
41,Spencer Rebman
46,Axel Williams
57,Owen Pearson
b,r,e,a,k
Mallard,11
0,Asa Bowen
0,Becker Mathie
0,Brandon Macho
0,Erik Aadalen
0,Joe Bosshardt
0,Joseph Pickens
0,Malakai Stern
0,Mark Roos
0,Mauricio Badillo Moorman
0,Sam Jordan-Wood
0,William Johnson
4,Kai Bowen
7,Garrett Geib
18,James Nguyen
22,Adam Meckstroth
23,Edwin Driver
26,Sam Resnick
27,Josh Yira
42,Benji Keillor
86,John Helgeson
88,Jonah Jossart
91,Michael Merwin
b,r,e,a,k
PowderHogs,18
0,Jeremy Moore
0,Joel Clutton
0,John (Jack) Dowling
0,Kurt Bruns
0,Tony Robinson
0,Travis Wright
0,Zev Gorfinkle
4,Ryan Nord
5,Chase Stein
8,Cole Stenseth
13,Branden Frieden
17,Scott Grimm
20,Russ Barr
35,Cameron Hartman
42,Philip Hornberger
77,Connor Hess
77,Austin Hasbrook
b,r,e,a,k
Inception,8
0,Ed Dowling
0,Hayden McAdoo
0,Jack Gleason
0,Jarred Canning
0,Jonathan Stirk
0,Joseph Conerty
0,Owen Welch
0,Wesley Poole
2,Dylan Latham McGraw
5,JT Taylor
5,Addison Hanson
12,Linus Mallett
15,Marc Kaylor
17,Tim Jackson
21,Sarang Mittal
21,Lucas Beal
27,Michael Perry
69,Jens Suhr
74,Alexander Bork
74,Jakob Yedo
b,r,e,a,k
The Killjoys,10
0,Chad Yorgason
0,Justin McKeen
0,Logan Clarke
8,Austin Rich
01,Taylor Barton
02,Luke Yorgason
03,Taylor Williams
05,Sam Pugh
07,Devon Terry
08,Sean Connole
09,Devin Andersen
11,Daniel Pettingill
13,Porter Oyler
15,Max  Dehlin
17,David Kroupa
19,Jamison Orton
21,Andrew Stephen
23,Benjamin Ashton 
23,Bryce Kerr
27,Brandon Jordan
28,Anthony Mounga
37,Jarom Brandow
54,Preston Hawkes
65,Ethan Toone
82,Everett Saunders
91,Kalten Toone
b,r,e,a,k
Shade,9
0,Eric Moore
0,Jacob Price
0,Jacob Sachs
0,Matthew Mclaughlin
0,Nitai Deitel
0,Noriaki To
0,Oliver Feder
0,William Perry
2,Ryan Saffa
3,Calvin Vannoy
8,J. Zachary Saffa
10,Jonathan Lao
13,Nicholas Eng
13,Jay Sehgal
15,Alexander Isik
36,Ethan Holmgren
39,Brooks Wallace
40,Jordan Hupp
b,r,e,a,k
Choice City Hops,19
0,Drew Grant
0,Logan Stagg
2,Jonathan Steiner
5,Jackson Akin
00,James Ross
00,John Miller
00,Carson Crouch
00,Clay Rasmussen
00,Cole Turner
00,Eli Chase
00,Elijah Kramer
00,Hunter Cunningham
00,Issacc Noal
00,Kai DeLorenzo
00,Kalvin Fletcher
00,Kenneth Rathmann
00,Mason Kiefer
00,Matthew Cueva
00,Michael Mejia
00,Sam Goldstein
00,Samuel Goertzen
33,Stephen Albert
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sockeye,SoCal Condors,12,15,"07/10/2021, 08:30",Pool A
PoNY,Johnny Bravo,15,12,"07/10/2021, 08:30",Pool A
Sockeye,Johnny Bravo,15,13,"07/10/2021, 10:30",Pool A
PoNY,SoCal Condors,14,9,"07/10/2021, 10:30",Pool A
Sockeye,PoNY,13,14,"07/10/2021, 12:30",Pool A
SoCal Condors,Johnny Bravo,11,13,"07/10/2021, 12:30",Pool A
pool,Pool B
Clutch,Sawtooth,15,9,"07/10/2021, 08:30",Pool B
Battery,Lotus,11,15,"07/10/2021, 08:30",Pool B
Clutch,Lotus,10,15,"07/10/2021, 10:30",Pool B
Battery,Sawtooth,13,9,"07/10/2021, 10:30",Pool B
Clutch,Battery,15,9,"07/10/2021, 12:30",Pool B
Sawtooth,Lotus,4,15,"07/10/2021, 12:30",Pool B
pool,Pool C
Black Market I,Raleigh-Durham United,8,15,"07/10/2021, 08:30",Pool C
Scythe,Fungi,8,15,"07/10/2021, 08:30",Pool C
Black Market I,Fungi,9,15,"07/10/2021, 10:30",Pool C
Scythe,Raleigh-Durham United,5,15,"07/10/2021, 10:30",Pool C
Black Market I,Scythe,12,11,"07/10/2021, 12:30",Pool C
Raleigh-Durham United,Fungi,12,13,"07/10/2021, 12:30",Pool C
pool,Pool D
Nain Rouge,ISO Atmo,14,15,"07/10/2021, 08:30",Pool D
Cryptic,Colorado Cutthroat: Youth Club U-20 Boys,15,7,"07/10/2021, 08:30",Pool D
Nain Rouge,Colorado Cutthroat: Youth Club U-20 Boys,15,5,"07/10/2021, 10:30",Pool D
Cryptic,ISO Atmo,11,15,"07/10/2021, 10:30",Pool D
Nain Rouge,Cryptic,15,9,"07/10/2021, 12:00",Pool D
ISO Atmo,Colorado Cutthroat: Youth Club U-20 Boys,14,8,"07/10/2021, 12:00",Pool D
pool,Pool E
Inception,PowderHogs,13,15,"07/10/2021, 08:30",Pool E
Mallard,PowderHogs,15,11,"07/10/2021, 10:30",Pool E
Inception,Mallard,7,14,"07/10/2021, 12:30",Pool E
pool,Pool F
Shade,Choice City Hops,15,4,"07/10/2021, 08:30",Pool F
The Killjoys,Choice City Hops,15,2,"07/10/2021, 10:30",Pool F
Shade,The Killjoys,6,15,"07/10/2021, 12:30",Pool F
b,r,e,a,k
clusters,Crossover Play
cluster,Crossover Play
Mallard,The Killjoys,4,15,"07/10/2021, 14:30",
PowderHogs,Shade,13,11,"07/10/2021, 14:30",
Inception,Choice City Hops,15,8,"07/10/2021, 14:30",
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place Bracket
Sockeye,Johnny Bravo,15,11,"07/11/2021, 14:30",Finals
PoNY,Sockeye,10,15,"07/11/2021, 10:30",Semifinals
Johnny Bravo,SoCal Condors,15,10,"07/11/2021, 10:30",Semifinals
PoNY,The Killjoys,15,12,"07/11/2021, 08:30",Quarterfinals
Lotus,Sockeye,12,15,"07/11/2021, 08:30",Quarterfinals
Johnny Bravo,Fungi,14,10,"07/11/2021, 08:30",Quarterfinals
ISO Atmo,SoCal Condors,12,15,"07/11/2021, 08:30",Quarterfinals
bracket,3rd Place Bracket
PoNY,SoCal Condors,8,7,"07/11/2021, 12:30",3rd Place
bracket,5th Place Bracket
The Killjoys,Lotus,12,15,"07/11/2021, 12:30",5th Place Finals
The Killjoys,ISO Atmo,15,13,"07/11/2021, 10:30",5th Place Semifinals
Lotus,Fungi,13,10,"07/11/2021, 10:30",5th Place Semifinals
bracket,7th Place Bracket
ISO Atmo,Fungi,8,15,"07/11/2021, 12:30",7th Place
b,r,e,a,k
pools,Consolation Pool Play
pool,Pool K
Battery,Cryptic,15,11,"07/11/2021, 08:30",Pool K
Inception,Black Market I,13,10,"07/11/2021, 08:30",Pool K
Battery,Black Market I,14,10,"07/11/2021, 10:30",Pool K
Inception,Cryptic,13,11,"07/11/2021, 10:30",Pool K
Battery,Inception,13,12,"07/11/2021, 12:30",Pool K
Cryptic,Black Market I,8,15,"07/11/2021, 12:30",Pool K
pool,Pool L
Choice City Hops,Colorado Cutthroat: Youth Club U-20 Boys,15,6,"07/11/2021, 08:30",Pool L
Scythe,Sawtooth,13,12,"07/11/2021, 08:30",Pool L
Choice City Hops,Sawtooth,11,14,"07/11/2021, 10:30",Pool L
Scythe,Colorado Cutthroat: Youth Club U-20 Boys,15,9,"07/11/2021, 10:30",Pool L
Choice City Hops,Scythe,12,15,"07/11/2021, 12:30",Pool L
Colorado Cutthroat: Youth Club U-20 Boys,Sawtooth,13,10,"07/11/2021, 12:30",Pool L
pool,Pool M
Clutch,Nain Rouge,15,13,"07/11/2021, 08:30",Pool M
PowderHogs,Nain Rouge,14,16,"07/11/2021, 10:30",Pool M
Clutch,PowderHogs,15,7,"07/11/2021, 12:30",Pool M
pool,Pool N
Mallard,Shade,10,11,"07/11/2021, 08:30",Pool N
Raleigh-Durham United,Shade,15,9,"07/11/2021, 10:30",Pool N
Mallard,Raleigh-Durham United,11,15,"07/11/2021, 12:30",Pool N
b,r,e,a,k
clusters,Consolation Crossover Play
cluster,Consolation Crossover Play
Clutch,Raleigh-Durham United,6,9,"07/11/2021, 14:30",
Nain Rouge,Shade,15,12,"07/11/2021, 14:30",
PowderHogs,Mallard,10,11,"07/11/2021, 14:30",
b,r,e,a,k
