Capital Mixed Club Sectional Championship 2021,Club - Mixed ,11,9,2021
Fredericksburg,VA,2021-09-11,2021-09-12
https://play.usaultimate.org/events/Capital-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Space Heater,1
00,Couper Kerns
00,Mitchell Yam
00,Patrick Vorathiankul
00,Riley Frey
00,Robert OReilly
00,Virginia Arnold
00,Andrew Nee
00,Anna Salafsky
00,Anna Fisher Lopez
00,Carly Cameron
00,Claire Lee
00,Abigail Freund
00,Akiva Dienstfrey
00,Ethan Edds
00,Eva Turner
00,Grace Wang
18,Emma Smith
20,Ammon Longenecker
b,r,e,a,k
8 Bit Heroes,3
0,Max Cormier
1,Brady Twyman 
2,Spencer Santos
3,Jessika Turner
5,Robert Van Hassel
7,Juliet Chung
8,Justus Sturtevant
10,Jay Weir
11,Liz Grimes
12,Destiny Lim
13,Maria Packard
14,Nicole LaDue
16,Diana Burke
17,Celina Holler
18,Mike Randow
19,Eric Helm
21,Max Trifillis
23,Anna Tarren
24,Jordan Vanasdale
25,Ethan Krokonko
27,Scott Bennett
28,Lennart Knight
30,Chris Muller
73,Mark Flores
86,Justin Solis
88,Robert Pratt
b,r,e,a,k
Revival,6
0,Andrew Elliott
0,Beau De Koninck
0,Chloe Wade
0,Cullen Monahan
0,Geoffrey Bernardo
0,Grace Rutkowski
0,Griffin Schutte
0,Griffin Lang
0,Kay Comer
0,Paul Bean
0,Rachel Shannon
0,Rebekah Forrer
0,Victoria Davis
3,Curtis Farmer
4,Mimi Tran
5,Ethan Ruh
10,Matthew Reynolds
12,Tyler Davis
13,Keys Pattie
13,Austin Smith
14,Victoria Higgins
17,Jacob Shade
31,Linh Bui
38,Ariel Vogel
47,Billy Harmon
73,Lida Daniel
b,r,e,a,k
HVAC,11
0,Calli Merron
0,Christine Derieux
0,David Hill
0,Faith Kean
0,Grace Laudeman
0,Krista Woodward
0,Kyle Williamson
0,Malcom Fox
3,Mason Chupka
8,Jasmine Xie
9,Alice Emch
11,Paulina Pelaez
11,Surya Murty
13,Nicole Getter
16,Carolyn Fante
20,Sean Mizoguchi
27,Tyler Coleman
30,Jeremy Neff
44,Andrew Weisman
77,Rebecca Sokol-Snyder
81,Ben Frattini
84,Jason Davidson
94,Alex Davis
b,r,e,a,k
Stormborn,14
0,Alison Palmer
0,Ashlyn Salvage
0,Borchueh Wu
0,Carina Gwennap
0,David Paladin-Fernandez
0,Emily Xu
0,Emily Bramhall
0,Claire O'Bryan
0,Jasun Moy
0,Milani Chatterji-Len
0,Taylor McGraw
3,Andrew Deshler
8,Luc Bouchard
9,Cory Hancock
10,Joseph Miller
11,Quang Le
11,Joseph Kathan
11,Ben Hutchinson
12,Logan Wright
17,Tyler Shaw
24,Jack Reickel
24,Aaron Stone
27,Chris Keane
32,Amelia Becker
33,Huy Nguyen
76,Mary Chen
b,r,e,a,k
Fleet,4
0,Adilina Malave
0,Alexandra Slaughter
0,Alexis Faccone
0,Chris Neitzey
0,Delrico Johnson
0,Emily Christ
0,Grace Champion
0,Jose Maldonado
0,Joseph DiPaula
0,Kara Schulden
0,Kelly Wallace
0,Kristen Dietrick
0,Lili Gu
0,Marie Collins
0,Matthew Radhe
0,Scott Wheeler
6,Stephanie Rolek
9,Casey Vaughn
25,Natalie Drake
36,David Jones
52,Aaron Collins
63,Jon Pressimone
69,Manuel Miranda
69,Ryan Bates
88,Eric Mooney
94,Daniel Selwyn
b,r,e,a,k
Spice,5
00,Anna Caughron
00,Arron Danehy
00,Brian Grundy
00,Dana Dunbar
00,Dick (Richard Sr) Leary
00,Dyon Vega
00,Emma Colavincenzo
00,Erin Flores
00,Eva Voth
00,Franklin Ahrens
00,Garrett Manno
00,Jack Connelly
00,Joseph Terrana
00,Josh Epstein
00,Kelsey Schoeman
00,Lynn Mandeltort
00,Mary McCall
00,Maya Neal
00,Nick Robinson
00,Noah Carter
00,Rachel Retica
00,Rhiannon Begley
00,Tracy Kuper
00,Victor Shen
00,William Clark
99,Yannick Albert
b,r,e,a,k
District Cocktails,12
0,Ian Edgell
01,Egburonu Uduka
03,Nicholas Mozer
04,Justine Cenzer
05,Daley Burns
07,Rebecca Balton
08,Daniel Bowman
09,John Giannini
10,Erik Larmore
12,Abigail Toretsky
13,Jessica Flagg
14,Natsu Kumagai
15,Geoffrey Horsfield
16,Collin Brooks
18,Galen Reifsnider
22,Benjamin Holgash
23,Charles Yu
27,Jennifer Pridemore
28,Alec Marks
36,Molly Norrbom
38,Eric Beier
42,Andrew O'Neill
49,Sophie Crochet
79,Daniel Dresser
99,Rebecca Dorety
b,r,e,a,k
Espionage,13
0,Anja Kochendoerfer
0,Austin Reed
0,Brian Doherty
0,Bryn Coldwell
0,Christopher Grenier
0,Coye Gerald
0,Dana Egan
0,Daniel Bernstein
0,Daniela Reeve
0,Jayoung Christner
0,Jessica Matsuda
0,Julianna Gohman
0,Loriann Hom
0,Marc Gottschalk
0,Melissa Gilbert
0,Nicholas Dacosta
0,Peter Linton
0,Abigail Austin
4,David Erdley
9,Angelina LaMastra
10,Lydia Schaar
31,Scott Hetu
77,Christopher Scoular
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Space Heater,Pumphouse,13,2,"09/11/2021, 09:00",Pool A,Final
Fireball,Brackish,13,10,"09/11/2021, 09:00",Pool A,Final
Space Heater,Fireball,13,7,"09/11/2021, 10:50",Pool A,Final
Rat City,Brackish,13,5,"09/11/2021, 10:50",Pool A,Final
Brackish,Pumphouse,8,10,"09/11/2021, 12:40",Pool A,Final
Rat City,Fireball,12,13,"09/11/2021, 12:40",Pool A,Final
Space Heater,Brackish,13,1,"09/11/2021, 14:30",Pool A,Final
Rat City,Pumphouse,13,4,"09/11/2021, 14:30",Pool A,Final
Space Heater,Rat City,13,3,"09/11/2021, 16:20",Pool A,Final
Fireball,Pumphouse,13,5,"09/11/2021, 16:20",Pool A,Final
pool,Pool B
Rally,Swing,13,2,"09/11/2021, 09:00",Pool B,Final
Legion,Heavy Flow,12,10,"09/11/2021, 09:00",Pool B,Final
Rally,Legion,13,7,"09/11/2021, 10:50",Pool B,Final
Ant Madness,Heavy Flow,12,5,"09/11/2021, 10:50",Pool B,Final
Heavy Flow,Swing,9,8,"09/11/2021, 12:40",Pool B,Final
Ant Madness,Legion,12,8,"09/11/2021, 12:40",Pool B,Final
Rally,Heavy Flow,13,1,"09/11/2021, 14:30",Pool B,Final
Ant Madness,Swing,10,7,"09/11/2021, 14:30",Pool B,Final
Rally,Ant Madness,13,4,"09/11/2021, 16:20",Pool B,Final
Legion,Swing,13,6,"09/11/2021, 16:20",Pool B,Final
pool,Pool C
8 Bit Heroes,HVAC,10,9,"09/11/2021, 10:50",Pool C,Final
Revival,Stormborn,15,4,"09/11/2021, 10:50",Pool C,Final
8 Bit Heroes,Stormborn,13,8,"09/11/2021, 12:40",Pool C,Final
Revival,HVAC,15,4,"09/11/2021, 12:40",Pool C,Final
8 Bit Heroes,Revival,10,9,"09/11/2021, 14:30",Pool C,Final
HVAC,Stormborn,12,9,"09/11/2021, 14:30",Pool C,Final
pool,Pool D
Fleet,District Cocktails,15,3,"09/11/2021, 10:50",Pool D,Final
Spice,Espionage,13,10,"09/11/2021, 10:50",Pool D,Final
Fleet,Espionage,15,7,"09/11/2021, 12:40",Pool D,Final
Spice,District Cocktails,10,7,"09/11/2021, 12:40",Pool D,Final
Fleet,Spice,12,7,"09/11/2021, 14:30",Pool D,Final
District Cocktails,Espionage,10,6,"09/11/2021, 14:30",Pool D,Final
b,r,e,a,k
brackets,1st Place Bracket
bracket,1st place
Space Heater,Rally,15,8,"09/12/2021, 12:30",1st Place,Final
Space Heater,Fleet,15,6,"09/12/2021, 08:30",1st Place Semi-Finals,Final
Rally,8 Bit Heroes,15,3,"09/12/2021, 08:30",1st Place Semi-Finals,Final
b,r,e,a,k
brackets,2nd Place Bracket
bracket,2nd place
Rally,Fleet,1,0,"09/12/2021, 14:30",2nd Place,Final
Fireball,Fleet,7,15,"09/12/2021, 12:30",2nd Place Semi-Finals,Final
8 Bit Heroes,Fireball,10,11,"09/12/2021, 10:30",2nd Place Quarter-Finals,Final
Revival,Fleet,10,11,"09/12/2021, 10:30",2nd Place Quarter-Finals,Final
Fireball,Spice,11,10,"09/12/2021, 08:30",2nd Place Pre-Quarter-Finals,Final
Ant Madness,Revival,8,12,"09/12/2021, 08:30",2nd Place Pre-Quarter-Finals,Final
b,r,e,a,k
brackets,4th Place Bracket
bracket,4th place
Fireball,8 Bit Heroes,0,1,"09/12/2021, 14:30",4th Place,Final
8 Bit Heroes,Revival,13,8,"09/12/2021, 12:30",4th Place Semi-Finals,Final
b,r,e,a,k
brackets,6th Place Bracket
bracket,6th place
Revival,Spice,0,0,"09/12/2021, 14:30",6th Place,Scheduled
Rat City,Spice,13,9,"09/12/2021, 12:30",6th Place Semi-Finals,Final
Ant Madness,Rat City,8,10,"09/12/2021, 10:30",6th Place Quarter-Finals,Final
Legion,Spice,9,12,"09/12/2021, 10:30",6th Place Quarter-Finals,Final
Rat City,District Cocktails,15,4,"09/12/2021, 08:30",6th Place Pre-Quarter-Finals,Final
Legion,HVAC,11,10,"09/12/2021, 08:30",6th Place Pre-Quarter-Finals,Final
b,r,e,a,k
brackets,8th Place Bracket
bracket,8th place
Rat City,Ant Madness,0,0,"09/12/2021, 14:30",8th Place,Scheduled
Ant Madness,Legion,9,8,"09/12/2021, 12:30",8th Place Semi-Finals,Final
b,r,e,a,k
brackets,10th Place Bracket
bracket,10th place
Legion,HVAC,6,15,"09/12/2021, 14:30",Finals,Final
HVAC,District Cocktails,13,8,"09/12/2021, 12:30",10th Place Semi-Finals,Final
HVAC,Espionage,12,9,"09/12/2021, 10:30",10th Place Quarter Finals,Final
Heavy Flow,District Cocktails,10,13,"09/12/2021, 10:30",10th Place Quarter Finals,Final
Pumphouse,Espionage,9,15,"09/12/2021, 08:30",10th Place Pre-Quarters,Final
Heavy Flow,Stormborn,12,10,"09/12/2021, 08:30",10th Place Pre-Quarters,Final
b,r,e,a,k
brackets,12th Place Bracket
bracket,12th Place
District Cocktails,Espionage,7,11,"09/12/2021, 14:30",Finals,Final
Espionage,Heavy Flow,11,9,"09/12/2021, 12:30",12th Place Semis,Final
b,r,e,a,k
brackets,15th Place Bracket
bracket,15th place
Stormborn,Pumphouse,12,10,"09/12/2021, 10:30",15th Place,Final
b,r,e,a,k
brackets,17th Place Bracket
bracket,17th place
Brackish,Swing,14,9,"09/12/2021, 10:30",17th Place,Final
b,r,e,a,k
