South Central Club Men's Regional Championship 2021,Club - Men ,26,9,2021
https://play.usaultimate.org/events/South-Central-Club-Mens-Regional-Championship-2021/schedule/Men/Club-Men/
Johnny Bravo,1
Supercell,16
0,Donni Ahmadi
0,Galen Piwowar
0,Jack Herdejurgen
0,Jacob Livesay
0,Brian McHatton
0,Robert Taylor
0,Ryan Orland
31,Christopher Leonard
77,Carter Patton
89,Kenneth Boyd
99,Jacob Meves
b,r,e,a,k
Joe Sefton's Little Heroes,9
0,Brandon Lemens
0,Calvin Nguyen
0,Christopher Layden
0,Elan McMinn
0,Gavin Babbitt
0,Gregory Lowry
0,Ira Benson
0,Jackson Heijmen
0,Jake Worthington
0,Luke Allen
0,Oliver Powers
0,Peter Ngo
0,Ryan Reinhart
0,Saaketh Palchuru
0,Sebastien Lauzy
0,Shane Heath
10,Xavier Fuzat
11,John Clyde
14,Cade White
24,Joe Sefton
33,Aaron Barcio
69,Owen Smith
69,Christopher Cassella
b,r,e,a,k
Harvey Cats,12
0,Alex Jang
0,Andrew Robbins
0,Dylan Zeringue
0,Jonathan Chiou
0,Jared Schueler
0,Nathan Poese
0,Robert Benson
0,Shawn Silverman
0,Travis Vermaelen
1,Dillon Rathman
3,Michael Paniagua
5,Philip Nelson
9,Michael Conlin
12,Jason Miller
12,Joshua Narabal
17,Grant Hardy
18,William Steindorf
24,Ben Gibbons
37,Taylor Neigut
39,Marco Manalang
43,Adam  Sellers
44,Greg Muth
47,James Strasburg
49,Michael Wode
69,Ricky Stanfield
73,Mark Hansen
b,r,e,a,k
Firefly TX,13
0,Guadalupe Garcia
01,Kevin Schmidt
02,Cameron Guillen
03,Cole Lamkins
07,Marcelo Gonzalez
08,Reid Pannell
09,Cameron Reid
10,Steven Kelly
11,Rhyan Miller
13,Brandon  Odell
15,Jordan Bertolino
16,David Waters
19,Stephen Strack
20,Frank KyawSwar Aung
22,Sam  Hill
23,Bryan Kirchmeier
24,Piercen Hoekstra
30,James McIntyre
42,Jeremy Waters
44,Garrett Davis
51,Joe Wright
64,Schaeffer Carr
77,Noah Furrh
80,Michael Strack
92,Aaron Dunn
b,r,e,a,k
Cowtown Cannons,14
00,Austin  Rector 
00,Benjamin Dipprey
00,Dennis Miller II
00,Nicholas Williams 
00,Ryan Salters
01,Bryan Fancher
02,Sou Sou Phomsavanh
04,Michael Samek
06,Long Nguyen
08,Isaac Fuller
08,Nathaniel Austin
08,Daniel Smith
09,Steve Harring
10,Alec Wilson Holliday
11,Aaron Dyreson
21,Matthew Goebel
22,William Brinkmeyer
25,Ryan Welch
27,Daniel Richards
28,Caleb Mills
32,Justin Holt
70,Clint Blackwell
83,Ryan Buckingham
b,r,e,a,k
Dreadnought,11
0,Justine Cherwink
0,Keith Urbanski
0,Nate Goodlin
0,Peter Cook
0,Preston Long
0,Timothy McMullen
0,Travis Duwe
0,Trevor Wingate
2,Thomas Dockery
8,Asa Brown
9,Ben Morgan
10,Jalen West
10,Lennon Dycus
11,Trevor Cook
11,Trent Woessner
14,Kendall Lowe
14,Matthew Ball
15,Jacob Moore
21,John Bagley
22,Pierce Teeuwen
32,Drew Taylor
36,Justin MIlls
52,Ian Erly
66,Mark Belvardi
69,Clayton Adams
81,Joel Stennett
b,r,e,a,k
Riverside,10
0,Kyle Jasany
1,Garrett Gonzales
3,Michael Clark
4,Maxwell Marion
7,Jackson Helling
8,Noah Sheets
10,Lamson Nguyen
11,Jason Jenkins
12,Trenton Hebert
13,Timothy (Bonesaw!) Kepner
14,Ben Arnecke
17,Henry Charbeneau
21,Rick Artus
22,Hudson Martin
23,Calvin Lin
23,Will Goodwin
27,Trevor Sawatzky
29,Jonathan Zygarlenski
30,Jon Olson
31,Paul Lowe
39,Dylan Lee
44,Ethan Banner
45,Kade Morris
47,Johnathan Roniger
60,Louis Fausak
87,Josh Venter
b,r,e,a,k
Alamode,15
02,Jheremi Villarreal
02,Skye Knight
03,Harrison Greaves
05,Enrique Trejo
06,Christian Lundy-Hawkins
07,Gavin Hart
09,Andrew Camp
10,Fabian Briesmoore
12,Belisario Garza
14,Zane  Fassett
17,Joe Williams
19,Camden Hayes
21,Stuart Hanson
23,Franklin Davis
26,Dylan Chbeir
27,Tat Whitley
30,Tyler Zinck
33,Benjamin Hanson
35,Matthew Moshea
42,Alan Villanueva
47,John Shelley
55,Michael Nguyen
66,Erick  Neilson
69,Christian Paterka
92,Benjamin Andrade
99,Silas Paterka
b,r,e,a,k
s,t,a,g,e,s
brackets,Game Play
bracket,Championship Bracket
Johnny Bravo,Doublewide,13,11,"09/26/2021, 11:00",Finals
Johnny Bravo,Clutch,13,8,"09/25/2021, 13:30",Semi-Finals
Lotus,Doublewide,15,13,"09/25/2021, 13:30",Semi-Finals
Johnny Bravo,Flash Flood,13,6,"09/25/2021, 11:00",Quarter-Finals
Clutch,Fungi,12,8,"09/25/2021, 11:00",Quarter-Finals
Lotus,H.I.P,13,11,"09/25/2021, 11:00",Quarter-Finals
ISO Atmo,Doublewide,2,13,"09/25/2021, 11:00",Quarter-Finals
Johnny Bravo,Supercell,13,2,"09/25/2021, 09:00",Round of 16
Joe Sefton's Little Heroes,Flash Flood,10,13,"09/25/2021, 09:00",Round of 16
Clutch,Harvey Cats,13,3,"09/25/2021, 09:00",Round of 16
Firefly TX,Fungi,5,13,"09/25/2021, 09:00",Round of 16
Lotus,Cowtown Cannons,13,6,"09/25/2021, 09:00",Round of 16
Dreadnought,H.I.P,8,13,"09/25/2021, 09:00",Round of 16
ISO Atmo,Riverside,13,8,"09/25/2021, 09:00",Round of 16
Alamode,Doublewide,5,13,"09/25/2021, 09:00",Round of 16
bracket,Backdoor Bracket
Doublewide,Lotus,10,13,"09/26/2021, 13:00",Game to Go
H.I.P,Lotus,10,13,"09/26/2021, 11:00",GtG Semis
H.I.P,Clutch,13,6,"09/26/2021, 09:00",GtG Quarters
Fungi,Lotus,7,13,"09/26/2021, 09:00",GtG Quarters
Joe Sefton's Little Heroes,H.I.P,10,13,"09/25/2021, 15:00",Backdoor Rd 3
Fungi,Flash Flood,13,7,"09/25/2021, 15:00",Backdoor Rd 3
ISO Atmo,Joe Sefton's Little Heroes,11,13,"09/25/2021, 13:00",Backdoor Rd 2
H.I.P,Harvey Cats,13,5,"09/25/2021, 13:00",Backdoor Rd 2
Fungi,Cowtown Cannons,13,9,"09/25/2021, 13:00",Backdoor Rd 2
Flash Flood,Riverside,13,3,"09/25/2021, 13:00",Backdoor Rd 2
Supercell,Joe Sefton's Little Heroes,6,13,"09/25/2021, 11:00",Backdoor Rd 1
Harvey Cats,Firefly TX,13,9,"09/25/2021, 11:00",Backdoor Rd 1
Cowtown Cannons,Dreadnought,13,12,"09/25/2021, 11:00",Backdoor Rd 1
Riverside,Alamode,13,12,"09/25/2021, 11:00",Backdoor Rd 1
bracket,7th Place
Joe Sefton's Little Heroes,Flash Flood,13,12,"09/26/2021, 09:00",7th Place game
bracket,Select Flight order
Clutch,Fungi,6,13,"09/26/2021, 11:00",5th place game
b,r,e,a,k
pools,13th-16th Pool
pool,Pool A
Firefly TX,Alamode,13,10,"09/25/2021, 13:00",Pool A
Dreadnought,Supercell,13,5,"09/25/2021, 13:00",Pool A
Firefly TX,Supercell,13,9,"09/26/2021, 09:00",Pool A
Dreadnought,Alamode,13,4,"09/26/2021, 09:00",Pool A
Firefly TX,Dreadnought,11,13,"09/26/2021, 11:00",Pool A
Alamode,Supercell,11,3,"09/26/2021, 11:00",Pool A
b,r,e,a,k
pools,9th-12th Pool
pool,Pool B
ISO Atmo,Cowtown Cannons,13,7,"09/26/2021, 09:00",Pool B
Riverside,Harvey Cats,13,12,"09/26/2021, 09:00",Pool B
ISO Atmo,Harvey Cats,13,10,"09/26/2021, 11:00",Pool B
Riverside,Cowtown Cannons,13,5,"09/26/2021, 11:00",Pool B
ISO Atmo,Riverside,13,12,"09/26/2021, 13:00",Pool B
Cowtown Cannons,Harvey Cats,13,6,"09/26/2021, 13:00",Pool B
b,r,e,a,k
