East New England Mixed Club Sectional Championship 2021,Club - Mixed ,11,9,2021
Devens,MA,2021-09-11,2021-09-12
https://play.usaultimate.org/events/East-New-England-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Slow,1
7,Maxwell Rick
8,Connor Fortin
9,John Rahill
10,Annika Chan
11,Lloyd Olson
17,Tamar Austin
19,Emily Decker
24,Pablo Reimers
42,Anthony Lamanna
b,r,e,a,k
Chaotic Good,6
teamInfo,,"Cambridge, Massachusetts",modules/common/www.chaoticgoodultimate.com,modules/common/www.facebook.com/chaoticgoodulti,www.twitter.com/chaoticgoodulti
0,Hao Shen
0,Ian Cutler
0,Jamie Sharken
0,Jaquille Jones
0,Kathryn Haapala
0,Kevin O'Brien
0,Benjamin Rosenfeld
0,Candace Adelberg
0,Christopher Mark
0,Emma Lowenstein
0,Erica Tangney
0,Matthew NK Smith
0,Maya Stokes
0,Axis Sivitz
0,Sam VanNoy
0,Valerie Locker
3,Samantha Paulsen
6,Lauren Bertino
9,Lisa Liu
10,Olivia Player
16,Yuval Pearl
17,Nadav Pearl
34,Ben Weintraub
42,Andreas Lietzau
99,Nicholas Lucchesi
b,r,e,a,k
Obscure,9
teamInfo,,"Boston, Massachusetts",,,
0,Abe Kielar
0,Aidan McLeod
0,Alex (Wei Yuh) Chang
0,Anna Shanedling
0,Ariella Korn
0,Benjamin Duffy
0,Evie Adams
0,Carl Frederik Brasz
0,Katherine Connelly
0,Kim Mahan
0,Kimberly Levins
0,Luke Arnone
0,Meghan O'Hearn
0,Peter Ko
0,Ryan Tucker
0,Sam Staples
0,Steven Stanish
4,Nick DiOrio
7,Katherine England
11,Ryan Levins
14,Eli Inkelas
14,Eva Brasz
17,Kristie Kelly
34,Zach Darbeloff
69,Victor Wu
84,Sam Farnsworth
b,r,e,a,k
League of Shadows,5
teamInfo,,"Boston, Massachusetts",,,
0,Alicia Seeley
0,Alison Tassone
00,Alison Hill
00,Amanda Giles
00,Charlie Bushman
00,Cici Wang
00,Connor Coale
00,Daniel Hartsoe
00,David Shum
00,Emma Bushman
00,Eve Robinson
00,Frank Qin
00,Jack Deschler
00,Leo Blooston
00,Luke Ding
00,Meredith Duffy
00,Thomas Barry
00,Tracy d'Arbeloff
02,Edward Tu
10,Patricia Neckowicz
17,Lillian Huang
19,Karissa  Tabtieng
21,Charles Marokhovsky
29,Tate Tabtieng
77,Matthew Fasano
99,Jordan Kaufman
b,r,e,a,k
Sunken Circus,10
teamInfo,,"Portland , Maine",,,
0,Amy LeBel
0,Anna Briley
0,Bailey Kirwin
0,Daniel Butler
0,Emma Schwartz
0,Gunnar Heckler
0,Brendan King
0,Hudson Carr
0,Jess Mizzi
0,Jordan Troisi
0,Lily Barter
0,Mohdis Baker
0,Molly Hale
0,Nathan Buck
0,Sarah  King
0,Zachary  Wheeler
2,Ian McClelland
4,William Davis
5,Pearce Kelley
7,Matthew Wilbanks
9,Samantha Munson
17,Caylin Carbonell
24,Steven Wilkinson
46,Benjamin Scharadin
66,Joshua Keith-Hardy
90,Hayley SooHoo
b,r,e,a,k
Dirigo,7
teamInfo,,"Portland, Maine",,,
0,Adelle Pitsas
0,Alberto Morales
0,Andrew Applegate
0,Caitlin O'Connell
0,Eben DeSilva
0,Emma Massey
0,Erik March
0,Eva Fury
0,Grace Stoughton
0,Jared Jandreau
0,Jennifer O'Connell
0,John Sands
0,Julian Erickson-Watson
0,Kelly Rehberg
0,Lauren Clayter
0,Nicholas Nelsonwood
0,Willa Morales
1,Nick Muth
3,Kate Powers
5,Tom Stoughton
9,Jack Rice
11,Paul Rees II
19,Kathleen Janosik
42,Mark Lessard
44,Emily Pozzy
b,r,e,a,k
Lampshade,8
teamInfo,,"Cambridge, Massachusetts",,,
0,Adam Alper
0,Ciaran Young
0,Clare McInerney
0,Fernanda Brena
0,Hannah Paborsky
0,Jaden Busch
0,Jordan Bricknell
0,Karina Cruz
0,Kelly Chen
0,Molly Rockwood
0,Robert Shapiro
0,Bobby Lovitch
0,Lucas Lytel
0,Stella Lau
0,Varun Shah
14,Gregory Oreste
14,Mei-An Nolan
20,Kevin Murphy
22,Gina Pryciak
23,Samuel Wilk
24,Dan Wall
33,Tayara Romero
72,Dylan Frank
74,Eva McDermott
77,Walton (Yuito) Lee
88,Dalton Lovins
b,r,e,a,k
Scarecrow,11
teamInfo,,"Manchester, New Hampshire",,modules/common/www.facebook.com/ScarecrowUltimate/,www.twitter.com/ScarecrowMixed
01,Anthony Bevilacqua
01,Breanna Bozzuto
01,Brenna McNamara
01,Caitlin Whited
01,Calvin Conant
01,Christopher Linskey
01,Colby Jacques
01,Danielle Chancey
01,Frederick Sheehan
01,Gabriella  Palermo
01,George Abuhamad
01,Jay Delani 
01,Julie Costello
01,Kaitlin Purdy Murphy
01,Lauren Kraemer
01,Rachel Stevens
01,Robert Lyke
01,Ryan Benincase
01,Sean Murphy
01,Stephanie Esker
01,Thomas Stover
01,Tom Bertrand
01,Trent Linker
01,Tyler Hall
01,Zack Sheehan
01,Zoe Honigberg
b,r,e,a,k
Face Off,12
teamInfo,,"Portsmouth, New Hampshire",,https://www.facebook.com/faceoffultimate/,
0,Amana Vander-Heyden
0,Annalise  Keeler
0,Jeremy Halstead
0,Julia Kallmerten
0,Neal Gibeault
0,Ryan Creamer
2,Elizabeth Archibald
7,Santino Marchesano
9,Kyle Cayer
02,Lauren Burkhardt
04,Brad Blais
05,Julia Wakeman
09,Andrea Parise
11,Jesse Schwartz
12,Keefer Welsh
14,David Dwyer
17,Daniel Zoller
24,Mary Liz Brady
30,Ethan Oglesby
31,Kristen  Davis
34,Rob Parise
37,Chris St Pierre
45,Henry Briggs
54,Jacob Schwartz
67,William Peyser
b,r,e,a,k
Rainbow,13
teamInfo,,"Somerville, Massachusetts",https://www.rainbowultimate.com,https://www.instagram.com/rainbowultimate/,
0,Jack Briskie
0,Jane Farrell
0,Jay Turner
0,Joe Rafalak
0,Jonathan Cass
0,Jonathan Kelly
0,Justin Grimaldi
0,Kara Breeden
0,Matthew Schwartz
0,Alison Collins
0,Andrew Goh
0,Ann Ritchie
0,Daniel Horrigan
0,Melissa DiBerardino
0,Ronald Ankner
0,Sajani Clerk
0,Sarah Antilla
0,Sebastian Chen
0,Shamira Shariffudin
0,Timothy Whitworth
4,Daniel Jones
16,Robert Hsu
26,Conor Breeden
26,Souichi Terada
40,Jacee Cox
77,Megan Barstead
b,r,e,a,k
Sorted Beans,16
teamInfo,,"Cambridge, Massachusetts",,,
0,Abigail Fournier
0,Allie Mundis
0,Ashley Wong
0,Chris Yang
0,Danny Klein
0,Hillary Hoyt
0,Jane Healy
0,John Vaughn
0,Kristian Blau
0,Lydia Abbott
0,Michelle Guerriero
0,Myraeka d'Leeuwen
0,Olivia Hoyt
0,Ray Jiang
0,Shelly Tsirulik
4,Ben Moyer
7,Jakob Farnham
11,Joshua Murray
13,Devin Malanaphy
17,Christopher Haley
28,Catherine Romanova
92,James Greytok
b,r,e,a,k
Down to Huck,14
teamInfo,,"Cambridge, Massachusetts",,,
0,Erica Salazar
0,Gracie Jackson
0,Jasmin Strickland
0,Bo  Lu
0,Kelly Matysik
0,Michael Farrugia
0,Olivia Tom
0,Rachael Elliott
0,Richard La Mura
0,Rose Dennis
0,Scott MacLeish
0,Thomas White
0,Xiaojie (Aaron) Li
2,Elizabeth Wu
2,Jessica Xu
5,Russell Laman
7,Acer Xu
21,Andrew Hughes
21,Marika Faytell Grimm
34,Ben Drevitch
68,Andrew Parmet
99,Kristi Schmeling
b,r,e,a,k
Replay,15
teamInfo,,"Boston, Massachusetts",,,
0,Adrena Seferian
0,Blake Read
0,Brian Schweinhart
0,Lizzie Kistler
0,Jenny Chan
0,Jessica Armstrong
0,Julia Zubiago
0,Hilda Doan
0,Kaitlyn West
0,Matt Driscoll
0,Sarah Rumrill
0,Yidi Huang
6,Peter Borge
07,Cheni Chadowitz
10,Lacey Agnew
15,Casey Zhu
17,Ian Brown
21,Jason Trinh
23,Diana Yeh
41,Gabriel Kaptchuk
53,Benjamin Brown
64,Julia Leung
b,r,e,a,k
s,t,a,g,e,s
brackets,Brackets
bracket,1st Place Bracket
Slow,Sprocket,12,8,"09/12/2021, 11:00",1st Place,Final
Slow,Darkwing,15,5,"09/12/2021, 09:00",Semifinals,Final
Wild Card,Sprocket,8,13,"09/12/2021, 09:00",Semifinals,Final
Slow,Chaotic Good,13,3,"09/11/2021, 15:00",Quarterfinals,Final
Wild Card,Obscure,13,6,"09/11/2021, 15:00",Quarterfinals,Final
Sprocket,League of Shadows,13,6,"09/11/2021, 15:00",Quarterfinals,Final
Darkwing,Sunken Circus,13,6,"09/11/2021, 15:00",Quarterfinals,Final
bracket,2nd Place Bracket
Sprocket,Wild Card,13,9,"09/12/2021, 13:00",2nd Place,Final
Darkwing,Wild Card,9,11,"09/12/2021, 11:00",2nd Place Semis,Final
bracket,4th Place Bracket
Darkwing,League of Shadows,12,11,"09/12/2021, 13:00",4th Place,Final
Chaotic Good,League of Shadows,9,12,"09/12/2021, 11:00",4th Place Semis,Final
Chaotic Good,Sunken Circus,13,11,"09/12/2021, 09:00",4th Place Quarters,Final
Obscure,League of Shadows,9,10,"09/12/2021, 09:00",4th Place Quarters,Final
bracket,7th Place Bracket
Obscure,Sunken Circus,15,4,"09/12/2021, 13:00",7th Place,Final
Obscure,Dirigo,10,9,"09/12/2021, 11:00",7th Place Semis,Final
Lampshade,Sunken Circus,8,11,"09/12/2021, 11:00",7th Place Semis,Final
Dirigo,Scarecrow,14,6,"09/12/2021, 09:00",7th Place Quarters,Final
Lampshade,Face Off,11,3,"09/12/2021, 09:00",7th Place Quarters,Final
Dirigo,Rainbow,13,4,"09/11/2021, 15:00",7th Place Pre-Quarters,Final
Scarecrow,Sorted Beans,13,6,"09/11/2021, 15:00",7th Place Pre-Quarters,Final
Down to Huck,Lampshade,11,13,"09/11/2021, 15:00",7th Place Pre-Quarters,Final
Face Off,Replay,11,8,"09/11/2021, 15:00",7th Place Pre-Quarters,Final
bracket,9th Place
Dirigo,Lampshade,15,6,"09/12/2021, 13:00",9th Place,Final
bracket,11th Place Bracket
Rainbow,Scarecrow,6,13,"09/12/2021, 13:00",11th Place,Final
Face Off,Rainbow,11,12,"09/12/2021, 11:00",11th Place Semis,Final
Replay,Scarecrow,3,11,"09/12/2021, 11:00",11th Place Semis,Final
Rainbow,Sorted Beans,13,5,"09/12/2021, 09:00",11th Place Quarters,Final
Down to Huck,Replay,8,11,"09/05/2021, 09:00",11th Place Quarters,Final
bracket,13th Place
Face Off,Replay,12,13,"09/12/2021, 13:00",13th Place,Final
bracket,15th Place
Sorted Beans,Down to Huck,12,10,"09/12/2021, 11:00",15th Place,Final
b,r,e,a,k
pools,Pool Play
pool,Pool A
Slow,Obscure,13,4,"09/11/2021, 09:00",Pool A,Final
Lampshade,Sorted Beans,13,5,"09/11/2021, 09:00",Pool A,Final
Slow,Sorted Beans,13,1,"09/11/2021, 11:00",Pool A,Final
Lampshade,Obscure,6,13,"09/11/2021, 11:00",Pool A,Final
Slow,Lampshade,13,2,"09/11/2021, 13:00",Pool A,Final
Obscure,Sorted Beans,13,7,"09/11/2021, 13:00",Pool A,Final
pool,Pool B
Sprocket,Sunken Circus,13,4,"09/11/2021, 09:00",Pool B,Final
Dirigo,Replay,13,2,"09/11/2021, 09:00",Pool B,Final
Sprocket,Replay,13,6,"09/11/2021, 11:00",Pool B,Final
Dirigo,Sunken Circus,9,12,"09/11/2021, 11:00",Pool B,Final
Sprocket,Dirigo,13,3,"09/11/2021, 13:00",Pool B,Final
Sunken Circus,Replay,13,6,"09/11/2021, 13:00",Pool B,Final
pool,Pool C
Wild Card,Scarecrow,13,5,"09/11/2021, 09:00",Pool C,Final
Chaotic Good,Down to Huck,13,4,"09/11/2021, 09:00",Pool C,Final
Wild Card,Down to Huck,13,1,"09/11/2021, 11:00",Pool C,Final
Chaotic Good,Scarecrow,13,8,"09/11/2021, 11:00",Pool C,Final
Wild Card,Chaotic Good,13,11,"09/11/2021, 13:00",Pool C,Final
Scarecrow,Down to Huck,13,9,"09/11/2021, 13:00",Pool C,Final
pool,Pool D
Darkwing,Face Off,13,7,"09/11/2021, 09:00",Pool D,Final
League of Shadows,Rainbow,13,4,"09/11/2021, 09:00",Pool D,Final
Darkwing,Rainbow,13,3,"09/11/2021, 11:00",Pool D,Final
League of Shadows,Face Off,13,2,"09/11/2021, 11:00",Pool D,Final
Darkwing,League of Shadows,13,9,"09/11/2021, 13:00",Pool D,Final
Face Off,Rainbow,11,8,"09/11/2021, 13:00",Pool D,Final
b,r,e,a,k
