Northwest Club Mixed Regional Championship 2021,Club - Mixed ,25,9,2021
Olympia,WA,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Northwest-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
BFG,1
05,Grace Whitmore
09,"Dana ""Zuul"" Nelson"
10,Natalie Clifton
11,Elizabeth Madura
12,Jace Decker
13,Sam Jervey
16,Yausi Khajavei
18,Eliana Norton
21,Sydney Arndorfer
25,Carmen Resnick
27,Lucas Spiegel
42,Theo Schaid Hefley
44,Keith Bucher
45,Thomas Hibdon
47,Kory Northrop
49,Lindsay Hedgecock
65,Eric Rosenfeld
68,Isabella Harker
99,Takisha Tarvin
b,r,e,a,k
Seattle Mixtape,2
teamInfo,,"Seattle, Washington",,https://www.facebook.com/206ghettobirds/,https://twitter.com/SeattleMIXtape
0,Marc Anthony Munoz
1,Kelly Johnson
3,Cam Bailey
4,Kat Songer
7,Frances Gellert
8,Kahyee Fong
9,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
12,Abby Hecko
13,Stephanie Lim
16,Zach Sabin
17,Aimie Kawai
19,Alexa Romersa
21,Jesse Bolton
23,William Katz
27,Dominic Cavalero
31,Henry Phan
32,Emily Smith-Wilson
48,Tori Gray
60,Bradley Houser
69,Michael Brisbois
71,Arianne Lozano
86,Manuel Eckert
90,Qxhna Titcomb
99,Khalif El-Salaam
b,r,e,a,k
Lochsa,7
teamInfo,,"Boise, Idaho",,https://www.facebook.com/Lochsa-Ultimate-2267054443521399/,@LochsaUltimate
00,Vespera Aragon
01,Jeffrey Brandle
02,Nathan Huff
03,James Dahl
04,Nathaniel Dryden
05,Trenton Pearsall
06,Oliver Atkinson
09,Rich Brown
10,Kate Corr
12,Kendra  Mitchell
14,Scott Kaltenecker
19,Hannah Bruns
21,Kelsey Breen
22,Ryan Van Hook
24,Sarah Staller
27,Shannon Montaño
28,Daniel White
36,Kevin Farrell
37,Daniel Kwok
38,Cori Bigham
40,Drew Lysne
43,Jacob Miller
44,Abbie Abramovich
47,Juliana Williams
58,Paige Kercher
88,Joe Dawson
b,r,e,a,k
Yard Sale,13
teamInfo,,,,,
0,Anne Jensen
0,Ashley Ludack
0,Dallin Opperman
0,Daniel Bozone
0,Deanna Bozone
0,Erin Vincent
0,Erin Suttman
0,Georgina Hosman
0,Isaac Conley
0,Jonah Erb
0,Kim Doane
0,Simon Mann-Gow
0,Tyler Foster
0,Zoie Bauer
1,Cullen Landry
3,Holly Magnusson
6,Josiah Peck
8,Sean Reischel
10,Wes Speight
10,Austin Ferrari
12,Jennie Wainer
13,Kolton Nelder
32,Alec Benton
69,Kyle Husebye
83,Laura Carr
90,Liz Bunderson
b,r,e,a,k
Happy Hour,12
teamInfo,,"McMinnville, Oregon",,,
0,Ash Wylder
0,Emily Cebron
0,Hannah Anderson
0,Jessica Rice
0,Kim-An Quinn
0,James Cebron
0,Megan Mancini
0,Patrick Murphy
0,Rebecca Salwin
0,Ryan Wilder
0,Taurin Skinner-Maginnis
0,Thomas Oliver
1,Robert OBrien
4,Lindsay Higa
7,Stanley Barnes
9,Michiko Magnant
9,Daniel Love
10,Ian Fouts
15,Rachel Auerbach
16,Nicholas Domenichini
19,Jesse Prichard
20,Reza  Refaei
42,Haley Love
69,Aaron Haddeland
69,Helen Mead
83,Matthew Wilensky
b,r,e,a,k
Sorta,3
teamInfo,,"Seattle, Washington",,,
0,Duncan Linn
0,Elizabeth Arakaki
0,Frank Devin Barich
0,Hannah M Kreilkamp
0,Hannah Louis
0,Ian Guerin
0,Jacob Speidel
0,Kristie Wong
0,Lindsey Wilson
0,Milo Snyder
0,Molly Sinnott
0,Nora Carr
0,Paige Soper
0,Peter Ostergaard
0,Sam Harkness
0,Sarah Davis
0,Sean Sears
0,Thomas Rosatto
0,Alyssa Weatherford
0,Bailey Zahniser
0,Chloe Rotenberg
0,Chris Kosednar
0,Daniella Welsh
3,Matthew Knowles
7,Zane Rankin
23,Danny Karlinsky
b,r,e,a,k
MOONDOG,6
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Albany Jessop
0,Catie Carson
0,Emily Grimes
0,Hallie Widner
0,Lisa Keller
0,Scott Glickman
3,Casey Brandon
6,Demri Horton
9,Matt Konen
11,Kyla Crisp
12,Kari Shelkey
16,Shaela Wallen
18,Ethan Yourd
20,Sarah Megyesi
25,Andrew Shanafelt
26,Sam Hines
29,Zach Baumann
31,Caleb Stanek
33,Genesea Meha
34,Davis Mossman
34,Ben Perkel
34,Tara Santi
39,Tyler Albrethsen
42,Kevin Ryder
44,Sam Berkelhammer
55,Tyler Honsinger
b,r,e,a,k
Lady Justice,16
teamInfo,,"Salt Lake City, Utah",,,
00,Aaron Sherrill
00,Aiden Coutin
00,Alea Clymer
00,Alex Ballinger
00,Alexander Hopp
00,Allison O'Bryan
00,Audrey Selfridge
00,Brian Tripoli
00,Brittany Vallene
00,Byron Head
00,Carter Christopherson
00,Christopher Balch
00,Dillon Burke
00,Holly Teufel
00,Joe Simonett
00,Jon Blinderman
00,Lani Tripoli
00,LJ Lansdowne
00,Madeline Paskett
00,Matt Cragun
00,Melissa Porter
00,Porter Stobbe
00,Sarah Szymczyk
00,Shannon Ballinger
00,Thomas Hennen
00,Wilhelmina Graff
b,r,e,a,k
Lights Out,9
teamInfo,,"Seattle, Washington",,https://www.facebook.com/Lights-Out-Ultimate-982520691925825/,https://twitter.com/LightsOutUlti
coaches,Kate Kingery,Stephen Semmens
0,Cris Hollyfield
1,Wade Hankin
2,Patrick Brady
9,Jacob Shillue
06,Chris Rupp
10,Katherine Speck
11,Trudy Philip
13,Maria Herman
17,Alex Fussell
18,Anna Chute
19,Lindsey Miller
20,Luke Jesperson
21,Christopher Sun
22,Catherine Chung
23,Todd Sliva
25,Gavin Sing
27,Sabine Blumenthal
32,Daniel Walton
40,Ky Lewis IV
42,John Quandt
44,Sonya Morris
64,Bryan Bernard
71,Megan Yang
77,Emily Beylerian
92,Hannah Filley
99,Kyle Terriere
b,r,e,a,k
Birdfruit,4
teamInfo,,"Seattle, Washington",https://seattlebirdfruit.com,https://facebook.com/seattlebirdfruit,https://twitter.com/bird_fruit
0,Marianna Heckendorn
01,Roy Fang
03,Gabriel Ryan
04,Nicole Cramer
05,Lauren Pattie
07,Taylor Hartman
09,Garrett Yung
11,Laura Manson
12,Matthew Niemer
13,Jacob Lambert
14,Peter Geertz-Larson
15,Benjamin Ostman
17,Molly Wieringa
19,Chris Roach
21,Goda Tarcijonas
24,Stephen Burkot
26,Arjun Kumar
32,Souma Yabuki
36,Kamal Raslan
44,Margo Heffron
44,Grace Young
47,Anika Burrell
66,Jennifer Norris
86,Denise Blohowiak
89,Sophia Scofield-Selby
91,Craig Harkey
b,r,e,a,k
Hive,10
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Annalise Heuser
0,Azen Jaffe
0,Jeremy Randolph-Flagg
0,Kim Dorr
0,Rosemarie Terner
0,Samuel Adamson
0,Sarah Poulisse
0,Scott Cochran
5,Noah Stuart
6,Alex Mitchell
7,Devon Graham
10,Casey Clapp
11,Kelly Marx
12,Sara Spring
13,Phoenix Bruner
19,hannah Teagle
21,Jacob Artz
23,Abbe  Domenick 
30,Miguel Rodriguez
31,William Beck
32,Emily Hays
35,Vinai Charoenwongsawang
53,Matt Bauer
80,Nathan Braun
88,Rebecca Hamilton
90,Samuel Warrick
b,r,e,a,k
Oregon Rockets,15
teamInfo,,"Oregon, Oregon",,,
02,Cassie  Jantzer 
03,Travis Jantzer
05,Joel  Caswell
07,Elyssa  Caswell
08,Kyle Blaeuer
11,Kelly Westberg
12,Joshua Blesse
17,Joseph Gipner
17,Katie Horsley
18,Erik Lindberg
21,Keali Mccarter
23,Marissa  Caswell
24,Danielle Grooms
25,Max Horowitz
27,Kevin Jantzer
34,Brian Stout
38,Julia Hanly
47,James Yang
57,Bif Reiser
74,Jamie Johnson
b,r,e,a,k
The Administrators,5
teamInfo,,"Portland, Oregon",,,https://twitter.com/admitators
0,Pete Overright
01,Josh Moore
02,Elizabeth Herzfeldt-Kamprath
03,Kendall Jorgensen
04,Blake Murray
05,Spencer Magnusson
07,Cheri Young
09,John Staskal
10,Jared Fitzpatrick
11,Christine Beaulieu
13,Jake Johnson
14,Kristin Moore
16,Joseph Leo Pepper
17,Shea Brennan
22,Michelle Hendrick
23,Enrique Carranza
24,Maddy Wagar
26,Adriana Cvitkovic
28,Tahlia Hodes
29,Peter Beach
33,Aaron Kees
44,Amanda Ullrick
48,Brian Pearson
56,Valerie Peacock
64,Dillon Roberts
73,Carl Justin Hermosura
b,r,e,a,k
s,t,a,g,e,s
brackets,Mini Bracket A
bracket,Mini Bracket A
BFG,Bullet Train,13,5,"09/25/2021, 10:50",Bracket A Round 2,Final
BFG,Pegasus,13,4,"09/25/2021, 09:00",Bracket A Round 1,Final
Bullet Train,Garage Sale,11,8,"09/25/2021, 09:00",Bracket A Round 1,Final
bracket,Mini Bracket A
Pegasus,Garage Sale,10,9,"09/25/2021, 10:50",Bracket A 3rd Place,Final
b,r,e,a,k
brackets,Mini Bracket B
bracket,Mini Bracket B
Seattle Mixtape,Lochsa,13,8,"09/25/2021, 10:50",Bracket B Round 2,Final
Seattle Mixtape,Yard Sale,13,4,"09/25/2021, 09:00",Bracket B Round 1,Final
Lochsa,Happy Hour,13,3,"09/25/2021, 09:00",Bracket B Round 1,Final
bracket,Mini Bracket B
Yard Sale,Happy Hour,13,6,"09/25/2021, 10:50",Bracket B 3rd Place,Final
b,r,e,a,k
brackets,Mini Bracket C
bracket,Mini Bracket C
Sorta,MOONDOG,12,8,"09/25/2021, 10:50",Bracket C Round 2,Final
Sorta,Lady Justice,13,2,"09/25/2021, 09:00",Bracket C Round 1,Final
MOONDOG,Lights Out,13,11,"09/25/2021, 09:00",Bracket C Round 1,Final
bracket,Mini Bracket C
Lady Justice,Lights Out,3,13,"09/25/2021, 10:50",Bracket C 3rd Place,Final
b,r,e,a,k
brackets,Mini Bracket D
bracket,Mini Bracket D
Birdfruit,Hive,13,5,"09/25/2021, 10:50",Bracket D Round 2,Final
Birdfruit,Oregon Rockets,13,7,"09/25/2021, 09:00",Bracket D Round 1,Final
The Administrators,Hive,8,13,"09/25/2021, 09:00",Bracket D Round 1,Final
bracket,Mini Bracket D
Oregon Rockets,The Administrators,10,13,"09/25/2021, 10:50",Bracket D 3rd Place,Final
b,r,e,a,k
clusters,Round 4 Crossovers
cluster,Crossovers
BFG,Sorta,13,4,"09/25/2021, 12:40",,Final
Seattle Mixtape,Birdfruit,13,7,"09/25/2021, 12:40",,Final
Bullet Train,Lights Out,7,13,"09/25/2021, 12:40",,Final
Lochsa,The Administrators,13,10,"09/25/2021, 12:40",,Final
MOONDOG,Pegasus,13,5,"09/25/2021, 12:40",,Final
Hive,Yard Sale,9,12,"09/25/2021, 12:40",,Final
cluster,4th Place Pool Play Cross Over
Garage Sale,Oregon Rockets,9,12,"09/25/2021, 14:30",,Final
Happy Hour,Lady Justice,13,6,"09/25/2021, 14:30",,Final
b,r,e,a,k
brackets,Sunday Brackets
bracket,1st/2nd Place
BFG,Seattle Mixtape,13,10,"09/26/2021, 13:00",Championship,Final
BFG,MOONDOG,13,10,"09/26/2021, 10:50",1st Semis,Final
Sorta,Seattle Mixtape,6,13,"09/26/2021, 10:50",1st Semis,Final
BFG,Lochsa,13,5,"09/26/2021, 09:00",1st Quarters,Final
MOONDOG,Birdfruit,12,7,"09/26/2021, 09:00",1st Quarters,Final
Sorta,Lights Out,11,7,"09/26/2021, 09:00",1st Quarters,Final
Yard Sale,Seattle Mixtape,5,13,"09/26/2021, 09:00",1st Quarters,Final
bracket,3rd/4th Place
Lochsa,MOONDOG,13,10,"09/26/2021, 14:30",3rd/4th Place,Final
Lochsa,Sorta,12,9,"09/26/2021, 12:40",3rd Semifinals,Final
Lights Out,MOONDOG,8,13,"09/26/2021, 12:40",3rd Semifinals,Final
Lochsa,Birdfruit,10,9,"09/26/2021, 10:50",3rd Quarters,Final
Lights Out,Yard Sale,12,7,"09/26/2021, 10:50",3rd Quarters,Final
bracket,7th/8th Place
Birdfruit,Yard Sale,10,9,"09/26/2021, 12:40",7th/8th Place,Final
bracket,5th/6th Place
Sorta,Lights Out,0,0,"09/26/2021, 14:30",5th/6th Place,Scheduled
bracket,9th/10th Place
Hive,The Administrators,12,13,"09/26/2021, 12:40",9th/10th Place,Final
Oregon Rockets,Hive,12,13,"09/26/2021, 10:50",9th Semifinals,Final
The Administrators,Pegasus,13,8,"09/26/2021, 10:50",9th Semifinals,Final
Oregon Rockets,Bullet Train,12,11,"09/26/2021, 09:00",9th Quarters,Final
Hive,Lady Justice,13,3,"09/26/2021, 09:00",9th Quarters,Final
Garage Sale,The Administrators,5,13,"09/26/2021, 09:00",9th Quarters,Final
Pegasus,Happy Hour,11,6,"09/26/2021, 09:00",9th Quarters,Final
bracket,11th/12th Place
Pegasus,Happy Hour,0,0,"09/26/2021, 14:30",11th/12th Place,Final
Pegasus,Bullet Train,10,9,"09/26/2021, 12:40",11th Semis,Final
Happy Hour,Oregon Rockets,13,11,"09/26/2021, 12:40",11th Semis,Final
Bullet Train,Lady Justice,13,2,"09/26/2021, 10:50",11th Quarters,Final
Garage Sale,Happy Hour,12,13,"09/26/2021, 10:50",11th Quarters,Final
bracket,15th/16th Place
Happy Hour,Lady Justice,0,0,"09/26/2021, 12:40",15th/16th Place,Scheduled
bracket,13th/14th Place
Oregon Rockets,Bullet Train,0,1,"09/26/2021, 14:30",13th/14th Place,Final
b,r,e,a,k
