Great Lakes Mixed Club Regional Championship 2021,Club - Mixed ,2,10,2021
Cincinnati,OH,2021-10-02,2021-10-03
https://play.usaultimate.org/events/Great-Lakes-Mixed-Club-Regional-Championship-2021/schedule/Mixed/Club-Mixed
Hybrid,1
9,Nathan Partenheimer
10,Alan Field
13,Dave Christopher
13,Jared Saltsman
20,Chris Hensel
31,Jordanna Payne
32,Timothy Willer
33,Jalyn Baumgartner
35,Paul Avilez
42,Kelly Kerker
66,Collin Koury
69,Brittney Ballard
b,r,e,a,k
Columbus Cocktails,3
teamInfo,,"Columbus, Ohio",,,@cbusmixed
0,Caitlin Duffner
0,Cara Sieber
0,Christopher Wohl
0,Cody Petitt
0,David Picone
0,Eliot Alexander
0,Elizabeth Diamond
0,Emily Barrett
0,Jordan O'Neill
0,Lexie Thomas
0,Lloyd Furuta
0,Michael Kromer
0,Nic Gill
0,Riley Dickson
2,Sion Agami Contreras
3,David Braden
4,David Valentine-Elam
7,Todd Grace
9,Charles Furse
11,Sadie Jezierski
17,Benjamin Reith
18,Axel Agami Contreras
21,Kelsey Foster
22,Mallory Griffith
47,Penelope Wu
82,Katherine Sandstrom
b,r,e,a,k
Stripes,6
teamInfo,,"Chicago, Illinois",,,
00,Allison Fish
00,Audrey Sanchez
00,Bradley Bolliger
00,Emily Muscat
00,Emily Molloy
00,Erin Newman
00,Haley Hudson
00,Jeffrey Spetter
00,Jessica Sipperley
00,Jorge Duarte
00,Larkin Johnson
00,Matt Gubernick
00,Michael Egan
00,Michael McCafferty
00,MK Andersen
00,Nick Myhre
00,Nick Sanchez
00,Rodrigo Arcibar
00,Sarah Arnberger
00,Adam Klaus
00,Alex Nimmer
00,Alex Birko
16,Alison Ellis
b,r,e,a,k
Jabba,15
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,https://twitter.com/JabbaChi
0,Abby Jones
0,Abby Haworth
0,Alex Dudzik
0,Alyssa Bennett
0,Colleen DeVries
0,David Benda
0,David Lee
0,Jamie Fee 
0,Jessica Fairhurst
0,Josh Cahn
0,Leigh Abrams
0,Marissa Leff
0,Anna Martinello
0,Mike L'Hommedieu
0,Sarah Warren
0,Steve Janda
7,Amber Waite
13,Rene Quintana
13,Timothy Burnett
20,Matt Afryl
27,Ryan Logan
28,Sofia Collins
41,Benjamin Wallerstedt
59,Joseph Cacciatore
64,Joe Leibforth
82,Steven Jeka
b,r,e,a,k
Pixel,10
teamInfo,,"Detroit, Michigan",,https://www.facebook.com/pixeldetroitultimate/,https://twitter.com/pxlultimate
0,Trevor Kyle
02,Hayley Banas
04,Tyler ODonnell
05,Claire Blazewicz
08,Trey Taliaferro
10,David  Cole
11,Jacob Scobey-Polacheck
12,Benjamin Williams
14,Acacia Farber-Krug
15,Michael Giles
16,Alex Barton
17,Chad Dunne
18,Hanna Schechter
19,Beth Quisenberry
20,Madison Nightingale
21,Channing Watson
22,Joshua Osinski
23,Keara Crook
26,Gretchen Mills
28,Kelsea Fitzpatrick
33,Jessica Budnick
36,Naomi Kantor
47,Dan Kwass
98,John DePaul
99,Daniel Fonte
b,r,e,a,k
U54 Ultimate,4
teamInfo,,"Chicago, Illinois",http://u54ultimate.org,,https://twitter.com/u54ultimate
0,Lindsey Hack
0,Monica Matsumoto
0,Reed Hendrickson
2,Michael Shiel
4,Lizzy Shiel
5,Andrew Sheehan
10,Christine Huffer
11,Craig Poeppelman
12,Erika Danckers
13,Lori Eich
17,Ariel Choi
19,Georgia Bosscher
21,John Kolb
21,David Wiseman
26,Kevin Kelly
29,Michael Schwenk
33,Carl Deffenbaugh
34,Jesse Buchsbaum
36,Timothy Fergus
37,Daniel Williams
43,Sarah Schram
51,Cullen Geppert
51,Andrew (AJ) Nelson
64,Neal Phelps
80,Valentina Shiel (Ngai)
99,George Hughes
b,r,e,a,k
Steamboat,5
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
01,Scott Schriner
03,Mary Timmons
04,Katherine Buckingham 
05,Ryan Gorman
06,Patrick McCarthy
07,Michael Partusch
08,Tim Settles
10,Jennifer Golan
12,Varun Pattani
13,Kristin Baxter
14,Tabetha Ridgway
20,Aaron Ho
23,Dorothy Chan
24,Michael Settles
25,Gabriella  Enders
28,Jeff Haney
32,Victoria Smith
33,Austin Winner
44,Aislinn DeSieghardt
50,Ryan Walker
54,Jacob Fields
66,Daniel Conrad
77,Daniel Khoe
81,Kimberly Cooper
88,Janey Vandegrift
b,r,e,a,k
EMU,9
teamInfo,,"Evanston, Illinois",,,
coaches,Christian Rozolis
0,Andrew Patel
0,Collin Klenke
0,Isabelle Johnson
0,Jacob Wham
0,Grace Hauser
0,Jessica Esteves
0,Kate  Feldstein
0,Kenneth Allen
0,Kylie Chesner
0,Max Moore
0,Raul Rosenfeld
0,Samantha Cohen
1,Sarah Johnson
8,Peter Walsh
11,Micah Thompkins
19,Anna Scarbrough
20,Jordan Parry
20,Jay Valdillez
25,Hindeke Tewodros
29,Jade Hostein
33,Jakub Jezusek
36,Gavin Rosengarten
37,Mary Hermann
85,Hunter Latson
88,Jason Paul
96,George Irving
b,r,e,a,k
Thunderpants the Magic Dragon,16
teamInfo,,"Dayton, Ohio",,,
00,Alex Carpenter
00,Amanda Stapleton
00,Andrew Carr
00,Celeste Irwin
00,Christopher Powers
00,Emilia Porter
00,Ian Cannon
00,Jacob Royster
00,Jeff Kula
00,John Wernet
00,Kevin Kula
00,Lucy Kuempel
00,Maeve Meier
00,Matthew Dilworth
00,Mike Walsh
00,Nieka deNeve
00,Olivia Bayer
00,Simon Reiter
00,Tara McLaughlin
00,Thomas Brewster
00,Tierney Miller
00,Timothy Barczak
00,Tommy Tappel
00,Troy Stapleton
22,Kristi Muhlenkamp
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Hybrid,ELevate,13,2,"10/02/2021, 09:00",Pool A,Final
Toast,CHImera,10,12,"10/02/2021, 09:00",Pool A,Final
Hybrid,CHImera,13,5,"10/02/2021, 10:50",Pool A,Final
Toast,ELevate,12,8,"10/02/2021, 10:50",Pool A,Final
Hybrid,Toast,13,2,"10/02/2021, 12:40",Pool A,Final
ELevate,CHImera,7,10,"10/02/2021, 12:40",Pool A,Final
pool,Pool B
Cleveland Crocs,POW!,13,3,"10/02/2021, 09:00",Pool B,Final
Petey's Pirates,Liquid Hustle,13,7,"10/02/2021, 09:00",Pool B,Final
Cleveland Crocs,Liquid Hustle,13,3,"10/02/2021, 10:50",Pool B,Final
Petey's Pirates,POW!,13,7,"10/02/2021, 10:50",Pool B,Final
Cleveland Crocs,Petey's Pirates,13,5,"10/02/2021, 12:40",Pool B,Final
POW!,Liquid Hustle,10,8,"10/02/2021, 12:40",Pool B,Final
pool,Pool C
Columbus Cocktails,Pixel,13,5,"10/02/2021, 09:00",Pool C,Final
Stripes,Jabba,13,2,"10/02/2021, 09:00",Pool C,Final
Columbus Cocktails,Jabba,13,6,"10/02/2021, 10:50",Pool C,Final
Stripes,Pixel,11,8,"10/02/2021, 10:50",Pool C,Final
Columbus Cocktails,Stripes,13,6,"10/02/2021, 12:40",Pool C,Final
Pixel,Jabba,10,11,"10/02/2021, 12:40",Pool C,Final
pool,Pool D
U54 Ultimate,EMU,13,8,"10/02/2021, 09:00",Pool D,Final
Steamboat,Thunderpants the Magic Dragon,13,3,"10/02/2021, 09:00",Pool D,Final
U54 Ultimate,Thunderpants the Magic Dragon,13,4,"10/02/2021, 10:50",Pool D,Final
Steamboat,EMU,13,7,"10/02/2021, 10:50",Pool D,Final
U54 Ultimate,Steamboat,11,10,"10/02/2021, 12:40",Pool D,Final
EMU,Thunderpants the Magic Dragon,13,6,"10/02/2021, 12:40",Pool D,Final
b,r,e,a,k
brackets,Championship Brackets
bracket,1st Place
Hybrid,Columbus Cocktails,13,7,"10/03/2021, 12:40",1st Place / 2nd Place,Final
Hybrid,U54 Ultimate,13,9,"10/03/2021, 10:50",1st Semifinals,Final
Columbus Cocktails,Cleveland Crocs,13,12,"10/03/2021, 10:50",1st Semifinals,Final
Hybrid,Petey's Pirates,13,7,"10/03/2021, 09:00",1st Quarters,Final
U54 Ultimate,Stripes,13,10,"10/03/2021, 09:00",1st Quarters,Final
Columbus Cocktails,Steamboat,13,9,"10/03/2021, 09:00",1st Quarters,Final
Cleveland Crocs,EMU,13,5,"10/03/2021, 09:00",1st Quarters,Final
Stripes,POW!,12,10,"10/02/2021, 14:30",1st Prequarters,Final
Petey's Pirates,Jabba,13,8,"10/02/2021, 14:30",1st Prequarters,Final
Steamboat,Toast,13,10,"10/02/2021, 14:30",1st Prequarters,Final
CHImera,EMU,11,12,"10/02/2021, 14:30",1st Prequarters,Final
bracket,3rd Place Bracket
U54 Ultimate,Cleveland Crocs,2,1,"10/03/2021, 12:40",3rd Place,Final
bracket,5th Place Bracket
Petey's Pirates,Steamboat,11,12,"10/03/2021, 12:40",5th Place,Final
Petey's Pirates,Stripes,13,10,"10/03/2021, 10:50",5th Place Semifinals,Final
Steamboat,EMU,11,10,"10/03/2021, 10:50",5th Place Semifinals,Final
bracket,7th Place Bracket
Stripes,EMU,12,9,"10/03/2021, 12:40",7th Place,Final
b,r,e,a,k
brackets,Consolation Bracket
bracket,9th Place Bracket
Pixel,Toast,0,0,"10/03/2021, 10:50",9th Place Semifinals,In Progress
ELevate,Jabba,12,7,"10/03/2021, 10:50",9th Place Semifinals,Final
CHImera,Pixel,0,1,"10/03/2021, 09:00",9th Place Quarterfinals,Final
Toast,Liquid Hustle,13,5,"10/03/2021, 09:00",9th Place Quarterfinals,Final
POW!,ELevate,9,13,"10/03/2021, 09:00",9th Place Quarterfinals,Final
Jabba,Thunderpants the Magic Dragon,13,7,"10/03/2021, 09:00",9th Place Quarterfinals,Final
bracket,11th Place Bracket
bracket,13th Place Bracket
CHImera,Liquid Hustle,0,1,"10/03/2021, 10:50",13th Place Semifinals,Final
POW!,Thunderpants the Magic Dragon,5,6,"10/03/2021, 10:50",13th Place Semifinals,In Progress
bracket,15th Place Bracket
b,r,e,a,k
