So Cal Mixed Club Sectional Championship 2021,Club - Mixed ,18,9,2021
Norco,CA,2021-09-18,2021-09-19
https://play.usaultimate.org/events/So-Cal-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Lawless,1
00,Robert Love
00,Ross Pringle
00,Sam Fullerton
00,Scott Cherry
00,Sydney Stelzer
00,TJ Carson
00,Tyler Zubak
00,Greggory Downing
00,"Lily ""Thud"" Lin"
12,Sanjay Moses
13,Meghan Kane
19,Erin McCann
37,Conor Kelly
b,r,e,a,k
Lotus,2
teamInfo,,"Los Angeles, California",,,https://twitter.com/LALotusUltimate
0,Alexandra Diaz
0,Amy Halvorsen
0,Avery Jones
0,Bryan Nguyen
0,Jake Coleman
0,Kelli Iwamoto
0,Maggie O'Connor
0,Nathan Warden
0,Rebeca Ellis
0,Sharon Tseng
0,Stephanie Pritchard
2,Daniel Oettinger
4,Amy Lee
12,Leo Kitchell
14,Lu Wang
16,Jorie Moore
20,Brandon Nadres
23,Steven Wick
30,Walter Kasprzycki
39,Chris Mazur
40,Veronica Yee
42,Edwin Finley
43,Kevin Goldberg
84,Jesse Cohen
91,Grant Boyd
97,Katie Killebrew
b,r,e,a,k
Flagstaff Ultimate,9
teamInfo,,"Flagstaff, Arizona",,,
0,Dawson Peters
0,Emily Francia
0,Jia Xie
0,Melissa Huegerich
02,Bryan Esmond
03,Michael Ising
07,Alexis Mohler
09,Mariana Lopes
10,Caitlin Winterbottom
12,Chip Chang
13,Kari LaPlante
16,Samantha Myland
17,Erin Donahue
18,Eric Bay
25,Rachel Kalnbach
26,Patrick Kaufmann
29,Mike  Hall
32,Bradley Cislo
42,Joseph Huegerich
51,Dustin Doyle
55,Brad Wylam
69,Kaetlynn Daoust
77,Jen Palmero
96,Joshua Washburn
99,Drake DenHartog
b,r,e,a,k
Octonauts,8
teamInfo,,"Culver City, California",,,
0,Anna Dickson
0,Felicia Yang
0,Janet Jin
0,Kyle Mathison
0,Margaret Scroggs
0,Monica Donegan
3,Michael Cazarez
4,Matt Stein
7,Maryann Rose
01,Luke Hart-Moynihan
02,Nancy Bush
06,Morgan Harwood
11,Victoria Purcell 
11,Charles Dolph
13,Karla Brady
17,Louis Gosart
18,Christopher Moetell
20,Gabe Doble
23,Noah Wisch
38,Justin Marsh
44,Joseph Giampaoli
53,Emmalie Keenan
67,alexander carey
92,Alana Rung
97,Naomi Guzman
99,Brendan Mackel
b,r,e,a,k
Ghost Town,15
teamInfo,,"Phoenix, Arizona",,,
0,Brianna Kuna
0,Carlos Diaz
0,Connor Vincent
0,Bethany Krasuski
0,Judah Lee
0,Kate Kelly
0,Lauren Berg
0,Liann Kline
0,Nadine Hollender
0,Phillip Samuels
0,Robert Gerdes
0,Trevor Smith
0,Vishal Mehta
1,Josh Cunningham
10,Brad Kutler
11,Katlyn Kaiser
12,Brendan Carriel
17,Sam Maness
37,Sarah Hoffmann
69,Andrew Trichak
97,Tyler Mebane
b,r,e,a,k
California Burrito,3
teamInfo,,"San Diego, California",https://www.instagram.com/california_burrito_ultimate/,,
00,Aaron Coble
00,Abe Shklar
00,Anders Ruden
00,Ava Hanna
00,Benjamin Eto
00,Blair Messner
00,Catherine Trevino
00,Christina Debowski 
00,Dan Hunt
00,Ethan Li
00,Jessica Wan
00,Jordan Denecour
00,Kristine Mendoza
00,Kylie Shen
00,Lauren Hanna
00,Lauren Stuart
00,Leslie Willis
00,Mazden Mastromauro
00,Michael Noblett
00,Nolan Schmalenberger
00,Peter Osseward
00,Steven Brooks
00,Tim Klacik
00,Vincent Liang
00,Yana Rose
00,Zoe Tessler
b,r,e,a,k
Family Style,5
teamInfo,,"Los Angeles, California",,https://www.facebook.com/FamilyStyleUltimate,https://twitter.com/playfamilystyle
0,Avalon Igawa
0,Ben Ben Hirschman
0,Caitlin OBara
0,Cheryl Lee
0,Corey Howard
0,Ellen Ebat
0,Eric Owens
0,James Ivey
0,Jason Lee
0,Kelsey Turner
0,Madeline Spolin
0,Rebecca Velez
0,Sean Gai
0,Sophie Havranek
0,Thomas Lin
09,Chelsea Baldemor
11,Emily Ash
11,Hudson Stuck
14,Andrew McRae
18,Devin Feigelson
20,Adam Paicely
35,Valentin Post
42,Bryan DeVore
46,Sarah Kibler
48,Alex Rubin
77,Greta Becker
b,r,e,a,k
Rogue,14
teamInfo,,"Tucson, Arizona",,https://www.facebook.com/RogueUltimateTucson/,
0,Amy Swartz
0,Calyssa Zismann
0,Cheyenne Concienne
0,Kevin Farnam
0,Laura Burt
0,Nicholas Huttsell
0,Rafi Chesler
0,Sara Knepper
0,Sean Smith
0,Taylor Hicks
0,Tim McConnell
0,Tyler Crockett
0,Rebecca Kemper
7,Rebecca Hildenbrand
13,Mandy Proctor
17,Eric Eia
27,Haden Hogan
55,Raymond Rash
80,Ken Calello
b,r,e,a,k
Birds of Paradise,12
teamInfo,,"San Diego, California",,https://www.facebook.com/BirdsUltimateSD/,
0,Bijou De Jong
0,Blake Civello
0,Erica Mehra
0,John Bowman
0,Jonathan Fong
0,Lauryn Jefferson
0,Leiasa Horanic
0,Logan Manlove
0,Michael Duong
0,Ryan Lee
0,Sabrina Richardson
0,Sanjay Sampat
0,Sirena Van Epp
0,Sylvia Liang
0,Wishma  Senarath
5,Ty Torregrosa
7,Jack Sarles
9,Robert Clayton
15,Lynette Nguyen
19,James Rapoza-Lee
24,Andrew Wells
47,Aakar Mehra
b,r,e,a,k
Instant Karma,4
teamInfo,,"Tucson, Arizona",,,
0,Abigail Lindsay
0,Courtney King
0,Elizabeth Bacal
0,Holt Newton
0,Joseph Lindsay
0,Laura Morehouse
0,Laurence (Billy) McCormick
0,Luna Falk
0,Matt Varney
0,Michelle Tanner
0,Nicholas Arnaud
0,Nicole Garnes
0,Patrick Gaetz
0,Peggy Monkemeier
0,Russell Knox
0,Shane Abeshaus
0,Stefanie Nguyen
0,Talia Troyo
3,James Weinstein
8,Brian Palomo
12,Christine Miller
13,Samuel McLaren
13,Cassandra Hastings
32,Philip Kletzli
40,Dan Nowicki
60,Joe Sobansky
b,r,e,a,k
Calamity,6
teamInfo,,"Tempe, Arizona",,,
0,Abbey Estrada
0,Ashley Stahl
0,Georgia Sullivan
0,Joe Nolan
0,John Dupee
0,Kelsey Bradley
0,Leah Jameson
0,Lisa Diethelm
0,Nathan Brodie
0,Sabrina Roberts
0,Sierra Ross
2,Micah Gross
3,Ryan Blackman
8,Elijah Salmon
9,Dylan George-Sills
12,Ethan Gaiser
13,Trevor Harper
17,Taylor Van Oosbree
30,Michael Simeone
35,Caleb Lundeen
38,Emma Ressler
39,Noelle Kiesz
42,Christopher Sowards
42,Michael Nassief
55,Adam Wiechman
89,Adam Whitton
b,r,e,a,k
Spoiler Alert,11
teamInfo,,"Los Angeles, California",,https://www.facebook.com/SpoilerAlertUltimate/,@Spoileralertult
0,Andrew LeMaster
0,Annie Yang
0,Erica Kepski
0,Filomena Fuchs
0,Jesse Newman
0,Konrad Antoniuk
0,Lacie Fradet
0,Misty Masotti
0,Rachel  Weinberg
0,Stephen Nachreiner
0,Tyler Kenney
0,Veeral Shah
0,Victoria Sales
0,Wendy Siu
6,Alison Yoho
04,Theodore Lannert
16,Daniel Peteuil
17,Benjamin Aiga
18,Patrick Miller
23,Sara Herta
30,Richard Kim
36,Cynthia Love
71,DEREK LAY
76,Alex Sobel
77,Drew Conley
82,Ariel Rascoe
b,r,e,a,k
Seven Out,13
teamInfo,,"Las Vegas, Nevada",,,
2,Benjamin Gooch
6,Spencer Noorda
03,Jan Earl Dichoso
05,Kevin Yonamine
08,Jotony Guerra
10,Beverly Walker
12,Peter Rethwisch
13,Liz Groesbeck
13,Brian Kilkenny
14,Louis Graeve
17,Darren Phillips
18,Kaitlin Fletcher
21,Steven Niemczynski
23,Steven Shepherd
24,Joe Blidy
25,Christopher Ball
33,Satoe Ozawa
42,Shannon Dana
44,Richard Dana
56,Alix Goldstein
71,Christopher Lee
73,Jenna Hay
89,Jo Cheng
96,Cassara Higgins
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Lawless,Freeway,13,4,"09/18/2021, 08:30",Pool A,Final
Robot,Altitude,13,4,"09/18/2021, 08:30",Pool A,Final
Lawless,Altitude,13,1,"09/18/2021, 10:05",Pool A,Final
Robot,Freeway,13,8,"09/18/2021, 10:05",Pool A,Final
Lawless,Robot,9,6,"09/18/2021, 11:40",Pool A,Final
Freeway,Altitude,7,9,"09/18/2021, 11:40",Pool A,Final
pool,Pool B
Lotus,Flagstaff Ultimate,13,6,"09/18/2021, 08:30",Pool B,Final
Octonauts,Ghost Town,10,9,"09/18/2021, 08:30",Pool B,Final
Lotus,Ghost Town,13,1,"09/18/2021, 10:05",Pool B,Final
Octonauts,Flagstaff Ultimate,7,13,"09/18/2021, 10:05",Pool B,Final
Lotus,Octonauts,13,6,"09/18/2021, 11:40",Pool B,Final
Flagstaff Ultimate,Ghost Town,13,4,"09/18/2021, 11:40",Pool B,Final
pool,Pool C
California Burrito,Birds of Paradise,13,4,"09/18/2021, 08:30",Pool C,Final
Family Style,Rogue,10,6,"09/18/2021, 08:30",Pool C,Final
California Burrito,Rogue,13,4,"09/18/2021, 10:05",Pool C,Final
Family Style,Birds of Paradise,13,1,"09/18/2021, 10:05",Pool C,Final
California Burrito,Family Style,12,4,"09/18/2021, 11:40",Pool C,Final
Birds of Paradise,Rogue,8,9,"09/18/2021, 11:40",Pool C,Final
pool,Pool D
Instant Karma,Spoiler Alert,10,4,"09/18/2021, 08:30",Pool D,Final
Calamity,Seven Out,13,9,"09/18/2021, 08:30",Pool D,Final
Instant Karma,Seven Out,10,7,"09/18/2021, 10:05",Pool D,Final
Calamity,Spoiler Alert,11,9,"09/18/2021, 10:05",Pool D,Final
Instant Karma,Calamity,11,9,"09/18/2021, 11:40",Pool D,Final
Spoiler Alert,Seven Out,10,7,"09/18/2021, 11:40",Pool D,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
Lawless,Lotus,9,12,"09/19/2021, 10:15",Finals,Final
Lawless,Instant Karma,15,3,"09/19/2021, 08:30",Semis,Final
California Burrito,Lotus,7,15,"09/19/2021, 08:30",Semis,Final
Lawless,Flagstaff Ultimate,13,2,"09/18/2021, 13:15",Quarters,Final
Family Style,Instant Karma,7,8,"09/18/2021, 13:15",Quarters,Final
California Burrito,Calamity,12,4,"09/18/2021, 13:15",Quarters,Final
Robot,Lotus,4,13,"09/18/2021, 13:15",Quarters,Final
bracket,2nd Place
Lawless,California Burrito,10,14,"09/19/2021, 12:00",2nd Place,Final
Instant Karma,California Burrito,6,14,"09/19/2021, 10:15",2nd Place Semis,Final
bracket,4th Place
Instant Karma,Flagstaff Ultimate,7,14,"09/19/2021, 12:00",4th Place,Final
Flagstaff Ultimate,Robot,12,10,"09/19/2021, 10:15",4th Place Semis,Final
Flagstaff Ultimate,Family Style,11,5,"09/19/2021, 08:30",4th Place Quarters,Final
Calamity,Robot,6,13,"09/19/2021, 08:30",4th Place Quarters,Final
bracket,7th Place - Game to Go
Family Style,Calamity,12,9,"09/19/2021, 12:00",7th Place - Game to Go,Final
Family Style,Octonauts,10,9,"09/19/2021, 10:15",7th Place Semis,Final
Birds of Paradise,Calamity,10,14,"09/19/2021, 10:15",7th Place Semis,Final
Octonauts,Seven Out,11,10,"09/19/2021, 08:30",7th Place Quarters,Final
Birds of Paradise,Ghost Town,13,4,"09/19/2021, 08:30",7th Place Quarters,Final
Octonauts,Freeway,10,6,"09/18/2021, 13:15",7th Place Pre-Quarters,Final
Seven Out,Rogue,10,8,"09/18/2021, 13:15",7th Place Pre-Quarters,Final
Spoiler Alert,Birds of Paradise,8,9,"09/18/2021, 13:15",7th Place Pre-Quarters,Final
Ghost Town,Altitude,8,7,"09/18/2021, 13:15",7th Place Pre-Quarters,Final
bracket,9th Place
Octonauts,Birds of Paradise,13,6,"09/19/2021, 12:00",9th Place,Final
bracket,11th Place
Rogue,Seven Out,11,13,"09/19/2021, 12:00",11th Place,Final
Ghost Town,Rogue,7,11,"09/19/2021, 10:15",11th Place Semis,Final
Spoiler Alert,Seven Out,9,11,"09/19/2021, 10:15",11th Place Semis,Final
Freeway,Rogue,11,12,"09/19/2021, 08:30",11th Place Quarters,Final
Spoiler Alert,Altitude,9,7,"09/19/2021, 08:30",11th Place Quarters,Final
bracket,13th Place
Ghost Town,Spoiler Alert,6,10,"09/19/2021, 12:00",13th Place,Final
bracket,15th Place
Freeway,Altitude,15,5,"09/19/2021, 10:15",15th Place,Final
b,r,e,a,k
