Nor Cal Mixed Club Sectional Championship 2021,Club - Mixed ,18,9,2021
Tracy,CA,2021-09-18,2021-09-19
https://play.usaultimate.org/events/Nor-Cal-Mixed-Club-Sectional-Championship-2021/schedule/Mixed/Club-Mixed
Mischief,1
Polar Bears,Megalodon,13,4,"09/18/2021, 08:30",Pool B,Final
Mango,Megalodon,12,4,"09/18/2021, 10:10",Pool B,Final
Polar Bears,Mango,12,6,"09/18/2021, 11:50",Pool B,Final
pool,Pool C
Donuts,AC Bandits,13,4,"09/18/2021, 08:30",Pool C,Final
VU,AC Bandits,13,5,"09/18/2021, 10:10",Pool C,Final
Donuts,VU,11,5,"09/18/2021, 11:50",Pool C,Final
pool,Pool D
Cutthroat,Honey Buckets,11,6,"09/18/2021, 08:30",Pool D,Final
LIT Ultimate,Honey Buckets,13,5,"09/18/2021, 10:10",Pool D,Final
Cutthroat,LIT Ultimate,11,10,"09/18/2021, 11:50",Pool D,Final
pool,Pool E
BW Ultimate,Ravin’,10,4,"09/18/2021, 08:30",Pool E,Final
Buckwild,Ravin’,11,7,"09/18/2021, 10:10",Pool E,Final
BW Ultimate,Buckwild,10,7,"09/18/2021, 11:50",Pool E,Final
pool,Pool F
Classy,Wolfpack,12,5,"09/18/2021, 08:30",Pool F,Final
American Barbecue,Wolfpack,13,5,"09/18/2021, 10:10",Pool F,Final
Classy,American Barbecue,8,5,"09/18/2021, 11:50",Pool F,Final
b,r,e,a,k
pools,Stage 2 Pool
pool,Pool G
Mischief,BW Ultimate,12,4,"09/18/2021, 13:30",Pool G,Final
Cutthroat,BW Ultimate,8,9,"09/18/2021, 15:10",Pool G,Final
Mischief,Cutthroat,13,1,"09/18/2021, 16:50",Pool G,Final
pool,Pool H
Polar Bears,Classy,9,10,"09/18/2021, 13:30",Pool H,Final
Donuts,Classy,7,9,"09/18/2021, 15:10",Pool H,Final
Polar Bears,Donuts,10,5,"09/18/2021, 16:50",Pool H,Final
pool,Pool I
American Barbecue,Mango,8,9,"09/18/2021, 13:30",Pool I,Final
VU,Mango,6,7,"09/18/2021, 15:10",Pool I,Final
American Barbecue,VU,12,5,"09/18/2021, 16:50",Pool I,Final
pool,Pool J
Buckwild,DR,11,8,"09/18/2021, 13:30",Pool J,Final
LIT Ultimate,DR,12,7,"09/18/2021, 15:10",Pool J,Final
Buckwild,LIT Ultimate,10,6,"09/18/2021, 16:50",Pool J,Final
pool,Pool K
Davis Heatwave,Ravin’,11,5,"09/18/2021, 13:30",Pool K,Final
Honey Buckets,Ravin’,11,6,"09/18/2021, 15:10",Pool K,Final
Davis Heatwave,Honey Buckets,10,9,"09/18/2021, 16:50",Pool K,Final
pool,Pool L
Megalodon,Wolfpack,3,13,"09/18/2021, 13:30",Pool L,Final
AC Bandits,Wolfpack,4,13,"09/18/2021, 15:10",Pool L,Final
Megalodon,AC Bandits,4,10,"09/18/2021, 16:50",Pool L,Final
b,r,e,a,k
brackets,1st Place Bracket
bracket,1st Place
Polar Bears,Classy,12,9,"09/19/2021, 11:50",1st Place,Final
Mischief,Polar Bears,5,10,"09/19/2021, 10:10",1st Place Semi-Finals,Final
BW Ultimate,Classy,7,11,"09/19/2021, 10:10",1st Place Semi-Finals,Final
bracket,3rd Place
Mischief,BW Ultimate,14,5,"09/19/2021, 11:50",3rd Place,Final
b,r,e,a,k
brackets,5th Place Bracket
bracket,5th Place
Cutthroat,Donuts,8,14,"09/19/2021, 08:30",5th Place,Final
bracket,6th Place
Cutthroat,Mango,12,6,"09/19/2021, 11:50",6th Place,Final
Mango,American Barbecue,10,9,"09/19/2021, 10:10",6th Place Semi-Final,Final
Mango,LIT Ultimate,14,7,"09/19/2021, 08:30",6th Place Quarter-Final,Final
American Barbecue,Buckwild,10,8,"09/19/2021, 08:30",6th Place Quarter-Final,Final
bracket,9th Place
LIT Ultimate,Davis Heatwave,15,4,"09/19/2021, 11:50",9th Place,Final
LIT Ultimate,VU,13,4,"09/19/2021, 10:10",9th Place Semi-Final,Final
Davis Heatwave,Buckwild,10,9,"09/19/2021, 10:10",9th Place Semi-Final,Final
VU,Wolfpack,1,0,"09/19/2021, 08:30",9th Place Quarter Final,Final
Davis Heatwave,DR,9,5,"09/19/2021, 08:30",9th Place Quarter Final,Final
bracket,11th Place
VU,Buckwild,5,10,"09/19/2021, 11:50",11th Place,Final
bracket,13th Place
Wolfpack,DR,0,1,"09/26/2021, 10:10",13th Place,Final
b,r,e,a,k
brackets,15th Place Bracket
bracket,15th Place
Honey Buckets,Ravin’,0,6,"09/19/2021, 10:10",15th Place,Final
Honey Buckets,Megalodon,15,6,"09/19/2021, 08:30",15th Place Semi-Final,Final
Ravin’,AC Bandits,13,7,"09/19/2021, 08:30",15th Place Semi-Final,Final
bracket,17th Place
Megalodon,AC Bandits,5,8,"09/19/2021, 11:50",17th Place,Final
b,r,e,a,k
