North Central Club Mixed Regional Championship 2021,Club - Mixed ,26,9,2021
Blaine,MN,2021-09-25,2021-09-26
https://play.usaultimate.org/events/North-Central-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
0,Serena Wong
2,Tanner Lee Gesell
3,Dustin Dye
5,Tim Dinh
9,David Jochems
10,Carissa  Slabach
11,Jacob Purdy
13,Angela Reimer
14,Kiana Broadley
15,Benjamin Chambers
16,Ellane Bergen
17,Jordan Ast
19,Joel Hampton
20,Reid Christensen
22,Isaac Blick
23,Sam Ellison
37,Jake Reimer
42,Westen Gehring
44,Kathryn Broadley
51,Isaac Entz
70,Renae Chambers
81,Patrick Loganbill
86,Emily Beeson
b,r,e,a,k
Northern Comfort,5
02,Oliver Rytman
03,Erika Watson
04,Kaleigh Wurster
06,William Owens
07,Rozelynn Becker
08,Benjy Keren
09,Wyatt Meyer
10,Laura Nelson
11,Jackie Welsch
12,Mackenzie Carpenter
13,Jay Kinzel
14,Alix Raymond
17,Dan Magnant
17,Joshua Wilson
18,Grace Zucchero
20,Alex Ballinger
21,Jake Leutenegger
22,Max Carpenter
24,Lauren Williams
27,Liam Scobey-Polacheck
31,Jasper Lu
32,Joseph Blankenheim
39,Emily Zalinski
44,Hannah Frank
59,Todd Miller
88,Peter Guerin
b,r,e,a,k
Chalice,7
0,Blake Larson
0,Bryan Dunbar
0,Luke Carron
0,Mandy Side
0,Katie Calfe
0,Tim Side
2,Devin Belvin
9,Kimberly Micotto
00,Loren Goodrich
00,Wesley Groth
00,Eliza Hutchings
00,Elizabeth Honigfort
00,Emma Randolph
00,Gabriella Lavezzi
00,Grant Eschmann
00,Julia Hill
00,Kate Halloran
00,Mara McKown
00,Mason Zetsch
00,Michael Kasper
00,Neil Wessling
00,Patrick Austermann
00,Ben Clark
13,Andrew Hilliard
21,William (Will) Imming
74,Collin McCartney
b,r,e,a,k
No Touching!,6
0,Brent Novey
0,Brian Larson
0,Kathryn Cleveland
0,Patrick Cashman
0,Rebekah Swanson
1,Jeffrey Trosvig
3,Brenna Sund
8,Alison Ling
9,Tyler McKean
02,Jolien Munsterhuis
04,Tony Michaelson
10,Daniel Collom
16,Lindsay Trosvig
17,Kristina Golling
19,Alyson Gagner
23,Michael (Mike) Petersen
24,Zackary Fleming
29,Sam Pepe
32,Rachel Elbing
38,Arthi Padmanabhan
41,Jenni Konigsburg
64,Michael Lin
78,Jeremy Keiser
83,Jeremiah Gagner
88,Patrick Jensen
96,Brian Edgerton
b,r,e,a,k
Point of No Return,16
0,Austin Zdroik
0,Kathryn Dumke
0,Kelly Nielsen
0,Zackory Runke
3,Julie Edwards
4,Gerene Taylor
5,Nathan Daily
6,Kevin Reimer
7,Thomas Roltgen
8,Kylie Abel
11,Angela Roltgen
13,Steve Piazza
16,Jacob Dreves
17,Katie Daily
21,Joel Hielema
22,Kaitlin Woyak
24,Ryan Koelemay
27,Emma LaRosa
28,Anna Whitford
30,Earl Seliskar
31,Kyle Taylor
33,Katherine Ebensperger
87,David Horgan
99,Isaiah Cherek
b,r,e,a,k
Minnesota Star Power,9
00,Eva Maxson
00,Tracie Anderson
01,Cole Jensen
02,Michelle Christy
08,Kevin Ruda
09,Tristan Grovender
10,Alex Kensgaard
11,Rachel Thompson
14,Stephanie Pieper
15,Tom Hobday
17,Isaac  Leonard
20,Kajsa Beatty
21,Tyler Mahony
24,Sierra Barthen
25,Joe Moravec
27,Jacob Raatz
28,Marin Ryan
29,Kelsey Peterson
33,Martha (Mattie) Melin
37,Ming Cheng Chew
39,Jessica Halverson
63,Alex Kraft
76,Erin Moravec
88,Joey Tillman
89,Steven Anderson
97,Megan Asturias
b,r,e,a,k
Mad Udderburn,13
0,David Kurian
03,Jake Wilson
04,Joey Knutson
05,Adam Klopfenstein
07,Kasey Kenealy
08,Ben Schewe
09,Grant Hellestad
10,Matt Coogan
12,Alyssa Rettler
13,Tessa Berry
14,Katherine Magruder
17,Thom Kenealy
18,Julia Sauerhaft
21,Taylor Grace Zietz
22,Aaron Speiss
23,Allison Mueting
24,Bo Strauss
27,Clay Schelitzche
30,Carly Siewert
31,Amber Heffernan
32,Amanda Hellestad
41,Molly Schelitzche
46,Dominique  Maderal
59,Nicholas Gerber
84,Roman Ryan
99,Jane Zheng
b,r,e,a,k
Bird,12
02,Makayla Jones-Klausing
03,Greta Friedrichs
04,Katherine Wilmes
05,Samuel Hedrick
06,Michael Ruble
07,John Anderson
08,Patrick La Course
09,Eva Clements
10,Adam Egemo
12,Aidan Clements
14,Jessica Hendrickson
15,Morgan Harris
17,Mikayla Yoder
18,Nathan Phillips
19,Eva Fischer
21,Brooks Hidaka
22,Natalie Cooper
23,David Stemper
24,Sumaya Mohamed
25,Jacob Salzman
27,Leslie Boey
28,Cole Stiegler
29,Brian Paulus
32,Lilly Shapiro
41,Jacob Mutch
99,Sigurd Ostlie-Olson
b,r,e,a,k
Pandamonium,15
0,Christopher McCrory
0,Chuck  Dudek
0,Daniel Snyder
0,Arbor Otalora-Fadner
0,Erik Bredesen
0,Jesse Peterson-Brandt
0,Jessie Lambert
0,Julia Clare
0,Julie Bender-Awalt
0,Katelin Goebel
0,Katherine Johnson
0,Kelsey Daly
0,Kevin Pochatila
0,Ryley Tennyson
0,Stephanie O'Connor
2,Ben Finkelstein
3,Matt Theisen
15,Eric Andersen
17,Raechell Nelson
22,Mikhail Golben
47,Ian Andre-Knudsen
53,Katherine Frantz
89,Micah Peterson-Brandt
b,r,e,a,k
7 Sins,10
0,Aaron Johnson
0,Karissa Jenesse
0,Katelyn Patterson
0,Madison Fulte
0,Matthew Beers
0,Rebekah Seyfert
3,Austin Heineman
4,Gabriel Valencia
9,Christina Griese
11,Brennan Travis
11,Jordan Warren
16,Taylor Hession
16,Tommy Gebhardt
20,Mei Lin Branit
22,Holly Webb
24,Abby Acker
25,Jessica Tiller
26,Mandi Matteucci
42,Dana Jensen
44,Jesse Fisher
49,Heather Fielding Gebhardt
55,Patrick Lansdon
57,Emily Tucker
67,Spencer Patterson
88,Matthew Price
99,Jordan Becquer
b,r,e,a,k
Mousetrap,14
0,Alexander Gravatt
0,Ben Stanger
0,Camille O'Connell
0,Caroline Fallon
0,Heidi Umhoefer
0,Henry Fremont
0,Ida Sobotik
0,ELEANOR KNAUSS
0,Elizabeth Ebert
0,Jacob Calbaum
0,Kevin Selm
0,Lily Mae Abels
0,Rebecca Pols
0,Spencer Olsson
4,Margo Stanger
7,Zeke Witter
8,Samuel Erickson
8,Hans Kittleson
9,Peter Walker
15,Ken Adams
19,Jay Taves
29,Jack Mallmann
36,Catherine Morita
41,Marit McQuaig
49,Cadence Sawyer
97,Abigail Hallow
b,r,e,a,k
Woodwork,11
01,Vanessa Villasenor
03,Trevor Rice
04,Richelle Rock
05,Brad Ashley
07,Zachery Mahler
08,Grant Maynard
10,Margaret Punt
12,Christa Fisher
13,Cole Petsche
13,Colin Iglehart
14,Michael Kovash
15,Katie Bristol
16,Andy Woolard
20,David Forsyth
22,Julianne Schmitt
23,Marah Miller
24,Ryan Dornbusch
25,Kyle Orians
27,Cat  Henning 
30,Paige Steinbauer
32,Nicole Lenczowski
33,Emily Wehrwein
34,Joshua Adams
47,James West
77,Kayla Anderson
87,Amanda Borders
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship Bracket
bracket,1st Place
Drag'n Thrust,NOISE,13,8,"09/26/2021, 10:50",Championship,Final
Drag'n Thrust,Kansas City United,13,7,"09/25/2021, 12:40",1st Place Semis,Final
NOISE,The Chad Larson Experience,13,9,"09/25/2021, 12:40",1st Place Semis,Final
Drag'n Thrust,Impact,13,5,"09/25/2021, 10:50",1st Place Quarters,Final
Kansas City United,Northern Comfort,12,10,"09/25/2021, 10:50",1st Place Quarters,Final
NOISE,Chalice,13,10,"09/25/2021, 10:50",1st Place Quarters,Final
The Chad Larson Experience,No Touching!,13,11,"09/25/2021, 10:50",1st Place Quarters,Final
Drag'n Thrust,Point of No Return,13,7,"09/25/2021, 09:00",1st Place Prequarters,Final
Impact,Minnesota Star Power,13,10,"09/25/2021, 09:00",1st Place Prequarters,Final
Kansas City United,Mad Udderburn,13,5,"09/25/2021, 09:00",1st Place Prequarters,Final
Northern Comfort,Bird,13,11,"09/25/2021, 09:00",1st Place Prequarters,Final
NOISE,Pandamonium,13,5,"09/25/2021, 09:00",1st Place Prequarters,Final
Chalice,7 Sins,12,3,"09/25/2021, 09:00",1st Place Prequarters,Final
The Chad Larson Experience,Mousetrap,13,6,"09/25/2021, 09:00",1st Place Prequarters,Final
No Touching!,Woodwork,12,9,"09/25/2021, 09:00",1st Place Prequarters,Final
bracket,2nd Place
NOISE,Kansas City United,13,10,"09/26/2021, 12:40",Game To Go,Final
Kansas City United,The Chad Larson Experience,13,12,"09/26/2021, 10:50",2nd Place Semis,Final
Chalice,Kansas City United,8,13,"09/26/2021, 09:00",2nd Place Quarters,Final
Impact,The Chad Larson Experience,7,13,"09/26/2021, 09:00",2nd Place Quarters,Final
No Touching!,Chalice,10,13,"09/25/2021, 14:30",2nd Place Pre-Quarters,Final
Northern Comfort,Impact,9,11,"09/25/2021, 14:30",2nd Place Pre-Quarters,Final
No Touching!,Minnesota Star Power,13,8,"09/25/2021, 12:40",2nd Place Round 2,Final
Chalice,Bird,13,5,"09/25/2021, 12:40",2nd Place Round 2,Final
Northern Comfort,Pandamonium,13,7,"09/25/2021, 12:40",2nd Place Round 2,Final
Impact,Woodwork,13,8,"09/25/2021, 12:40",2nd Place Round 2,Final
Point of No Return,Minnesota Star Power,11,13,"09/25/2021, 10:50",2nd Place Round 1,Final
Mad Udderburn,Bird,10,12,"09/25/2021, 10:50",2nd Place Round 1,Final
Pandamonium,7 Sins,12,6,"09/25/2021, 10:50",2nd Place Round 1,Final
Mousetrap,Woodwork,6,13,"09/25/2021, 10:50",2nd Place Round 1,Final
b,r,e,a,k
brackets,Placement Brackets
bracket,5th Place Bracket
Impact,Chalice,13,9,"09/26/2021, 10:50",5th Place,Final
bracket,7th Place Bracket
Northern Comfort,No Touching!,13,10,"09/26/2021, 10:50",7th Place,Final
b,r,e,a,k
pools,Placement Pools
pool,13th-16th
Mousetrap,Mad Udderburn,8,7,"09/25/2021, 12:40",13th-16th,Final
7 Sins,Point of No Return,8,11,"09/25/2021, 12:40",13th-16th,Final
Mousetrap,Point of No Return,W,F,"09/26/2021, 09:00",13th-16th,Final
7 Sins,Mad Udderburn,9,12,"09/26/2021, 09:00",13th-16th,Final
Mousetrap,7 Sins,6,10,"09/26/2021, 10:50",13th-16th,Final
Mad Udderburn,Point of No Return,W,F,"09/26/2021, 10:50",13th-16th,Final
pool,9th-12th
Woodwork,Bird,9,8,"09/25/2021, 14:30",9th-12th,Final
Pandamonium,Minnesota Star Power,12,11,"09/25/2021, 14:30",9th-12th,Final
Woodwork,Minnesota Star Power,11,12,"09/26/2021, 09:00",9th-12th,Final
Pandamonium,Bird,7,13,"09/26/2021, 09:00",9th-12th,Final
Woodwork,Pandamonium,13,5,"09/26/2021, 10:50",9th-12th,Final
Bird,Minnesota Star Power,9,12,"09/26/2021, 10:50",9th-12th,Final
b,r,e,a,k
