Mid-Atlantic Men's Club Regional Championship 2021,Club - Men ,25,9,2021
Frederica,DE,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Mid-Atlantic-Mens-Club-Regional-Championship-2021/schedule/Men/Club-Men/
Truck Stop,1
02,Jonathan Mast
03,Patrick Earles
04,Casey Mann
05,Saul Graves
06,Anson Reppermund
07,Mark Fedorenko
08,Thomas Edmonds
09,Patrick McMullen
10,Max Thorne
13,CJ Colicchio
14,Kenny Furdella
15,Dylan Best
18,Jed Farber
19,Ari Weitzman
22,Owen Watt
24,Alexander Thomas
25,Adam Burgess
32,Nasser Mbae Vogel
45,Brett Matzuka
46,Tristan Yarter
48,Jimmy Towle
49,Sam VanDusen
61,Brandon Matis
81,Kevin Quinlan
84,Brian Schoenrock
b,r,e,a,k
Helots,16
teamInfo,,"Sparta, New Jersey",,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
4,Robert Altieri
01,David Brewster
02,Mark Farnham
07,Andres felipe sanchez
08,Andrés  Rendón
11,Lukmanafis Babajide
14,Chris Kelly
15,Sean Maxcy
18,Jhonathan Salcedo
22,Jeff Perosi
23,Juan David Beltrán
25,Justin Li
27,Jason Pon
32,James Forbes
38,Prashant Baliga
45,San Montagno
51,Patrick Callahan
66,Oscar Sucre
70,Robert Patten
72,Adam Neu
75,Edgar  Prieto
80,Stephen Snelson
86,Andres Castrillon
88,Andrzej Porter
91,John Denman
97,Iván García
b,r,e,a,k
SORD,9
teamInfo,,"Oakland, Pennsylvania",,,
coaches,Nick Kaczmarek
0,Aiden Landis
0,Daniel Tometich
0,Maxwell Olesen
0,Michael Sodini
0,Myles Cooper
0,Peter Kotz
0,Riley Lewis
0,Scott Heyman
0,Timothy Hu
0,Will Helenski
4,Jacky Chung
7,Christopher Ng
10,Alex Spenceley
11,Timothy  Chango Gasset 
16,Kyle Halstater
21,Dillon Garrett
27,Nicholas Lagerman
33,Max Thompson
34,Henry Ing
35,Dan Goldstein
41,Harry McNamara
49,Dan Nichols
68,Nicky Troilo
84,William McGlynn
96,Ryan Moore
b,r,e,a,k
Fathom,12
teamInfo,,"Newport News, Virginia",https://twitter.com/fathomultimate,,https://twitter.com/fathomultimate
0,Brendan Stack
0,Carson Cofer
0,Charles Baird
0,Christophe Snead
0,David Slade
0,Eric Huffman
0,Gabriel Curran
0,Harold Catano
0,Ian Connerney
0,Jacob Slade
0,Ben Slade
0,Jonathan Rothfus
0,Joshua Nelson
0,Paolo Yalung
0,Shane Kearney
0,Tim Slade
7,Sean Walsh
12,Mason Johnson
16,Justin Johnson
18,James Godwin
22,Matthew Taleghani
23,Jon Tiernan
