Cooler Classic 32 (Redux),Club - Men ,14,8,2021
https://play.usaultimate.org/events/Cooler-Classic-32-Redux/schedule/Men/Club-Men/
Mad Men,1
53,Brett Dare
56,Alan O'Brien
74,Ethan Knobloch
87,Andrew Gloyd
88,Jonah Larsen
b,r,e,a,k
CaSTLe,11
0,David Storey
0,Delmar Tarrago
0,Drew Steinhubl
0,George Brell
0,Rusty McDonald
2,Josh Rotker
6,Brandon Skoba
7,Lincoln Grench
7,Ryan Hays
15,Jesse Strod
17,Drew Law
22,Stephen Rashford
24,Jeff Morrison
28,Knut Peterson
30,Benjamin Emanuel-Prude
35,Benjamin Reimler
39,Sandy Gu
60,Brett Virgin-Downey
97,Samuel Bliss
b,r,e,a,k
SlimJim FC,19
0,Abraham Frolichstein-Appel
0,Evan Benjamin
0,Hamilton Vuu
0,Ian Falck
0,Jacob Leslie
0,Nathaniel Astrom
0,Paul Mcallester
0,Ronald Ennis
0,Timothy Schragel
10,Nickolas Pappas
10,Kevin Zhang
11,Mica Glass
12,Taylor  Pochetti
18,Micah Derringer
21,Patrick Krantz
23,Zachary Marshall
32,Eli Friedman
32,Simon Perez
34,Peter Czerwinski
85,Hunter Latson
91,Christian Contreras
b,r,e,a,k
Timber,13
1,Thomas Umlauf
2,Frank Ontaneda
2,Mark Pollard
4,Anthony Moore
5,Brian Ristau
7,Logan Mueller
11,Nicholas Tompkins
12,Chad Heldt
13,Cory Ladwig
14,Luke Seuffer
16,Tate Klauck
23,Ryan Zdroik
24,Bryan Cook
30,Thomas Doro
37,Matthew Krause
38,Quest Meyer
45,Thomas Mattimiro
69,Logan Roy
76,Caleb Smith
99,Daniel Lang
b,r,e,a,k
Ditto A,18
0,Dylan Zhou
0,Graham Certain
0,Jonathan SooHoo
0,Josh Jiang
0,Neil Makhija
0,Shamaul Dilmohamed
0,Shravan Ravishankar
1,Thomas Freeman
3,Kenneth Lu
5,Peter Stergios
7,Filip Wilk
9,Joshua Ludtke
15,Samuel Nitkin
19,Hanna  Saba
37,Tim Tran
b,r,e,a,k
HouSE,14
0,Drake Miller III
0,Kyle Baker
0,Nicholas Dunn
0,Nikolas Yray
1,Nick Lilla
1,Justin Rummelhart
3,Blake Kiefner
10,Matt Freer
12,David Zickus
15,Ryan O'Reilly
20,Brett Robinson
23,Glenn Kaboskey
26,Jimmy Chaudoin
31,Gino Pierangeli
34,Justin Brockmann
73,Alex Van Beekum
b,r,e,a,k
Satellite,17
0,Abraham Lowy
0,Alex Cawley
0,Alex Jacobson
0,Kollin Kaczynski
0,Lovie Garcia
0,Mitch Hughes
0,Garrett Roth
0,Ricky Ramirez
0,Shivam Boghra
2,Riley Fortune
3,Timothy Benedict
8,Keith Kreinbihl
11,Isaac Degenhart
13,Reid Martin
15,John McElmeel
16,Alex Castillo
26,Dustin Rabe
b,r,e,a,k
Swans,15
03,Nick Staudinger
08,Daniel Erickson
09,Dustin Michienzi
10,Jake Bates
11,Jayson Sorvari
12,Jordan Rosevold
13,Nolan Bessler
15,Chad Brinker
19,Beau Hawkinson
27,Daniel Bates
28,Jack Owen
33,Tabler Elliott
69,Josh Anderson
80,Nate Gehrenbeck-Miller
98,Cody Castonguay
b,r,e,a,k
Black Market II,16
0,Evan Power
0,Jacob  Shockley
0,Jonathan Yu
0,Richard Davis
2,Dexter Straczek
4,Thomas OBrien
5,Syed Akbar Jaffery
7,Bill SooHoo
13,Arthur Maiorella
17,Daniel Grosch
19,Dylan Magahis
22,Joe Spengel
30,Danny O'Brien
35,Brendan Eltzroth
35,Zach Eiden
46,Chad Rosenblum
53,Joe Berry
61,Brian Payne
93,Manan Kothari
b,r,e,a,k
MKE,4
0,Blair Weber
0,Bryan Geenen
0,David Castillo
0,Eric Blais
0,Evan Handley
0,Jack Loomis
0,Jordan Liff
0,Joseph Branca
0,Kyle Gasiorowicz
0,Matthew Goetsch
0,Paul Weisser
0,Peter Kuenzle
9,Greg Maddox
9,Kyle Dreger
17,Elias Magallanes Jr.
19,Karl Fauerbach
24,Jack Drolen
30,Stephen Becker
33,Joe M Rogers
42,Zach Thompson
76,Steven Wagner
b,r,e,a,k
Tampa Tempest,7
00,Ronald Peterman
02,Matt Ryan
03,Jason Cento
04,Alex Bullock
05,Scott DeLuca
06,Fabiano Almeida
07,Saral Kumar
08,Evan Ihlenfeldt
10,Nayan Patel
11,Mohammed Judeh
15,Donovan Murphy
21,Trevorn Hodge
22,Kyle Krukowski
23,Tyler Hebert
24,Nicholas Stambo
27,Darren Bradley
29,Shane Voshell
31,Nick  Joyce
34,Tucker Berens 
42,Russell Paul
53,Timothy Chafin
54,Nick Fletcher
67,Jason Kirkpatrick
69,Matthew Walker
88,Delton Howard
99,Thomas Theunissen
b,r,e,a,k
Mallard II,12
0,Clayton Phillips
0,Joshua Pratt
0,Kenji Her
0,Maximilian Dewberry
10,Alejandro Christenson
14,Will Hager
17,Paul Liang
19,Austin King
27,Jake Hendrickson
34,Hayden Ohlemacher-Lonetti
36,Reese Grailer
46,Timothy Opdahl
55,Brandon Krekelberg
88,Evan Ellis
b,r,e,a,k
s,t,a,g,e,s
clusters,Saturday Match Play
cluster,Round 1
Mad Men,DeMo,13,9,"08/14/2021, 09:00",
Knights of Ni,Chimney,13,6,"08/14/2021, 09:00",
Haymaker,Cryptic,13,8,"08/14/2021, 09:00",
Scythe,Kansas City Smokestack,11,13,"08/14/2021, 09:00",
CaSTLe,SlimJim FC,12,13,"08/14/2021, 09:00",
Timber,Ditto A,13,4,"08/14/2021, 09:00",
HouSE,Satellite,9,11,"08/14/2021, 09:00",
Swans,Black Market II,12,7,"08/14/2021, 09:00",
cluster,Round 2
Mad Men,Scythe,13,5,"08/14/2021, 10:45",
MKE,Tampa Tempest,7,13,"08/14/2021, 10:45",
Haymaker,Kansas City Smokestack,13,10,"08/14/2021, 10:45",
Cryptic,CaSTLe,11,13,"08/14/2021, 10:45",
DeMo,Timber,13,7,"08/14/2021, 10:45",
Chimney,HouSE,13,9,"08/14/2021, 10:45",
Mallard II,Satellite,13,5,"08/14/2021, 10:45",
Swans,Ditto A,13,6,"08/14/2021, 10:45",
Black Market II,SlimJim FC,2,13,"08/14/2021, 10:45",
cluster,Round 3
Mad Men,Haymaker,13,7,"08/14/2021, 12:30",
Knights of Ni,MKE,13,5,"08/14/2021, 12:30",
Cryptic,Scythe,11,12,"08/14/2021, 12:30",
DeMo,Mallard II,13,8,"08/14/2021, 12:30",
Tampa Tempest,Chimney,12,8,"08/14/2021, 12:30",
CaSTLe,Black Market II,13,2,"08/14/2021, 12:30",
Timber,Swans,13,9,"08/14/2021, 12:30",
Kansas City Smokestack,Satellite,13,4,"08/14/2021, 12:30",
Ditto A,SlimJim FC,3,13,"08/14/2021, 12:30",
cluster,Round 4
Mad Men,MKE,13,6,"08/14/2021, 14:15",
Knights of Ni,Tampa Tempest,13,10,"08/14/2021, 14:15",
Haymaker,DeMo,10,11,"08/14/2021, 14:15",
Scythe,Timber,12,9,"08/14/2021, 14:15",
Chimney,CaSTLe,6,13,"08/14/2021, 14:15",
Kansas City Smokestack,Swans,13,5,"08/14/2021, 14:15",
Mallard II,Ditto A,13,2,"08/14/2021, 14:15",
HouSE,SlimJim FC,1,13,"08/14/2021, 14:15",
Black Market II,Satellite,9,13,"08/14/2021, 14:15",
cluster,Round 5
Knights of Ni,Cryptic,10,13,"08/14/2021, 16:00",
MKE,Mallard II,12,9,"08/14/2021, 16:00",
Tampa Tempest,HouSE,13,8,"08/14/2021, 16:00",
b,r,e,a,k
brackets,Gold (1st)
bracket,1st Place
Mad Men,DeMo,14,11,"08/15/2021, 14:30",1st
Mad Men,Knights of Ni,15,9,"08/15/2021, 12:30",Semis
Haymaker,DeMo,13,14,"08/15/2021, 12:30",Semis
Mad Men,SlimJim FC,15,8,"08/15/2021, 10:30",Quarters
Kansas City Smokestack,Knights of Ni,12,15,"08/15/2021, 10:30",Quarters
Haymaker,Scythe,15,12,"08/15/2021, 10:30",Quarters
CaSTLe,DeMo,11,15,"08/15/2021, 10:30",Quarters
bracket,3rd Place
Knights of Ni,Haymaker,13,12,"08/15/2021, 14:30",3rd
bracket,5th Place
SlimJim FC,CaSTLe,10,13,"08/15/2021, 14:30",5th
SlimJim FC,Kansas City Smokestack,14,13,"08/15/2021, 12:30",5th Semis
Scythe,CaSTLe,12,15,"08/15/2021, 12:30",5th Semis
bracket,7th Place
Kansas City Smokestack,Scythe,12,15,"08/15/2021, 14:30",7th
b,r,e,a,k
brackets,Silver (9th)
bracket,9th Place
Mallard II,MKE,15,12,"08/15/2021, 12:30",9th
Satellite,Mallard II,13,15,"08/15/2021, 10:30",9th Semis
MKE,Chimney,15,7,"08/15/2021, 10:30",9th Semis
Tampa Tempest,Satellite,14,15,"08/15/2021, 08:30",9th Quarters
Mallard II,Swans,15,5,"08/15/2021, 08:30",9th Quarters
Timber,MKE,12,15,"08/15/2021, 08:30",9th Quarters
Cryptic,Chimney,13,14,"08/15/2021, 08:30",9th Quarters
bracket,11th Place
Satellite,Chimney,10,9,"08/15/2021, 12:30",11th
bracket,13th Place
Tampa Tempest,Timber,0,0,"08/15/2021, 14:30",13th
Tampa Tempest,Swans,11,8,"08/15/2021, 12:30",13th Semis
Timber,Cryptic,9,15,"08/15/2021, 12:30",13th Semis
bracket,15th Place
Swans,Cryptic,0,0,"08/15/2021, 14:30",15th
b,r,e,a,k
clusters,17th Place RR
cluster,17th
HouSE,Ditto A,15,5,"08/15/2021, 08:30",
Black Market II,Ditto A,14,15,"08/15/2021, 10:30",
HouSE,Black Market II,15,4,"08/15/2021, 12:30",
b,r,e,a,k
