Northeast Club Men's Regional Championship 2021,Club - Men ,25,9,2021
Devens,MA,2021-09-25,2021-09-26
https://play.usaultimate.org/events/Northeast-Club-Mens-Regional-Championship-2021/schedule/Men/Club-Men/
PoNY,1
Blueprint,Sprout,9,13,"09/25/2021, 11:00",Semis 1,Final
PoNY,2night,15,6,"09/25/2021, 09:00",Quarters 1 ,Final
BAG,Iditarod,12,13,"09/25/2021, 09:00",Quarters 1 ,Final
Blueprint,Lantern,12,8,"09/25/2021, 09:00",Quarters 1 ,Final
Spring Break '93,Sprout,3,13,"09/25/2021, 09:00",Quarters 1 ,Final
bracket,Prelim Bracket 2
Big Wrench,DiG,8,15,"09/25/2021, 13:00",Championship Seeding,Final
Big Wrench,Deathsquad,15,11,"09/25/2021, 11:00",Semis 2,Final
Magma Bears,DiG,1,15,"09/25/2021, 11:00",Semis 2,Final
Big Wrench,TROUT,15,5,"09/25/2021, 09:00",Quarters 2,Final
Deathsquad,Shade,15,10,"09/25/2021, 09:00",Quarters 2,Final
Magma Bears,Log Jam,15,7,"09/25/2021, 09:00",Quarters 2,Final
Duck and Cover,DiG,4,15,"09/25/2021, 09:00",Quarters 2,Final
bracket,4-8 Seeding
BAG,Blueprint,15,14,"09/25/2021, 13:00",Championship Play in,Final
2night,BAG,5,15,"09/25/2021, 11:00",Championship Playin Qualifier,Final
bracket,4-8 Seeding
Lantern,Iditarod,13,15,"09/25/2021, 13:00",4-8 Seeding ,Final
Lantern,Spring Break '93,15,4,"09/25/2021, 11:00",Championship Play in Qualifier 2,Final
bracket,4-8 Seeding
Shade,Magma Bears,1,0,"09/25/2021, 13:00",4-8 Seeding ,Final
TROUT,Shade,5,15,"09/25/2021, 11:00",Championship Play in Qualiifier 3,Final
bracket,4-8 Seeding
Log Jam,Deathsquad,9,15,"09/25/2021, 13:00",4-8 Seeding ,Final
Log Jam,Duck and Cover,1,0,"09/25/2021, 11:00",Championship Playin Qualifier 4,Final
b,r,e,a,k
pools,13-16 Consolation pool play
pool,Pool A
Duck and Cover,TROUT,0,0,"09/25/2021, 13:00",Pool A,Scheduled
2night,Spring Break '93,15,11,"09/25/2021, 13:00",Pool A,Final
Duck and Cover,Spring Break '93,15,7,"09/26/2021, 08:30",Pool A,Final
2night,TROUT,15,1,"09/26/2021, 08:30",Pool A,Final
Duck and Cover,2night,15,11,"09/26/2021, 10:30",Pool A,Final
TROUT,Spring Break '93,0,15,"09/26/2021, 10:30",Pool A,Final
b,r,e,a,k
brackets,Sunday Bracket Play 
bracket,Championship Bracket
PoNY,DiG,15,10,"09/26/2021, 12:30",Championship ,Final
PoNY,Big Wrench,13,3,"09/26/2021, 10:30",Semis,Final
Sprout,DiG,12,15,"09/26/2021, 10:30",Semis,Final
PoNY,Shade,13,2,"09/26/2021, 08:30",Quarters,Final
BAG,Big Wrench,0,1,"09/26/2021, 08:30",Quarters,Final
Sprout,Deathsquad,15,7,"09/26/2021, 08:30",Quarters,Final
Iditarod,DiG,8,15,"09/26/2021, 08:30",Quarters,Final
bracket,3rd place Bracket
Sprout,Big Wrench,13,10,"09/26/2021, 14:30",3rd place,Final
Iditarod,Sprout,13,14,"09/26/2021, 12:30",3rd Semis,Final
Big Wrench,Deathsquad,1,0,"09/26/2021, 12:30",3rd Semis,Final
Shade,Iditarod,13,14,"09/26/2021, 10:30",3rd Quarters,Final
Deathsquad,BAG,1,0,"09/26/2021, 10:30",3rd Quarters,Final
bracket,5th place bracket
bracket,7th place Bracket
bracket,9th Place Bracket
Magma Bears,Blueprint,0,0,"09/26/2021, 10:30",9th Place,Scheduled
Magma Bears,Lantern,13,6,"09/26/2021, 08:30",9th semi,Final
Log Jam,Blueprint,0,1,"09/26/2021, 08:30",9th semi,Final
bracket,11th place Bracket
b,r,e,a,k
