Cooler Classic 32 (Redux),Club - Mixed ,14,8,2021
Hartland,WI,2021-08-14,2021-08-15
https://play.usaultimate.org/events/Cooler-Classic-32-Redux/schedule/Mixed/Club-Mixed
No Touching!,1
72,Zaray Buenrostro
b,r,e,a,k
Great Minnesota Get Together,30
0,Alyssa Maristela
0,Cecelia Watkins
0,Dan Monfre
0,Daniel Stein
0,David Palo
0,Hardisha White
0,Jesse Stratton
0,Kevin Gresmer
0,Lauren McPherson
0,Mary Nieting
0,Matthew Bailey
0,Melissa Lynn
0,Spencer Sanson
1,Cody Hopewell
2,Kyle Crawford
2,Lauren Hagen
6,Kathy Young
9,Brian Thompson
17,Ellie Clarin
48,Charles Robshaw
50,Carl Aanestad
57,Nathan Jesson
64,Erik Nerison
88,Melissa Lo
b,r,e,a,k
Boomtown Pandas,26
02,Edward Kaul
03,Thomas Schiltz
04,Brooke Schoepp
07,Kensey Katz
09,Alex Larsen
14,Jason Tiedt
16,Kaitlin Healy
17,Adam Throne
19,Peter Reinhart
21,Sarah Rubin
22,Harry Moore
23,Else Radeloff
25,Michael Van Haren
26,Andrew Landphier
29,Sarah Doege
32,Molly Snow
42,Britney Lane
50,Connor Burns
61,Anne Gardner
61,Reed Gardner
64,Rachel Martin
69,Joshua  Kalahar
84,Vincent Hsu
88,Chris Sykes
94,Derek Weisberg
99,Lauren Shaw
b,r,e,a,k
Identity Theft,29
0,Boden Oelhafen
0,Brandon Macho
0,Elise Gallup
0,Jim Shope
0,Lauren Thon
0,MARTIN DUSAIRE
0,Mimi Kniser
0,Ryan Dusaire
0,Ryan Schultz
0,Thomas Shope
0,Zella Sahar
5,Spencer Hagen
8,Henry Liebl
10,Dalton Domenighi
10,Tyler Berg
11,Ian Mccosky
13,Esther Gendler
27,Caleb Merwin
44,Grace Liebl
60,Paige Murphy
65,Abby Jacobson
82,Jeremy Schuetz
97,Marta Hill
b,r,e,a,k
Minnesota Star Power,4
0,Alex Kensgaard
0,Cole Jensen
0,Eva Maxson
0,Joey Tillman
0,Kajsa Beatty
0,Marin Ryan
0,Mary VanDuyne
0,Sierra Barthen
0,Stephanie Pieper
0,Steven Anderson
0,Tom Hobday
1,Tristan Grovender
2,Michelle Christy
7,Matthew Caballero
8,Kevin Ruda
9,Jedi Casas
11,Rachel Thompson
17,Jacob Raatz
21,Tyler Mahony
24,Jessica Haller
27,Grace Carlson
29,Kelsey Peterson
37,Ming Cheng Chew
39,Jessica Halverson
97,Megan Asturias
b,r,e,a,k
Northern Comfort,6
02,Oliver Rytman
03,Erika Watson
04,Kaleigh Wurster
07,Rozelynn Becker
09,Wyatt Meyer
10,Laura Nelson
11,Jackie Welsch
12,Mackenzie Carpenter
14,Alix Raymond
16,Heather Erickson
17,Avery Johnson
17,Carl Deffenbaugh
17,Dan Magnant
17,Joshua Wilson
18,Grace Zucchero
19,Heather Posl
20,Alex Ballinger
21,Jake Leutenegger
22,Max Carpenter
24,Lauren Williams
27,Liam Scobey-Polacheck
31,Jasper Lu
39,Emily Zalinski
59,Todd Miller
80,Maxwell Olesen
88,Peter Guerin
b,r,e,a,k
Robotic Snakes,24
0,Ben Melcher
0,Braedon Bockwinkel
0,Isabella North
0,Kameron Heyen
0,Meghan Zeller
0,Thomas Silknitter
9,Ellie Stone
16,Jaime Stephenson
17,Dominic Vavala
20,David Forsyth
21,Sierra Schurman
24,Craig Schmerbauch
31,Michaela Ott
55,Jacob Morrow
79,Emma Dover
99,Jackson Schuerman
b,r,e,a,k
Dinosaur Fancy,28
0,April Peterson
0,Benjamin Hsu
0,Clay Schelitzche
0,James Eric Prichard
0,Jessica Frommgen
0,Jorey Dvorak
0,Katelyn Hoffman
0,Katherine Mijal
0,Lani Jensen
0,Melisa Wittkowske
0,Michael Gionet
0,Michael Leung
0,Monica Fallon
0,Nicholas Ryan
4,Jessie Hsu
10,Ansley Williams
17,Liz Ceperley
23,William Stafford
25,Nina Nelsestuen
33,Aidan Boyle
41,Molly Schelitzche
43,Toby Wex
82,Logan Campbell
88,Paul Bolanowski
99,Jim Aspholm
b,r,e,a,k
s,t,a,g,e,s
clusters,Saturday Match Play
cluster,Round 1
No Touching!,Woodwork,13,9,"08/14/2021, 09:00",,Final
NOISE,Bird,13,8,"08/14/2021, 09:00",,Final
Chalice,Pandamonium,13,9,"08/14/2021, 09:00",,Final
PanIC,Risky Business,12,13,"08/14/2021, 09:00",,Final
Stripes,Mad Udderburn,13,9,"08/14/2021, 09:00",,Final
CHImera,Prion,12,9,"08/14/2021, 09:00",,Final
Liquid Hustle,Point of No Return,12,8,"08/14/2021, 09:00",,Final
EMU,POW!,11,12,"08/14/2021, 09:00",,Final
Jabba,Mastodon,13,6,"08/14/2021, 09:00",,Final
Mousetrap,Pushovers,11,10,"08/14/2021, 09:00",,Final
ELevate,Madison United Mixed Ultimate,11,10,"08/14/2021, 09:00",,Final
Stackcats,Great Minnesota Get Together,13,11,"08/14/2021, 09:00",,Final
Boomtown Pandas,Identity Theft,7,13,"08/14/2021, 09:00",,Final
cluster,Round 2
No Touching!,NOISE,11,13,"08/14/2021, 10:45",,Final
Chalice,PanIC,13,10,"08/14/2021, 10:45",,Final
Minnesota Star Power,Northern Comfort,13,8,"08/14/2021, 10:45",,Final
Pandamonium,Mad Udderburn,9,10,"08/14/2021, 10:45",,Final
Bird,EMU,10,11,"08/14/2021, 10:45",,Final
CHImera,Mousetrap,11,7,"08/14/2021, 10:45",,Final
Risky Business,Jabba,6,9,"08/14/2021, 10:45",,Final
Point of No Return,Stackcats,13,6,"08/14/2021, 10:45",,Final
POW!,Madison United Mixed Ultimate,11,7,"08/14/2021, 10:45",,Final
Robotic Snakes,Mastodon,6,13,"08/14/2021, 10:45",,Final
ELevate,Identity Theft,11,7,"08/14/2021, 10:45",,Final
Dinosaur Fancy,Great Minnesota Get Together,7,13,"08/14/2021, 10:45",,Final
cluster,Round 3
Chalice,Woodwork,9,13,"08/14/2021, 12:30",,Final
Minnesota Star Power,Risky Business,13,4,"08/14/2021, 12:30",,Final
Northern Comfort,Liquid Hustle,13,7,"08/14/2021, 12:30",,Final
Pandamonium,CHImera,2,13,"08/14/2021, 12:30",,Final
Bird,Stripes,3,13,"08/14/2021, 12:30",,Final
PanIC,EMU,10,9,"08/14/2021, 12:30",,Final
Prion,Mastodon,13,9,"08/14/2021, 12:30",,Final
Jabba,Dinosaur Fancy,13,7,"08/14/2021, 12:30",,Final
Mousetrap,Robotic Snakes,13,5,"08/14/2021, 12:30",,Final
POW!,Boomtown Pandas,11,12,"08/14/2021, 12:30",,Final
Madison United Mixed Ultimate,Great Minnesota Get Together,9,10,"08/14/2021, 12:30",,Final
Stackcats,Pushovers,6,13,"08/14/2021, 12:30",,Final
cluster,Round 4
No Touching!,Northern Comfort,13,11,"08/14/2021, 14:15",,Final
NOISE,CHImera,13,6,"08/14/2021, 14:15",,Final
Minnesota Star Power,Woodwork,13,6,"08/14/2021, 14:15",,Final
Pandamonium,PanIC,10,11,"08/14/2021, 14:15",,Final
Stripes,Point of No Return,13,7,"08/14/2021, 14:15",,Final
Liquid Hustle,Prion,6,9,"08/14/2021, 14:15",,Final
Mad Udderburn,POW!,12,9,"08/14/2021, 14:15",,Final
Jabba,Mousetrap,10,12,"08/14/2021, 14:15",,Final
ELevate,Mastodon,10,6,"08/14/2021, 14:15",,Final
Robotic Snakes,Pushovers,8,13,"08/14/2021, 14:15",,Final
Boomtown Pandas,Great Minnesota Get Together,8,11,"08/14/2021, 14:15",,Final
Identity Theft,Dinosaur Fancy,9,12,"08/14/2021, 14:15",,Final
cluster,Round 5
No Touching!,Chalice,13,10,"08/14/2021, 16:00",,Final
NOISE,Minnesota Star Power,13,5,"08/14/2021, 16:00",,Final
Woodwork,Stripes,12,13,"08/14/2021, 16:00",,Final
Northern Comfort,Bird,13,5,"08/14/2021, 16:00",,Final
Risky Business,Liquid Hustle,13,12,"08/14/2021, 16:00",,Final
Mad Udderburn,ELevate,13,3,"08/14/2021, 16:00",,Final
Point of No Return,Boomtown Pandas,13,2,"08/14/2021, 16:00",,Final
EMU,Prion,13,10,"08/14/2021, 16:00",,Final
Pushovers,Dinosaur Fancy,13,8,"08/14/2021, 16:00",,Final
Stackcats,Robotic Snakes,12,13,"08/14/2021, 16:00",,Final
Madison United Mixed Ultimate,Identity Theft,10,11,"08/14/2021, 16:00",,Final
b,r,e,a,k
brackets,Gold (1st)
bracket,1st Place
NOISE,Woodwork,14,12,"08/15/2021, 12:30",1st,Final
NOISE,Stripes,15,4,"08/15/2021, 10:30",Semis,Final
No Touching!,Woodwork,12,15,"08/15/2021, 10:30",Semis,Final
NOISE,Chalice,15,11,"08/15/2021, 08:30",Quarters,Final
Stripes,CHImera,13,8,"08/15/2021, 08:30",Quarters,Final
No Touching!,Northern Comfort,15,11,"08/15/2021, 08:30",Quarters,Final
Minnesota Star Power,Woodwork,12,15,"08/15/2021, 08:30",Quarters,Final
bracket,3rd Place
Stripes,No Touching!,9,7,"08/15/2021, 12:30",3rd,Final
bracket,5th Place
Chalice,Northern Comfort,15,14,"08/15/2021, 12:30",5th,Final
Chalice,CHImera,15,11,"08/15/2021, 10:30",5th Semis,Final
Northern Comfort,Minnesota Star Power,15,8,"08/15/2021, 10:30",5th Semis,Final
bracket,7th Place
CHImera,Minnesota Star Power,11,12,"08/15/2021, 12:30",7th,Final
b,r,e,a,k
brackets,Silver (9th)
bracket,9th Place
Risky Business,Mad Udderburn,14,10,"08/15/2021, 12:30",9th,Final
Risky Business,Pushovers,15,4,"08/15/2021, 10:30",9th Semis,Final
Mad Udderburn,EMU,11,9,"08/15/2021, 10:30",9th Semis,Final
Mousetrap,Risky Business,7,15,"08/15/2021, 08:30",9th Quarters,Final
Pushovers,Prion,13,12,"08/15/2021, 08:30",9th Quarters,Final
Mad Udderburn,Bird,15,6,"08/15/2021, 08:30",9th Quarters,Final
Jabba,EMU,10,15,"08/15/2021, 08:30",9th Quarters,Final
bracket,11th Place
Pushovers,EMU,10,13,"08/15/2021, 12:30",11th,Final
bracket,13th Place
Mousetrap,Bird,14,10,"08/15/2021, 12:30",13th,Final
Mousetrap,Prion,11,8,"08/15/2021, 10:30",13th Semis,Final
Bird,Jabba,13,10,"08/15/2021, 10:30",13th Semis,Final
bracket,15th Place
Prion,Jabba,8,12,"08/15/2021, 12:30",15th,Final
b,r,e,a,k
brackets,Bronze (17th)
bracket,17th Place
PanIC,Point of No Return,4,15,"08/15/2021, 12:30",17th,Final
PanIC,Pandamonium,15,13,"08/15/2021, 10:30",17th Semis,Final
Liquid Hustle,Point of No Return,10,15,"08/15/2021, 10:30",17th Semis,Final
PanIC,Mastodon,15,10,"08/15/2021, 08:30",17th Quarters,Final
Pandamonium,POW!,12,11,"08/15/2021, 08:30",17th Quarters,Final
Liquid Hustle,ELevate,10,9,"08/15/2021, 08:30",17th Quarters,Final
Point of No Return,Great Minnesota Get Together,15,11,"08/15/2021, 08:30",17th Quarters,Final
bracket,19th Place
Pandamonium,Liquid Hustle,1,15,"08/15/2021, 12:30",19th,Final
bracket,21st Place
POW!,ELevate,11,9,"08/15/2021, 12:30",21st,Final
Mastodon,POW!,8,10,"08/15/2021, 10:30",21st Semis,Final
ELevate,Great Minnesota Get Together,13,9,"08/15/2021, 10:30",21st Semis,Final
bracket,23rd Place
Mastodon,Great Minnesota Get Together,0,0,"08/15/2021, 14:30",23rd,Cancelled
b,r,e,a,k
brackets,Cheese (25th)
bracket,25th Place
Identity Theft,Madison United Mixed Ultimate,9,12,"08/15/2021, 12:30",25th,Final
Identity Theft,Stackcats,14,10,"08/15/2021, 10:30",25th Semis,Final
Madison United Mixed Ultimate,Dinosaur Fancy,10,7,"08/15/2021, 10:30",25th Semis,Final
Stackcats,Robotic Snakes,15,10,"08/15/2021, 08:30",25th Quarters,Final
Madison United Mixed Ultimate,Boomtown Pandas,11,8,"08/15/2021, 08:30",25th Quarters,Final
bracket,27th Place
Stackcats,Dinosaur Fancy,11,8,"08/15/2021, 12:30",27th,Final
bracket,29th Place
Robotic Snakes,Boomtown Pandas,7,15,"08/15/2021, 10:30",29th,Final
b,r,e,a,k
