2021 USA Ultimate Masters Championships,Masters - Mixed ,16,7,2021
Aurora,CO,2021-07-16,2021-07-18
https://play.usaultimate.org/events/2021-USA-Ultimate-Masters-Championships/schedule/Mixed/Masters-Mixed/
Slower,1
09,Eliot Alexander
10,Jennifer Golan
12,Lori Gromen
13,Kate McInerney
15,Aaron Bacon
16,Jaclyn Herr
17,Benjamin Reith
19,Chelsea Partusch
21,Liz Anderson
28,Jeff Haney
29,Jason Conrad
30,Emma Schroder
31,Kendalyn Paulin
32,Sarah Haynie
33,Austin Winner
38,Joe Mozloom Jr
40,John Richey
42,Kelly Kerker
44,Nicholas Kolderman
55,Samuel Lieberman
81,Kimberly Cooper
b,r,e,a,k
Old Rush,21
teamInfo,,"Boulder, Colorado",,,
0,Lacey Jones
8,Brad Agee
00,Christopher Hoxsey
00,Corinne Brown
00,Courtney Butler
00,Dimitri Krattiger
00,Elizabeth Dressler
00,Juliana Williams
00,McKenzie Grace
00,Mike Honderich
00,Nathan Speer
00,Pete Gadomski
00,Raymond  Chen
00,Stacey Krattiger
00,Troy Wojick
00,William Yu
00,William Allen
00,Amanda Brown
00,Annemarie Braun
00,Austin Outhavong
00,Becky Nevin
00,Benjamin Gross
00,Kristen Brenner
11,Killian Burns
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Hoarse and Draggin',Antiques Roadshow,7,14,"07/16/2021, 08:30",Pool A,Final
Slower,Antiques Roadshow,13,5,"07/16/2021, 10:30",Pool A,Final
Slower,Hoarse and Draggin',15,3,"07/16/2021, 12:30",Pool A,Final
pool,Pool B
Pizza Rats and Bodega Cats,Salty Action,12,8,"07/16/2021, 08:30",Pool B,Final
Hey Babe,Salty Action,15,8,"07/16/2021, 10:30",Pool B,Final
Hey Babe,Pizza Rats and Bodega Cats,15,7,"07/16/2021, 12:30",Pool B,Final
pool,Pool C
Smice Cream,GRUMP,14,7,"07/16/2021, 08:30",Pool C,Final
Old #7,GRUMP,13,2,"07/16/2021, 10:30",Pool C,Final
Old #7,Smice Cream,12,6,"07/16/2021, 12:30",Pool C,Final
pool,Pool D
Old Fashioned,Pittsburgh Iron City Ultimate,1,15,"07/16/2021, 08:30",Pool D,Final
512,Pittsburgh Iron City Ultimate,14,4,"07/16/2021, 10:30",Pool D,Final
512,Old Fashioned,15,3,"07/16/2021, 12:30",Pool D,Final
pool,Pool E
Default,Run Like The Winded,11,12,"07/16/2021, 08:30",Pool E,Final
Members Only,Run Like The Winded,15,4,"07/16/2021, 10:30",Pool E,Final
Members Only,Default,15,1,"07/16/2021, 12:30",Pool E,Final
pool,Pool F
Old Money,Bust,15,7,"07/16/2021, 08:30",Pool F,Final
Descent,Bust,14,2,"07/16/2021, 10:30",Pool F,Final
Descent,Old Money,15,3,"07/16/2021, 12:30",Pool F,Final
pool,Pool G
Distilled Fink,Old Pueblo,11,9,"07/16/2021, 08:30",Pool G,Final
