South Central Club Mixed Regional Championship 2021,Club - Mixed ,26,9,2021
https://play.usaultimate.org/events/South-Central-Club-Mixed-Regional-Championship-2021/schedule/Mixed/Club-Mixed
shame.,1
28,Cameron Snook
29,Meghan Rutledge
32,Paul Starkel
33,Erin Schran
41,Danielle Rowe
54,Daniel Gimbel
69,Jaime Estes
77,James Berry
82,Robert McDonald
93,Kyle Teske
b,r,e,a,k
Goosebumps,8
00,Bernard Barcio
00,Johnathan Tran
01,Rafael Cruz-Garcia
02,Christian Hagan
04,Julio Rodriguez
05,Sarah Maller
06,Christina Brown
08,Sarah Downing
12,Elizabeth Bixler
13,Tyler Reinhardt
14,Woodley Simon
15,Molly Lenihan
16,Elise Franke
17,Mathias Weeks
18,Chelsea Graham
20,Susan Gilbert
21,James Huizinga
24,Winston Phillips
36,Kelsey Nanneman
45,Samuel Heslep
91,Michael Crosson
95,Megan Mendieta
b,r,e,a,k
Swingers,5
0,Carmen Fann
5,Rachel Sullivan
03,Geoffrey Avila
04,Kyle Sculley
07,Myra Dickey
10,Lauren Hocamp
12,Joshua Strange
13,Agatha Scales
14,Christopher Ault
15,Micah Craig
16,Timothy Mosher
17,Todd Schrader
21,Sarah Bovio
23,Seth Gudeman
24,Shaun Seidenberger
27,Matthew Wilson
31,Hailey Gassiot
32,Lauren Schwartz
33,Josh Deeman
37,Connor Okonski
42,Amber Laurel
44,Lindsay Schwartz
77,Reece Rose
80,Jason Wehring
b,r,e,a,k
Flight Club,6
0,Lucia Wei
0,Madison Boyd
0,Nicholas Wetzel
1,Jessica Rabin
2,Holly Lin
3,Michael Armstrong
4,Ciaran Shaughnessy
5,Stephen Lin
6,Alex Flamm
7,John Stavinga
9,Evan Doucett
11,Noel Brennan
12,Benjamin Godwin
13,Linda Jencyowski
15,Ellie Wood
17,Collin Gillen
18,Sadie Norton
19,Teal Dabney
22,Ellie Hasenohr
23,Driss Ziane
26,Chloe Greene
32,Rachel Stockdale
52,Oliver Cunningham
81,Tessa Walter
98,Katie Wagner
99,Charles Cannon
b,r,e,a,k
Ouzel,10
0,Anders Van Sandt
0,Brianna Rick
0,Christopher Schasse
0,Allison Hahn
0,Elizabeth Cravens
0,Frank Fellone
0,Horacio Guzman
0,Janie Mockrish
0,Lewis Faller
0,Michael Stevens
0,Stacey Parr
1,Emma Price
2,Jonathan Steiner
3,Rae Van Sandt
13,Courtney Ngai
15,Rachel Ericson
21,Ian Golembeski
22,Daniel Sponaugle
22,Amanda Benedict
24,Evan Barrientos
24,Megan Jameson
30,Marvin Vuong
44,Kathryn Moore
45,Glenn Parr
69,Megan Kenny
87,Katie Abrahamson 
b,r,e,a,k
Risky Business,16
0,Cody Holloway
0,Cristina Carreon
0,Christina Jones
0,Jasa Fuller
0,Kendric Harris
0,Mai Trinh
0,Meredith Wooley
0,Patrick Boyker
0,Slayter Marwitz
4,Joshua Curtis
5,Bryan Rowes
5,Hien Le
5,Leith McMillan
7,Christopher Schultz-Davis
7,Austin Reed
8,Abby Evans
9,Dalio Losch
12,Kendall Hunt
19,Eric LaPietra
21,Blake Abbott
56,Laura Brewer
57,Kyle Stinson
65,Samuel Bondurant
78,Mitchell Zimmmermann
88,Zoey Clark
96,Austin Gould
b,r,e,a,k
Old Money,9
69,Alyssa Shanahan
69,Caitlin Richard
69,Caleb Pleasant
69,Cameron Umbarger
69,Corbin Vann
69,Elizabeth McCullagh
69,Fallon Cardoza
69,Frank Macon
69,Gavin Walker
69,Jacob Berg
69,Jason Ketchum
69,Julian Morgan
69,Justin Arney
69,Katie Hofland
69,Luke Kennedy
69,Megan Shepherd
69,Nick Fields
69,Nicole Fields
69,Patrick Randall
69,Stephanie Hockett
69,Tyler Tiger
69,William Faust
b,r,e,a,k
blOKC party,12
0,Abigail Ned
0,Camille Schlegel
0,Chris Dellenbaugh
0,Cora DeFrancesco
0,Craig Batchelder
0,Eric Eitrheim
0,Jacob Pleasant
0,Jewel Thompson
0,John Woldum
0,Jordan Reimer
0,Melanie Althaus
0,Parker Dooly
0,Sarah Eitrheim
0,Vanessa Baldeon
0,Zachary Johnson
2,Jonathan Summers
3,Samuel Mehan
7,Logan Allen
11,Jason Davis
21,Tatiana Jamerson
23,Clark Reimer
24,Alex Mudd
33,Keeahna Chambers
54,Liana Gaudreault
69,Jonathan Grill
99,Christopher Bluth
b,r,e,a,k
Hang Time,13
0,Brooke Goins
0,Christen McClure
0,Emily Edwards
0,Ivy Byun
0,Jake Floyd
0,Joseph Welkener
4,Daniel Welkener
5,Nand Patel
8,Mason Kelley
10,Andrew Maloney
11,Brianne Welkener
12,Leanne Parker
15,Mark Hill
18,Ella Smith
22,Scott Zachary
26,Jackson Gillenwaters
28,Taren Goins
29,Tucker Bankston
32,Christina DeAmicis
36,Caroline Hammer
39,Mattina Maloney
50,Jon DeAmicis
64,Danielle Edwards
87,David Hammer
b,r,e,a,k
Blucifer's Revenge,14
0,Augy Cohn
0,Christopher Reichel
0,Clarissa Guy
0,Dillon Joens
0,Jamian Jacobs
0,Jimmy Wiesbrock
0,Julie Kafka
0,Justin Kaplon
0,Kelly Bolt
0,Louis Abramowski
0,Alexandra Guy
0,Luke Perkins
0,Mary Kurzweil
0,Megan Halverson
0,Michael Stowe
0,Natalie Kallhoff
0,Scott Harper
0,Ventana Harding
8,Van Le
10,Hilliard Chesteen
16,Macy Lang
22,Iris Ng
25,James Shepard
27,Lukas Nesheim
84,Nicole Havel
97,Andrea Uhl
b,r,e,a,k
Bexar,11
0,Alexandra Zaborowske
0,Ashley Abrigo
0,Blake Marlowe
0,Danica Cutshall
0,David Haeussler
0,David Churchman
0,Eleanor Burg
0,Elise Brunk
0,Jiayin Li
0,Jordan Salazar
0,Julia  Riley
0,Sean Lindsay
2,Jessica Kishi
5,Ellen Register
11,Sarah Lindsay
14,Brody Johnson
15,Jessica Hartzer
21,Austin Wehrheim
22,Mia Loseff
23,Axel Anderson
31,Paul Wheaton
33,Corey Mika
39,Brittany Wheaton
42,Kevin McGloin
82,Jeff Taylor
87,Michael McCartney
b,r,e,a,k
The Strangers,7
0,Alyssa May
0,Annie Mei
0,Anthony Verga
0,Alice Murphy
0,Catherine Smith
0,Mitch Lindsey
0,Morgan Colacone
0,Nathan Caldwell
0,Randall Waymire
0,Scott Harris
0,Scott Hampton
0,Tara Gedvilas
0,Thomas Parry
0,Todd Gedvilas
0,Dalton Chaffee
0,Don Nguyen
0,Eric Kearney
0,Kristen Insana
0,William Axtell
3,Hannah Dryke
3,Austin Outhavong
7,Michael Lommler
22,Christian Gentry
23,Tracy Farrell
23,Jason Howard
84,Alison Haddad
b,r,e,a,k
Work In Progress,15
0,Abigail Thorpe
0,Brisa Diaz
0,Callista Benavides
0,Kimmy  Wilson
0,Madison Nickerson
0,Mauricio Muller
0,Olivia Osborne
0,Victor Mao
1,Eric VerPloeg
4,Julius Hubby
4,Travis Bieda
7,Sarah Evans
12,Erin Curry
13,Christopher Fogel
22,Gabrielle Spurlin
29,Charles McNeil
34,Madison Tomasek
42,Luke Stipanovic
43,Peter Rangel
55,Eric Kleckner
69,Bristol Lovoy
89,Jack Wooldridge
98,Luiz Astorga
99,Tanner Roberts
b,r,e,a,k
s,t,a,g,e,s
brackets,Regionals Tournament
bracket,Zero Loss Bracket
shame.,Public Enemy,13,7,"09/26/2021, 11:00",Final
shame.,Love Tractor,13,10,"09/25/2021, 13:00",Semi Finals
Public Enemy,Waterloo,11,9,"09/25/2021, 13:00",Semi Finals
shame.,Goosebumps,13,4,"09/25/2021, 11:00",Quarter Finals
Swingers,Love Tractor,9,13,"09/25/2021, 11:00",Quarter Finals
Public Enemy,Flight Club,13,7,"09/25/2021, 11:00",Quarter Finals
Ouzel,Waterloo,8,13,"09/25/2021, 11:00",Quarter Finals
shame.,Risky Business,13,5,"09/25/2021, 09:00",Round of 16
Goosebumps,Old Money,13,6,"09/25/2021, 09:00",Round of 16
Swingers,blOKC party,13,10,"09/12/2021, 09:00",Round of 16
Love Tractor,Hang Time,13,6,"09/25/2021, 09:00",Round of 16
Public Enemy,Blucifer's Revenge,13,2,"09/25/2021, 09:00",Round of 16
Flight Club,Bexar,13,8,"09/25/2021, 09:00",Round of 16
The Strangers,Ouzel,8,13,"09/25/2021, 09:00",Round of 16
Waterloo,Work In Progress,13,5,"09/25/2021, 09:00",Round of 16
bracket,One Loss Bracket
Public Enemy,Love Tractor,11,12,"09/26/2021, 13:00",Game to go
Love Tractor,Waterloo,12,10,"09/26/2021, 11:00",Backdoor Round 5
Love Tractor,Flight Club,13,7,"09/26/2021, 09:00",Backdoor Round 4
Goosebumps,Waterloo,7,13,"09/26/2021, 09:00",Backdoor Round 4
Ouzel,Flight Club,8,13,"09/25/2021, 15:00",Backdoor Round 3
Swingers,Goosebumps,9,13,"09/25/2021, 15:00",Backdoor Round 3
Ouzel,Risky Business,13,9,"09/25/2021, 13:00",Backdoor Round 2
Flight Club,Hang Time,13,6,"09/25/2021, 13:00",Backdoor Round 2
Swingers,Blucifer's Revenge,12,10,"09/25/2021, 13:00",Backdoor Round 2
Goosebumps,Work In Progress,13,10,"09/25/2021, 13:00",Backdoor Round 2
Risky Business,Old Money,12,9,"09/25/2021, 11:00",Backdoor Round 1
blOKC party,Hang Time,7,13,"09/25/2021, 11:00",Backdoor Round 1
Blucifer's Revenge,Bexar,13,12,"09/25/2021, 11:00",Backdoor Round 1
The Strangers,Work In Progress,8,11,"09/25/2021, 11:00",Backdoor Round 1
bracket,7th Place Game
Ouzel,Swingers,13,10,"09/26/2021, 11:00",7th Place Game
bracket,5th Place Game
Goosebumps,Flight Club,6,13,"09/26/2021, 11:00",5th Place Game
b,r,e,a,k
pools,9-16 Pool Play
pool,13-16
Old Money,Bexar,7,13,"09/25/2021, 13:00",13-16
blOKC party,The Strangers,13,12,"09/25/2021, 13:00",13-16
blOKC party,Bexar,6,13,"09/26/2021, 09:00",13-16
Bexar,The Strangers,13,9,"09/26/2021, 11:00",13-16
pool,9-12
Risky Business,Blucifer's Revenge,10,11,"09/26/2021, 09:00",9-12
Hang Time,Work In Progress,13,6,"09/26/2021, 09:00",9-12
Risky Business,Work In Progress,10,11,"09/26/2021, 11:00",9-12
Hang Time,Blucifer's Revenge,11,5,"09/26/2021, 11:00",9-12
Risky Business,Hang Time,5,11,"09/26/2021, 13:00",9-12
Blucifer's Revenge,Work In Progress,10,9,"09/26/2021, 13:00",9-12
b,r,e,a,k
