Metro East D-I College Men's Regionals,College - Men ,27,4,2024
Middletown,NY,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Metro-East-D-I-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Ottawa,1
00,Stephen  Fasolo 
00,William William Richard Klinger
03,Matt Miles
04,Jack Prancl
06,John Hayes
08,Brenden Hershman
22,Ryan Cook
31,Timothy Jennings
64,Sean Carpenter
69,Jared McCallion
88,Andrzej Porter
b,r,e,a,k
Cornell,3
teamInfo,Buds,"Ithaca, New York",https://www.instagram.com/budsultimate/,https://www.facebook.com/CornellBudsUltimate/,https://twitter.com/BudsUltimate
coaches,Tanner Yuhas,Sam Garncarz
0,Micah Schuchman
01,Simon Alford
02,Spencer Peters
03,Parker Ashworth
05,Benjamin Packard
06,Thomas Meyer
07,Siming Wu
08,Jacob Groner
10,Mason Raffo
12,Thomas Wu
13,Tomer Poole-Dayan
15,Dylan Kenniff
16,Roan Chadsey
17,Neal Vasireddi
20,Dylan Winchell
21,Nathaniel Chin
22,Tyler Sprague
23,Sanjar Kushaliev
24,Ka Lok Ethan Lau
26,Benjamin Zou
27,Benjamin Nusbaum
29,Max Trager
31,Davith  Chan
42,Zach Halevy
47,Ren Kondo
66,Elijah Sheridan
77,Lewis Sisler
81,Matthew Hui
88,Iram Liu
99,Milo Rappoport
b,r,e,a,k
SUNY-Binghamton,6
teamInfo,SUNY-Binghamton,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
00,Charles Labarge
00,Ethan Fried
00,Leopold Fell
00,Lucien Betancourt
00,Nicholas D'Souza
00,Peter Conelli
00,praneeth Vijayakumar 
00,Matthew Nieto
00,Ryan Dehn
00,Samuel Carter
06,Ryan LaBonte
06,Ari Wechsler
09,Tyler Leitner
14,Drew Holahan
17,Christopher Wells
20,Michael Levy
23,Luke Smith
33,Ian Burks
40,James Pardo
54,Dylan Guzman
55,Garrett Barth
72,Neil  Costa
80,Jack Molloy
88,Edward  Wong
b,r,e,a,k
Rutgers,10
teamInfo,Machine,"New Brunswick, New Jersey",,,
coaches,Shashank Alladi,Dyllon Jeng
00,Alan Wu
00,Antoine Staten
00,Hriday Deputy
00,Jayce Loniewski
00,Tyler Mackey
07,Vishal Anand
09,Gerard Bryson
10,Peng-Yu Chu
13,Arthur Liaw
14,Gianluca Pagano
15,Adar Turapov
16,BURHANUDDIN DANISH
17,Daniel Han
18,Shiloh Duan
20,Jakob Lehmann
24,Mohammed Danish
27,Jinhu Chung
30,Yongqin Feng
33,Jaylin Allen
37,Patrick Zong
45,Michael Supple
86,Jason Furbee
b,r,e,a,k
Hofstra,15
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
coaches,Christopher Kizis
0,Admar Calovini
0,Brennen Steinborn
0,Christina Kyprianou
0,Darsh Patel
0,Julia Mills
0,Karl Basile-Baehr
0,Nadya Svidzerskaya
0,Parker Hipp
0,Patrick Bruso
0,Robert Shea
0,Sam Rork
0,Sam Gibney
0,Sean Kupstas
0,Steven Samuel
0,Timothy Chang
0,Will Jones
0,Jake Olney
3,Robert Beanland
31,Gabriel Kritz
38,Caleb Rockhill
57,Joseph Cicione
b,r,e,a,k
Princeton,4
teamInfo,Clockwork,"Princeton, New Jersey",http://www.princeton.edu/~clockwrk/,https://www.facebook.com/ClockworkUltimate,https://twitter.com/clockworkultima
0,Kushaan Bahl
00,Mark Gazzerro
00,Na'im Ahdieh
00,Nathaniel Hess
00,Oren Swagel
00,Paul Fletcher
00,Rahul Kalavagunta
00,Ryan Kirby
00,Tam Tran
00,Wesley Oliver
00,Will Norton
00,Aiden Quayle
00,Albert Gimó
00,Alexander Khoretonenko
00,Andrew Oliver
00,Andrew Deschenes
00,August Wietfeldt
00,Austin Fan
00,Christian Ganter
00,Creston Brooks
00,Dane Utley
00,David Hwang
00,Gregory Guggenmos
00,Hugh Shields
00,Isaiah Fletcher
00,Jack Noymer
00,Jeffrey Cheng
00,John Van Horn
b,r,e,a,k
SUNY-Buffalo,5
teamInfo,Green Eggs and Ham,"Buffalo, New York",,https://www.facebook.com/buffaloultimate/,https://twitter.com/gehultimate
coaches,Eoin Joyce,Benson Chen,Nick Lenhard,Dakota Cross
0,Asa Mohammed
0,Carson Essenburg
0,Chi Huan Lei
0,Colton Zack
0,Elias McQuade
0,Evan Bembenista 
0,Gavin Otty
0,Michael Warsaw
0,Michael Shore
0,Neil Lin
0,Nick Wong
0,Nicolas Angulo Stevenson
0,Noah Reifenheiser
0,Reilly Donovan
0,Sean O'Malley
0,Thomas Graham
0,Joseph LaMacchia
2,Matthew Jones
8,Joshua Seale
9,Devin Hendricks
22,Elliot Rivera
63,Jack Puttre
b,r,e,a,k
Yale,9
teamInfo,Süperfly,"New Haven, Connecticut",http://superfly.sites.yale.edu,https://www.facebook.com/SuperflyUltimate,https://twitter.com/yalesuperfly
2,Andrew Yang
3,Owen Hathaway Hacker
4,Jack Griffin
5,Clark Strauss
6,Max Saffer-Meng
7,Zubin Birnbach
8,John Kiely
9,Nayan Birnbach
13,Ben Chaimberg
14,Marcos Britsch
15,John Timmers
17,Jonah Sparling
18,Micah Derringer
19,Thomas Venarde
22,Robert Hodges
23,Devin Grooms-Lee
24,Jerry Tan
25,Sungho Moon
26,George Cheung
27,Jack Cloherty
28,Eric Bormann
31,Aman Jain
33,Ayden Lee
36,Henry Berger
47,Zaki Siraj
73,Elijah  Kennard
99,Carson Punt
b,r,e,a,k
SUNY-Binghamton (B),16
teamInfo,SUNY-Binghamton B,"Binghamton, New York",https://sites.google.com/binghamton.edu/binghamtonultimate/,https://www.facebook.com/binghamtonultimate/,
00,Louis Scholl
03,Jack Hannagan
04,Rory Jacobs
08,Christopher Adami
11,Christian Cincotta
13,Simon Rebecca
15,Lucas Hopkins
16,Austin Cincotta
18,Samuel Levine
19,Patrick Pellittiere
21,Dennis Ahmetaj
22,Charles  Simonsen
27,Mert Yolseven
30,Jonathan Appel
32,Christopher Leon
35,Quinlan Schultz
37,Caleb Carpenter
38,Aidan Goode
43,Zisis Zias
52,Noah Capello
63,Jack Lawler
66,Alex Pulsifer
72,Ryan Ragaini
87,Kyle Veith
88,Matthew Stancampiano
93,Matthew Tibbals
97,Ethan Weiss
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Ottawa,RIT,15,4,"04/27/2024, 09:00",Pool A,Final
SUNY-Albany,Central Connecticut State,11,12,"04/27/2024, 09:00",Pool A,Final
Ottawa,Central Connecticut State,15,2,"04/27/2024, 11:00",Pool A,Final
SUNY-Albany,RIT,13,11,"04/27/2024, 11:00",Pool A,Final
Ottawa,SUNY-Albany,15,4,"04/27/2024, 13:00",Pool A,Final
RIT,Central Connecticut State,15,8,"04/27/2024, 13:00",Pool A,Final
pool,Pool B
Connecticut,Columbia,10,12,"04/27/2024, 09:00",Pool B,Final
NYU,Rowan,15,11,"04/27/2024, 09:00",Pool B,Final
Connecticut,Rowan,15,7,"04/27/2024, 11:00",Pool B,Final
NYU,Columbia,9,14,"04/27/2024, 11:00",Pool B,Final
Connecticut,NYU,13,11,"04/27/2024, 13:00",Pool B,Final
Columbia,Rowan,15,7,"04/27/2024, 13:00",Pool B,Final
pool,Pool C
Cornell,Rutgers,12,7,"04/27/2024, 09:00",Pool C,Final
SUNY-Binghamton,Hofstra,15,5,"04/27/2024, 09:00",Pool C,Final
Cornell,Hofstra,15,3,"04/27/2024, 11:00",Pool C,Final
SUNY-Binghamton,Rutgers,15,4,"04/27/2024, 11:00",Pool C,Final
Cornell,SUNY-Binghamton,13,7,"04/27/2024, 13:00",Pool C,Final
Rutgers,Hofstra,15,5,"04/27/2024, 13:00",Pool C,Final
pool,Pool D
Princeton,Yale,14,9,"04/27/2024, 09:00",Pool D,Final
SUNY-Buffalo,SUNY-Binghamton (B),15,3,"04/27/2024, 09:00",Pool D,Final
Princeton,SUNY-Binghamton (B),15,7,"04/27/2024, 11:00",Pool D,Final
SUNY-Buffalo,Yale,15,7,"04/27/2024, 11:00",Pool D,Final
Princeton,SUNY-Buffalo,14,13,"04/27/2024, 13:00",Pool D,Final
Yale,SUNY-Binghamton (B),15,6,"04/27/2024, 13:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Ottawa,Cornell,15,7,"04/28/2024, 15:00",Finals,Final
Ottawa,Princeton,15,10,"04/28/2024, 11:00",Semis,Final
Cornell,Columbia,15,10,"04/28/2024, 11:00",Semis,Final
Ottawa,Rutgers,15,8,"04/28/2024, 09:00",Quarters,Final
Princeton,SUNY-Binghamton,15,13,"04/28/2024, 09:00",Quarters,Final
Cornell,SUNY-Buffalo,15,10,"04/28/2024, 09:00",Quarters,Final
Columbia,Yale,12,11,"04/28/2024, 09:00",Quarters,Final
Connecticut,Rutgers,11,12,"04/27/2024, 15:00",PreQuarters,Final
SUNY-Binghamton,NYU,15,3,"04/27/2024, 15:00",PreQuarters,Final
SUNY-Albany,SUNY-Buffalo,9,15,"04/27/2024, 15:00",PreQuarters,Final
Yale,RIT,15,11,"04/27/2024, 15:00",PreQuarters,Final
bracket,Third Place
Princeton,Columbia,1,0,"04/28/2024, 13:00",Third Finals,Final
bracket,Fifth Place
SUNY-Binghamton,Yale,12,15,"04/28/2024, 13:00",Fivals,Final
Rutgers,SUNY-Binghamton,9,13,"04/28/2024, 11:00",Fifth Semis,Final
SUNY-Buffalo,Yale,8,14,"04/28/2024, 11:00",Fifth Semis,Final
bracket,Seventh Place
Rutgers,SUNY-Buffalo,0,1,"04/28/2024, 13:00",Seventh Finals,Final
bracket,Ninth Place
Connecticut,RIT,11,8,"04/28/2024, 13:00",Ninals,Final
Connecticut,SUNY-Albany,15,3,"04/28/2024, 11:00",Ninth Semis,Final
NYU,RIT,11,15,"04/28/2024, 11:00",Ninth Semis,Final
bracket,Eleventh Place
SUNY-Albany,NYU,0,0,"04/28/2024, 13:00",Eleventh Finals,Scheduled
b,r,e,a,k
pools,13th Place Round Robin
pool,Consolation Pool
Central Connecticut State,Hofstra,13,14,"04/28/2024, 09:00",Consolation Pool,Final
Rowan,SUNY-Binghamton (B),15,5,"04/28/2024, 09:00",Consolation Pool,Final
Central Connecticut State,SUNY-Binghamton (B),10,9,"04/28/2024, 11:00",Consolation Pool,Final
Rowan,Hofstra,15,4,"04/28/2024, 11:00",Consolation Pool,Final
Central Connecticut State,Rowan,6,11,"04/28/2024, 13:00",Consolation Pool,Final
Hofstra,SUNY-Binghamton (B),6,1,"04/28/2024, 13:00",Consolation Pool,Final
b,r,e,a,k
