Old Capitol Open 2024,College - Men ,30,3,2024
Cedar Rapids,IA,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Old-Capitol-Open-2024/schedule/Men/CollegeMen/
Colorado Mines,1
teamInfo,Panthers,"Grand Rapids, Michigan",davenport.edu/sports/ultimate,,
0,Aidan Williams 
0,Cameron  Meier
0,Collin Colegate
0,Darren Dyer
0,Ian Neal
0,Jacob Felton
0,Jahiem Upchurch
0,James Pekel
0,Joe Claramunt
0,Jonathan Newman
0,Juraj Hurny
0,Landon Hall
0,Richard Dragicevich 
0,Rowan Jamieson
0,Samuel Rysko
0,Stephane  Manzi
0,Tyler Shanahan
b,r,e,a,k
Northern Iowa,13
teamInfo,AmmUNItion,"Cedar Falls, Iowa",https://sites.google.com/site/ammunitionultimate/home,https://www.facebook.com/UNI.ultimate,https://twitter.com/UNIUltimate
0,Bennett Ludwig
0,Devin Spahn
0,Jordan Mills
0,Lane Wunderlich
0,Parker Sharp
0,Ryan Plummer
0,Sean Sheets
0,Thomas Manternach
0,Trevor Diederichs
0,Elliot Drew
3,Carson Boyer
22,Duncan Wierzchowski
69,Brendan Finley
69,Isaac Timm
b,r,e,a,k
Washington University (B),20
teamInfo,Contraband,"St. Louis, Missouri",https://sites.wustl.edu/contraband/,,https://www.twitter.com/wucontraband
0,Benjamin Modiano
0,Benny SEPTER
0,Daniel Palmer
0,Dhruv Mathur
0,Gus Gerlach
0,Alan Knight
0,Avi Holzman
0,Kellen Zoberi
0,Rohan Avula
0,Samuel Leopold
0,Vinay Viswanathan
0,Weldon Smith
2,Mateo Hain
10,Ben Wertheim
12,Jack Heuberger
43,JP Torack
b,r,e,a,k
Minnesota-Duluth,6
teamInfo,Northern Lights,"Duluth, Minnesota",,https://www.facebook.com/lights33,https://twitter.com/UMD_Lights
0,Alex Roth
0,Charlie Johnson
0,Diego Umana
0,Joseph Carland
0,Kjell Olmanson
0,Nathan Salberg
0,Tyler McBride
0,Yunchan Hur
0,Zachary Huffaker
0,Zander Harris
3,Thomas Donahue
4,Garrett Erickson
7,Alexander Vasil
8,Henry Liebl
16,Alex Hubley
20,Cory Kurkowski
21,Joseph Peterson
24,Aaron Reiser
30,Trever Shellum
81,Hayden Buss
b,r,e,a,k
Carthage,14
teamInfo,Carthage Blitz,"Kenosha, Wisconsin",,https://www.facebook.com/groups/246330382070418/,https://twitter.com/CarthageBlitz
02,Will Deitrich
03,Jacob Brodkorb
05,Miles Chubin
07,John de Montmollin
08,Conner Bousson
09,Jay Lewer
14,Ethan Anderson
18,Andrew Kirchhoff
22,Aiden Figueroa
23,Daniel Plutchak
33,Buddy Mahoney
37,Carolina Szoepe
51,Daniel Althaus
57,Christian Cecala
88,Jonah Koehlert
97,Audrey Horwath
99,Ethan Weishuhn
b,r,e,a,k
Wisconsin-Stevens Point,19
teamInfo,Homegrown,"stevens point, Wisconsin",,,
0,Haley Densow
0,Jackson  Riddle
0,Jacob Ladik
0,Logan Gosse
0,Luke Rospert
0,Matthew Zietlow
0,Nathan Wolf
0,Thomas McKenna
10,Pedro Ivo Saldanha
21,Jacob Cafferty
23,Alexander Mancheski
27,edwin Moore
29,Jack Vail
42,Brendon Fogelberg
52,Hazel Radtke
95,rebecca marsh
b,r,e,a,k
Southern Illinois-Edwardsville,7
teamInfo,Geese,"Edwardsville, Illinois",,,
0,Dillon McGinnis
0,Jadin Johnson
0,Victor Chaidez
1,Hector Chaidez
3,Colin Mclaren
3,Patrick Driscoll
5,Augustino Ojeda
6,Lucas Hanson 
8,Jonathan Zawitkowski
12,Nathan  Burrell
12,Edward Prenzler
13,Christian Kult
18,Keaton Anderson
23,Joshua Stout
26,Evan Driscoll
32,Evan Squire
68,Jacob Geisen
b,r,e,a,k
Illinois State,15
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
03,Thomas  Diveley
04,Blake McKee
05,Luke Brigman
06,Logan Dudley
07,Carter Whitlow
12,Ethan  Moore 
13,Andy Schneider
16,Zach Ohlsson
20,Jalen Thomas
29,Reilly Nawrocki
33,Truman Arie
34,Patrick Corlett
35,Elliott Tubbs
37,Levi Cardoso De Campos
44,Andrew Roth
55,Alessandro Gibson
83,Joseph Murphy
b,r,e,a,k
Luther,18
teamInfo,LUFDA,"Decorah, Iowa",https://www.luther.edu/mens-ultimate/,https://www.facebook.com/lutherultimate,https://twitter.com/LutherLUFDA
0,Austin Wesenberg
0,Eli Miller
0,Henry Lenaburg
0,Huy Nguyen
0,Jack Grigsby
0,Minh Le
0,Muhammad Mughees Akbar Warraich
0,Neil Grube
0,Paul Ode
0,peter McBride
0,Sean Medcalfe
0,William Coffey
0,Zachary A Watson
2,Karlton Anderson
7,Griffin Glassel
28,Charles Jetton
32,Liam Edberg
33,Simon McDonald
97,Mark McCollor
b,r,e,a,k
Macalester,8
teamInfo,Macalester Open Ultimate,"Saint Paul, Minnesota",https://macalesteropenulti.weebly.com/,,https://twitter.com/macalesterulti
0,Alex Brinkman
0,Ben Arnold
0,Boaz Lieberman
0,Caleb Bartlett
0,Emory Shoaff
0,Ezra Korn-Meyer
0,Isaac Powers
0,Kyle Suelflow
0,Liam Athas
0,Martin Bernsten
0,Owen Suelflow
0,Roy Gao
0,Xander Hall
3,Ezra Cohen
7,Rocky Slaymaker
9,Benjamin Richardson
11,Stellah Marienthal-Legendre
14,Andrew Dong
22,Nicholas Miller
23,Noah Chen
24,Emilio Gray
26,Jack Sorlie
36,Gavin Davis
37,Seamus McMurrer
69,Dylan Lian
72,Jack Keller
82,Caedmon Kolllmer-Dorsey
b,r,e,a,k
Eastern Michigan,17
