2024 USA Ultimate Masters Championships,Masters - Women ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Women/Masters-Women/
Soar! *sore,1
02,Ali Jensen
08,Alex Mathison
10,Seraphie Allen
11,Mary Lamkin
13,Kelly Bruno
14,Ashley Chan
19,Lyda Harris
22,Gina Phillips
24,Sarah Titcomb
39,Maria Mendiburo
51,Kate Crawford
99,Taylor Martin
b,r,e,a,k
COUGARS,9
teamInfo,,"Minneapolis, Minnesota",https://cougarsultimate.weebly.com/,,
00,Alison Schmitz
00,Linette Maeder
03,Anna Reed
04,Jenny Gaynor
08,Machen Bihrle
10,Yuriko Vaughan
11,Rachel Gage
12,Rebecca Enders
14,Megan Molteni
15,Katie Godfrey
16,Rebecca Morales
19,Megan Randall
22,Brit Gartner
25,Courtney Kiesow
27,Sonja Burseth
29,Kelsey Peterson
33,Martha (Mattie) Melin
39,Meghan Conrad
49,Elly Fireside-Ostergaard
73,Elyssa Yesnes
81,Sarah Robinson
89,Rebekah Swanson
93,Biz Cook
b,r,e,a,k
Grannie Oakley,15
teamInfo,,"Cincinnati, Ohio",,,
00,Alex Easterday
00,Andria Ellis
00,Chelsea Hintz
00,Connor Shirley
00,Emilee Johnson
00,Izzi Bikun
00,Julie Sebastian
00,Kirsten Smith
00,Laura Oehlman
00,Liz Anderson
00,Maria Dienger
00,Ruth Williams
00,Tierney Miller
00,Yelenis Rivera
b,r,e,a,k
Ripe,3
teamInfo,,"Chapel Hill, North Carolina",,,
00,Sarah Espinoza
02,Savannah Erwin
07,Sarah Hasch
08,Logan Shapiro
11,Brenna Murray
13,Jocelyn Keung
19,Tracy d'Arbeloff
20,Savannah Hadwiger
22,Heather Zimmerman
26,Michelle Landis
27,Toni Gomes
31,Audrey Siple
49,Andrea Desabato
64,Laura Matzuka
88,Christine Bookhout
91,Renee Tamming
99,Alix Robbins
b,r,e,a,k
UniCORN,5
teamInfo,,"Hartford, Connecticut",,,
0,Emily Qian
3,Barb Banz
02,Miranda Moore
04,Liv Erhard
05,Dakota Lippincott
06,Adrienne Wells
08,Paige Howell
10,Sadie Perkins
12,Maureen Dougherty
13,Sterling Morrone
14,Christine Georgakakos
16,Jess Stitt
17,Erin Donahue
20,Maryann Platt
21,Allyse Fazio
23,Jacqueline Oakes
24,Jenna Forman
25,Jessica Tyler
27,Danica Vasa
29,Jennine Kanaby
32,Ashley Gulyas (Snyder)
44,Jackie Booth
51,Clara-Ann Joyce
52,Alyson Brokaw
71,Claire Gunderson
91,Iris Lam
97,Taylor Simpson
99,Mariana Lopes
b,r,e,a,k
Old Soul,12
teamInfo,,"seattle, Washington",,,
00,Aiza Abelon
00,Claire Kimball
00,Daniella Welsh
00,Danielle Osman
00,Diane Simunek
00,Erica Stamboulian
00,Jacqueline Chipkin
00,Jessica Crowley
00,Lauren VanDyken
00,Lydia Carle
00,Madeline Spolin
00,Margaret Yim
00,Meghan Gannon
00,Melissa Woodward
00,Natalie Powell
00,Rachel Enyeart
00,Rebecca Ferber
00,Ryann Child
00,Serene Hastings
00,Veronica Tse
b,r,e,a,k
Barrel-Aged,14
teamInfo,,"Denver, Colorado",,,
00,Aelish Aoki
00,Alexandra Guy
00,Alexandra (Ola) Czastkiewicz
00,Alyssa Maristela
00,Ana  Prada
00,Anna Lockwood
00,Anna Hrovat-Staedter
00,Candace Yeh
00,Catherine Smith
00,Emily Kraus
00,Emma Boyd
00,Hanlu Ye
00,Hilary Walker
00,Iris Ng
00,Julia Longinotti
00,Julie Kafka
00,Katie Ciaglo
00,Kelsey Mueller
00,Kirsten Fahlbusch
00,Leilani Nelson
00,Maia Nguyen
00,Rebecca Mitchell
00,Stephanie Piperno
b,r,e,a,k
PDXtra,4
teamInfo,,"Portland, Oregon",,,
00,Agnes Lee
00,Alison Wheeler
00,Ann Landis
00,Annalise Heuser
00,Dana (Zuul) Nelson
00,Elise Hollowell
00,Emily Flanders
00,Grace Whitmore
00,Hayley Shanks
00,Holly Gibson
00,India John
00,Isabelle  Bartter
00,Kaitlyn Harris
00,Kathleen Johnston
00,Katie Horsley
00,Kelly Marx
00,Kelly Cogburn
00,Kendall Jorgensen
00,Rebecca Perston
00,Rosie Harte
00,Sara Spring
00,Shannon Dennehy
00,Yazelis Benitez-Villegas
15,Kelsey Salvo
17,Jenica Villamor
b,r,e,a,k
PUMAS,6
teamInfo,,"Saint Louis, Missouri",,,@pumasultimate
00,Hanna Jensen
00,Paige Applegate
05,Sarah Stoker
06,Kathleen Horton
08,Stephanie Rupp
09,Gabriella Lavezzi
10,Caitlin Lisk
11,Rebecca Storey
12,Clare Frantz
16,Camille Nelson
17,Janani Ragothaman
19,Cameron Sisler
20,Nadine Rowen
23,Laura Halfmann-Morris
24,Loren Goodrich
27,Eliza Hutchings
33,Elizabeth Hooper
44,Julianne Crockett
50,Anna Thorn
55,Courtney Walbe
72,Jacqueline Jarik
86,Amanda Johnson
98,Julia Brennan
b,r,e,a,k
SPENT,11
teamInfo,,"New York City, New York",,,
00,Bert Cherry
00,Brittany Kaplan
00,Camille Victoria Delgado
00,Chelsea Leeder
00,Christiana Chang
00,Christine Hung
00,Diana DeLeo
00,Emily Prader
00,Hayley Manning
00,Iris Malfetano
00,Jessica Chen
00,Joanna Chen
00,Julie Sussman
00,Katherine Cole
00,Kristen Tivey
00,Kylie Sterling
00,Lili Gu
00,Mallory Meiser
00,Maria Alizo
00,Rebecca Tucker
00,Ruthie Tabatchnick
00,Veronica Kolegue-Spalaris
b,r,e,a,k
Winded City,13
teamInfo,,"Chicago, Illinois",https://www.instagram.com/windedcityulti,,https://twitter.com/WindedCityUlti
00,Alexandra Ulp
00,Amelia Lentz
00,Hannah Weisbecker
00,Lauren Reidy
01,Caitlin Reidy
03,Jessica Johnson
09,Stephanie Sauer
11,Lauren Miller
13,Samantha Sadlier
14,Gina Stees
18,Erika Wagner
22,Javive Diaz Este
29,Nina Fogel
33,Alyssa Graham
50,Lauren Brauer
60,Katherine Cromer
91,Liz Biggane
99,Anyela L. Garcés
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Soar! *sore,Old Bae,8,0,"07/20/2024, 08:30",Pool A,In Progress
Big Tendinitis,Hurkle Durkle,8,4,"07/20/2024, 08:30",Pool A,In Progress
Soar! *sore,Hurkle Durkle,0,0,"07/20/2024, 13:00",Pool A,Scheduled
Big Tendinitis,Old Bae,0,0,"07/20/2024, 13:00",Pool A,Scheduled
Soar! *sore,Big Tendinitis,0,0,"07/21/2024, 08:30",Pool A,Scheduled
Old Bae,Hurkle Durkle,0,0,"07/21/2024, 08:30",Pool A,Scheduled
pool,Pool B
StellO,COUGARS,0,0,"07/20/2024, 08:30",Pool B,Scheduled
Night Cheese,Grannie Oakley,0,0,"07/20/2024, 08:30",Pool B,Scheduled
StellO,Grannie Oakley,0,0,"07/20/2024, 13:00",Pool B,Scheduled
Night Cheese,COUGARS,0,0,"07/20/2024, 13:00",Pool B,Scheduled
StellO,Night Cheese,0,0,"07/21/2024, 08:30",Pool B,Scheduled
COUGARS,Grannie Oakley,0,0,"07/21/2024, 08:30",Pool B,Scheduled
pool,Pool C
Ripe,Old Soul,0,0,"07/20/2024, 10:45",Pool C,Scheduled
UniCORN,Barrel-Aged,0,0,"07/20/2024, 10:45",Pool C,Scheduled
Ripe,Barrel-Aged,0,0,"07/20/2024, 15:15",Pool C,Scheduled
UniCORN,Old Soul,0,0,"07/20/2024, 15:15",Pool C,Scheduled
Ripe,UniCORN,0,0,"07/21/2024, 08:30",Pool C,Scheduled
Old Soul,Barrel-Aged,0,0,"07/21/2024, 08:30",Pool C,Scheduled
pool,Pool D
PDXtra,SPENT,0,0,"07/20/2024, 10:45",Pool D,Scheduled
PUMAS,Winded City,0,0,"07/20/2024, 10:45",Pool D,Scheduled
PDXtra,Winded City,0,0,"07/20/2024, 15:15",Pool D,Scheduled
PUMAS,SPENT,0,0,"07/20/2024, 15:15",Pool D,Scheduled
PDXtra,PUMAS,0,0,"07/21/2024, 08:30",Pool D,Scheduled
SPENT,Winded City,0,0,"07/21/2024, 08:30",Pool D,Scheduled
b,r,e,a,k
brackets,Championship
bracket,1st Place
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
