Cooler Classic 35,Club - Men ,17,8,2024
North Lake,WI,2024-08-17,2024-08-18
https://play.usaultimate.org/events/Cooler-Classic-35/schedule/Men/Club-Men/
Florida Untied,5
teamInfo,,"Chicago, Illinois",,,https://twitter.com/tridentulti
0,Michael Hlavaty
00,Milan Rivas
00,Nicholas Golini
00,Reid Martin
00,Reno Brinn
00,Samuel Tagle
00,Sean Miranda
00,Thomas Alford
00,Timothy Sheehan
00,Elliot Shin
00,Gabe Schoepke
00,George Irving
00,Girolamo S Kelly
00,Ian Falck
00,Jacob  Cuthbert
00,Jesse Johnson
00,Joe Cercello
00,Joseph Sifakis
00,Joshuah Kapilivsky
00,Matthew Goetsch
00,Asa Bowen
00,Cade Heikes
02,Ray Mauntel
21,Cal Tornabene
b,r,e,a,k
Lounar,3
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/STL-Lounar-109283871717037,https://twitter.com/STLlounar
coaches,Patrick Stephens,Joseph Barzilai
0,Bryan Dunbar
3,Cameron Freeman
5,Landon Evans
7,Ryan Hays
9,Wilson Tryon
10,Matthew Niemer
13,Ian McNamara
15,Ben Clark
16,David Atwood
18,Cody Curran
19,Joshua Gabella
20,John Marsh
21,Jaime Befeler
24,Seth Fisher-Olvera
25,Max Lang
35,Benjamin Reimler
42,David Valentine-Elam
43,Kai Durvasula
44,Benjamin Lamport
55,Steven Ladenberger
77,Lincoln Grench
88,Evan Dobson
b,r,e,a,k
Colonels,7
teamInfo,,"Louisville, Kentucky",https://louisvilleultimate.org/,https://www.facebook.com/colonelsfrisbee/,https://twitter.com/colonelsfrisbee
0,Conner Blalack
4,Jacob Culver
01,Drew Happe
02,Doc Surrell
03,Ryan Fehrenbacher
06,Dan Cunningham
07,Nathan Sevenish
11,Daniel Harrison
16,Jason Osorio
17,Seth Gudeman
18,Amal Patel
23,Elliot Hawkins
25,Sonny Koren
28,Tanner Graham
39,Carter Hawkins
65,Julian Reeves
72,Benjamin Landry
73,Noah Rickelman
90,Robert Davenport
91,Matthew Wilhite
93,Richard Murt
95,Justin Gallagher
99,Will Quigley
b,r,e,a,k
Haymaker,9
teamInfo,,"Chicago, Illinois",https://www.chicagohaymaker.com,,
0,Andrew Kindseth
0,Dean Gottlieb
0,Emil Weisfeld
0,James Karl
0,Kyle Bayes
0,Logan Lambright
0,Owen  Wright
0,Tuhin Ghosh
2,Nathaniel Astrom
5,Joel Willison
5,Gabriel Bassin
7,Torsten Johnson
11,Christopher Asta
12,Rodrigo Arcibar
14,Constantine Stake
15,Benjamin Putano
19,Griffin Kelley
24,Anthony Scibelli
27,Owen Schleif
32,Simon Perez
34,George Gunter
52,Trevor Scott
71,Matt Gubernick
85,Hunter Latson
92,Samuel DeVine
b,r,e,a,k
DeMo,16
teamInfo,,"Des Moines, Iowa",,,https://twitter.com/demoultimate
0,Andrew McCartan
0,Brett DeHoogh
0,Camden Boyde
0,Huynh Vo
0,Jaden Alamsya
0,Jeremy Marchesani
0,Niko Beauchamp
0,Noah Arends
0,Tanner Goetsch
2,Daniel Neese
3,Richard TeKippe
3,Harrison Prentice
9,Devin Spahn
11,Matt Adams
11,Daniel Tarasi
11,Piers Collier
13,Nadir Nimry
15,Matthew Baird
17,Timothy Swanson
25,Cody Sevcik
33,Austin DeHoogh
33,Sean Fjellman
35,Caleb Lundeen
45,Devon Lord
55,Nick Rider
69,Isaac Timm
b,r,e,a,k
Bux,13
teamInfo,,"Milwaukee, Wisconsin",,,
0,Jackson Hollander
03,Reid Lancaster
04,Jackson McCausland
05,Jonny Holstead
06,Leo Ohkerrmann
09,Patrick LaVallee
11,Jacob Scobey-Polacheck
12,Zach Vosberg
13,Jonathan Schlaefer
13,Glenn Kaboskey
14,Ken Adams
15,Charlie Benforado
19,Ryan Waller
21,Elliot Shager
22,Jack Loomis
23,Gunnar Thompson
24,Justin Stubbe
27,Liam Scobey-Polacheck
32,Max Carpenter
33,Patrick Guarasci
36,Sam Stocklein
51,Alex Henige
92,Liam VandeZande
99,Zane Stein
b,r,e,a,k
UpRoar,12
teamInfo,,"Tampa Bay, Florida",,https://www.facebook.com/TampaBayUpRoar,https://twitter.com/TampaBayUpRoar
0,Bradley Gonzalez
0,Daniel McNamara
0,Richard Miller
0,Roger King
0,Ronald Peterman
0,Russell Paul
0,Kyle Krukowski
0,Saral Kumar
0,Thomas Theunissen
0,Thomas Kiefer
0,Tyler Hebert
2,Matt Ryan
7,Jay Coble
10,Nayan Patel
10,Ryan Watson
12,Jonathan Holladay
21,Trevorn Hodge
22,Jacob Lane
24,Christian Villar
29,Andy Chiang
37,Caleb Posey
42,Clayton Marshall
47,Thomas Milana
69,Chris Walsh
b,r,e,a,k
Zoboomafoo,11
teamInfo,,"Madison, Wisconsin",https://www.instagram.com/zoboomafrisbae/,,
0,Donte  Buckingham 
0,Isaac Casey-Hrenak
0,Jacob Calbaum
0,Jared Scheinberg
0,Joseph Nelson
0,Kyle East
0,Matteo Meyer
0,Arthur Carne
0,Benjamin Waltman
0,Noah Nicol
0,Sam Pieper
3,Max Sponseller
7,Devaughntae Wright
13,Noah Pollack
13,Ryan Munger
14,Kai DeLorenzo
15,Jack Dipaolo
44,Alex Kreuger
88,Kieran Mandli
91,Michael Merwin
99,Jacob Meves
b,r,e,a,k
Chimney,10
teamInfo,,"Cleveland, Ohio",,,
0,Anil Driehuys
0,Benjamin March
0,David Picone
0,Dmitriy Estrin
0,Elias Hinson
0,Evan Howey
0,Gabe Dombroski
0,Jacob Rollins
0,Kevin Nicholl
0,Kunwoo Shin
0,Nathaniel Poshkus
0,Richard Klena
0,Sean Newell
0,Tristan Greiner
0,Vlad Estrin
1,Joshua Lyder
4,Jacob Bultman
4,Zac Byrnes
9,Christopher Auman
12,Jacob Schwartz
22,TJ Kalvas
66,Tom Duellman
82,Dutch Kirkman
b,r,e,a,k
Roundhouse,15
teamInfo,,"Chicago, Illinois",,,
00,Aidan O'Neill
00,Aiden Rathmann
00,Arko Chatterjee
00,Christopher Nowak
00,Eli Hoffmann
00,Elijah Hansen
00,Emmanuel Abayev
00,Giri Peters
00,Isidore Donnelly
00,Jack Duncan
00,Jack Wolf
00,Jacob Ward
00,Jeremy Davis
00,Jett House
00,Jonah Feinstein
00,Kevin Ji
00,Lachlan Bond
00,Leon Tan
00,Michael Goto
00,Michael Goto
00,Nathaniel Alden
00,Parker Swanson
00,Sam Jordan
00,Tom Dupor
00,Trevor Ung
b,r,e,a,k
DINGWOP,14
teamInfo,,"Duluth, Minnesota",,https://www.facebook.com/DingwopUltimate,
0,Ben Blahosky
0,Brandon Wentworth
0,Brian LaFrance
0,Alex Griswold
0,Cody Castonguay
0,Nathan Salberg
0,Nick Staudinger
0,Tyler Thomegreene
0,Wyatt Hall
1,Zac Larson
5,Tucker Hoffman
5,Cesario Velasco
11,Johnathan Pratt
13,Liam Griffin
15,Chad Brinker
16,Riley Siewert
20,Noah White
24,Jacob WIlson
35,Shaun LaFrance
69,Patrick Andresen
69,Andrew Olson
87,Trent Brunner
99,Kyle DeJesus
b,r,e,a,k
HouSE,21
teamInfo,,"Kenosha, Wisconsin",,https://www.facebook.com/HouSEultimate/,
0,Daniel Plutchak
0,Daniel Laritz
0,Jacob Brodkorb
0,Jonah Koehlert
0,Luke Ehlert
0,Nick Waring
0,Ryan O'Reilly
0,Tim Pecharich
1,Nick Lilla
1,Justin Rummelhart
5,Miles Chubin
9,Kyle Dreger
10,Matt Freer
11,Curtis Knaack
11,James Firth Fountain
12,David Zickus
16,Jack Corcoran
19,Karl Fauerbach
23,Alexander Utsis
26,Jimmy Chaudoin
29,Zachary Kozmer
47,Matthew Rodway
69,Neal Patel
76,Jeffrey Lefkovitz
99,Aiden Gorman
b,r,e,a,k
Timber,20
teamInfo,,"Stevens Point & Fox Cities, Wisconsin",,https://www.facebook.com/TimberUltimate/,https://twitter.com/TimberUltimate
0,Zackory Runke
5,Brian Ristau
6,Peyton Winkelman
07,Logan Mueller
09,Aaron Lichtenwalner 
11,Nicholas Tompkins
12,Chad Heldt
13,Zach Lepak
14,Jack Kiel
19,Christian Piccioni
20,Thomas Doro
21,Anthony Moore
23,Ryan Zdroik
24,Austin Zdroik
27,edwin Moore
30,Caleb Smith
33,Sean Hill
34,Kirk Prince
37,Ben Schoenebeck
39,Benjamin Tittle
55,Thomas Umlauf
66,Andrew Novak
84,Nicholas Grzadzielewski
87,Zachery Eller
88,Jeremiah Kramasz
95,Mitchell Wood
b,r,e,a,k
NOMAD,17
teamInfo,,"Edina / St. Louis Park , Minnesota",https://www.nomadultimate.com/home,,
0,Charlie Wagner
0,Charlie Hoch
0,Benjamin Mimick
0,Dillon Riebe
0,George Lefkowicz
0,James (Jac) Cullen
0,Jasper Priest
0,Kason Olson
0,Quinn Lander
0,Robert Wilson
0,Tim Jensen
2,Luke Rubin
3,Ross Krueger
8,Eli Schmelzer
11,Eli Lessin Burris
12,Jack Mintz
13,Nathan Parker
14,Will Hager
16,Joe McGurgan
17,Aaron Casey-Fix
22,Boden Oelhafen
33,Brett Duncan
34,James Briscoe
55,Jack McIntyre
66,Clayton Rabe
95,Derek Krueger
b,r,e,a,k
DCVIII,24
teamInfo,,"Madison , Wisconsin",,,
coaches,Zachary Schuyler
0,Jon Caravella
0,Malek Champion
00,William Noguera
02,Hayden West
04,Jonathan Pizzo
07,Griffin Glassel
09,Ronaldo Lopez Vega
10,Logan Derheimer
11,Kian Dilweg
13,Aaron Fandel
14,Simi Fadiran
15,Nehemiah Senger
16,Jay Lonetree
17,Lue Yang
19,James Quinn
21,Henry Lyne
22,Aaron Stettner
23,Jack Larson
25,Kyle West
44,Kendrick Koehler
55,Joshua Wang
55,Joshua Wang
77,Nicholas Gueldner
88,Calvin Walters-Medaris
b,r,e,a,k
Nomads,22
teamInfo,,"Sioux Falls, South Dakota",,,
0,Carter Hodkinson
0,Connor Hodkinson
0,Cullen Belisle
0,Brayden Johnson
0,Ira (Field) Mitchell VI
0,Jacob Whempner
0,Joe Higgins
0,Jordan Howard
0,Kalen Pegeder
0,Kyle Murphy
0,Michael Schwaderer
0,Owen Schweitzer
0,Samuel Whempner
0,Seth Harris
0,Tye Klinnert
0,Zach Andersen
6,Daniel Cabrera
13,Daniel Stork
17,Anthony Lesnar
20,Carter Whalen
99,Grant Dunbar
b,r,e,a,k
NOx,18
teamInfo,,"Kansas City, Missouri",,,
0,Aidan Moody
0,Brett Dare
0,Cory Green
0,Erick  Neilson
0,Jeffrey Laubscher
0,Josiah Burger
0,Karl Kraemer
0,KJ Bryant
0,Matthew Piontek
0,Steven Burdge
1,Stephen Karst
4,Gabriel Valencia
5,Drew Eve
7,Colin Donajkowski
12,Mark Yonker
13,Chris Basinski
25,Anthony Chartier
25,Joe Miller
27,Brandyss Sherman-Hall
69,Tyler Kalm
71,Austin Heineman
98,Garret Heiberger
99,Jordan Becquer
b,r,e,a,k
Void,19
teamInfo,,"Milwaukee , Wisconsin",,,
03,Jeanluc Rivas
04,Ali Shamsa
05,Jordan Mills
07,Jordan Liff
08,Matthew Munson
13,Max Klessig
16,Jake Tee
17,Elias Magallanes Jr.
19,Dylan Schuster
22,Eli Hubbard
24,Jack Drolen
28,Kyle Reader
29,Samuel Dirks
34,George Scheibel
39,Francis Nuguid
83,John Gunville
85,John Wall
b,r,e,a,k
Rubicon Rapids,23
teamInfo,,"Hartford, Wisconsin",,,
00,Miciah Cantrall
01,Benjamin  Wrenn
08,Jeremiah Cantrall
09,Brian Peller
10,Joel Van Eeckhout
11,Elijah Rickenbach
17,Spencer Pischke
18,Samuel Pietz
22,Zachary Cook
23,Caleb Gamble
24,Taylor Muth
26,Samuel Boehlke
30,Stephen Cantrall
31,Caleb Hummel
32,Isaac Gamble
42,Joshua Hummel
45,Adam  Jasensky 
50,Kevin Lui
51,Aidan Garvey
66,Malachi Hummel
88,Dan Hummel
99,Lucas Frede
b,r,e,a,k
s,t,a,g,e,s
pools,T1 Clipped Pools
pool,Pool A
Pittsburgh Temper,Omen,8,15,"08/17/2024, 08:30",Pool A,Final
Flying Dutchmen,Florida Untied,12,15,"08/17/2024, 08:30",Pool A,Final
Pittsburgh Temper,Flying Dutchmen,12,13,"08/17/2024, 10:45",Pool A,Final
Florida Untied,Omen,15,11,"08/17/2024, 10:45",Pool A,Final
pool,Pool B
Mad Men,Colonels,15,8,"08/17/2024, 08:30",Pool B,Final
Lounar,Trident,11,15,"08/17/2024, 08:30",Pool B,Final
Mad Men,Trident,15,9,"08/17/2024, 10:45",Pool B,Final
Lounar,Colonels,15,13,"08/17/2024, 10:45",Pool B,Final
b,r,e,a,k
pools,T2 Clipped Pools
pool,Pool C
Haymaker,DeMo,15,8,"08/17/2024, 10:45",Pool C,Final
UpRoar,Bux,12,15,"08/17/2024, 10:45",Pool C,Final
Haymaker,Bux,15,5,"08/17/2024, 12:45",Pool C,Final
UpRoar,DeMo,10,12,"08/17/2024, 12:45",Pool C,Final
pool,Pool D
Chimney,Roundhouse,15,5,"08/17/2024, 10:45",Pool D,Final
Zoboomafoo,DINGWOP,15,10,"08/17/2024, 10:45",Pool D,Final
Chimney,Zoboomafoo,12,15,"08/17/2024, 12:45",Pool D,Final
DINGWOP,Roundhouse,8,12,"08/17/2024, 12:45",Pool D,Final
b,r,e,a,k
pools,T3 Clipped Pools
pool,Pool E
NOMAD,DCVIII,15,10,"08/17/2024, 08:30",Pool E,Final
Timber,HouSE,8,15,"08/17/2024, 08:30",Pool E,Final
NOMAD,HouSE,5,15,"08/17/2024, 12:45",Pool E,Final
Timber,DCVIII,14,11,"08/17/2024, 12:45",Pool E,Final
pool,Pool F
NOx,Rubicon Rapids,15,10,"08/17/2024, 08:30",Pool F,Final
Void,Nomads,10,15,"08/17/2024, 08:30",Pool F,Final
NOx,Nomads,8,11,"08/17/2024, 12:45",Pool F,Final
Void,Rubicon Rapids,15,8,"08/17/2024, 12:45",Pool F,Final
b,r,e,a,k
clusters,Cross
cluster,Seeding Crossover
Florida Untied,Mad Men,10,14,"08/17/2024, 12:45",,Final
Omen,Trident,13,11,"08/17/2024, 12:45",,Final
NOMAD,Void,15,8,"08/17/2024, 14:45",,Final
DCVIII,Rubicon Rapids,12,11,"08/17/2024, 14:45",,Final
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
Flying Dutchmen,Mad Men,14,15,"08/18/2024, 12:45",1st,Final
Florida Untied,Flying Dutchmen,12,15,"08/18/2024, 10:45",1st Semis,Final
Lounar,Mad Men,10,13,"08/18/2024, 10:45",1st Semis,Final
Florida Untied,Colonels,14,11,"08/18/2024, 08:30",1st Quarters,Final
Flying Dutchmen,Omen,15,12,"08/18/2024, 08:30",1st Quarters,Final
Trident,Lounar,12,13,"08/18/2024, 08:30",1st Quarters,Final
Pittsburgh Temper,Mad Men,11,12,"08/18/2024, 08:30",1st Quarters,Final
Colonels,Zoboomafoo,13,12,"08/17/2024, 14:45",1st Pre-Q,Final
Flying Dutchmen,DeMo,15,12,"08/17/2024, 14:45",1st Pre-Q,Final
Lounar,Chimney,13,11,"08/17/2024, 14:45",1st Pre-Q,Final
Pittsburgh Temper,Haymaker,15,5,"08/17/2024, 14:45",1st Pre-Q,Final
bracket,3rd Place
Florida Untied,Lounar,6,13,"08/18/2024, 12:45",3rd,Final
bracket,5th Place
Omen,Pittsburgh Temper,15,10,"08/18/2024, 12:45",5th,Final
Colonels,Omen,11,14,"08/18/2024, 10:45",5th Semis,Final
Trident,Pittsburgh Temper,10,15,"08/18/2024, 10:45",5th Semis,Final
bracket,7th Place
Colonels,Trident,7,15,"08/18/2024, 12:45",7th,Final
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
Haymaker,Chimney,0,0,"08/18/2024, 12:45",9th Semis,Scheduled
NOx,HouSE,0,0,"08/18/2024, 12:45",9th Semis,Scheduled
Haymaker,DINGWOP,15,7,"08/18/2024, 08:30",9th Quarters,Final
Bux,Chimney,9,15,"08/18/2024, 08:30",9th Quarters,Final
DeMo,NOx,13,15,"08/18/2024, 08:30",9th Quarters,Final
HouSE,Zoboomafoo,15,14,"08/18/2024, 08:30",9th Quarters,Final
DINGWOP,Nomads,14,10,"08/17/2024, 14:45",9th Pre-Q,Final
Bux,Timber,15,10,"08/17/2024, 14:45",9th Pre-Q,Final
Roundhouse,NOx,6,15,"08/18/2024, 14:45",9th Pre-Q,Final
UpRoar,HouSE,9,13,"08/18/2024, 14:45",9th Pre-Q,Final
bracket,11th Place
bracket,13th Place
DINGWOP,Zoboomafoo,7,15,"08/18/2024, 14:45",13th,Final
DINGWOP,Bux,13,12,"08/18/2024, 10:45",13th Semis,Final
DeMo,Zoboomafoo,11,15,"08/18/2024, 10:45",13th Semis,Final
bracket,15th Place
Bux,DeMo,11,15,"08/18/2024, 14:45",15th,Final
b,r,e,a,k
brackets,Bronze Bracket
bracket,17th Place
NOMAD,Nomads,15,13,"08/18/2024, 14:45",17th,Scheduled
UpRoar,NOMAD,8,15,"08/18/2024, 12:45",17th Semis,Final
Void,Nomads,10,15,"08/18/2024, 12:45",17th Semis,Final
UpRoar,DCVIII,15,7,"08/18/2024, 08:30",17th Quarters,Final
Roundhouse,NOMAD,9,15,"08/18/2024, 08:30",17th Quarters,Final
Timber,Void,13,15,"08/18/2024, 08:30",17th Quarters,Final
Nomads,Rubicon Rapids,15,11,"08/18/2024, 08:30",17th Quarters,Final
bracket,19th Place
UpRoar,Void,4,7,"08/18/2024, 14:45",19th,Final
bracket,21st Place
Roundhouse,Timber,11,15,"08/18/2024, 14:45",21st,Final
DCVIII,Roundhouse,13,15,"08/18/2024, 10:45",21st Semis,Final
Timber,Rubicon Rapids,14,10,"08/18/2024, 10:45",21st Semis,Final
bracket,23rd Place
DCVIII,Rubicon Rapids,0,0,"08/18/2024, 14:45",23rd,Scheduled
b,r,e,a,k
