2024 U.S. Open Club Championships - Youth Divisions (YCC),Youth Club U-20 - Boys ,3,8,2024
Aurora,CO,2024-08-03,2024-08-05
https://play.usaultimate.org/events/2024-US-Open-Club-Championships---YCC/schedule/Boys/youth-club-u-20-boys/
Utah Swarm U20 Boys,1
07,Jackson Leding
08,Kooper Stinson
09,Alex Wall
10,Owen Blades
11,Charlie Norris
15,Karl Hokkanen
16,Luke Tierney-Trevor
19,Joseph McDonald
20,Gaelan Lucey
21,Benjamin Wall
22,Henry Morrison
23,James Bell
26,Gus Whited
35,Levi Pelletier
88,Fen deNiord
99,Philip Nelson
b,r,e,a,k
Philadelphia SEPDA (Boys),4
teamInfo,Boys,"Philadelphia, Pennsylvania",,,
coaches,Thomas Nye
0,Samuel Jenkins
02,Tanner Norpel
03,Colin Jarvis
05,Ethan Smith
06,James Bray
09,Sam Beh
10,Ezra Beidler-Shenk
11,Jack Gallen
12,Jonah Labovitz
13,Sam Grossberg
14,Landon Gasper
15,Javier Gonzalez-Recober
18,Ryan Dowdy
20,Joel Simon
21,Nolan McClintic
23,Michael  Maroon
24,William Fath
25,Cameron  Fusto
27,Nathan Casselli
52,Becker Joseph
55,Owen Erdman
66,Nolan McCloskey
b,r,e,a,k
Charlotte Flight,17
teamInfo,,"Charlotte, North Carolina",,,@cltycc
coaches,Kurt Kuelz,Wesley Dudas,Briana Campbell
00,Tobias Polnaszek
01,George Elledge
05,Marcos Collazo
09,John Wenger
10,Richard Shan
12,Roman Chmura
17,Ethan  White
21,Connor OReilly
28,Max Allen
29,Daniel Bosack
41,JJ Boltz
47,Ethan Rhodes
52,Silas Morgan
66,Connor Crowe
77,Nathaniel Humphrey
99,Jonas Hefner
b,r,e,a,k
Seven Hills U20 Open,12
teamInfo,,"Seattle, Washington",,,
coaches,Jordan Smith,Samir Nguyen,Zeppelin Raunig
0,Benjamin Lewis
02,Nolan Muongchan
03,Naldo robancho
06,Aage Bonnell
08,Rami Rifaat
09,Tanner Monohan
10,Filip Icev
11,Lucas Terzic
12,Harrison Schaw
13,Owen Sprague
14,Jared Tellez
15,Arya Dhuvoor
16,James Dailey
17,Noah Malla
18,Jude Small
22,Jordan  Lazer
25,Bison McCotter-Hulett
26,Emanuel Berson
28,Josue Ostos
31,Ethan Murray
32,Clay Kuran
35,Daniel Chickering
42,Phoenix  Laliberte
79,Nathan Williams
99,David Andrew Isom
b,r,e,a,k
SmOAK (U20),5
teamInfo,U20,"Oakland, California",https://oakultimate.com/,https://www.instagram.com/oakultimate/,https://twitter.com/oak_ultimate
coaches,Colby Chuck,Chris Garcia,Michael Peng,Robin Anthony-Petersen
0,Dylan Tams
01,Elias Korchin
02,Henry Garcia
05,Oscar Mendelson
06,Stefan McCall
08,Reed Archer
11,Ryan Weng
12,Joss Meir
14,Cole Mires
17,Reggie Masket
18,Naveed Jones
19,Sarek Mallareddy
21,Maksim Zykov-Chisholm
22,Tripp Daon
23,Lucas Zeiger
24,Gabriel Lloyd
27,Logan Song
35,Nicolas Rusa
36,Dexter Miller
37,Guy Joseph Cutting
47,Alexander Vu
54,Lane Mires
82,Sulek Dopman
84,Charles Bitler
94,Jonah Marquart
97,Theo Kojan
99,Lawrence James Dixon 
b,r,e,a,k
Madison MUFAbots U20B,24
teamInfo,,"Madison, Wisconsin",,,
coaches,Samuel Erickson,Saul Diaz,Joe Leibforth,Peter Walker,Zeke Witter
00,Hayden West
01,Aidan Obregon
02,Ian Westerberg
03,Henry  Halberg
04,Seamus  Sidney 
05,Mason DePauw
07,Evan Natzke
08,Finn Ahlswede
09,Samuel Welch
11,Tate Hepler
12,Simon Mednick
13,Miles King
14,Gannon Jefcoat
16,Jamison Williams
18,Levi Hasse
22,Russell Hellmer
26,Dimitri Nevers
28,Noah Estrella
33,Henry Dickinson
34,Jacob Reiter
42,Ricky Burks
45,Michael Hannon
87,Miles Nibbelink
88,Henry Henkelmann
b,r,e,a,k
DEVYL U-20 Open,11
teamInfo,,"Westfield, New Jersey",https://www.devylultimate.org/,https://www.facebook.com/devylultimate/,@devylulty
coaches,Anthony Nunez,Donovan Hugel,Derek  Oberleiton,Ethan Smith
01,Caoba Nichim-Luta
02,Nicholas Giannone
03,Krish Vasisht
05,Mitchell O'Keefe
06,Gavin Andretta
07,Matthew Wurster
08,Sam McCrory
09,Ethan Roitman
10,Reece Davidman
13,Bimi Prewitt
15,Wesley Davis
17,Luke Tennant
19,Anthony Nunez
21,Lukas Alexander
23,Benjamin Tsirelman
24,Charlie Keigwin
26,Lucas Gunzberg
27,Bryant Yang
30,Ryan  Jawor 
32,Rawlins Collard
50,Yuval Hermoni
67,Giovanni Gerber
81,Solomon Jackson
90,Theodore Rotberg
91,Bennet Ayala
b,r,e,a,k
Oregon Trainwreck,6
teamInfo,,"Independence, Oregon",,,
coaches,Jonathan Lee,Tyler MacMaster
00,Elias Casper
01,Salvador  Arias
03,Andrew Thoennes
05,Micah Harter
06,Silas Vossler
07,Akira Koenigsberg
08,Sam Anderson
09,Thomas Riedl
10,Taylor Lange
12,Owen Poissant
13,Owen Jones
14,Logan Closson
16,Grady Gilkey
17,Gavin Gee
21,Angus Grant
22,Emmett Andrews
23,Jules Messersharp
24,Dylan Schroeder
27,Charles Nieckarz
33,Bram Allahdadi
39,Julian Kägi
55,Jack Nelson
71,Dane Kokkeler
84,Isaac Blumklotz
89,Collin Kaperick
b,r,e,a,k
Connecticut Harpoon,23
teamInfo,,"Hartford, Connecticut",www.ctultimate.com,www.facebook.com/ctultimate,
coaches,Todd Larese,Owen Butler
00,Brayden Begian
02,Philip Warren
07,Halaf Montarroyos
08,Noah Jefferson
10,Patrick Dolan
13,Giuseppe  LaCerva
14,Aiden Roy
16,Schuyler Johnson
18,Henry Tanner
19,Jack Barbuto
22,Tristan Ferguson
23,Forest Gill
24,Avram Sirkis
25,Luke Abruzese
26,Logan Barrett
28,Isaac Aranda Bañuelos 
29,Aiden  Hutchinson
31,Julian Shea
71,Oliver Wicks
88,Nathan Bubie
b,r,e,a,k
COSmic U-20 Boys,10
teamInfo,,"Colorado Springs, Colorado",https://springsultimate.org/cosmic,,
coaches,Nicholas Battaglino,Peter Kiefer,Raymond Palazzo
01,KingDavid Rogers
02,Aidan Mullet
03,Landon Rooke
07,Nolan Thackwell
08,Theo Kim
09,Cassian Koselak
12,Justin Elliott
13,Benen Shea
15,Fisher Tenpas
16,Silas Lambert
21,Micah Joiner
27,Minjae Kwon
28,Ezekiel Lambert
32,Carlo Pace
33,Graham Blocher
44,Jeremiah Smith
88,Justin Quinn
b,r,e,a,k
Minnesota Superior U20B,7
teamInfo,,"Blaine, Minnesota",,,
coaches,Andrew Dornbush,Jesse Stratton,Molly Schwartz,Paul Krenik,Will Brandt
00,Luke Fowler
03,Harper O'Dowd
04,Vincent Meyer
05,Kaiden Thiers
07,Chris Yorahee
08,Wyatt Mackenthun
09,Brady Gumz
10,Michael Davenport
11,Cooper Antin
12,Joe Lodahl
13,Kyle Dolbow
15,Johnny Haas
17,Isaac Van Sistine
21,Sora Walker
22,Malik Williams
30,Matthew Gunter
34,Jack Sanda
41,Murphy Galvin
42,Evan Snyder
45,Noah Johnson
77,Leland Engelking
88,Seth Johnson
b,r,e,a,k
Flying Pig,22
teamInfo,,"Cincinnati, Ohio",https://cincyultimate.org/youth/ycc,,https://twitter.com/Pigultimate
coaches,Gary (GA) Wettengel,Zach Kaylor,Jalal Sylvester,Jacob Fields
01,Andrew Gasson
07,Landyn Jones
09,Brady Smith
10,Kyle Gromen
13,Micah Earley
16,Nathan Plourde
18,Matthew Clevidence
20,Colsten Spelman
22,Andrew Schaedig
26,Jaden Chamberlin
27,James Stein
31,Adam Risk
32,Kyle Zimmerman
34,Liam Fielden
42,Christopher Fischer
63,Logan Mysona
65,Eric Obioha 
88,Owen Ball
99,Nicholas Gittens
b,r,e,a,k
Colorado Cutthroat U-20 Boys,9
teamInfo,,"Denver, Colorado",,,
coaches,Thomas Echols,Hannah Matthys,Akane Kleinkopf,Jackie Rader
01,Addison Muller
02,Simon Logan
03,Perry Honey Hochstadt
04,Seth Ratcliff
07,Gerry McManus
09,Caleb Knoll
11,Xander Lee
12,Noah Logan
13,Ezra Thoreson
15,Nathan Gonder
16,Noah Futterman
18,Alex Yu
21,Ryan Weatherwax
22,Nicholas Kleinhelter
25,Ryan McCorrison
26,Finn Thaler
27,Quincy Roy
32,Toby Krehbiel
33,Carmi Rosensweig
37,Anders Pearson
42,Tanner Peavy
60,Joshua Ho
62,Jacob Ho
85,Alex Rini
b,r,e,a,k
Kentucky Khaos,8
teamInfo,,"Lexington, Kentucky",,,
coaches,Eric Garwood,Mason Montgomery
0,Benjamin Price
02,Knox Plewniak
04,Zander Sachs
05,Eliah Fink
07,Fisher Allison
15,Jack Wellons
17,Tobin Beichler
19,Andrew Weaver-Swartz
20,Henry Horstman Olson
22,Jeffrey Durrance
24,Trenton ODea
32,Titus Boyer
37,Isaac Haapala
39,Jonathan Weaver-Swartz
42,Alex Cooper
43,A. J. Witheril
45,Nate Knowles
53,Jacob Gowan
63,Ezekiel Miller
99,Sifaan Amanu
b,r,e,a,k
Virginia Vortex,21
teamInfo,,"Falls Church, Virginia",fairfaxultimate.org,,
coaches,Eric Miner,Alexis Planche,Jacob Shade
00,Ty Buermeyer
01,Abraham Roisman
02,Oscar Grajales
03,Carter Anderson
06,Ian Campbell
07,Julien Sommers
08,Caden Mitchell
10,Jordan Henton
11,Milo Harris
13,Ely Snow
14,James Brown
15,Jack McFarlin
17,Matthew Hazlin
18,Silas Adkins-Hooke
22,Isaac Morrow
23,Sean Reich
24,Thomas Pearson
34,Tobin Roach
36,Eitan Miller
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
ATLiens,Moon Pigs,14,7,"08/03/2024, 08:30",Pool A,Final
Utah Swarm U20 Boys,Moon Pigs,15,5,"08/03/2024, 10:45",Pool A,Final
Utah Swarm U20 Boys,ATLiens,12,10,"08/03/2024, 15:15",Pool A,Final
pool,Pool B
Texas United,Impulse,10,11,"08/03/2024, 08:30",Pool B,Final
Foggy Bottom Boys,Impulse,14,5,"08/03/2024, 10:45",Pool B,Final
Foggy Bottom Boys,Texas United,8,11,"08/03/2024, 15:15",Pool B,Final
pool,Pool C
BUDA U20B,Third Rail U20B,15,3,"08/03/2024, 08:30",Pool C,Final
Triforce,Third Rail U20B,15,2,"08/03/2024, 10:45",Pool C,Final
Triforce,BUDA U20B,14,13,"08/03/2024, 15:15",Pool C,Final
pool,Pool D
Rising Tide U20B,Charlotte Flight,15,7,"08/03/2024, 08:30",Pool D,Final
Philadelphia SEPDA (Boys),Charlotte Flight,13,8,"08/03/2024, 10:45",Pool D,Final
Philadelphia SEPDA (Boys),Rising Tide U20B,12,8,"08/03/2024, 15:15",Pool D,Scheduled
pool,Pool E
Seven Hills U20 Open,Madison MUFAbots U20B,15,3,"08/03/2024, 08:30",Pool E,Final
SmOAK (U20),Madison MUFAbots U20B,15,1,"08/03/2024, 10:45",Pool E,Final
SmOAK (U20),Seven Hills U20 Open,8,11,"08/03/2024, 15:15",Pool E,Final
pool,Pool F
DEVYL U-20 Open,Connecticut Harpoon,15,5,"08/03/2024, 08:30",Pool F,Final
Oregon Trainwreck,Connecticut Harpoon,15,3,"08/03/2024, 10:45",Pool F,Final
Oregon Trainwreck,DEVYL U-20 Open,11,13,"08/03/2024, 15:15",Pool F,Final
pool,Pool G
COSmic U-20 Boys,Flying Pig,13,11,"08/03/2024, 08:30",Pool G,Final
Minnesota Superior U20B,Flying Pig,14,7,"08/03/2024, 13:00",Pool G,Final
Minnesota Superior U20B,COSmic U-20 Boys,9,12,"08/03/2024, 15:15",Pool G,Final
pool,Pool H
Colorado Cutthroat U-20 Boys,Virginia Vortex,15,4,"08/03/2024, 08:30",Pool H,Final
Kentucky Khaos,Virginia Vortex,13,8,"08/03/2024, 13:00",Pool H,Final
Kentucky Khaos,Colorado Cutthroat U-20 Boys,9,15,"08/03/2024, 15:15",Pool H,Final
b,r,e,a,k
brackets,1st-16th Place Brackets
bracket,Championship
Utah Swarm U20 Boys,Colorado Cutthroat U-20 Boys,0,0,"08/04/2024, 15:45",Quarterfinals,Scheduled
Seven Hills U20 Open,Philadelphia SEPDA (Boys),0,0,"08/04/2024, 15:45",Quarterfinals,Scheduled
Triforce,SmOAK (U20),0,0,"08/04/2024, 15:45",Quarterfinals,Scheduled
Kentucky Khaos,Foggy Bottom Boys,0,0,"08/04/2024, 15:45",Quarterfinals,Scheduled
Utah Swarm U20 Boys,Texas United,15,9,"08/04/2024, 10:45",Octafinals,Final
Colorado Cutthroat U-20 Boys,Minnesota Superior U20B,14,10,"08/04/2024, 10:45",Octafinals,Final
Seven Hills U20 Open,Oregon Trainwreck,15,7,"08/04/2024, 10:45",Octafinals,Final
Philadelphia SEPDA (Boys),BUDA U20B,15,7,"08/04/2024, 10:45",Octafinals,Final
Triforce,Rising Tide U20B,13,10,"08/04/2024, 10:45",Octafinals,Final
DEVYL U-20 Open,SmOAK (U20),10,12,"08/04/2024, 10:45",Octafinals,Final
COSmic U-20 Boys,Kentucky Khaos,12,13,"08/04/2024, 10:45",Octafinals,Final
Foggy Bottom Boys,Charlotte Flight,15,5,"08/04/2024, 10:45",Octafinals,Final
Texas United,Third Rail U20B,12,9,"08/04/2024, 08:30",Pre-Octafinals,Final
Minnesota Superior U20B,Connecticut Harpoon,14,6,"08/04/2024, 08:30",Pre-Octafinals,Final
Oregon Trainwreck,Flying Pig,15,6,"08/04/2024, 08:30",Pre-Octafinals,Final
BUDA U20B,Impulse,15,6,"08/04/2024, 08:30",Pre-Octafinals,Final
Rising Tide U20B,Moon Pigs,15,4,"08/04/2024, 08:30",Pre-Octafinals,Final
SmOAK (U20),Virginia Vortex,15,5,"08/04/2024, 08:30",Pre-Octafinals,Final
Kentucky Khaos,Madison MUFAbots U20B,13,7,"08/04/2024, 08:30",Pre-Octafinals,Final
ATLiens,Charlotte Flight,12,13,"08/04/2024, 08:30",Pre-Octafinals,Final
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
Texas United,Minnesota Superior U20B,2,4,"08/04/2024, 13:30",9th Place Quarterfinals,Scheduled
Oregon Trainwreck,BUDA U20B,4,2,"08/04/2024, 13:30",9th Place Quarterfinals,Scheduled
Rising Tide U20B,DEVYL U-20 Open,5,3,"08/04/2024, 13:30",9th Place Quarterfinals,Scheduled
COSmic U-20 Boys,Charlotte Flight,0,0,"08/04/2024, 13:30",9th Place Quarterfinals,Scheduled
bracket,11th Place
bracket,13th Place
bracket,15th Place
b,r,e,a,k
brackets,17th-24th Place Brackets
bracket,17th Place
ATLiens,Madison MUFAbots U20B,4,3,"08/04/2024, 13:30",17th Place Quarterfinals,Scheduled
Moon Pigs,Virginia Vortex,1,4,"08/04/2024, 13:30",17th Place Quarterfinals,Scheduled
Impulse,Flying Pig,5,2,"08/04/2024, 13:30",17th Place Quarterfinals,Scheduled
Third Rail U20B,Connecticut Harpoon,3,3,"08/04/2024, 13:30",17th Place Quarterfinals,Scheduled
bracket,19th Place
bracket,21st Place
bracket,23rd Place
b,r,e,a,k
