TCT Select Flight Invite West 2024,Club - Mixed ,27,7,2024
Burlington,WA,2024-07-27,2024-07-28
https://play.usaultimate.org/events/TCT-Select-Flight-Invite-West-2024/schedule/Mixed/Club-Mixed
Red Flag,1
0,Jimmy Longley
0,Jon Fok
0,Laura Manson
0,Lauren Pattie
0,Leanne Beyel
0,Robby Anderst
0,Ruriko Araki
0,Sam Felton
0,Serene Hastings
0,Thomas Rosatto
2,Genavie Boots
2,Kevin Black
11,Karl Frazier
17,Sophie Higdon
21,Alex Fussell
28,Jace Barley
29,Trong Pham
33,Samuel Hotaling
42,Claire Kimball
60,Aidan Malone
68,Joseph Gooden
99,Wade Hankin
b,r,e,a,k
MOONDOG,3
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Addie Thompson
0,Andrew Shanafelt
0,Artie Battaglin
0,Beeman Rabut
0,Carolyn Lober
0,Chaz Harris
0,Clarissa Orton
0,Cooper Hubbard
0,Jake Ralston
0,Kari Shelkey
0,Kristin Obresley
0,Kwai Philpott
0,Kyla Crisp
0,Lewis Faller
0,Lisa Keller
0,Sam Hines
0,Talon Johnson
0,Emily Grimes
0,Ethan Yourd
2,Jack Lokowich
4,Abbey Hustis
10,William Stewart
29,Zach Baumann
34,Davis Mossman
34,Ben Perkel
b,r,e,a,k
Spoke,5
teamInfo,,"Seattle, Washington",,,
0,Alexander Trautman
0,Jessica Crowley
0,Karen Hill
0,Kate Crawford
0,Lauren Holzman
0,Iris Lippert
0,Nico Darringer
0,Oliver Hirn
0,Rebecca Shapiro
3,Gabriel Ryan
10,Melanie Lindsey
12,Brent Lo
17,Molly Wieringa
17,Jacob Lambert
24,Stephen Burkot
24,Andrew Lynch
27,Tom Crawford
29,Max Sevier
44,Grace Young
b,r,e,a,k
Minnesota Star Power,12
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
0,Gretchen Pohl
0,Izzy Anderson
0,Kajsa Beatty
0,Kelsey Peterson
0,Kevin Ruda
0,Lily Monorom
0,Madeline Kreider Carlson
0,Alex Kraft
0,Bradley Malmsten
0,Erik Arnold
0,Peter Rogers
0,Steven Anderson
0,Zoe Suche
1,Cole Jensen
5,Daniel Schultz
10,Tristan Grovender
11,Rachel Thompson
21,Tyler Mahony
40,Thomas Walker
42,Evan Snyder
45,Tracie Anderson
55,Brandon Krekelberg
72,Meg Lake
b,r,e,a,k
Bullet Train,14
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
00,Daisy Williams
00,Jessica Zhang
00,Joanna Mullen
00,Kalissa Feinberg
00,Sadie Clark
00,Suji Kim
00,Xin Shu
01,Kevin Rogers
02,Tien Hoang
03,Yonatan Tadesse
04,Jack Baba
07,Allen Rishel
09,Robert  Luo
13,Manish Tulzapur
14,Brian Wandrei
16,Hank Buttleman
18,Chris Roach
21,Ryan Shin
22,Sarah Teichman
26,Sam Weiler
27,Megan Baunsgard
33,Ziqi Zhao
42,Chauncey Holland
51,Yuanning Wu
72,Luke Garrison
97,Vincent Chase
b,r,e,a,k
Mile High Trash,4
teamInfo,,"Denver, Colorado",,,
9,Charles Cannon
01,Jack Hinchsliff
02,Fern Beetle Moorcroft
04,Shane Abeshaus
07,Janie Mockrish
08,Lukas Nesheim
10,Tristan Weber
11,Brandon Cannell
12,Bristol Lovoy
16,Abigail Thorpe
19,Drew Grant
20,Arielle Nelson
21,Will McDonald
22,Allysha Dixon
24,Megan Jameson
28,Austin Gould
29,Haley Sanner
30,Jonathan Stirk
31,Courtney Ngai
33,Michael Armstrong
34,Ingrid Petterson
44,Tim Okita
51,Maxwell Hamilton
78,Drew Rasmussen
84,Hallie Dunham
b,r,e,a,k
BW Ultimate,6
teamInfo,,"Bay Area, California",,https://www.facebook.com/BW.Ultimate,https://www.twitter.com/bw_ultimate
0,Akhil Nori
0,Bernadette Hsu
0,Cullen Coyne
0,Hidemasa Kato
0,Iman  Haq
0,Jessica Lee
0,Lauren Carden
0,Max Herrmannsfeldt
0,Melissa Slaughter
0,Michelle Chen
0,Sam Asin
0,Krista Holden
0,Walter Wu
6,Kushal Khangaonkar
7,Angela Louh
12,Davin Sieu
15,Jashan Shetty
16,John Dugan
23,Vincent Su
27,Aaron Hom
40,Anthony Davis
b,r,e,a,k
Pegasus,11
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Anya Meleshuk
0,Caroline Passalacqua
0,Daniel Scribner
0,Edward Layne
0,Erica Stamboulian
0,Grace Stephens
0,Adam Elder
0,Alva Wei
0,Livia Amorosi
0,Meghan Gannon
0,Nathan Narita
0,Nathan Yeazel
0,Paul DeGennaro
0,Ryan Scuderi
0,Samuel Stearns
0,Siri Knudsen
0,Sophie Linde
0,Sylvie Shaya
9,Alexander Lichtenstein
11,Jacqueline Chipkin
14,Andrew Kinkele
27,Jason Angell
36,Ruoshi Gao
41,Kiran Devine
47,Anna Le
50,Lauren Pichard
b,r,e,a,k
Grit City,13
teamInfo,,"Tacoma, Washington",www.gritcityultimate.com,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
1,Nicholas Mahan
2,Hunter Hill
3,Andrew Page
4,Melissa Ostendorf
5,Lydia Carle
7,Zachery Laycock
8,Sarah Ciambrone
9,Zac Nix
11,Nicholas Poolman
13,Jessica Haga
14,Luke Sunderman
15,Molly Russell
16,Christina Chelf
22,Maryjo Sampang
30,Brandon Ishise
34,Jacob Helfrich
35,Jeffrey Abeshima
36,Kira Belnap
39,Michael Leaumont
55,Alishia Orloff
57,Matthew Ostendorf
64,Kenneth Lawler
88,Eleanor Hoekman
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Red Flag,Classy,0,0,"07/27/2024, 09:00",Pool A,Scheduled
LIT Ultimate,Smack!,0,0,"07/27/2024, 09:00",Pool A,Scheduled
Red Flag,Smack!,0,0,"07/27/2024, 12:30",Pool A,Scheduled
LIT Ultimate,Classy,0,0,"07/27/2024, 12:30",Pool A,Scheduled
Red Flag,LIT Ultimate,0,0,"07/27/2024, 14:15",Pool A,Scheduled
Classy,Smack!,0,0,"07/27/2024, 14:15",Pool A,Scheduled
pool,Pool B
Sunshine,Lights Out,0,0,"07/27/2024, 09:00",Pool B,Scheduled
Donuts,Seattle Soft Serve,0,0,"07/27/2024, 09:00",Pool B,Scheduled
Sunshine,Seattle Soft Serve,0,0,"07/27/2024, 10:45",Pool B,Scheduled
Donuts,Lights Out,0,0,"07/27/2024, 10:45",Pool B,Scheduled
Sunshine,Donuts,0,0,"07/27/2024, 14:15",Pool B,Scheduled
Lights Out,Seattle Soft Serve,0,0,"07/27/2024, 14:15",Pool B,Scheduled
pool,Pool C
MOONDOG,Minnesota Star Power,0,0,"07/27/2024, 09:00",Pool C,Scheduled
Spoke,Bullet Train,0,0,"07/27/2024, 09:00",Pool C,Scheduled
MOONDOG,Bullet Train,0,0,"07/27/2024, 12:30",Pool C,Scheduled
Spoke,Minnesota Star Power,0,0,"07/27/2024, 12:30",Pool C,Scheduled
MOONDOG,Spoke,0,0,"07/27/2024, 14:15",Pool C,Scheduled
Minnesota Star Power,Bullet Train,0,0,"07/27/2024, 14:15",Pool C,Scheduled
pool,Pool D
Mile High Trash,Pegasus,0,0,"07/27/2024, 10:45",Pool D,Scheduled
BW Ultimate,Grit City,0,0,"07/27/2024, 10:45",Pool D,Scheduled
Mile High Trash,Grit City,0,0,"07/27/2024, 12:30",Pool D,Scheduled
BW Ultimate,Pegasus,0,0,"07/27/2024, 12:30",Pool D,Scheduled
Mile High Trash,BW Ultimate,0,0,"07/27/2024, 14:15",Pool D,Scheduled
Pegasus,Grit City,0,0,"07/27/2024, 14:15",Pool D,Scheduled
b,r,e,a,k
brackets,Championship
bracket,Championship
bracket,Third Place
bracket,Fifth Place Bracket
bracket,Seventh Place
b,r,e,a,k
brackets,Placement Brackets
bracket,Ninth Place Bracket
bracket,Eleventh Place
bracket,Thirteenth Place Bracket
bracket,Fifteenth Place
b,r,e,a,k
