Metro East D-III College Men's Regionals,College - Men ,27,4,2024
Batavia,NY,2024-04-27,2024-04-28
https://play.usaultimate.org/events/Metro-East-D-III-College-Mens-Regionals-2024/schedule/Men/CollegeMen/
Wesleyan,1
teamInfo,Terrifying Turtles,"Fredonia, New York",,https://www.facebook.com/groups/248344905192884/,https://twitter.com/fredoniault
0,Alex Staco
0,Dorien Heim
0,Isaiah Welch
0,James Beightol
0,Jocelyn Estabrook
0,Ronny Raptis
0,Ryan Skill
0,Samuel Jackson
3,Christian Scarfone
5,Andrew Bruck
8,Jonathon Long
13,Brandon Jeanotte
32,Brock Papke
69,Asa Ostrowski
87,Jackson  Kelly
99,Douglas Falone
b,r,e,a,k
SUNY-Cortland,4
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
00,Alexander Servinskas
00,Angel Chauca
00,Christopher Lee
00,Connor McNeill
00,Devon Blackwood
00,Dylan Foutch
00,Ethan Laderman
00,Harrison Kelly
00,Jack-Henry Whalen
00,James  Prendergast
00,James Weilert
00,Matthew Prendergast
00,Maxwell Tolan
00,Michael Moran
00,Michael DeVillers
00,Riley Drew-Cross
00,Ryan  Trendell
00,Ryan Joyce-Turner
00,Ryan Tart
00,Tyler Uruburu
00,zachary jackson
02,Luke Barrett
03,Brian Wise
09,Christopher Caneiro
10,Leonardo  Rodriguez 
13,Damon Carroll
23,Mark Weidman
25,Aidan Russo
31,Anthony Graff
97,James Marino
b,r,e,a,k
Army,5
teamInfo,Army-West Point,"West Point, New York",,,
0,Alexander Meredith
0,Benjamin Douglas
0,Bennett Schmid
0,Charles Wheaton
0,Dylan Cree
0,Dylan Overbey
0,Evan Lee
0,Jack Dellinger
0,Koen Dolezar
0,Philip Lataif
0,Rafael Nachman
0,Sean Lai
0,Aditya Kansal
10,David Sang
11,Justin Yeung
16,Aidan Adams
b,r,e,a,k
Stevens Tech,9
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
0,Abigail Jacobs
0,Daniel Partika
0,Jack Morrison
0,Kara Long
0,Kayhan Durmus
0,Nathanael Vachon
0,Oscar Schlimer
0,Ryan Breen
0,Samuel Strassburger
0,Shiwei Zeng
0,Tomas Gonzalez Bonilla
0,William Hojegian
0,Chelsea Byun
0,Cian Poe-Sheehy
0,Zack Petrov
2,Matt Hullstrung
7,Charles  Canata
14,Cole Gardella
18,Mihir Savalia
20,Kyle Boberg
27,Aidan Ouckama
29,Alexander Lupia
31,William Hines
50,Alex D'Agostino
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Wesleyan,SUNY-Geneseo,15,5,"04/27/2024, 09:00",Pool A,Final
Colgate,Ithaca,12,15,"04/27/2024, 09:00",Pool A,Final
Wesleyan,Ithaca,15,6,"04/27/2024, 11:00",Pool A,Final
Colgate,SUNY-Geneseo,8,9,"04/27/2024, 11:00",Pool A,Final
Wesleyan,Colgate,15,6,"04/27/2024, 13:00",Pool A,Final
SUNY-Geneseo,Ithaca,6,12,"04/27/2024, 13:00",Pool A,Final
pool,Pool B
College of New Jersey,Hamilton,15,10,"04/27/2024, 09:00",Pool B,Final
Connecticut College,Rensselaer Polytech,15,1,"04/27/2024, 09:00",Pool B,Final
College of New Jersey,Rensselaer Polytech,14,7,"04/27/2024, 11:00",Pool B,Final
Connecticut College,Hamilton,15,8,"04/27/2024, 11:00",Pool B,Final
College of New Jersey,Connecticut College,11,12,"04/27/2024, 13:00",Pool B,Final
Hamilton,Rensselaer Polytech,15,9,"04/27/2024, 13:00",Pool B,Final
pool,Pool C
Rochester,Skidmore,15,6,"04/27/2024, 09:00",Pool C,Final
Vassar,SUNY-Fredonia,15,0,"04/27/2024, 09:00",Pool C,Final
Rochester,SUNY-Fredonia,15,3,"04/27/2024, 11:00",Pool C,Final
Vassar,Skidmore,15,5,"04/27/2024, 11:00",Pool C,Final
Rochester,Vassar,15,4,"04/27/2024, 13:00",Pool C,Final
Skidmore,SUNY-Fredonia,15,5,"04/27/2024, 13:00",Pool C,Final
pool,Pool D - Games to 17
Army,Stevens Tech,15,7,"04/27/2024, 09:00",Pool D - Games to 17,Final
SUNY-Cortland,Stevens Tech,17,10,"04/27/2024, 11:00",Pool D - Games to 17,Final
SUNY-Cortland,Army,16,10,"04/27/2024, 13:00",Pool D - Games to 17,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championship
Wesleyan,Hamilton,8,5,"04/28/2024, 11:00",Semis,In Progress
Rochester,Connecticut College,6,4,"04/28/2024, 11:00",Semis,In Progress
Wesleyan,Skidmore,15,8,"04/28/2024, 09:00",Quarters,Final
SUNY-Cortland,Hamilton,11,15,"04/28/2024, 09:00",Quarters,Final
Rochester,Army,12,11,"04/28/2024, 09:00",Quarters,Final
Connecticut College,Ithaca,15,9,"04/28/2024, 09:00",Quarters,Final
College of New Jersey,Skidmore,8,15,"04/27/2024, 15:00",Prequarters,Final
Vassar,Hamilton,11,12,"04/27/2024, 15:00",Prequarters,Final
SUNY-Geneseo,Army,5,15,"04/27/2024, 15:00",Prequarters,Final
Stevens Tech,Ithaca,8,15,"04/27/2024, 15:00",Prequarters,Final
bracket,Third Place
bracket,Fifth Place
Skidmore,Ithaca,0,0,"04/28/2024, 13:00",Fivals,Scheduled
Skidmore,SUNY-Cortland,7,5,"04/28/2024, 11:00",Fifth Semis,Final
Army,Ithaca,0,1,"04/28/2024, 11:00",Fifth Semis,Final
bracket,Seventh Place
SUNY-Cortland,Army,1,0,"04/28/2024, 13:00",Seventh Finals,Final
bracket,Ninth Place
SUNY-Geneseo,Vassar,0,0,"04/28/2024, 11:00",Ninals,Scheduled
College of New Jersey,SUNY-Geneseo,12,14,"04/28/2024, 09:00",Ninth Semis,Final
Vassar,Stevens Tech,15,5,"04/28/2024, 09:00",Ninth Semis,Final
b,r,e,a,k
pools,13th Place Round Robin
pool,Pool E
Rensselaer Polytech,SUNY-Fredonia,15,8,"04/28/2024, 09:00",Pool E,Final
Colgate,SUNY-Fredonia,F,W,"04/28/2024, 11:00",Pool E,Final
Colgate,Rensselaer Polytech,F,W,"04/28/2024, 13:00",Pool E,Final
b,r,e,a,k
