Boston Invite 2024,Club - Mixed ,13,7,2024
Devons,MA,2024-07-13,2024-07-14
https://play.usaultimate.org/events/Boston-Invite-2024/schedule/Mixed/Club-Mixed
Townies,1
00,Tomaso Mukai
00,WillIam Altschul
00,Yvonne Tang
b,r,e,a,k
Funk,7
teamInfo,,"Newburgh, New York",,https://www.facebook.com/HudsonValleyFunk/,https://twitter.com/HVFunk
0,Matt Latvis
02,Allison Case
03,Melissa Torchio
04,Meta Learey
05,Paloma Oteiza
06,Zachary Schiff
07,Isabelle Vandamme
08,Thomas Santiago
09,Sammy Muench
10,Robert (Bobby) Owens
11,Owen McGarry
12,Stellah Marienthal-Legendre
13,Rebecca Tucker
15,Flynn McCarthy
17,Liam McCarthy
18,Arianna Edwards
19,Cheyenne Mallo
21,Briana Chanowitz
22,Jordan Chow
24,Jordan Acker
30,Ava Harnick
32,Christopher Losapio
36,Lindsay Ork
38,James  O'Connell
47,Lucas Murphy
73,Tanvi Shankar
b,r,e,a,k
Buffalo Lake Effect,15
teamInfo,,"Buffalo, New York",www.nickelcityultimate.com,https://www.facebook.com/groups/50331329455/,
0,Colton Zack
0,Dwayne Neill
0,Emilee Nelson
0,Emily Porterfield
0,Evan Bembenista 
0,Hannah Rapp
0,Jennine Kanaby
0,Jordan Stepien
0,Katie Bilicki
0,Nick Lenhard
0,Riley Robertson
0,Sarah Flint
0,Sumner Cushman
0,Theresa Dames
0,Timothy (TJ) Burns
6,THEO WAN
8,Sarah Burns
8,Shane Watts
9,Michelle Tran
20,Hales Pink
26,Matthew Montera
55,Loriana Schneider
63,Jack Puttre
96,Emma Romell
99,Eoin Joyce
b,r,e,a,k
Wild Card,2
teamInfo,,"Boston, Massachusetts",http://www.wildcardultimate.com/,https://www.facebook.com/wildcardult,https://twitter.com/WildCardult
0,Charlie Bushman
0,Emma Bushman
0,Fernanda Brena
0,Hannah Marr
0,Iris Rukshin
0,Katherine Connelly
0,Lucas Lytel
0,Matthew Yee
0,Natalie Wheeler
0,Scott Dollen
0,Tamar Austin
0,Thomas Barry
0,Thomas White
4,Alexander Curreri
8,Connor Fortin
8,Jason Freedman
10,Annika Chan
13,Carolina Brager
16,Jacob Arons
22,Jack Simmons
22,Gina Pryciak
24,Claire Slattery
24,Pablo Reimers
24,Wyatt Brooks
27,Kaitlyn Thibault
78,Tiffany Lim
b,r,e,a,k
Nice!,10
teamInfo,,"Somerville, Massachusetts",https://niceultimatefrisbee.neocities.org/,,
0,Courtney Dougherty
0,Josefina O'Toole
0,Melissa Tong
0,Michael Humbert
0,Sabine May
0,Sarah Walsh
6,Lauren Bertino
8,Nick Patel
05,Raymond Tetreault
12,Mark Donohue
18,Connor Boyle
33,Shi-Min Chin
33,William Thornton
35,gunnar heckler
37,Matthew Heath
38,Matt Caswell
40,Holden Cookson
54,Alex Hecht
72,Joseph Sadok
b,r,e,a,k
Axolotls,18
teamInfo,,"Hoboken, New Jersey",https://www.instagram.com/theaxolotlsultimate/,,
0,Austin Uhl
0,Bridget Williams
0,Evan Feeney
0,Eveline Shiao
0,Izumi Matsuda
0,Kyle Dew
0,LISA FLANAGAN
0,Moriah Kam
0,Russell Borenstein-Burd
0,Sarah Bright
0,Valentina Vasquez Olarte
5,Scott Harvey-Arnold
7,Reed Rawhouser
12,Daniel Lee
13,Jessica Uscamayta
13,Pete Isler
17,Paul Goral
17,Iris Kim
18,Jeremy Lonnman
25,Benjamin Nichols
25,Robert Patten
26,Megan Ma
65,Victoria Ng
b,r,e,a,k
The Buoy Association,3
teamInfo,,"Portland, Maine",,,
0,Allyson Fenton
0,Andrew Applegate
0,Andy Schachter
0,Emma Schwartz
0,Eric Shaw
0,Evelyn (Evie) Clement
0,Frank Weng
0,Haley  Hemeon
0,Adelle Pitsas
0,Ian Engler
0,Joe Newlin
0,Julian Erickson-Watson
0,Lauren Baecher
0,Olivia Phillips
0,Robby Perkins-High
0,Walker Hatchett
2,Ian McClelland
4,Myles Maxson
26,Rachael Westgate
27,Yayla Tur
27,Audrey Love
47,Alex Rowell
56,Landis Hackett
99,Jared Jandreau
b,r,e,a,k
Heat Wave,6
teamInfo,,"Brooklyn, New York",,,
0,Alex Hu
0,Angelena Parker
0,Anna Lieberman
0,Annie Kean
0,Becky Chen
0,Christina Secor
0,Eileen Connor
0,Elan Kane
0,Kelly Chen
0,Kyle Chylinski
0,Oliver Feder
0,Quinn Hermann
0,Samuel Feder
0,Zoe Zhu
2,Tessa Jones
18,Emily Verticchio
19,Megan Nguyen
19,Kate Nelson
20,Cameron Barth
21,Brendan Chin
21,Jonathan Chylinski
23,Benjamin Nusbaum
44,Theodore Trefonides
48,Ian Foley
69,Eli Presberg
77,Emily Prader
b,r,e,a,k
Scarecrow,14
teamInfo,,"Manchester, New Hampshire",,www.facebook.com/ScarecrowUltimate/,www.twitter.com/ScarecrowMixed
0,Caitlin Whited
0,Calvin Conant
0,Alex Joseph
0,Gabriella  Palermo
0,Isabel Peress
0,Lauren Lindman
0,Ryan Creamer
0,Samuel Wedegaertner
0,Tom Bertrand
0,Trent Linker
1,Anthony Bevilacqua
2,Chelsea Mower
2,Colby Jacques
3,Thomas Stover
5,Tyler Hall
6,Elizabeth Menard
8,Jaryn Lafond
13,Teddy Campbell
15,Stephanie Esker
27,Allison  Qualls
28,Jenna Connolly
33,Mark Connolly
40,Jacee Cox
44,Lauren Bevilacqua 
72,Jason Russo
99,Ryan Benincase
b,r,e,a,k
Deadweight,11
teamInfo,,"Hartford, Connecticut",,,
0,Abigail Baer
0,Adam D'Antonio
0,Anthony Havens
0,Ashley Wright
0,Barb Banz
0,Ben Chaimberg
0,Bobby Elston
0,Brian Varis
0,Bryan Bausinger
0,Christopher Cox
0,Elizabeth Nowlin
0,Ellie Mamantov
0,Ellie Jose
0,Kayla Olson
0,Marissa Aldieri
0,Nadya Ponthempilly
0,Sungshil Johnson
7,Ricky Lewandowski
7,Jake Kovalic
7,Jenna Gall
15,Matthew Baum
18,Caitlyn Hauswirth
28,Katherine Overstrum
52,Ryan Strobel
69,Kenny Harvey
80,Joseph Kane
b,r,e,a,k
Rainbow,19
teamInfo,,"Somerville, Massachusetts",https://www.rainbowultimate.com,https://www.instagram.com/rainbowultimate/,
0,Alison Collins
0,Anna Heavey
0,Daniel Bellow
0,Inbal Armony
0,Jack Werst
0,Jason Park
0,Jonathan Cass
0,Kara Breeden
0,Lauren Murphy
0,Lucy Koester
0,Lydia Qin
0,Rich Wang
0,Sam Helderop
0,Walter Lenoir
0,Zhihan Xu
3,Jay Turner
5,Cheni Chadowitz
6,Justin Hudson
7,Heather Szczesniak
17,Zander Harpel
18,Timothy Whitworth
22,Erin Barno
23,Rebecca FitzGerald
26,Lizzie Seibert
73,Sarah Lamoureux
79,Brooke Medley
b,r,e,a,k
Darkwing,4
teamInfo,,"Mansfield, Massachusetts",http://www.darkwingultimate.com,,https://twitter.com/Darkwing_Mixed
0,Anna Glass
0,Chloe de Campos
0,Elle Burstein
0,Emet Schwartz
0,En Le Samborski
0,Grace Erlinger
0,Jacob Arwe
0,James Sabean
0,Alicia Chang
0,Mitch Giroux
0,Nikki Chang
0,Nilos Makino
0,Sydney Lombardi
5,Conor Dowling
7,Jacob Herz
9,Dillon Monti
14,Wes Chalfant
17,Magdalene Pizzo
20,Prosser Friedman
20,David Friedman
31,Alyssa Pelkey
33,Nick Jewell
35,Pierre-Yves Lavertu
36,Lilly Yang-Schmidt
99,Jordan Kaufman
99,Kunzang Namgyal
b,r,e,a,k
Anthem,5
teamInfo,,"Baltimore, Maryland",,https://www.facebook.com/profile.php?id=100090895539227&mibextid=LQQJ4d,https://twitter.com/AnthemUltimate/status/1617652961299279872?s=20&t=gFOPhZpWzglqQWxTQUxcTA
0,Claudia Wang
0,Ethan Bomhardt
0,Kaitlyn Harper
0,Margaret Zuelsdorf
0,Mitchell Lauer
0,Scott Wheeler
0,Sean McDermott
0,Sesha McMinn
0,Stephanie Creighton
0,Tanner Marshall
0,Tjia Ern Lau
0,Warner Brockman
5,Jack Engle
6,Molly Fisher
10,Elias White
11,Isabella Wahl
12,Destiny Lim
12,Shai Brown
19,Kyle Morgan
22,Julia Richardson
25,Ian Piper
26,Annette Kukunas
29,Jesse Moore
73,Mark Flores
b,r,e,a,k
Obscure,12
teamInfo,,"Boston, Massachusetts",,,
0,Adrian Banerji
0,Aidan McLeod
0,Alex Grintsvayg
0,Anna Shanedling
0,Ariella Korn
0,Carl Frederik Brasz
0,Diana Cornell
0,Hannes Ludewig
0,Jacqueline Willwerth
0,Jamie Sharken
0,Jared DiMascio
0,Kim DiMascio
0,Kimberly Levins
0,Luke Arnone
0,Patrick Kelsey
0,Remy Gaulin
0,Sarah Cook
0,Shellie Cohen
0,Zach DiNardo
2,Kellen McDonnell
4,Nick DiOrio
6,Abigail Skerker
11,Ryan Levins
14,Eli Inkelas
22,Lauren Ding
33,Samantha Gray
b,r,e,a,k
League of Shadows,13
teamInfo,,"Boston, Massachusetts",,,http://www.twitter.com/los_ultimate
0,Allie Mundis
0,Connor Coale
0,Sam VanNoy
7,Reece Liu
02,Theodore Bisdikian
06,Evan Hu
09,Kyle Jannak-Huang
10,Adrena Seferian
11,Abby Ritterband
17,Lillian Huang
19,Karissa  Tabtieng
22,Daniel Chen
23,Theodore Prince
27,Brooke Chomko
29,Tate Tabtieng
30,Sadie  Schmitz
32,Mina Bozeman
33,Sara Putnam
34,Christina Stellwagen
37,Jack Deschler
39,Matthew Cote
46,Hyunah Boo
50,Terren Moore
51,Kevin O'Brien
64,Julia Leung
91,Alex Mitsopoulos
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Townies,Lampshade,12,6,"07/13/2024, 09:00",Pool A,Final
Grand Army,Farm Show,11,13,"07/13/2024, 09:00",Pool A,Final
Townies,Grand Army,11,9,"07/13/2024, 10:30",Pool A,Final
Big Rig,Farm Show,12,3,"07/13/2024, 10:30",Pool A,Final
Farm Show,Lampshade,9,11,"07/13/2024, 12:00",Pool A,Final
Big Rig,Grand Army,13,6,"07/13/2024, 12:00",Pool A,Final
Townies,Farm Show,12,3,"07/13/2024, 13:30",Pool A,Final
Big Rig,Lampshade,11,6,"07/13/2024, 13:30",Pool A,Final
Townies,Big Rig,9,7,"07/13/2024, 15:00",Pool A,Final
Grand Army,Lampshade,10,9,"07/13/2024, 15:00",Pool A,Final
pool,Pool B
Wild Card,Axolotls,13,4,"07/13/2024, 09:00",Pool B,Final
Funk,Nice!,11,5,"07/13/2024, 09:00",Pool B,Final
Buffalo Lake Effect,Nice!,11,5,"07/13/2024, 10:30",Pool B,Final
Funk,Wild Card,10,8,"07/13/2024, 10:30",Pool B,Final
Buffalo Lake Effect,Axolotls,13,3,"07/13/2024, 12:00",Pool B,Final
Nice!,Wild Card,7,11,"07/13/2024, 12:00",Pool B,Final
Buffalo Lake Effect,Funk,5,10,"07/13/2024, 13:30",Pool B,Final
Nice!,Axolotls,9,6,"07/13/2024, 13:30",Pool B,Final
Buffalo Lake Effect,Wild Card,10,7,"07/13/2024, 15:00",Pool B,Final
Funk,Axolotls,10,6,"07/13/2024, 15:00",Pool B,Final
pool,Pool C
The Buoy Association,Rainbow,13,6,"07/13/2024, 09:00",Pool C,Final
Deadweight,Scarecrow,8,11,"07/13/2024, 09:00",Pool C,Final
The Buoy Association,Deadweight,10,8,"07/13/2024, 10:30",Pool C,Final
Heat Wave,Scarecrow,10,9,"07/13/2024, 10:30",Pool C,Final
Scarecrow,Rainbow,12,6,"07/13/2024, 12:00",Pool C,Final
Heat Wave,Deadweight,10,8,"07/13/2024, 12:00",Pool C,Final
The Buoy Association,Scarecrow,11,8,"07/13/2024, 13:30",Pool C,Final
Heat Wave,Rainbow,11,4,"07/13/2024, 13:30",Pool C,Final
The Buoy Association,Heat Wave,9,8,"07/13/2024, 15:00",Pool C,Final
Deadweight,Rainbow,12,3,"07/13/2024, 15:00",Pool C,Scheduled
pool,Pool D
Darkwing,League of Shadows,11,5,"07/13/2024, 09:00",Pool D,Final
Anthem,Obscure,13,8,"07/13/2024, 09:00",Pool D,Final
Darkwing,Anthem,11,7,"07/13/2024, 10:30",Pool D,Final
Obscure,League of Shadows,13,7,"07/13/2024, 10:30",Pool D,Final
Darkwing,Obscure,10,7,"07/13/2024, 12:00",Pool D,Final
Anthem,League of Shadows,12,9,"07/13/2024, 12:00",Pool D,Final
b,r,e,a,k
brackets,Finals
bracket,1st Place
Darkwing,Buffalo Lake Effect,0,0,"07/13/2024, 09:00",Quarter Finals,Scheduled
Funk,Anthem,0,0,"07/13/2024, 09:00",Quarter Finals,Scheduled
bracket,3rd Place
bracket,5th Place Bracket
bracket,7th Place
b,r,e,a,k
brackets,9th Place Finals
bracket,9th Place Finals
Darkwing,Nice!,0,0,"07/14/2024, 09:00",9th Place Quarters,Scheduled
Funk,League of Shadows,0,0,"07/14/2024, 09:00",9th Place Quarters,Scheduled
bracket,11th
bracket,13th Bracket
bracket,15th
b,r,e,a,k
pools,Consolation Pool Standings
pool,Pool E
Grand Army,Axolotls,0,0,"07/14/2024, 13:00",Pool E,Scheduled
b,r,e,a,k
