Bid in the Bend 2024,Club - Mixed ,27,7,2024
South Bend,IN,2024-07-27,2024-07-28
https://play.usaultimate.org/events/Bid-in-the-Bend-2024/schedule/Mixed/Club-Mixed
Columbus Chaos,1
27,Jacob Royster
37,Grace Heldwein
63,Katherine Fry
99,Maddie Samson
b,r,e,a,k
Toast!,14
teamInfo,,"BATTLE CREEK, Michigan",,https://www.facebook.com/toastultimate/,https://twitter.com/toastultimate
0,Marie Freudenburg
0,Michael Ackerman
2,Timothy Flickinger
4,Tyler ODonnell
6,Emily Dalhoff
9,Quinn Garner
11,Stephanie Heger
12,Sydney Zimmerman
13,Anniken Holm
14,Norah  DeYoung
16,George Sipiora
17,Clara Moss
19,Stephen Hoffman
21,Julie Eigenbrod
22,Alyssa Kiekover
25,Katie Legatzke
25,Tyler Shanahan
33,Jesse Cwengros
34,Greg Hensen
40,Holly Vander Stel
42,Nicholas Paternoster
61,Ryan Fattal
64,Stephen Grondin
81,Annalise Meilink
95,Kaciana Champlin
98,Logan Kroczaleski
b,r,e,a,k
Skyhawks,11
teamInfo,,"South Bend, Indiana",,https://www.facebook.com/Skyhawks-427022961197953/,@SkyhawksUlti
0,Allison Kielhold
0,Andrea Hochwald
0,Andy LaFree
0,Bradley Vaal
0,Camden Wozniak
0,Christopher Miller
0,Cole Strickling
0,Emily Balsbaugh
0,Heather  Shore
0,Jared Christophel
0,Jessica Baca
0,Kevin Effron
0,Kristi Muhlenkamp
0,Leah Kauffman
0,Luke Graber
0,Megan Effron
0,Michael Ntende
0,Morgan Miller
0,Ryan Ntende
0,Sean Driscoll
4,Samuel Easley
6,Alison Lanski
7,Margo Wang
22,Matthew Muhlenkamp
69,William Theisen
78,Kevin Wakakuwa
b,r,e,a,k
I-70 United,18
teamInfo,,"Columbia/St. Louis, Missouri",,,https://twitter.com/LoCoultimate
0,Bailey Harbit
0,Eileen Finley
0,Emma  Ingle
0,Laura Little
0,Michael Lakey
03,Joel Williams
04,Luke Schultz
06,Jadin Johnson
07,Joshua Stegman
10,Alice Pierce
11,Colin O'Brien
12,Victoria Dissmore
13,Andrew Hilliard
16,Alexandria Werner
23,Janice Ntimba
24,Patrick Preston
31,Hannah Pierce
80,Noelle Hogrebe
81,Nate Ackerman
92,John Dames
b,r,e,a,k
Columbus Cohesion,7
teamInfo,,"Columbus, Ohio",,,
0,Alaina Lowery
0,Chris Blum
0,David Kopechek
0,Dorothy Golden
0,Elijah Shaw
0,Jonathan Cross
0,Joshua Shearer
0,Levi Knapp
0,Lindsey Fallon
0,Rufus Dixon
0,Taylor Britain
1,Asa Knapp
4,Ethan  Knecht 
7,Karina Cross
8,Peter Kopechek
09,Michael Kopechek
10,Keri Kopechek
12,Natalie Fancher
13,Magalie Chapman
14,Haleigh McDougal
15,Charis Marshal
16,Lacey Gosnell
22,Nick Wyckoff
27,Alex Hughes
77,William Sheridan
86,Michael Lee
b,r,e,a,k
Jabba,6
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/JabbaULT,https://twitter.com/JabbaChi
0,Abby Jones
0,Amy Burna
0,Andrea Penrose
0,Anishi Desai
0,Brianna Rider-Leiner
0,Danny Nguyen
0,Jessica Tennant
0,Josh Cahn
0,Liam Condon
0,Marissa Leff
0,Mike L'Hommedieu
0,Nadeem Demian
0,Raphael Rosen
0,Sarah Warren
9,Jorge Duarte
17,Lindsey Waite
23,Kathryn Kembitzky
24,Dylan Mcgarr
27,Ryan Logan
32,Faith Zou
37,Carolina Szoepe
41,Benjamin Wallerstedt
69,Chan Woo Park
77,Elkin Albarracin 
82,Samuel Bove
97,Julian Baldwin
b,r,e,a,k
Twist,3
teamInfo,,"Ann Arbor, Michigan",,https://www.facebook.com/profile.php?id=100091776499482,
2,Emily Cummins
3,Croix Jastrow
7,Patrick Adelstein
8,Taylor Engen
9,Kelly Jones
11,Victor Medina Del Toro
12,McKenna Mee
13,Ryan Donnelly
14,Tristan Bowerman
16,Sophie Stewart
20,Delmar Tarrago
21,Megan Packer
22,Isaac Plamondon
23,Emma Farrar
24,Emma Sutton
26,Maaike Wielenga
29,Sydney Brew
30,Michael Parnas
32,Melissa Herta
34,Jenna Knudtson
35,Jon Gibson
36,Stephan Maxe
42,David Backus
49,Nicholas Kraft
67,Eve  Goddard
73,Mia Sanborn
b,r,e,a,k
ELevate,15
teamInfo,,"Chicago, Illinois",,https://www.facebook.com/ELevateUltimate,https://twitter.com/ElevateUltimate
0,Chris Wang
0,Elaine Perret-Goluboff
0,Elizabeth de Laittre
0,Emily Williams
0,George Tobin
0,Hannah Olivares
0,Ian Crane
0,Jack Armanini
0,Mallorie Hsieh
0,Meris Goldfarb
0,Naomi Clear
0,Samantha Swank
0,Shamaul Dilmohamed
0,Shravan Ravishankar
1,Will Hsieh
7,Laura Rolfes
13,Callie Floyd
21,Jonathan Schrag
24,Aaron Bryant
29,Maria Aiura
35,Brendan Eltzroth
81,Jake Smith
91,Liz Biggane
b,r,e,a,k
Thunderpants the Magic Dragon,10
teamInfo,,"Dayton, Ohio",,,
0,Nicole Pililyan
0,Peter Fu
2,Mike Walsh
3,Mason Haynes
7,Josh Culliton
8,Harrison Davis
04,David Hazlett
14,Adele McCune
14,Thomas Stang
15,Tierney Miller
19,Michele Fox
23,Derek Fitch
29,Danielle Oh
32,Kevin Crawford
33,Emilee Johnson
42,Scott Chadwick
53,Kayla Burrell
73,Jesse Lauderbaugh
88,Simon Reiter
b,r,e,a,k
Crucible,5
teamInfo,,"Pittsburgh, Pennsylvania",,,@pghcrucible
0,Allen Zhou
0,Charles Wei
0,Derek Hall
0,Emily Campos
0,Kara Mariani
0,Kasey Schock
0,Forrest Jackson
0,Jay Rauch
0,Kira Harbourne
0,Kiri Harper
0,Michaela Cushing-Daniels
0,Priyanka Tewani
0,Rowan M Wright
0,Ryan Earles
2,Evan Hake
3,Taha Udyawar
5,Kelsey Fink
8,Joseph Merante
9,Kevin Snell
9,Arianna Kightlinger
13,Meghan McGrory
18,Bridget McCoy
24,Anna VanDusen
33,Christopher Turocy
71,Kevin Stewart-Mercurio
80,Jay Walker
b,r,e,a,k
Trex Mix,4
teamInfo,,"Dublin, Ohio",,,https://twitter.com/TrexMixUltimate
0,Ashley Boehmke
0,Kathleen (Kathy) Tong
0,Morgan Vogler
0,Nathan Landry
0,Tyler Higgins
1,Andrew Carr
4,Madoka Kamishima
5,Milo Eder
6,Zoe Wolfe
7,Luke Groom
11,Andrew Bustle
12,Chelsea Baker
13,Nathan Morgan
18,Molly Cropsey
22,Austin Eilbeck
25,Anne Knellinger
25,Alora Reiff
31,Chetan Gomatam
35,Lauren Klein
36,Matt Nuoffer
37,Tony Donato
49,Alexander Davis
81,Ellie Holmgren
84,Sarah San Pedro
b,r,e,a,k
Prion,9
teamInfo,,"Champaign, Illinois",www.prionultimate.com,,
0,Angela Gavic
0,Anne Cook
0,Boyd Rinehart
0,Dani Hartt
0,Daniel Sawai
0,Danielle Merrifield
0,Evan Bossenbroek 
0,Giovi Kelly
0,Grace Cook
0,Jocelyn Gonzalez
0,Katherine Koch
0,Pupetch Nimnark
0,Scott Nelson
10,Kevin Zhang
13,Elena Gratton
18,Eleanor Vandel
20,Mukil Guruparan
22,Andrew Almeter
22,Spencer Sadler
29,Jake Corley
36,Jeff Burda
42,Kevin Tan
45,Matthew Oujiri
69,Eric Badger
b,r,e,a,k
Frostbite,16
teamInfo,,"Milwaukee, Wisconsin",https://linktr.ee/frostbiteult,https://www.facebook.com/FrostbiteUlt/,https://twitter.com/FrostbiteUlt
4,Jason Moens
02,Oliver Rytman
03,Carly Serketich
05,Andrew Sheehan
06,Adam Wadlington
07,Jared Peyer
09,Hayes Barry
10,Ella Smith
11,Julie Haley
12,Heather Erickson
14,Jeff Schubert
15,Aubrey Motherwell
16,Claire Lo
18,Belle Vining
19,Nicole Vujosevich
24,Erin Koth
25,TJ Bartczak
27,Kensington Naze
30,Tyler Ignatowski
42,Daniel Burss
69,Abraham Frolichstein-Appel
96,Justice Sanders
97,Lauren Dyckes
99,Riley Johnson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Columbus Chaos,POW!,13,8,"07/27/2024, 09:00",Pool A,Final
Stackcats,ConSTLation,9,13,"07/27/2024, 09:00",Pool A,Final
Columbus Chaos,Stackcats,13,4,"07/27/2024, 10:40",Pool A,Final
Indiana Pterodactyl Attack (IPA),ConSTLation,9,10,"07/27/2024, 10:40",Pool A,Final
ConSTLation,POW!,10,12,"07/27/2024, 12:20",Pool A,Final
Indiana Pterodactyl Attack (IPA),Stackcats,11,6,"07/27/2024, 12:20",Pool A,Final
Columbus Chaos,ConSTLation,11,7,"07/27/2024, 14:00",Pool A,Final
Indiana Pterodactyl Attack (IPA),POW!,9,11,"07/27/2024, 14:00",Pool A,Final
Columbus Chaos,Indiana Pterodactyl Attack (IPA),13,12,"07/27/2024, 15:40",Pool A,Final
Stackcats,POW!,10,6,"07/27/2024, 15:40",Pool A,Final
pool,Pool B
Queen City Gambit,I-70 United,13,3,"07/27/2024, 09:00",Pool B,Final
Skyhawks,Toast!,8,13,"07/27/2024, 09:00",Pool B,Final
Queen City Gambit,Skyhawks,12,11,"07/27/2024, 10:40",Pool B,Final
Columbus Cohesion,Toast!,6,11,"07/27/2024, 10:40",Pool B,Final
Toast!,I-70 United,13,7,"07/27/2024, 12:20",Pool B,Final
Columbus Cohesion,Skyhawks,7,13,"07/27/2024, 12:20",Pool B,Final
Queen City Gambit,Toast!,11,5,"07/27/2024, 14:00",Pool B,Final
Columbus Cohesion,I-70 United,5,10,"07/27/2024, 14:00",Pool B,Final
Queen City Gambit,Columbus Cohesion,13,5,"07/27/2024, 15:40",Pool B,Final
Skyhawks,I-70 United,13,6,"07/27/2024, 15:40",Pool B,Final
pool,Pool C
Twist,Thunderpants the Magic Dragon,15,5,"07/27/2024, 09:00",Pool C,Final
Jabba,ELevate,15,10,"07/27/2024, 09:00",Pool C,Final
Twist,ELevate,15,4,"07/27/2024, 11:00",Pool C,Final
Jabba,Thunderpants the Magic Dragon,15,8,"07/27/2024, 11:00",Pool C,Final
Twist,Jabba,11,15,"07/27/2024, 13:00",Pool C,Final
Thunderpants the Magic Dragon,ELevate,11,14,"07/27/2024, 13:00",Pool C,Final
pool,Pool D
Trex Mix,Prion,15,11,"07/27/2024, 09:00",Pool D,Final
Crucible,Frostbite,15,6,"07/27/2024, 09:00",Pool D,Final
Trex Mix,Frostbite,13,12,"07/27/2024, 11:00",Pool D,Final
Crucible,Prion,13,7,"07/27/2024, 11:00",Pool D,Final
Trex Mix,Crucible,11,12,"07/27/2024, 13:00",Pool D,Final
Prion,Frostbite,15,9,"07/27/2024, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship Bracket
bracket,1st Place
Columbus Chaos,Toast!,4,2,"07/28/2024, 10:40",Quarters,In Progress
Crucible,Twist,5,2,"07/28/2024, 10:40",Quarters,In Progress
Jabba,ConSTLation,6,3,"07/28/2024, 10:40",Quarters,In Progress
Queen City Gambit,POW!,4,1,"07/28/2024, 10:40",Quarters,In Progress
Toast!,ELevate,13,10,"07/28/2024, 09:00",Pre Quarters,Final
Twist,Skyhawks,13,11,"07/28/2024, 09:00",Pre Quarters,Final
ConSTLation,Trex Mix,13,9,"07/28/2024, 09:00",Pre Quarters,Final
POW!,Prion,13,10,"07/28/2024, 09:00",Pre Quarters,Final
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
ELevate,Skyhawks,3,4,"07/28/2024, 10:40",9th Place Semis,In Progress
Trex Mix,Prion,3,6,"07/28/2024, 10:40",9th Place Semis,In Progress
bracket,11th Place
b,r,e,a,k
pools,Consolation Pool
pool,Consolation Pool
Thunderpants the Magic Dragon,Stackcats,11,10,"07/28/2024, 09:00",Consolation Pool,Final
Indiana Pterodactyl Attack (IPA),Columbus Cohesion,0,0,"07/28/2024, 09:00",Consolation Pool,Scheduled
I-70 United,Frostbite,10,11,"07/28/2024, 09:00",Consolation Pool,Final
Stackcats,Columbus Cohesion,0,0,"07/28/2024, 10:40",Consolation Pool,Scheduled
Indiana Pterodactyl Attack (IPA),Frostbite,0,0,"07/28/2024, 10:40",Consolation Pool,Scheduled
I-70 United,Thunderpants the Magic Dragon,0,0,"07/28/2024, 10:40",Consolation Pool,Scheduled
Indiana Pterodactyl Attack (IPA),I-70 United,0,0,"07/28/2024, 12:20",Consolation Pool,Scheduled
Frostbite,Stackcats,0,0,"07/28/2024, 12:20",Consolation Pool,Scheduled
Thunderpants the Magic Dragon,Columbus Cohesion,0,0,"07/28/2024, 12:20",Consolation Pool,Scheduled
b,r,e,a,k
