2024 Founders Men's Sectional Championship,Club - Men ,7,9,2024
Allentown,PA,2024-09-07,2024-09-08
https://play.usaultimate.org/events/2024-Founders-Mens-Sectional-Championship/schedule/Men/Club-Men/
Garden State Ultimate,1
0,Stephen Houst
8,Logan Hutton
01,James Redden
02,Derek Johnson
05,Christopher Horton
18,Devin Christian
20,Thomas Gaudin
21,Nathan Hunt
22,jacob Humenik
32,Joseph  Carreras
62,trevor Baker
81,Matt Chiappetta
b,r,e,a,k
Delco Club,14
teamInfo,,"Havertown, Pennsylvania",,,
coaches,Simon Feeman
0,Adam Pelleg
0,AJ Daniel
0,Andre Martinez
0,Benjamin Raynor
0,Cameron  Fusto
0,Casey Martin
0,Ian Taylor
0,Jacob Doss
0,Jonah Lorah
0,Misha Swann
0,Nathaniel Thorne
0,Simon Feeman
5,Luke Jarvis
8,Matt Walheim
13,Joseph Brennecke
51,Mike Goemaat
b,r,e,a,k
Phantom,3
teamInfo,,"Philadelphia , Pennsylvania",,https://www.facebook.com/phillyphantom,https://twitter.com/PhillyPhantomU
0,Alexander Thorne
0,Allan Michel
0,Ari Carp
0,Avery Campbell
0,David Brandolph
0,Jordan Ciccarone
0,Mark Philipson
0,Marley Kervick
0,Nicholas Railey
0,Peter Cauchy
0,Ryan Cornelius
0,Samuel Barnett
0,Nate Harnish
2,Thomas Preston
3,Tyler Mackey
7,Jonathan Trzaska
10,Chris Dixon
10,Josh Lane
12,Michael  Maroon
13,Matthew Ellis
18,Adam Novak
22,Dylan Smith
23,Ian Dietrich
24,Cole Salomon
25,Nate Long
88,David Snead
b,r,e,a,k
Rumspringa,6
teamInfo,,"Virginville, Pennsylvania",,,
0,Dustin Sullivan
0,Dustin Damiano
0,Greg Martin
0,Greg Esser
0,Jack Wisner
0,Jameson Hinkle
0,Andrew Landes
0,Kyle Wolf
0,Marc Sands
0,Matt Esser
0,Owen Thomas
0,Paul Klimkowski
0,Samuel Esser
0,Steve Rosso
0,Vincent Reydams
6,Will Hoehne
7,David Boyer
8,Luke Ryan
13,Jared Seyler
25,Trey (George) Katzenbach
27,Jeff George
29,Red Redderson
35,Ryan Forster
48,Benjamin Broser
72,Michael Martin
74,David Kelly
b,r,e,a,k
Night Owl,12
teamInfo,,"Southeastern Pennsylvania, Pennsylvania",,,
coaches,Thomas Nye
0,Azi Levites-Cohen
0,Charlie Bray
0,Christian Lee
0,Jackson Horvat
0,jacob mathew
0,Joel Simon
0,Jonah Grossberg
0,Mason Sendlock
0,Nathan Casselli
0,Nathanael Kassahun
0,Nati Roemer-block
0,Samuel Jenkins
0,Sean Gallen
0,Sebastian Becker
0,Tanner Norpel
0,William Fath
6,James Bray
9,Sam Beh
11,Jack Gallen
12,Ian Owen-Riggan
15,Javier Gonzalez-Recober
34,Becker Joseph
b,r,e,a,k
Wooder,16
teamInfo,,"Wallingford, Pennsylvania",,,
coaches,Lindsay Goldsmith-Markey
0,Andre Fan
0,Brandon Seals
0,Cole Beck-Campbell
0,Dennis Wickstrum
0,Grzegorz Guron
0,Jackson Bloom
0,Joe Satterthwaite
0,Julian Mendez
0,Kyle Markey
0,Michael Jarvis
0,Owen Imbrogno 
0,Owen Lin
0,Sebastian Morganheira
0,Shane Dao
0,Tobey Rosenberg
00,Quinn Jarvis
00,Noah Henderson
00,Nolen Spivey
00,Hank Loughrey
00,Jack  Logue
00,Casper Stockman
14,Andrew Mennig
26,Rhys Jarvis
47,Ryan Markey
b,r,e,a,k
Happy Valley Roofing and Mustache Supply,17
teamInfo,,"state college, Pennsylvania",,,
0,Alan Maher
0,Gabe Vanderbrink
0,Harrison Findley
0,Raffi Cannon
8,Michael Nipper
00,Nathaniel Hodges
00,Roberto Lombana
00,Jeremy Mack
00,John Williams
00,Kelvin Lei
00,Atharva Kurve
00,Benji Feidler
00,Brandon Shunk
00,Dylan Connor
00,Ethan Landis
b,r,e,a,k
Pittsburgh Temper,2
teamInfo,,"Pittsburgh, Pennsylvania",,https://www.facebook.com/pghtemper/,https://twitter.com/pghtemper
coaches,Christie Lawry,Hensley Sejour
0,Aiden Landis
0,Alex Mullen
0,Joe Molder
0,Mahith Edula
0,Morey Averill
3,Ben Chamis
6,Noah Celuch
8,Wyatt Krisky
00,Robin Maillard
00,Roger Zeng
00,Tristan Yarter
00,Michael Dillard
00,Marcel Oliart
00,Anson Reppermund
00,Dan Nichols
00,Eric Johnson
00,Henry Everett
10,Reid Duncan
11,Timothy  Chango Gasset 
20,Peter Zaccardi
24,Will Hoffenkamp
26,Connor Newell
29,JJ McMonigal
48,Jimmy Towle
84,William McGlynn
99,Matthew Viscido
b,r,e,a,k
SUPA FC,10
teamInfo,,"Stewartstown , Pennsylvania",https://centralpaultimate.com/supa-ultimate-league,@stewartstownupa,@stewartstownupa
0,Charles Hoppes
0,David Naylor jr
0,Jacob Farnham
0,Jeremy  Moore 
0,Jesse Heindel
0,Eric Grosh
0,Jordan Winey
0,Josh Miller
0,Kevin Boyd
0,Steven Whiteford
1,Spencer Grogan
8,Silas Angelino
10,Derek Rabold
11,Christian Becker
11,Tim Hushon
13,Christopher Schulze
14,Josh Heindel
24,Jon White
29,Isaiah Herr
33,David Lincoln 
40,Sean Hermanns
46,Wesley Morgan
69,Peter Burt
b,r,e,a,k
Pittsburgh Stealers,8
teamInfo,,"Pittsburgh, Pennsylvania",,,@stealerspitt
0,Adam Assaad
0,Alexander Kirages
0,Ben Banyas
0,Clarke Piatt
0,Jacob Sigeti
0,Fletcher Hayden
0,Seth Williams
0,Thomas Selwood
0,Will Meyer
2,Joseph Rowley
4,Joshua Morton
6,Zachary Esakof
12,Max Sprigg-Dudley
17,Chris Chang
18,Elliot Hare
22,Jackson Trone
23,Eliot Duncan
25,Graham Barton
29,Everitt Meer
31,Lucas Storm
75,Luke Gochis
84,Nicholas Blair
b,r,e,a,k
DEVYL U-20 Open,15
teamInfo,,"Westfield, New Jersey",https://www.devylultimate.org/,https://www.facebook.com/devylultimate/,@devylulty
coaches,Anthony Nunez
0,Amir Avdicevic
0,Caoba Nichim-Luta
0,Carter Weinstein
0,Dominic Romeo
0,Jacob Churchray
0,Judah Kim
0,Luke Oh
0,Nicolas Salamandra
0,Sam McCrory
0,Theodore Rotberg
0,Wesley Davis
0,Yuval Hermoni
0,Zachary Brenden
0,Zane Levy
1,Gavin Schiff
2,Asher Lorentzen
3,Giovanni Gerber
8,Nicholas Giannone
9,Gerard Bryson
11,Matthew Wurster
19,Anthony Nunez
26,Bryant Yang
28,Benjamin Wood
b,r,e,a,k
Helots,5
teamInfo,,"Sparta, New Jersey",https://www.instagram.com/sparta.helots/,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
0,Creston Brooks
0,Damon Luk
0,Andres Salamanca
0,Austin Fan
0,Matthew Berdel
0,Matthew Timoney
0,Oscar Sucre
0,Patrick Callahan
0,Neal Vasireddi
1,Maxwell Caputo
1,David Brewster
7,Nicholas Kern
7,Vishal Anand
11,Aiden  Reed
12,Thomas Wu
15,Sean Maxcy
25,Christopher Chan
27,Jason Pon
36,Tanner Yuhas
37,Evan Sapirman 
42,Matt Bartley
45,Jordan Chang
80,Stephen Snelson
b,r,e,a,k
Ghostbusters,4
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Casey Thornton
0,Logan Piercy
0,Luca Stuccio
0,Maxwell Tran
0,Sam Grossberg
0,Sam Davison
0,Nolan McClintic
3,Jose Dasilva
8,Pasta (Max) Weiler
9,Kyle Incollingo
10,Calvin Trisolini
10,Spencer DeRoos
11,Jeremy Long
12,Arthur Liaw
14,Brenden Gasper
14,Ethan Pigeon
16,Aiden Kempf
17,Alexander (Zander) Lutz
23,Sam Davies
24,Doug Hoyer
33,Drew Loughnane
33,Jesse Thornton
42,Adam Grossberg
62,Will Helenski
68,Nicky Troilo
b,r,e,a,k
Rebels,13
teamInfo,,"Haddonfield, New Jersey",,,
0,Adam Smith
0,Brandon Bergman
0,Brennan Appleman
0,Jesse Hartman
0,Kevin  Koelsch
0,Mark Butler
0,Mitchel Bie
0,Nick Piotti
0,Lewin Levine
0,Walker Steven
2,Stephen Rivera-Lau
2,Danny Dilsheimer
5,Kevin Curtin
5,Brian Rivera-Lau
8,Brenden Hershman
10,Evan Schwarzmann 
15,Colin Finnigan
22,Ryan Cook
25,Jay Spangler
29,Steven Powers
36,Macy Desmond
36,Chris Kelly
87,Christian Obuchowski
88,Andrzej Porter
b,r,e,a,k
EZ,11
teamInfo,,"Wilmington, Delaware",,,
0,Angus Yocum
0,Ben Helpin
0,Cameron Ogden
0,Chris Senf
0,Erik Rasmussen
0,Graham Prowse
0,James Shea
0,Jonathan Neifert
0,Joseph Wheeler
0,Kevin Mason Jr
0,Mitch Stuchlik
0,Tremont Moore
0,Tyler Camp
0,Wade Poon
0,Will Hayes
0,Ryan Cox
0,Sebastian Pestritto
4,Brandon Reith
7,Brian Healy
12,Daniel Jahnsen
13,Eric Jansson
14,Mike Alexander
19,Andrew Blemings
24,Matt Norden
42,Patrick Shannon
66,Stephen Cockerill
b,r,e,a,k
s,t,a,g,e,s
pools,Section A
pool,Pool A
Garden State Ultimate,Chemical X,13,1,"09/07/2024, 09:30",Pool A,Final
Hazard,Delco Club,12,5,"09/07/2024, 09:30",Pool A,Final
Garden State Ultimate,Hazard,13,6,"09/07/2024, 11:15",Pool A,Final
CITYWIDE Special,Delco Club,0,0,"09/07/2024, 11:15",Pool A,Scheduled
Delco Club,Chemical X,0,0,"09/07/2024, 13:10",Pool A,Scheduled
CITYWIDE Special,Hazard,0,0,"09/07/2024, 13:10",Pool A,Scheduled
Garden State Ultimate,Delco Club,13,1,"09/07/2024, 14:45",Pool A,Final
CITYWIDE Special,Chemical X,0,0,"09/07/2024, 14:45",Pool A,Scheduled
Garden State Ultimate,CITYWIDE Special,13,1,"09/07/2024, 16:30",Pool A,Final
Hazard,Chemical X,0,0,"09/07/2024, 16:30",Pool A,Scheduled
pool,Pool B
Phantom,Happy Valley Roofing and Mustache Supply,0,0,"09/07/2024, 09:30",Pool B,Scheduled
Night Owl,Wooder,0,0,"09/07/2024, 09:30",Pool B,Scheduled
Phantom,Night Owl,0,0,"09/07/2024, 11:15",Pool B,Scheduled
Rumspringa,Wooder,0,0,"09/07/2024, 11:15",Pool B,Scheduled
Wooder,Happy Valley Roofing and Mustache Supply,0,0,"09/07/2024, 13:10",Pool B,Scheduled
Rumspringa,Night Owl,0,0,"09/07/2024, 13:10",Pool B,Scheduled
Phantom,Wooder,0,0,"09/07/2024, 14:45",Pool B,Scheduled
Rumspringa,Happy Valley Roofing and Mustache Supply,0,0,"09/07/2024, 14:45",Pool B,Scheduled
Phantom,Rumspringa,0,15,"09/07/2024, 16:30",Pool B,Scheduled
Night Owl,Happy Valley Roofing and Mustache Supply,0,0,"09/07/2024, 16:30",Pool B,Scheduled
b,r,e,a,k
pools,Section B
pool,Pool A
Pittsburgh Temper,SUPA FC,15,6,"09/07/2024, 10:30",Pool A,Final
Pittsburgh Stealers,DEVYL U-20 Open,15,2,"09/07/2024, 10:30",Pool A,Final
Pittsburgh Temper,DEVYL U-20 Open,15,2,"09/07/2024, 13:10",Pool A,Final
Pittsburgh Stealers,SUPA FC,11,12,"09/07/2024, 13:10",Pool A,Final
Pittsburgh Temper,Pittsburgh Stealers,15,6,"09/07/2024, 15:10",Pool A,Final
SUPA FC,DEVYL U-20 Open,15,13,"09/07/2024, 15:10",Pool A,Final
pool,Pool B
Ghostbusters,EZ,0,0,"09/07/2024, 10:30",Pool B,Scheduled
Helots,Rebels,13,12,"09/07/2024, 10:30",Pool B,Final
Ghostbusters,Rebels,0,0,"09/07/2024, 13:10",Pool B,Scheduled
Helots,EZ,13,9,"09/07/2024, 13:10",Pool B,Final
Ghostbusters,Helots,15,7,"09/07/2024, 15:10",Pool B,Final
EZ,Rebels,0,0,"09/07/2024, 15:10",Pool B,Scheduled
b,r,e,a,k
brackets,Section A Bracket
bracket,Section A Championship
bracket,2nd Place Bracket
bracket,4th Place Bracket
bracket,7th Place Bracket
bracket,9th Place Bracket
b,r,e,a,k
brackets,Section B Bracket
bracket,Section B Championship
bracket,2nd Place Bracket
bracket,4th Place Bracket
bracket,7th Place Bracket
b,r,e,a,k
clusters,Sectional Championship
b,r,e,a,k
