2024 USA Ultimate Masters Championships,Grand Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/grand-masters-men/
Rusted Metal,7
07,Charlie Cohn
08,Eric Boyd
09,Ryan Yarbrough
11,Kevin Buchanan
12,Trung Pham
15,Dan Bellinger
17,Jonathan Zalisk
19,Nicholas Fiske
20,Rhett Nichols
22,Nathan Emery
22,Justin Safdie
25,Ron Kubalanza
33,Steven Dugan
34,Michael Weems
37,Mike Brown
40,Colyn Flynn
42,Adam Glimme
44,Allen Thoe
45,Edmund Roberts
64,Jonathan Hester
83,Greg Husak
87,Luke Tursick
b,r,e,a,k
Scor'n,12
teamInfo,,"Madison, Wisconsin",,,
00,Curt Hockers
00,Tristan McKittrick
02,Edward Kaul
03,Dan Boston
06,Patrick Guarasci
11,Bradley Fedie
13,Darren Shultz
20,Thomas Boehm
21,John Schaefer
22,Jason Sauve
25,Dustin Lowery
27,Clay Schelitzche
33,Daniel Kaul
34,Matt Hensgen
35,Scott Sawinski
36,Brian Niver
43,Matt Ley
56,ADAM EADER
77,Jacob Fortune
86,Michael Leung
99,Matthew Rowan
b,r,e,a,k
Gravymaker,14
teamInfo,,"Chicago , Illinois",,,
00,Richard Rudnicki
02,Tom Bazan
03,Nathan Partenheimer
08,Matt Andres
10,Daniel Korban
17,Matthew Ratz
18,Kevin Reitz
19,Sam Tobin-Hochstadt
29,Michael-John Myette
32,Mark Liu
33,Shazad Mehta
37,Ben Schmidt
42,Grant Dickinson
44,John Conour
73,Matthew Molter
80,Aaron O'Connor
82,Bradley DeBlauw
83,C. Ryan Craven
84,Mauricio Galeano Rios
85,Graham Brisben
88,Alex Yue
b,r,e,a,k
Shadows,4
teamInfo,,"Oakland, California",,https://www.facebook.com/Shadows-GM-Ultimate-2131866620156686/?ti=as,@shadowsult
0,Adam Brown
0,Adam Leventhal
0,Andrew Berry
0,Bhavin Parikh
0,Christopher Doyle
0,Daniel Olstein
0,Doug Fowler
0,Eric Richardson
0,Jon Moldover
0,Jonathan Greenberg
0,Joshua Wiseman
0,Kyle Smith
0,Louis Eisenberg
0,Matthew Elliott
0,Rocky Beach
0,Ryan Reynolds
0,Jason Edelman
0,Spencer Massey
3,Matthew Natali
8,Adam Koren
9,Shaun Webb
12,Simon Margolis
13,Tyler Grant
20,Eric Hartge
29,Jason Draut
36,Matthew Heffernan
42,Bob Madden
99,Joel Conn
b,r,e,a,k
Burnside 40 A,6
