Vacationland 2024,Club - Men ,3,8,2024
South Portland,ME,2024-08-03,2024-08-04
https://play.usaultimate.org/events/Vacationland-2024/schedule/Men/Club-Men/
Scoop,1
Mephisto,Red Tide,0,0,"08/03/2024, 13:00",Pool B,Scheduled
Ascension,Shade,0,0,"08/03/2024, 13:00",Pool B,Scheduled
pool,Pool C
Green Mountain Boys,Expendables,0,0,"08/03/2024, 09:00",Pool C,Scheduled
Club M - Manic,Expendables,0,0,"08/03/2024, 11:00",Pool C,Scheduled
Club M - Manic,Green Mountain Boys,0,0,"08/03/2024, 13:00",Pool C,Scheduled
pool,Pool D
Skeleton Squad,Crossfire,0,0,"08/03/2024, 09:00",Pool D,Scheduled
Lantern,Crossfire,0,0,"08/03/2024, 11:00",Pool D,Scheduled
Lantern,Skeleton Squad,0,0,"08/03/2024, 13:00",Pool D,Scheduled
pool,Pool E
El Niño,MBTA,0,0,"08/03/2024, 11:00",Pool E,Scheduled
Odyssey,Resurgam,0,0,"08/03/2024, 11:00",Pool E,Scheduled
El Niño,Resurgam,0,0,"08/03/2024, 13:00",Pool E,Scheduled
Odyssey,MBTA,0,0,"08/03/2024, 13:00",Pool E,Scheduled
El Niño,Odyssey,0,0,"08/03/2024, 13:00",Pool E,Scheduled
Resurgam,MBTA,0,0,"08/03/2024, 13:00",Pool E,Scheduled
pool,Pool F
BAG,Mystik Dan,0,0,"08/03/2024, 11:00",Pool F,Scheduled
Alibi,Motive,0,0,"08/03/2024, 11:00",Pool F,Scheduled
BAG,Motive,0,0,"08/03/2024, 13:00",Pool F,Scheduled
Alibi,Mystik Dan,0,0,"08/03/2024, 13:00",Pool F,Scheduled
BAG,Alibi,0,0,"08/03/2024, 13:00",Pool F,Scheduled
Motive,Mystik Dan,0,0,"08/03/2024, 13:00",Pool F,Scheduled
b,r,e,a,k
brackets,Championship
bracket,1st place
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
pools,17th Place Round Robin
pool,Pool G
Scoop,Red Tide,0,0,"08/03/2024, 15:00",Pool G,Scheduled
Mephisto,Haymaker,0,0,"08/03/2024, 15:00",Pool G,Scheduled
Colt,Ascension,0,0,"08/03/2024, 15:00",Pool G,Scheduled
Scoop,Mephisto,0,0,"08/04/2024, 09:00",Pool G,Scheduled
Red Tide,Colt,0,0,"08/04/2024, 09:00",Pool G,Scheduled
Haymaker,Ascension,0,0,"08/04/2024, 09:00",Pool G,Scheduled
Scoop,Colt,0,0,"08/04/2024, 11:00",Pool G,Scheduled
Mephisto,Ascension,0,0,"08/04/2024, 11:00",Pool G,Scheduled
Red Tide,Haymaker,0,0,"08/04/2024, 11:00",Pool G,Scheduled
Scoop,Ascension,0,0,"08/04/2024, 13:00",Pool G,Scheduled
Mephisto,Red Tide,0,0,"08/04/2024, 13:00",Pool G,Scheduled
Colt,Haymaker,0,0,"08/04/2024, 13:00",Pool G,Scheduled
b,r,e,a,k
