2024 USA Ultimate Masters Championships,Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Boneyard,1
0,Jonathan Ginsberg
0,Jordan Tippitt
0,Leif Hansen
0,Matt Williams
0,Peter Linton
0,Stephen Lewis
5,Grant Kunkel
5,Cody Smith
00,Sean Phippen
10,Paul Froeschle
10,Elias White
11,Lucius Kahng
13,Jared Seyler
17,Dylan Shields
17,Matthew Sexton
21,Nick Rinehart
24,Jack Reickel
31,Scott Hetu
64,Dusty Rhodes
b,r,e,a,k
All Bashed Out,4
teamInfo,,"Albany ""Cap City Bang Bang"", New York",,,
0,Alon Brown
0,Carl Frederik Brasz
0,Ethan Pollack
0,John Palmer
0,Jon Hirschberger
0,Ken (KJ) Dziak
0,Kevin McCarthy
0,Lucas Murphy
0,Matthew Foley
0,Michael Brenner
0,Robert Devoogd
0,Seth Reinhardt
0,Theodore Mason
0,William Olli
0,Young Jo Fontaine
0,Zachary Schiff
0,Chris Neitzey
1,Matt Chun
2,Mathew Berg
4,Dave Tedeyan
8,Drew Woods
9,Austin Raymond
18,Seth Canetti
24,Brendan Awerbuch
36,Adam Stern
39,Chris Mazur
68,Benjamin Nelson
86,Andrew Bosco
b,r,e,a,k
Surly,6
teamInfo,,"MINNEAPOLIS, Minnesota",,,@surlyultimate
0,Austin Lee
0,Brandon Haus
0,Dan Monfre
0,Eric Vandermolen
0,Evan Nothmann
0,Hans Peterson
0,Ian Ehlert
0,Cloid Green
0,Matthew Bailey
0,Matthew Lingam
0,Ming Cheng Chew
0,Nick Myhre
0,Peter Schmitt
0,Raj Maitra
0,John Anderson
0,Kevin Riley
0,Sean Breaux
2,Trevor Ruwitch
6,Jesse Stratton
8,Thomas Murray
9,Brian Thompson
19,Marcus Ellson
22,Clayton Thomas
35,Ryan Pesch
48,Andrew Dornbush
71,Nicholas Simonelli
90,Cody Rondeau
91,Jeffrey Tuftin
b,r,e,a,k
Salt.,11
teamInfo,,"Provo, Utah",,,
00,Alec Benton
00,Alejandro Palomino
00,Alex Walker
00,Ben Jones
00,Ben Hirschman
00,Bernie Lee
00,Brad McKeen
00,Braden Ohlsen
00,Bryant Boyer
00,Bryce Merrill
00,Christopher Merkley
00,Dan Doxey
00,Dayne Meyer
00,Eric Christensen
00,Isaac Davis
00,Jacob Quinn
00,Lincoln Petersen
00,Nacody de la Rosa
00,Patrik Connole
00,Ryan Hahn
00,Ryan McCready
00,Sam Pugh
00,Scott Cochran
00,Seokhee Burningham
00,Shane Froebe
00,Thomas Newton
14,Lee Jensen
b,r,e,a,k
Naptown,13
teamInfo,,"Indianapolis, Indiana",,,
0,Josh Phillips
01,Keenan Plew
03,Channing Watson
04,Aaron Del Real
07,David Hortemiller
08,Peter Carleton
09,Benjamin Gerroll
10,Luke Broderick
11,Dustin Campbell
12,Peter Heneveld
13,Blake Vanderbush
14,J.J. Yarbrough
19,Spencer Loscar
21,Connor Nolan
23,Luke Ding
24,Eric Hallow
33,Dana Granholm
36,Joseph Cari
42,Jared Saltsman
43,Freddie Dixson
50,Dave Christopher
65,Steven Stanish
76,Zachary Ford
78,Michael Ames
87,Jeremy Davis
91,Alex Ho
92,Hank Havlin
99,Arthur Small
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Boneyard,BART,15,6,"07/20/2024, 08:30",Pool A,Final
"JOIN, or DIE.",Firm Handshake,15,8,"07/20/2024, 08:30",Pool A,Final
Boneyard,Firm Handshake,15,10,"07/20/2024, 10:45",Pool A,Final
"JOIN, or DIE.",BART,15,9,"07/20/2024, 10:45",Pool A,Final
Boneyard,"JOIN, or DIE.",15,3,"07/20/2024, 13:00",Pool A,Final
BART,Firm Handshake,13,11,"07/20/2024, 13:00",Pool A,Final
pool,Pool B
Voltron2020,Fade,15,5,"07/20/2024, 08:30",Pool B,Final
King Louie,Kansas City Masterpiece,14,9,"07/20/2024, 08:30",Pool B,Final
Voltron2020,Kansas City Masterpiece,15,6,"07/20/2024, 10:45",Pool B,Final
King Louie,Fade,15,9,"07/20/2024, 10:45",Pool B,Final
Voltron2020,King Louie,15,8,"07/20/2024, 13:00",Pool B,Final
Fade,Kansas City Masterpiece,10,13,"07/20/2024, 13:00",Pool B,Final
pool,Pool C
Johnny Encore,DC UnCurrent,15,9,"07/20/2024, 08:30",Pool C,Final
Woolly Mammoth,Gravy Train,15,8,"07/20/2024, 08:30",Pool C,Final
Johnny Encore,Gravy Train,15,4,"07/20/2024, 10:45",Pool C,Final
Woolly Mammoth,DC UnCurrent,14,11,"07/20/2024, 10:45",Pool C,Final
Johnny Encore,Woolly Mammoth,12,13,"07/20/2024, 15:15",Pool C,Final
DC UnCurrent,Gravy Train,12,15,"07/20/2024, 15:15",Pool C,Final
pool,Pool D
All Bashed Out,Salt.,15,9,"07/20/2024, 08:30",Pool D,Final
Surly,Naptown,15,12,"07/20/2024, 08:30",Pool D,Final
All Bashed Out,Naptown,15,10,"07/20/2024, 10:45",Pool D,Final
Surly,Salt.,15,13,"07/20/2024, 10:45",Pool D,Final
All Bashed Out,Surly,15,10,"07/20/2024, 15:15",Pool D,Final
Salt.,Naptown,13,12,"07/20/2024, 15:15",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Boneyard,Johnny Encore,9,6,"07/21/2024, 15:15",Semifinals,Scheduled
Woolly Mammoth,Voltron2020,5,11,"07/21/2024, 15:15",Semifinals,Scheduled
Boneyard,King Louie,15,8,"07/21/2024, 13:00",Quarterfinals,Final
Johnny Encore,All Bashed Out,15,10,"07/21/2024, 13:00",Quarterfinals,Final
Woolly Mammoth,Surly,15,12,"07/21/2024, 13:00",Quarterfinals,Final
"JOIN, or DIE.",Voltron2020,6,15,"07/21/2024, 13:00",Quarterfinals,Final
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
King Louie,All Bashed Out,8,15,"07/21/2024, 15:15",5th Semifinals,Final
Surly,"JOIN, or DIE.",8,6,"07/21/2024, 15:15",5th Semifinals,In Progress
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
BART,Salt.,7,8,"07/21/2024, 15:15",9th Semifinals,In Progress
Naptown,Kansas City Masterpiece,6,8,"07/21/2024, 15:15",9th Semifinals,In Progress
BART,Fade,13,7,"07/21/2024, 13:00",9th Quarterfinals,Final
DC UnCurrent,Salt.,13,14,"07/21/2024, 13:00",9th Quarterfinals,Final
Gravy Train,Naptown,14,15,"07/21/2024, 13:00",9th Quarterfinals,Final
Firm Handshake,Kansas City Masterpiece,10,15,"07/21/2024, 13:00",9th Quarterfinals,Final
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Fade,DC UnCurrent,0,0,"07/21/2024, 15:15",13th Semifinals,Scheduled
Gravy Train,Firm Handshake,11,7,"07/21/2024, 15:15",13th Semifinals,In Progress
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
