Presidents' Day Invite 2024,College - Men ,17,2,2024
La Jolla,CA,2024-02-17,2024-02-19
https://play.usaultimate.org/events/Presidents-Day-Invite-2024/schedule/Men/CollegeMen/
Washington,8
69,Kobi McCracken
77,Peifeng Wang
99,Christopher Schultz
b,r,e,a,k
Colorado,2
teamInfo,Mamabird,"Boulder, Colorado",http://www.mamabird.com/,https://www.facebook.com/University-of-Colorado-Mamabird-361160030582581,https://twitter.com/CUMamabird
0,Axel Hartzog
0,Benton Shevlin
0,Daniel Estrin
0,Dexter Luecke
0,Felix Feiger
0,Geoffrey Tucker Kalmus
0,Max Van Sickle
0,Ryan Allenson
0,Sam Kilgore
1,Tobias Brooks
1,Aylen Learned
3,Atkin Arnstein
5,Calvin Stoughton
7,Gaurav Prasad
7,Seth Wells
9,Ryan Shigley
11,Zeke Thoreson
12,Levi Tapper
13,Daniel Williams
17,Curtis Pakgross
17,Nathan Buchholz
18,Carter Halstrom
20,Will Barnouw
26,Omar  Semrin
34,Ethan Burgess
46,Nanda Min-Fink
50,Daniel Bauman
83,Walt Johnson
91,Joseph Michaud
b,r,e,a,k
Utah,7
teamInfo,Zion Curtain,"Salt Lake City, Utah",https://www.zioncurtainultimate.com/,https://www.facebook.com/pages/ZCU-Zion-Curtain-Ultimate/162698807137761,https://twitter.com/zioncurtainulti
0,Zev Gorfinkle
02,Oscar Brown
04,Jackson Hammond
05,Rainor Alin
07,Elijah Watchalotone
08,Will Selfridge
09,Ethan Hilding
14,Ian Cunningham-Ward
15,Connor Farrell
17,Connor Lund
18,Joey Ginsburg 
25,Alex Forsberg
28,Thomas Duke
30,Jack Valentine
33,Cameron Porter
34,Malcolm Starr
42,Jonas Regehr
47,Jake Ryan
73,Aiden Coutin
75,Sawyer Ransom
77,Austin Hasbrook
82,Andrew Elliott
87,Max DeBroux
89,Oliver Cecchini
96,Dane Miller
99,Grayson Rettberg
b,r,e,a,k
California-San Diego,10
teamInfo,Air Squids,"San Diego, California",,,
coaches,Zac Goldberg,Bryce Lozinski
0,Aidan Reedy-Schneider
0,Bradley Zanteson
0,Charlie Wilson-Jackson
0,Cireus Eghtessadi-Reed
0,Eli D'Amico
0,Ethan Wang
0,Ghislain Demeester
0,Janeil Guada
0,John Loftus
0,Jonathan McGurrin
0,Matthew Deckerman
0,Nate Becker
0,Nilesh Mukundan
0,Param Shah
0,Trey Scheid
0,Tyler May
0,Tyler Kurpanek
0,Tynan Sander
0,Ryan Barry
12,Hillel Avital
40,Adam Tran
41,Spencer Rebman
53,Daniel Pryke
87,Ryan Trinh
99,Max Gibson
b,r,e,a,k
Stanford,15
teamInfo,Stanford Men's Ultimate Team,"Stanford, California",,,
0,Declan Murphy Zink
0,Delfino Li
0,Denzel Cofie 
0,Egan Tardif
0,Eli Meyers
0,Everett Lee
0,Henry Boeschen
0,James Talbot
0,Alex Ecker
0,Alexander Belfiore
0,Benjamin Chen
0,Benjamin Fernandez
0,Joshua Koch
0,Leo Jacoby
0,Max Lee
0,Morgan Wyatt
0,Sepehr Asgari
10,Charles Shi
12,Charlie Shors
20,Matan Abrams
26,Max Vandervelden
48,Brendon Gu
88,Shiley Einav
89,Jerred Smith
b,r,e,a,k
Oregon,3
teamInfo,Ego,"Eugene, Oregon",,https://www.facebook.com/OneBigEgo/,https://twitter.com/egotime
0,Jack Gleason
4,Alex Hall-Witt
03,Keali Mccarter
06,Jackson Knox
08,Adam Wulkan
09,Marcus Beidler
11,Benjamin Keigwin
14,Nicholas Cao
15,Chander Boyd-Fliegel
17,Jason Gutstadt
18,Marco Muralles
19,Callahan Phinney
21,Jonah Hammes
22,Tyler Feeney
23,Julian Saunt
24,Mica Glass
26,Raekwon Adkins
27,Mason  Weybright
28,Max Massey
34,Adam McNichols
36,Gabriel Nobis
45,Beckett Sessums
48,Ben Horrisberger
70,Griffin van Rhyn
72,Aaron Kaplan
77,Jackson Heglie
81,Emmett Warner
b,r,e,a,k
Victoria,11
teamInfo,Vikes,"Victoria, British Columbia CA",www.uvicultimate.com,https://www.facebook.com/UVictimUltimate,https://twitter.com/uvictimultimate
69,Ben Baird
69,Ben Lefevre
69,Benjamin Savage
69,Daniel Ta
69,Duncan Armstrong
69,Dylan Cochrane
69,Hunter Cochrane
69,Ian McLaren
69,Ian Robinson
69,Jordan Atchison
69,Lochlan Margison
69,Markus Hernandez
69,Max Pettenuzzo
69,Nathan Dailly
69,Nyle Lebbell
69,Theo Davis
69,Timothy Friesen
69,Zhangsong Gao
b,r,e,a,k
California-Santa Barbara,14
teamInfo,Black Tide,"Santa Barbara, California",,https://www.facebook.com/black.tide.50?fref=ts,https://twitter.com/UCSB_Ultimate
0,Anthony Barbalinardo
0,Cameron Lay
0,Derek Rojas
0,Joah Siegel
0,Tyler Janous
0,Wyatt Dunn
3,Max Combs
4,Everett Grass
6,Colin Baylis
7,Cole Bushner
9,Christian Van Stralen
10,Daniel Hwang
11,Brendan McGuinness
12,Dosym Kunhardt
14,Maxwell Fong
15,Michael Demonteverde
15,Leo Ford
21,Nathan Johnson
22,Luke Weaver
23,Ian Ilgenfritz
23,Alex Cheng
24,Austin Thornburgh
26,Rowan King
27,Phillip Loo
30,Elijah Geduldig
31,Jackson Hill
32,Isaac Duan
33,Liam Kilbridge
38,Ryan Grossklaus
69,Sam Nosler
b,r,e,a,k
UCLA,6
teamInfo,Smaug,"Los Angeles, California",https://instagram.com/smaugultimate,,https://twitter.com/smaugultimate
coaches,Felicia Yang,Brandon Nadres
0,Michael Tao
01,Miles Fisher
02,Ethan Klein
03,Loic Billaut
04,Emmett Brosowsky
05,Jacob Snodgress
06,Meelan Shari
07,Cameron Gray
08,Zack  Hirschhorn
09,Luca Adams
11,Peter Shanahan
14,Jackson Jewett
15,Calvin Bird
16,Luca Spycher
18,Sam Hirschhorn
19,Matthew Barcellos
22,Devon Stuart
24,Riley Kirkman-Davis
25,Marshall Wildmann
26,Calvin Wicks
56,Ian Tsai
78,Zachary Rosen
88,Alexander Clare
b,r,e,a,k
British Columbia,5
teamInfo,Thunderbirds,"Vancouver, British Columbia CA",,,
coaches,Ari Nitikman
0,Joshua Jang
2,Edward Ross-Zhu
3,Erez Kassirer
5,James Lehmann
6,Matthew Wood
7,Filip Kragl
8,Zachary Wong
11,Justin Podnar
14,Davis Toth
16,Justin Luna
17,Jesse Watt
19,Jake Yuen
23,Nicholas Cheng
25,Bryn McColl
27,Zephaniah Ko
31,Graeme Hanks
34,Alexander Truong
44,Ryan Phan
71,Victor Tiet
72,Wesley  Wong
73,Angus Chan
77,Ryan Graves
b,r,e,a,k
Oregon State,13
teamInfo,Beavers,"Corvallis, Oregon",http://osumensultimate.wix.com/oregon-state-ultimate,https://www.facebook.com/osubeaversultimatedisc,https://twitter.com/OSU_ultimate
0,Alesh Fremouw
0,Antonio Rueda
0,Ben Thoennes
0,Ben Brochard
0,Ben Lodahl
0,Challis Holloway
0,Felix Moren
0,Forrest Vargyas
0,Jack Weinberg
0,Leo Wolf
0,Leo Renzema
0,Sam Jordan
0,Sayric Arias
3,Seiji Koenigsberg
11,Gus Serff-Roberts
13,Callahan Bosworth
20,Galen Moll
27,Elliot Trimbur
31,Henry Wayte
37,Quinn O'Connor
82,Lucas Henry
98,Matt Rix
b,r,e,a,k
California,4
teamInfo,Ursa Major,"Berkeley, California",https://www.youtube.com/@calmensultimate6634,https://www.facebook.com/CalMensUltimate/,https://twitter.com/calmensultimate
coaches,Evan Magsig,Daniel Silverstein
0,Gavin May
2,Jack Dinsmore
4,Samuel Laur
5,Robert McCabe
6,Kushal Khangaonkar
7,Anish Shrestha
9,Evan Kandell
13,Emery Goulet
14,Dexter Clyburn
19,Dylan Pearson
21,Ridge Huang
23,Vincent Su
24,Carter Lankford
25,Cameron Taleghani
26,Aditya  Vunnum
27,Mitchell Gibson
33,Lucas Intagliata
36,Kainoa Hottendorf
43,Gabriel Gatewood-Wolfe
69,Camden Mah
77,Kyle Riley
81,Drew Vetteth
84,Edward Morris
97,Eric Johnson
b,r,e,a,k
California-Santa Cruz,12
teamInfo,Slugs,"Santa Cruz, California",https://www.instagram.com/slugultimate/,https://www.facebook.com/slugultimate,https://twitter.com/slugultimate
0,Ethan Rogers
0,Evangel Hightower-Rojas
0,Joseph Donovan
0,Kelvin Lloyd
0,Kien Warren
0,Marcos Schram
0,Seamus Shogren
0,Selim Jones
0,Shane Stearns
0,Toby Warren
0,Milan Moslehi
0,Noah Chang-Linenberg
0,William Snyder
0,William Davies
1,Charlie Jia
7,Cyrus Isaacs
11,Devin Acuna
12,Davin Sieu
19,Jackson Friday
21,Benjamin Pratt
27,Samuel Kaplan
44,Aidin Terris
45,Tyler Weng
75,Bodie Shargel
77,Mario Ambrose
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Cal Poly-SLO,California-Irvine,15,8,"02/17/2024, 09:00",Pool A,Final
Washington,Utah State,13,10,"02/17/2024, 09:00",Pool A,Final
Cal Poly-SLO,Utah State,11,10,"02/17/2024, 10:30",Pool A,Final
Washington,California-Irvine,15,9,"02/17/2024, 10:30",Pool A,Final
Cal Poly-SLO,Washington,0,0,"02/17/2024, 12:00",Pool A,Scheduled
Utah State,California-Irvine,15,9,"02/17/2024, 13:30",Pool A,Final
pool,Pool B
Colorado,California-San Diego,15,5,"02/17/2024, 09:00",Pool B,Final
Utah,Stanford,10,7,"02/17/2024, 09:00",Pool B,Final
Colorado,Stanford,15,5,"02/17/2024, 10:30",Pool B,Final
Colorado,Utah,14,8,"02/17/2024, 12:00",Pool B,Final
California-San Diego,Stanford,0,0,"02/17/2024, 12:00",Pool B,Scheduled
Utah,California-San Diego,12,10,"02/17/2024, 13:30",Pool B,Final
pool,Pool C
Oregon,California-Santa Barbara,12,8,"02/17/2024, 09:00",Pool C,Final
UCLA,Victoria,8,12,"02/17/2024, 09:00",Pool C,Final
Oregon,Victoria,13,9,"02/17/2024, 10:30",Pool C,Final
UCLA,California-Santa Barbara,0,0,"02/17/2024, 10:30",Pool C,Scheduled
Oregon,UCLA,14,10,"02/17/2024, 12:00",Pool C,Final
Victoria,California-Santa Barbara,9,11,"02/17/2024, 12:00",Pool C,Final
pool,Pool D
California-Santa Cruz,Oregon State,9,10,"02/17/2024, 10:30",Pool D,Final
California,British Columbia,0,0,"02/17/2024, 12:00",Pool D,Scheduled
California,Oregon State,0,0,"02/17/2024, 13:30",Pool D,Scheduled
British Columbia,California-Santa Cruz,10,8,"02/17/2024, 13:30",Pool D,Final
California,California-Santa Cruz,0,0,"02/17/2024, 15:00",Pool D,Scheduled
British Columbia,Oregon State,0,0,"02/17/2024, 15:00",Pool D,Scheduled
b,r,e,a,k
pools,Sunday Power Pools
pool,Pool E
pool,Pool F
pool,Pool G
pool,Pool H
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place
bracket,5th Place Bracket
bracket,7th Place Bracket
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
b,r,e,a,k
