Queen City Tune Up 2024,College - Men ,10,2,2024
Rock Hill,SC,2024-02-10,2024-02-11
https://play.usaultimate.org/events/Queen-City-Tune-Up-2024/schedule/Men/CollegeMen/
McGill,12
29,Matthew Callen
32,Andrew London
33,Owen Solomon
34,Ganesh Nanduru
40,Benjamin Tnaib
52,Zeya Min-Fink
90,Brendan Selby
99,Christopher Messmore
b,r,e,a,k
North Carolina-Wilmington,8
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
0,Charlie  Mosner
0,Christian Belus
0,Colin Hines
0,Dylan Ng
0,Grant Barbour
0,Ian Cobb
0,Isaac Abelson
0,James Thomas
0,john synowsky
0,Kessler Teague
0,Peter Xu
0,Shea Tucker
0,Thomas DeMarkey
0,Tyrese Scott
3,Diego Collazo
6,Owen Maskelony
8,Ryan Manuel
11,Stewart Kelley
11,Patrick Grossheim
11,Atharv Patil
12,Benjamin Hauptli
16,Busbee Pace
17,Colby Francfort
49,Luke Merrill
88,Lukas Becker
97,Pablo Velosa
99,Chase Korabik
b,r,e,a,k
Ohio State,7
teamInfo,Leadbelly,"Columbus, Ohio",,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,Andrew DePuy
0,Brady Aneshansel
0,Camron Chambers
0,Jacob Anthuvan
0,Lucas Nestor
0,Lucas Antoszewski
0,Miles DiNardo
0,Noah Saidel
0,Vlad Estrin
1,Aadit Shah
3,David Braden
11,Charlie Vukovic
14,David Butz
15,Anthony Zelinskas
24,Tanion Misawayee
33,Maxwell Devine
39,Christopher Arevalo
43,Tyler McCarthy
78,Aidan Stevens
93,Peter Zhang
99,Alex Warrington
b,r,e,a,k
James Madison,14
teamInfo,Hellfish,"Harrisonburg, Virginia",jmu.edu,,
0,Alex Ricci
0,Alexander Roman
0,Brett Marchant
0,Jackson Solley
0,Jeffrey Gale
0,John Maxwell
0,Jonathan Nahmias
0,Nathanael Remmers
0,Quinn Redick
0,Ryan Lowe
0,Wes Bowers
0,William Anderson
1,Benjamin Scott
2,Matt LaBar
5,Charles Gaylord
7,Ryan McGowan
9,George Liacouras
12,Zachary Harrington
16,Luke Barry
22,Patrick Vorathiankul
34,Benjamin Barnett
41,Aidan Magee
42,Evan Moss
50,Dylan Ballard
84,Dylan Wallace
85,Kyle Anderson
96,Benjamin Corrigan
b,r,e,a,k
North Carolina State,2
teamInfo,NC State Alpha,"Raleigh, North Carolina",,https://www.facebook.com/NCSUalpha/,https://twitter.com/ncsualpha
0,Henry Kennedy
02,Suhas Madiraju
04,Lemi Henderson
05,Andrew Schultz
06,Henri Lessard
07,Conor Daly
08,Jacob Green 
09,Alexander Tayyeb
10,Rishi Rajesh  Jeswani
11,Townsend Dierauf
13,Aiden Fields
14,Srikara Prithvi
15,Matti Lee
17,John Laney
20,Brennan Kramling
21,John Rickel
23,Tejas Sivarajakumar
24,Parker Shahdad
25,Allen MacMillan
27,Leonardo Tapia
30,Robert McAllister
31,Sean Wiles
37,Vincent Zhang
39,Feliks Ciesielski
42,Zac Kuelz
49,Daniel Ferriter
52,Aanand Yu
59,Sathvik Avulapati
80,Will Scudder
95,Jack Hartingh
b,r,e,a,k
Notre Dame,18
teamInfo,Papal Rage,"Notre Dame, Indiana",https://ndultimate.wordpress.com/,,@ndultimate
0,Henry Lytle
01,Augustine Hauge
03,Colin Knapp
04,Sean Miranda
05,Zachary Koh
06,Brian Wagner
07,London Williams
08,Patrick Schwartz
09,William Theisen
10,Michael Rauch
11,Daniel Harrison
12,Luke Brennan
13,Frazier Dougherty
15,Mark Valenzuela
16,Andrew Canzano
19,Jacob Hepler
22,Jack Cataldo
24,James Longhurst
25,Alfredo Huete
50,Colin Stevens
59,Camden Wozniak
78,Kevin Wakakuwa
b,r,e,a,k
Appalachian State,11
teamInfo,Nomads,"Boone, North Carolina",,,https://twitter.com/Nomads_Ultimate
0,Alexander Reese
0,Andrew Hanson
0,Cyrus Ager
0,Evan McGinn
0,Ian Stone
0,Jack Nicholson
0,Ethan Pilgrim
0,James Russell
0,Johnny Campione
0,Kai Norris
0,Liam Raska
0,Mateo Rimer-Surles
0,Miles Schramm
0,Samuel Crosbie
0,Shepherd Cowan
0,Nick Talone
0,Pete Cheatham
0,William Benditz
5,Vincent Alspaugh
7,Alex Ballentine
8,Cooper Korson
9,Jacob Langenbach
14,Carter Kletch
15,David Chalmers
21,Chase Viscuse
24,Nate Sutherland
25,Daniel Huggins
28,Caleb Sizemore
33,Evan Miller
63,Will Bennett
72,John Christiansen
95,Sam Howard 
99,Zachary Abbott
b,r,e,a,k
Harvard,19
teamInfo,Red Line,"Cambridge, Massachusetts",http://www.instagram.com/harvardredline,https://www.facebook.com/HarvardUltimate,https://twitter.com/HarvardRedLine
coaches,Pablo Reimers
0,Max Surprenant
8,Thomas Gustafson
00,Leo Fried
01,Mason Winter
02,Caleb Levine
04,Marc Courtemanche
05,Zadoc Gee
06,Jonah Abrams
07,Paz Meyers
09,Julian Li
10,Ryan Jiang
11,Luke Lawson
12,Jack Richman
15,William Anderson
16,Collin Lief
17,Matt Pauly
19,Jacob Jimenez
22,Elijah Shell
26,Coby Sheehan
31,Cole Salvador
32,Aidan Zhou
41,Hayden  Teeter
44,Sava Thurber
46,Aaron Berger
99,Jesse James
b,r,e,a,k
North Carolina-Charlotte,6
teamInfo,Charlotte Skyrise,"Charlotte, North Carolina",,https://www.facebook.com/groups/UNCCfrisbee/,
0,Matthew Nightingale
1,Hunter Frederick
2,Jerrel Bushel
3,Benjamin Evashavik
5,Rocky Morris
7,Lars Neske
9,Enzo Arcuri
9,Andrew Rogers
11,Marcel Atkinson
12,Robert Niven
13,Brandon Cousar
14,Erik Kirby
15,Munir Fleurizard
17,Andrew Lam
20,Jack Simmons
21,Aidan Stokes
21,Raam Raghav
23,Brooks Fleming
25,Ben Simmons
26,Peter Geniac
27,Kyle Brun
31,Thomas Wray
33,Jamie Williford
44,Avery Dunham
59,Max McDonald
66,Gautam Das
72,Cole Headley
88,Christopher Saacks
92,Sean Kiser
b,r,e,a,k
Penn State,3
teamInfo,Spank,"University Park, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
0,Brandon Shunk
0,Connor Matheson
0,Evan Lutz
0,John Williams
0,Kelvin Lei
0,Logan Pennella
0,Logan Piercy
0,Roberto Lombana
1,Micah Delattre
1,Nicholas  Lutz
2,Sean Brown
3,Nathaniel Hodges
6,Benjamin Zhu
7,Evan Medrow
9,Kyle Incollingo
13,Carter Monroe
14,Ethan Pigeon
17,Alexander (Zander) Lutz
22,Ben Tokarz
24,Doug Hoyer
27,Jeremy Long
30,Parker Steele
51,Ethan Landis
54,Alex Mullen
55,Benji Feidler
75,Luke Gochis
77,Spencer Whitcomb
b,r,e,a,k
William & Mary,10
teamInfo,Merry Men,"Williamsburg, Virginia",,https://www.facebook.com/WMUltimateM/,https://twitter.com/WMultimateM
0,Atticus Nafziger
0,Braxton Breed
0,Christopher Kornblum
0,Declan Walsh
0,George Hoak
0,Harrison Greenberg
0,Jacob Barnard
0,Joshua Yoo
0,Langston Lee
0,Mark Edwards
0,Qicheng Sun
0,Sam Brothers
0,Torsten shockey
0,Wyatt Travers
1,Griffin Must
2,Erik Quam
3,Kent Grantz
4,Benjamin Greenberg
7,Jacob Herz
9,Jonah Moran
11,Jack Hayes
12,Leif Schuster
14,Mark Strand
25,Benjamin O'Neill
27,Joseph Amsbary
33,Anders Carlson
53,Ian Wissel
66,Charles Tai
99,Jacques Worth
b,r,e,a,k
Case Western Reserve,15
teamInfo,Fighting Gobies[A],"Cleveland, Ohio",ultimate.case.edu,https://www.facebook.com/GobyWarriors/,https://twitter.com/fightinggobiesm
0,Sam King
1,Nathan Trudell
3,Denton Ryan
5,Jake Stahl
6,William Cui
7,Lucas Jones
8,Graham Galts
9,Andrew Noah
10,AJ Campbell
11,Owen  Gold
13,Mason Jester
16,Anil Driehuys
17,Sam Greenberg
21,Lekh Murthy
25,Jacob Rollins
26,Nitin Chockalingam
28,Nathaniel Poshkus
30,Aidan Gangai
33,Mace Korytko
45,Jason Zhou
52,Elias Hinson
76,Logan Heck
95,Ryan Coneway
b,r,e,a,k
South Carolina,5
teamInfo,Gamecock Ultimate,"Columbia, South Carolina",https://garnetgate.sa.sc.edu/organization/ufrisb,https://facebook.com/GamecockUltimate/,https://twitter.com/CocksUltimate
01,Caspar Tarr
03,Gavin Russell
04,Nicholas Lopez
05,Jacob McClary
06,Luke Hatchl
08,Daniel McGoldrick
09,Thomas Davidson
11,Ethan Johnson
13,Michael Murawski
14,Achilles Hahn
15,William Caspino
16,Christopher Chen
20,Jackson Goldsmith
21,Michael Cote
24,Jaida King
26,Noah Reiter
33,Jonathan Brennan
38,Evan Sanderson
52,Tyler Catton
67,Anthony Galinus
83,Nate Reiss
86,Brad Thomson
b,r,e,a,k
Georgetown,16
teamInfo,Justice,"Washington, District of Columbia",https://www.georgetownultimate.com/,https://www.facebook.com/GeorgetownJustice/,https://twitter.com/georgetownultim?lang=en
0,Aaron  Magtoto
0,Aidan Williams
0,Andrew Sington
0,Benjamin Portner
0,Bilal Nizamani
0,Braden Laidlaw
0,Brooks Clifford
0,Chris Strawn
0,Cooper Glavin
0,Jacob Graybow
0,Nikolai Seferian
0,Sassan Fiske
0,Lucas Suarez
0,Matt O'Connor
0,Will Thomas
3,Simon Mulrooney
7,Kaden Saad
10,Steven Kingkiner
10,Erik Anaya
19,Michael Gordon
21,Andreas Moeller
23,Archie Kranz
24,Joshua Datz
25,Ezra Tinsky
37,William Riley
39,Joshua Chilmaid
51,Thomas Schmitt
84,Isaac Hawkins
88,David Song
b,r,e,a,k
Alabama-Huntsville,4
teamInfo,Nightmares,"Huntsville, Alabama",,https://www.facebook.com/UAHultimatefrisbee/?fref=ts,https://twitter.com/uahultimate
coaches,Horace Wilson
0,Brian Bekken
0,Alec Minnicks
0,Corey Sweet
0,Elijah McKinley
0,Isaiah Mason
0,Michael Poe
0,Samuel Williams
0,Tiernan Donnelly
0,Will Cambron
0,William Cox
3,Callahan Diercks
4,Riley Bong
9,Kenni Taylor
12,Daniel Kim
12,Joshua Kolby
13,Conner Lough
16,Jonah Carrero
21,Dominic Kenyon
34,Bradley Fleming
42,Noah Schwalb
55,Chris Youngblood
91,Jonathan Sillivant
99,Colby Bong
b,r,e,a,k
Tennessee,20
teamInfo,Tennessee,"Knoxville, Tennessee",http://web.utk.edu/~ultimate/,http://facebook.com/TennUltimateM/,https://twitter.com/TennUltimateM
0,Edmund Eliason
0,Fischer Blair
0,Jesse Butler
00,Drew Gullahorn
02,Dylan Catton
03,Luke Cornelius
05,Samuel Good
07,Eugene Michael Campos
08,Zeke Plewniak
09,JohnThomas Atema
10,Will McGilvra
11,Marshall  Hodges 
12,Nathanael Parsons
13,Wolfgang Sulk
14,Garrett Berger
21,Tanner Miller
24,Jacob Guzi
31,John Smith
36,Dillon Carney
39,Elijah Greene
44,Kai Munz
98,Drew Irons
99,Ethan Bartlett
b,r,e,a,k
Missouri,9
teamInfo,Missouri,"Columbia, Missouri",,https://www.facebook.com/University-of-Missouri-Mens-Ultimate-Frisbee-Club-485959944787244,https://twitter.com/MizClubMFrisbee
01,Spencer Keith
03,Drew Clutes
05,Landon Evans
07,Trent Wetherington
08,Christopher Ave
09,Andrew Yakes
10,Jeffrey Windau
11,Ashton Kautzner
12,Alexander Bernier
15,Lukas Reinbold
17,Drew Law
18,Evan Dobson
19,Jamison Martin
20,John Marsh
21,Jake Calder
24,Zachary Gibson
31,Dylan Schearf
45,Sam Mallet
68,Eric Holtmeyer
84,Evan Schreiner
88,Christian Holzl
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Virginia,Indiana,10,11,"02/10/2024, 08:30",Pool A,Final
North Carolina-Wilmington,McGill,12,14,"02/10/2024, 08:30",Pool A,Final
North Carolina,McGill,0,0,"02/10/2024, 10:15",Pool A,Scheduled
North Carolina-Wilmington,Virginia,0,0,"02/10/2024, 10:15",Pool A,Scheduled
North Carolina,Indiana,0,0,"02/10/2024, 12:00",Pool A,Scheduled
McGill,Virginia,0,0,"02/10/2024, 12:00",Pool A,Scheduled
North Carolina,North Carolina-Wilmington,0,0,"02/10/2024, 13:45",Pool A,Scheduled
McGill,Indiana,0,0,"02/10/2024, 13:45",Pool A,Scheduled
North Carolina,Virginia,0,0,"02/10/2024, 15:30",Pool A,Scheduled
North Carolina-Wilmington,Indiana,0,0,"02/10/2024, 15:30",Pool A,Scheduled
pool,Pool B
James Madison,Notre Dame,14,13,"02/10/2024, 08:30",Pool B,Final
Ohio State,Appalachian State,15,8,"02/10/2024, 08:30",Pool B,Final
North Carolina State,Appalachian State,0,0,"02/10/2024, 10:15",Pool B,Scheduled
Ohio State,James Madison,0,0,"02/10/2024, 10:15",Pool B,Scheduled
North Carolina State,Notre Dame,0,0,"02/10/2024, 12:00",Pool B,Scheduled
Appalachian State,James Madison,0,0,"02/10/2024, 12:00",Pool B,Scheduled
North Carolina State,Ohio State,0,0,"02/10/2024, 13:45",Pool B,Scheduled
Appalachian State,Notre Dame,0,0,"02/10/2024, 13:45",Pool B,Scheduled
North Carolina State,James Madison,0,0,"02/10/2024, 15:30",Pool B,Scheduled
Ohio State,Notre Dame,0,0,"02/10/2024, 15:30",Pool B,Scheduled
pool,Pool C
Case Western Reserve,Harvard,10,14,"02/10/2024, 08:30",Pool C,Final
North Carolina-Charlotte,William & Mary,14,13,"02/10/2024, 08:30",Pool C,Final
Penn State,William & Mary,0,0,"02/10/2024, 10:15",Pool C,Scheduled
North Carolina-Charlotte,Case Western Reserve,0,0,"02/10/2024, 10:15",Pool C,Scheduled
Penn State,Harvard,0,0,"02/10/2024, 12:00",Pool C,Scheduled
William & Mary,Case Western Reserve,0,0,"02/10/2024, 12:00",Pool C,Scheduled
Penn State,North Carolina-Charlotte,0,0,"02/10/2024, 13:45",Pool C,Scheduled
William & Mary,Harvard,0,0,"02/10/2024, 13:45",Pool C,Scheduled
Penn State,Case Western Reserve,0,0,"02/10/2024, 15:30",Pool C,Scheduled
North Carolina-Charlotte,Harvard,0,0,"02/10/2024, 15:30",Pool C,Scheduled
pool,Pool D
Georgetown,Tennessee,15,11,"02/10/2024, 08:30",Pool D,Final
South Carolina,Missouri,14,9,"02/10/2024, 08:30",Pool D,Final
Alabama-Huntsville,Missouri,0,0,"02/10/2024, 10:15",Pool D,Scheduled
South Carolina,Georgetown,0,0,"02/10/2024, 10:15",Pool D,Scheduled
Alabama-Huntsville,Tennessee,0,0,"02/10/2024, 12:00",Pool D,Scheduled
Missouri,Georgetown,0,0,"02/10/2024, 12:00",Pool D,Scheduled
Alabama-Huntsville,South Carolina,0,0,"02/10/2024, 13:45",Pool D,Scheduled
Missouri,Tennessee,0,0,"02/10/2024, 13:45",Pool D,Scheduled
Alabama-Huntsville,Georgetown,0,0,"02/10/2024, 15:30",Pool D,Scheduled
South Carolina,Tennessee,0,0,"02/10/2024, 15:30",Pool D,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,3rd Place
bracket,9th Place
bracket,11th Place
bracket,15th Place
bracket,17th Place
bracket,19th Place
bracket,Championship
bracket,13th Place
bracket,5th Place
bracket,7th Place
b,r,e,a,k
