Flower Power 2024,Club - Mixed ,3,8,2024
San Diego,CA,2024-08-03,2024-08-04
https://play.usaultimate.org/events/Flower-Power-2024/schedule/Mixed/Club-Mixed
California Burrito,5
24,Megan Peters
28,Addy Eder
34,Charlotte Marboe
35,Alexander Brewster
41,Austin Workman
57,Benjamin Israel
87,Brian Moore
88,Andrew Liebing
89,Camilla Hallin
b,r,e,a,k
Donuts,3
teamInfo,,"Bay Area, California",http://www.instagram.com/donutsultimate,https://www.facebook.com/DonutsUltimate/?pnref=story,https://twitter.com/donuts_ultimate
0,Chris Yan
1,Maxwell Tomsick
06,Christina Casler
09,Victor Zhou
10,Karen Ying
11,Stephanie Rogers
13,Trevor Hawks
14,Jeffro Valeros
17,Robert Gallagher
18,Joseph Gagliano
21,Alexander You
22,Karin  Lin
25,Jenna Borges
27,Rachel Anderson
28,Katie Palmer
42,Spencer Herrick
44,Ella Dzenitis
63,Lucy Jin
64,Marcello Molinaro
64,Matthew Ferrari
66,Margaret Eisfelder
77,Alec Surmani
88,Isabelle Deputy
91,Anna Sciaruto
97,Jeremie Gabor
b,r,e,a,k
Hive,6
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Elizabeth Kolb
0,Jeremy Randolph-Flagg
0,Dane Miller
0,Katherine Schauer
0,Mira Larrance
0,Paul Telford
0,Pete Overright
2,Colleen Nakanishi
4,Abby VanLeuven
7,Devon Graham
7,Noah Martin
9,Andrew Akins
11,Connor Klitgaard
11,Jonah Goldberg
12,Matt Primovic
13,Katelyn Osborne
14,Ava Peterson
22,Timothy Wood
22,Raju Roleru
77,Mikah Keetch
80,Nathan Braun
80,Liam Bateman
90,Samuel Perreth
b,r,e,a,k
Shipwreck,16
teamInfo,,"San Diego , California",,,https://www.instagram.com/sdshipwreckultimate
0,Andrea Duran
0,Courtney Lau
0,Daichi Siegrist
0,Elias Marsh 
0,Kenneth Magoon
0,Kezha Neale-Sacks
0,Leiasa Horanic
0,Lisa Stal
0,Matthew Deckerman
0,Maya Anthony
0,Meagan Freeman
0,Paul Han
0,Sierra Landaiche
0,Sylvia Liang
0,Teaghan Lynch
0,Tyler Wallace
0,Tyler Kurpanek
4,Emily Blazar
5,Ty Torregrosa
7,Jack Sarles
12,Jake Hare
13,Nick Hollon
19,James Rapoza-Lee
19,Kelly Loo
28,Sonya Haupt
48,Mikhail Stal
b,r,e,a,k
Pushovers,12
teamInfo,,"Lake Elmo, Minnesota",,,
0,Alexander Kucich
0,Erick Knudson
1,Derek Anderson
3,Carly Rasmussen
4,Hannah Hackenmueller
5,Jing Jing Munson
6,Patrick Wozniak
7,Michael Scharlau
8,Erin Marshall
9,Kendra Anderson
10,Kyra Anderson
12,Joseph Ling
13,Hazel DeHarpporte
17,Laura Coleman
18,Anne Underwood
20,Sydney Gelhorn
21,Donovan ODowd
24,Anna Benishek
25,Jalen Bolton-Steiner
31,Ross Screaton
39,Elizabeth Curtiss
42,Sam Baker
57,Christopher O'Mara
62,Marcus Cannon
94,Sylvie Mercil
95,Eric Volkmeier
b,r,e,a,k
Octonauts,13
teamInfo,,"Culver City, California",,,
0,Baker Sharp
0,Alison Elliott
0,Eliza  Kaplan
0,Joseph Giampaoli
0,Manasi Deshpande
0,Mark Ramada
0,Morgan Harwood
0,Shirley Zhang
0,Youran Cai
1,Luke Hart-Moynihan
5,Rylee White
14,Mora Camplair
15,Bryan  Cloutier
16,Michael Hayden
18,Christopher Moetell
22,Finnian Day
23,Elissa Diaz
25,Devon Stuart
26,Alex Roper
30,Andrew Chen
51,Ethan Barron
88,Lauren Nyczak
b,r,e,a,k
Goosebumps,9
teamInfo,,"Houston, Texas",,https://www.facebook.com/goosebumpsultimate/,
0,Brian McHatton
0,Calvin Nguyen
0,Amanda Postolowski
0,Grace Buckle
0,Jonathan Chiou
0,Laura Wacaser
0,Lauren Ma
0,Sam Scott
0,Stefan Caldararu
3,Carmen Ly
9,Michael Conlin
11,Phillip Nguyen
23,Ann Nguyen
25,Jennifer Li
26,Catalina Pinto
42,Glenn Bentulan
43,Brandon Chow
69,Clay Waldrop
77,Reece Rose
81,Johnston French
95,Megan Mendieta
99,Kelsea Newton
b,r,e,a,k
Karma,15
teamInfo,,"Tucson, Arizona",,,
0,Abigail Lindsay
0,Amy Swartz
0,Bethany Tolsma
0,Calyssa Zismann
0,Christina Arnoldy
0,Daniel Negash
0,Darrien Dorr
0,Evangeline Erickson
0,Hayden Pfaff
0,Holt Newton
0,Joseph Lindsay
0,Laurence (Billy) McCormick
0,Madison Hiu
0,Rebecca Kemper
0,Rebekah Rossman
0,Rodrigo Tjan
0,Russell Knox
0,Stephen Sobansky
0,William Chan
0,Michelle Tanner
0,Molly Gans
2,Marlana Hinkley
3,James Weinstein
35,Nicholas Bontrager
b,r,e,a,k
Firefly,10
teamInfo,,"San Francisco, California",www.fireflyultimate.com,facebook.com/fireflydisc,
0,Aaron Chin
0,Abe McKay
0,Alexander Tovar
0,Alisa Yu
0,Amanda Cornfeld
0,Brenton Kimmi
0,Caleb Kumar
0,David Adams
0,Ivana Monson
0,Jessica Beering
0,Lydia Auch
0,Malachi Wickman
0,Marcela Vazquez
0,Winston Chang
0,Zachary Ormsby
0,Zoe Zaorski
0,Giovanni Danforth
12,David Langhals
17,Helinna Leone
23,Eric Ma
37,Frances Hamkins-Indik
38,Conor McNamara
42,Caitlin Bouchard
b,r,e,a,k
Party Wave,14
teamInfo,,"Honolulu, Hawaii",,,https://twitter.com/PartyWaveUlti
0,Annamarie Ellazar
0,Bryan Bowles
0,Daisy Har
0,David Hazlebeck
0,Divya Roberts
0,Jerez Danielle Crodua
0,Jigo Lontoc
0,Kainoa Hottendorf
0,Kauanoe Greene
0,Megan Onuma
0,Nikhil Khurana
0,Robert Parke
0,Sofia Murtaugh
1,Michael Palmer
13,Jared Backhus
14,Cedric Petty Jr
17,Nicholas Dunbar
26,Amber Yonamine
51,Andrew Ryan
85,Michael Stephen
89,Grace Relf
99,Wei Shen Lim
b,r,e,a,k
DR,11
teamInfo,,"Berkeley, California",https://www.instagram.com/dr_ulti,,
0,Elvys Dang
03,Halleh Balch
08,Joseph Gorelik
09,Matthew Weymer
11,Yevanit Reschechtko
14,Meryl Charleston
15,Michael Suey
16,Brendan Champlin
16,Vishal Yadav
17,Eli Weiss
19,Maya Bruguera
21,Nic Domek
22,Danielle Tishkoff Chidester
24,David Whiteneck
24,Joey Durkin
31,Jules Fogarty
32,Alsu Missarova
44,Jacob Buckley
53,Jonathan Marr
55,Kelly Billings
76,Annie Joss
80,Scott Beamer
98,Kiana Hu
b,r,e,a,k
Family Style,20
teamInfo,,"Los Angeles, California",https://www.instagram.com/playfamilystyle/,,https://twitter.com/playfamilystyle
0,Bryan DeVore
0,Jacob Barr
0,Milo Korman
0,Niko Bardacke
0,Steven Brooks
0,Thomas Gartman
3,Danilo Batson
5,Lynn Truong
7,Jesse Newman
8,Addison Marsh
10,Angelica Arellano
13,Kyle Conniff
13,Nathaniel Ankrum
15,Kristin He
16,Candice Lao
19,Sophia Su
21,Patrick Krantz
24,Jackie Hall
25,Cate Caporicci
26,Clarissa Guy
32,Konrad Antoniuk
37,Changhe Xie
46,Sarah Kibler
b,r,e,a,k
Fusion,24
teamInfo,,"Los Angeles, California",,,
0,Allie Spaccarelli
0,Andrew LeMaster
0,Anna Duong
0,Colin Suehiro
0,Elena Sunchugasheva
0,Jennifer De la Torre
0,Jorge Ballesteros
0,Raquel Alegria
0,Renee Wilkening
0,Ryan Castro
0,Sophia Bulander
0,Theodore Wilkening
5,Miguel Hector
11,Trent Kuhl
12,Josie Ma
24,Naomi Effron
49,Zibi Braniecki
55,Reilly Dalleska
99,Billy Si
b,r,e,a,k
Air Throwmads,21
teamInfo,,"San Mateo, California",,,
0,Konrad Chan
01,Adam Chin
03,Kyra Pesso
07,Alvina Chow
08,Manav Vats
09,Jacob Sharadin
10,Ryan Melone
14,Lauren Simitz
15,Zoe Marquis
22,Lauren Armstrong
23,Zoe Wu
31,Sam Leong
32,Dennis McCartney
33,William Fuller
42,Patrick Lucey
49,Alexander Li
51,Rowan Dong
55,Austin F Cary
89,Danielle Volschenk
b,r,e,a,k
Kraken,17
teamInfo,,"San Diego, California",,,
0,Aahil Keshwani
0,Angela Zhang
0,Ariana Zaragoza
0,Marlo Ramada
0,Nicholas Palmieri
0,Porsche Noble
0,Renee Jones
0,Steven Ramirez
9,Amita Stowitts
16,Akhil Subbarao
29,Isabella Zaragoza
34,Toshinori Tanaka
39,Rishi Carlton
55,Eva York
64,Nikhil Banwar
68,Vivek Gadicherla
69,Nadeem Kamel
b,r,e,a,k
Sin Nombre,22
teamInfo,,"Albuquerque, New Mexico",,,
0,Jane Trujllo
0,Josh Kreth
0,Karly Phillips
0,Michael Hua
0,Phanny Herman
1,Carson McLaughlin
2,Trent Spencer
3,Joelle Bobinsky
4,Lindsey Rotche
6,Jason Denning
7,JD Hastings
9,Darrell Cheu
10,Ariana Gutierrez
10,Tram Le
11,Jacob Stewart
19,Riley McCarthy
22,Madison Shields
22,Nathan Drumm
23,Lauren Winchester
36,Davis Joyner-Griffith
48,Sean Timm
69,Hunter Gibson
83,Laura Carr
96,Cassara Higgins
99,Alan Hsieh
b,r,e,a,k
Spoiler Alert,18
teamInfo,,"Los Angeles, California",,https://www.facebook.com/SpoilerAlertUltimate/,@Spoileralertult
0,Alexandra Scholefield
0,Alison Yoho
0,Andrew Whittle
0,Cynthia Love
0,DEREK LAY
0,Jackson Winter
0,Marissa Hunter
0,Megan  Stock
0,Megan Lannert
0,Molly Winter
0,Samantha Huddleston
0,Sulekha Kishore
0,Theodore Lannert
0,Tyler Kenney
0,Josiah Gamble
7,Kyle Stinson
11,Carley Blayney
14,Anthony Paoli
31,Eddie Scott
87,Brandon Cooper
88,Jason Paul
b,r,e,a,k
Birds of Paradise,23
teamInfo,,"San Diego, California",,https://www.facebook.com/BirdsUltimateSD/,
00,Aaron Zeng
00,Alejandra Garcia
00,Andrew Wells
00,Ari Berk
00,Ashley Shen
00,Bailey Harvey
00,Brandon Segraves
00,Catherine Paulson
00,Christille Jave Vega
00,Donald Kleinhen
00,Garrett Gonta
00,Gloria Lee
00,Jamie Hong
00,Jasmine Allred
00,Jing Cheng
00,Justen Hitchcock
00,Landon Block
00,Lynette Nguyen
00,Mackenzie Wong
00,Magdalen Palzewicz
00,Nathan Young
00,Shawn Olsavsky
00,Steven Cheng
00,Thomas Gerhart
00,Tori Buss
00,Trina Elley Javellana
b,r,e,a,k
Erosion,19
teamInfo,,"Costa Mesa, California",,,
00,Jiheng Nie
01,Sirena Van Epp
03,George Liang
04,Enrique Wallace
05,Sabrina Hsu
07,Emily Harrington
08,Tessa Shates
09,Jeffrey Ran
10,David Horrell
10,Brandon Martelli
10,Cameron Horne
11,Ashley Glenn
13,Liam Earley
14,Winston Hollingshead
14,YaTing Wu
16,Lian Lash-Rosenberg
17,Jacob Luhn
23,Jackson Wells
24,John Leonardo Angco
32,Ashley Whitaker
33,Emily Chiang
36,Mike Schlesinger
55,Allison Welch
83,Ashley Teesdale
87,Matt Lambrose
97,Claire Gunderson
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Mile High Trash,California Burrito,11,12,"08/03/2024, 09:00",Pool A,Final
Robot,Flagstaff Ultimate,12,8,"08/03/2024, 09:00",Pool A,Final
Mile High Trash,Flagstaff Ultimate,13,3,"08/03/2024, 10:45",Pool A,Final
Robot,California Burrito,6,13,"08/03/2024, 10:45",Pool A,Final
Mile High Trash,Robot,13,4,"08/03/2024, 12:30",Pool A,Final
California Burrito,Flagstaff Ultimate,13,3,"08/03/2024, 12:30",Pool A,Final
pool,Pool B
Lotus,Hive,13,3,"08/03/2024, 09:00",Pool B,Final
Donuts,Space Ghosts,10,9,"08/03/2024, 09:00",Pool B,Final
Lotus,Space Ghosts,13,8,"08/03/2024, 10:45",Pool B,Final
Donuts,Hive,9,10,"08/03/2024, 10:45",Pool B,Final
Lotus,Donuts,10,9,"08/03/2024, 12:30",Pool B,Final
Hive,Space Ghosts,4,11,"08/03/2024, 12:30",Pool B,Final
pool,Pool C
Goosebumps,Octonauts,5,12,"08/03/2024, 09:00",Pool C,Final
Pushovers,Shipwreck,9,13,"08/03/2024, 09:00",Pool C,Final
Goosebumps,Shipwreck,6,13,"08/03/2024, 12:30",Pool C,Final
Pushovers,Octonauts,12,8,"08/03/2024, 12:30",Pool C,Final
Goosebumps,Pushovers,6,11,"08/03/2024, 14:15",Pool C,Final
Octonauts,Shipwreck,8,9,"08/03/2024, 14:15",Pool C,Final
pool,Pool D
Firefly,Party Wave,11,10,"08/03/2024, 09:00",Pool D,Final
DR,Karma,7,12,"08/03/2024, 09:00",Pool D,Final
Firefly,Karma,8,9,"08/03/2024, 12:30",Pool D,Final
DR,Party Wave,7,12,"08/03/2024, 12:30",Pool D,Final
Firefly,DR,10,7,"08/03/2024, 14:15",Pool D,Final
Party Wave,Karma,6,9,"08/03/2024, 14:15",Pool D,Final
pool,Pool E
Kraken,Air Throwmads,6,12,"08/03/2024, 10:45",Pool E,Final
Family Style,Fusion,8,7,"08/03/2024, 10:45",Pool E,Final
Kraken,Fusion,4,13,"08/03/2024, 14:15",Pool E,Final
Family Style,Air Throwmads,9,6,"08/03/2024, 14:15",Pool E,Final
Kraken,Family Style,5,13,"08/03/2024, 16:00",Pool E,Final
Air Throwmads,Fusion,5,13,"08/03/2024, 16:00",Pool E,Final
pool,Pool F
Spoiler Alert,Sin Nombre,9,10,"08/03/2024, 10:45",Pool F,Final
Erosion,Birds of Paradise,8,10,"08/03/2024, 10:45",Pool F,Final
Spoiler Alert,Birds of Paradise,10,9,"08/03/2024, 14:15",Pool F,Final
Erosion,Sin Nombre,7,13,"08/03/2024, 14:15",Pool F,Final
Spoiler Alert,Erosion,10,6,"08/03/2024, 16:00",Pool F,Final
Sin Nombre,Birds of Paradise,13,4,"08/03/2024, 16:00",Pool F,Final
b,r,e,a,k
brackets,Sunday Round 1 Brackets
bracket,1st Place Bracket
California Burrito,Mile High Trash,5,13,"08/04/2024, 12:30",1st place finals,Final
California Burrito,Robot,13,3,"08/04/2024, 10:45",1st place semis,Final
Lotus,Mile High Trash,11,13,"08/04/2024, 10:45",1st place semis,Final
California Burrito,Karma,13,4,"08/04/2024, 09:00",1st place quarters,Final
Space Ghosts,Robot,9,10,"08/04/2024, 09:00",1st place quarters,Final
Lotus,Shipwreck,13,5,"08/04/2024, 09:00",1st place quarters,Final
Mile High Trash,Donuts,13,9,"08/04/2024, 09:00",1st place quarters,Final
bracket,9th Place Bracket
Firefly,Octonauts,6,10,"08/04/2024, 14:15",9th place finals,Final
Firefly,Pushovers,9,5,"08/04/2024, 12:30",9th place semis,Final
Hive,Octonauts,8,9,"08/04/2024, 12:30",9th place semis,Final
Flagstaff Ultimate,Firefly,11,13,"08/04/2024, 09:00",9th place quarters,Final
Pushovers,Family Style,12,10,"08/04/2024, 09:00",9th place quarters,Final
Hive,Party Wave,13,9,"08/04/2024, 09:00",9th place quarters,Final
Octonauts,Sin Nombre,13,7,"08/04/2024, 09:00",9th place quarters,Final
bracket,17th Place Bracket
Goosebumps,Fusion,0,0,"08/04/2024, 16:00",17th place finals,Scheduled
Goosebumps,Spoiler Alert,9,8,"08/04/2024, 14:15",17th place semis,Final
DR,Fusion,7,13,"08/04/2024, 14:15",17th place semis,Final
Goosebumps,Kraken,11,7,"08/04/2024, 10:45",17th place quarters,Final
Spoiler Alert,Air Throwmads,13,7,"08/04/2024, 10:45",17th place quarters,Final
DR,Erosion,13,5,"08/04/2024, 10:45",17th place quarters,Final
Fusion,Birds of Paradise,13,7,"08/04/2024, 10:45",17th place quarters,Final
b,r,e,a,k
brackets,Sunday Round 2 Consolation Brackets
bracket,5th place bracket
Space Ghosts,Donuts,7,11,"08/04/2024, 12:30",5th place finals,Final
Karma,Space Ghosts,7,9,"08/04/2024, 10:45",5th place semis,Final
Shipwreck,Donuts,9,10,"08/04/2024, 10:45",5th place semis,Final
bracket,13th Place Bracket
Flagstaff Ultimate,Sin Nombre,9,10,"08/04/2024, 14:15",13th place finals,Final
Flagstaff Ultimate,Family Style,11,9,"08/04/2024, 12:30",13th place semis,Final
Party Wave,Sin Nombre,11,12,"08/04/2024, 12:30",13th place semis,Final
bracket,21st Place Bracket
Air Throwmads,Birds of Paradise,7,10,"08/04/2024, 16:00",21st place finals,Final
Kraken,Air Throwmads,6,10,"08/04/2024, 14:15",21st place semis,Final
Erosion,Birds of Paradise,6,12,"08/04/2024, 14:15",21st place semis,Final
b,r,e,a,k
brackets,Sunday Round 3 Consolation Brackets
bracket,3rd Place
Robot,Lotus,6,9,"08/04/2024, 12:30",3rd place,Final
bracket,7th Place
Karma,Shipwreck,9,7,"08/04/2024, 12:30",7th Place,Final
bracket,11th Place
Pushovers,Hive,6,11,"08/04/2024, 14:15",11th Place Finals,Final
bracket,15th Place
Family Style,Party Wave,6,9,"08/04/2024, 14:15",15th Place,Final
bracket,19th Place
Spoiler Alert,DR,0,0,"08/04/2024, 16:00",19th Place,Scheduled
bracket,23rd Place
Kraken,Erosion,10,9,"08/04/2024, 16:00",23rd Place,Scheduled
b,r,e,a,k
