2024 USA Ultimate Masters Championships,Great Grand Masters - Men ,19,7,2024
Aurora,CO,2024-07-19,2024-07-22
https://play.usaultimate.org/events/2024-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Immortals,7
0,Geoff Wittreich
0,Jeff Skoke
0,Pepper Williams
0,Peter Armstrong
0,Steve Kelly
0,Timothy Peck
1,Darrin (Bly) Byle
11,Ben Wyatt
15,Aaron Jiricek
28,Patrick Vennebush
28,Tai Wu
32,Robert Ransdell
33,Jeffrey Hsu
36,Pete Derouin
44,Sean Cushing
74,Randy Petroski
b,r,e,a,k
Silverhorn,11
teamInfo,,"Boulder, Colorado",,,
00,Mark Shea
03,Dave Rosenthal
05,Justin Shacklette
06,Tyson Nunemacher
07,John Hardt
08,Greg Berbaum
13,Jeffrey Kenney
14,Brian Oliver
16,Eric Hutton
17,Mark Piper
18,Pete Clapp
19,Dean Marrone
20,John Spencer
22,Patrick Alexander
39,Gene Calo
40,Michael Galloy
42,Clif Smith
44,Aaron Ketchum
47,Sean Swenson
51,Bryan Monroe
54,Andrew Jones
69,Marc Anievas
71,Kevin Reardon
77,Tim Streit
88,Ken Snyder
99,Jerald Keister
b,r,e,a,k
AGE Against the Machine GGM,13
teamInfo,,"Cincinanti, Ohio",https://www.facebook.com/AgeAgainstTheMachineUltimate/,https://www.facebook.com/AgeAgainstTheMachineUltimate/,https://twitter.com/Age_Ultimate/
00,George White
02,Mike Dichiaro
03,Robert (Bob) Scheadler
05,David Wu
09,Shawn Newman
10,Ken Hughes
13,Neal Earley
15,Ian Stevens
16,Tom Leone
20,David Fry
21,Christopher Grill
24,Malcolm Hooper
27,Chris Oldstone-Moore
31,Thomas Brewster
32,Keith Allen
43,Nick DiNardo
50,Tom Dichiaro
51,Daron Byerly
52,David Arters
55,Dave Mancino
75,Dallas Mount
77,Ted Winrow
85,Curtis Weeks
88,Tom Phillips
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Relics,Zombiemaker,15,4,"07/19/2024, 08:30",Pool A,Final
Immortals,WreckAge,15,6,"07/19/2024, 08:30",Pool A,Final
Relics,WreckAge,15,6,"07/19/2024, 10:45",Pool A,Final
Immortals,Zombiemaker,15,5,"07/19/2024, 10:45",Pool A,Final
Relics,Immortals,7,13,"07/19/2024, 13:00",Pool A,Final
Zombiemaker,WreckAge,13,12,"07/19/2024, 13:00",Pool A,Final
pool,Pool B
Johnny Cashed,Kingdome,15,7,"07/19/2024, 08:30",Pool B,Final
PAIN,Shelf Life,15,8,"07/19/2024, 08:30",Pool B,Final
Johnny Cashed,Shelf Life,15,7,"07/19/2024, 10:45",Pool B,Final
PAIN,Kingdome,15,9,"07/19/2024, 10:45",Pool B,Final
Johnny Cashed,PAIN,15,7,"07/19/2024, 13:00",Pool B,Final
Kingdome,Shelf Life,15,9,"07/19/2024, 13:00",Pool B,Final
pool,Pool C
Surly GGM,Gritty,15,4,"07/19/2024, 08:30",Pool C,Final
Graveyard,Magnificent 7,15,8,"07/19/2024, 08:30",Pool C,Final
Surly GGM,Magnificent 7,15,7,"07/19/2024, 10:45",Pool C,Final
Graveyard,Gritty,15,6,"07/19/2024, 10:45",Pool C,Final
Surly GGM,Graveyard,15,8,"07/19/2024, 13:00",Pool C,Final
Gritty,Magnificent 7,12,13,"07/19/2024, 13:00",Pool C,Final
pool,Pool D
No Country 50,Silverhorn,12,14,"07/19/2024, 08:30",Pool D,Final
Burnside Five-0,AGE Against the Machine GGM,15,6,"07/19/2024, 08:30",Pool D,Final
No Country 50,AGE Against the Machine GGM,15,4,"07/19/2024, 10:45",Pool D,Final
Burnside Five-0,Silverhorn,15,8,"07/19/2024, 10:45",Pool D,Final
No Country 50,Burnside Five-0,15,9,"07/19/2024, 13:00",Pool D,Final
Silverhorn,AGE Against the Machine GGM,15,8,"07/19/2024, 13:00",Pool D,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Immortals,Graveyard,0,0,"07/20/2024, 13:00",Semifinals,Scheduled
Surly GGM,Johnny Cashed,0,0,"07/20/2024, 13:00",Semifinals,Scheduled
Immortals,PAIN,15,12,"07/20/2024, 08:30",Quarterfinals,Final
Graveyard,No Country 50,15,11,"07/20/2024, 08:30",Quarterfinals,Final
Surly GGM,Burnside Five-0,15,6,"07/20/2024, 08:30",Quarterfinals,Final
Relics,Johnny Cashed,9,10,"07/20/2024, 08:30",Quarterfinals,Final
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
PAIN,No Country 50,0,0,"07/20/2024, 13:00",5th Semifinals,Scheduled
Burnside Five-0,Relics,0,0,"07/20/2024, 13:00",5th Semifinals,Scheduled
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,Placement
bracket,9th Place
Zombiemaker,Shelf Life,0,0,"07/20/2024, 10:45",9th Quarterfinals,Scheduled
Silverhorn,Gritty,0,0,"07/20/2024, 10:45",9th Quarterfinals,Scheduled
Magnificent 7,AGE Against the Machine GGM,0,0,"07/20/2024, 10:45",9th Quarterfinals,Scheduled
WreckAge,Kingdome,0,0,"07/20/2024, 10:45",9th Quarterfinals,Scheduled
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
b,r,e,a,k
brackets,15t Place
bracket,15th Place
b,r,e,a,k
