2024 Northwest Men's Regional Championship,Club - Men ,21,9,2024
Corvallis,OR,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Northwest-Mens-Regional-Championship/schedule/Men/Club-Men/
Sockeye,1
Heartbreak,15
teamInfo,,"Spokane, Washington",https://cdaultimate.wixsite.com/frisbee/heartbreak,https://www.facebook.com/Heartbreakultimate,
b,r,e,a,k
Furious George,3
teamInfo,,"Vancouver, British Columbia CA",,https://www.facebook.com/FuriousGeorgeUltimate,https://twitter.com/FuriousUltimate
coaches,Matthew Berezan,Alexander Bellemare-Davis
0,Alexandre Bedard
0,Benjamin Jiang
0,Justin Pettenuzzo
0,Landon Lavoie
0,Max Pettenuzzo
0,Nicolas Sanchez
0,Ricky Tran
0,Simon Ramirez Ortiz
0,Tadhg Deevy
0,Ryan  Loui-Ying
1,Nyle Lebbell
3,Duncan Armstrong
8,Morgan Hibbert
11,Ari Nitikman
16,Tim Tsang
21,Jordan McGregor
22,Sam But
24,Jay Boychuk
29,Braedan Robinson
45,Malcolm Bryson
68,David Neilson
75,Joel Bellavance
81,Rumi Tejpar
89,Kevin Underhill
98,Quinn Snider
99,Vincent Bulloch
b,r,e,a,k
Bonneville Flatball Club,6
teamInfo,,"Shoreline Trail, Utah",,,
coaches,Abbie Davis
0,Lorenzo  Davis
01,Elijah Huber
02,Luke Yorgason
03,Blake Holt
05,Jensen Wells
06,David Hazlebeck
07,Sean Connole
08,Chad Yorgason
09,Trevor Kelley
10,Paul Hazlebeck
11,Sean McDonald
12,Justin Mecham
14,Zachary Burnside
16,Jeron Dastrup
19,John Hanni
21,Mckay Yorgason
22,Evan Miller
23,Anthony Mounga
24,Merick Moar
31,Jamey Kleinhenz
32,Matt Jamison
33,Ian Sweeney
61,Simon Dastrup
66,Jordan Kerr
88,Dallin Opperman
95,Brock Hyatt
b,r,e,a,k
Seven Gills,14
teamInfo,,"Kirkland, Washington",,,
0,Adam Chin
0,Cole Lewis
0,Colin Bogar
0,Graham Peck
0,Justin Abel
0,Logan Manta-Kennedy
0,David Leahy
0,Sean Killilea
0,Slava Trifonov
0,Spencer Nelson
0,Thomas Fenedick
0,Thomas Simms
0,Tyler Watkins
6,Neal Schobbe
8,Jason Vallerga
11,Riley Sikes
13,Will Carter
20,Jean Salaya
21,Daniel Brouwer
28,Rafael McCauley
35,Alton Olson
35,Dylan Singh
42,Peter Eklund
47,Zoli Ishikawa-szabo
63,Alex Becker
75,Jeremy Doyle
b,r,e,a,k
Surf,11
teamInfo,,"Victoria, British Columbia CA",,,
0,Alex Longe
0,Charlie Kassissieh
0,David Goluskin
0,Geoff Urton
0,Ian McLaren
0,Jonah Thiele
0,Kane Harper Tubbs
0,Lochlan Margison
0,Nathan Lam
0,Patrick Frisby
0,Serwan Sahin
0,Matthew Kadota
0,Taiyo Forsyth
0,Toby Sherriff
0,Yohan Laffitte
8,Joshua Perina
12,Markus Hernandez
14,Ian Robinson
27,Wesley Fraser
53,Benjamin Savage
54,Shayne Pfeifer
55,Ben Baird
79,Ian Hamilton
81,Theo Davis
95,Clayton Howlett
96,Mikhail Pozin
b,r,e,a,k
Dark Star,5
teamInfo,,"Eugene, Oregon",http://www.darkstarultimate.com,,https://twitter.com/eugenedarkstar
0,Alex Howard
0,Antonio Rueda
0,Beckett Sessums
0,Braedon Petrus
0,Bram Allahdadi
0,Cole Eustis
0,David Barram
0,Emmett Warner
0,Hylke Snieder
0,Jason Simms
0,Julian Saunt
0,Kaenan Combs
0,Mason  Weybright
0,Vaughn Dillender-Kinast
0,Will Dillender-Kinast
3,Seiji Koenigsberg
4,Scott Radlauer
6,Conner Stillwell
10,Cody Bjorklund
12,Dan Baumgartner
13,Callahan Bosworth
18,Zac Scheuerman
28,Kyle Hancock
31,Henry Wayte
57,Gunter Przystawik
62,Quinn Buermeyer
b,r,e,a,k
Shrimp,4
teamInfo,,"Salt Lake, Utah",,,https://twitter.com/saltlakeshrimp
0,Travis Wright
01,Nathan Huff
02,Oscar Brown
05,Chase Stein
07,Elijah Watchalotone
08,Will Selfridge
09,Cole Stenseth
10,Alex Walker
11,Ethan Wimmer
12,Benjamin Ashton 
15,Alex Yannelli
17,Porter Oyler
18,Kimball Pew
22,Jace Duennebeil
25,Alex Forsberg
27,Malcolm Starr
29,Sam Pew
31,Nathan De Morgan
32,Derik Knighton
34,Kyle Weinberg
50,Patrick  Beckett 
55,Rainor Alin
77,Porter Stobbe
88,Christian Berger
89,Alejandro Palomino
99,Grayson Rettberg
b,r,e,a,k
Sawtooth,13
teamInfo,,"Boise, Idaho",https://boiseultimatescene.com/sawtooth,https://www.facebook.com/Sawtooth-Boise-Ultimate-619500648417608/,https://twitter.com/SawtoothUlti
0,Caleb Christensen
0,Jacob Kemmer
0,Jason Burner
0,Joe Dawson
0,Matt Stegemann
0,Matt Jerry
0,Scott Kaltenecker
0,Derek Liebich
0,Emmett Poole
0,Trenton Pearsall
4,John Martin
7,Mathew Gossard
11,Archey Charnou
16,Cooper Dean
28,Daniel White
31,Tanner Cleveland
47,Daniel Kwok
55,Julian Collins
71,Harper Poole
b,r,e,a,k
PowderHogs,12
teamInfo,,"Salt Lake City, Utah",,,https://twitter.com/powderhogs
0,Dakota Briggs
03,Trey Riera-Gomez
10,Maxim Rassoul-Agha
13,Eli Wolk
17,Scott Grimm
18,Hayden Lyu
18,Zachary Hillard
20,Russ Barr
21,Trong Nguyen
22,John Mismash
24,Matt Fredrickson
25,Carter Franklin
26,Forrest Vargyas
27,Sean Stackhouse
29,Dominic Padilla
34,Aaron Troilo
36,Thomas Harward
37,Aiden Coutin
42,Zak Diana
45,Nate Reavy
54,Mike Merzel
69,Garrett Anderson
71,Lucas Reavy
77,Patrick Eikens
82,Andrew Elliott
97,Phineas Johnson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Sockeye,Make it Rain,15,2,"09/21/2024, 08:30",Pool A,Final
SOUF,Portland TremOR,15,13,"09/21/2024, 08:30",Pool A,Final
Sockeye,SOUF,15,8,"09/21/2024, 10:30",Pool A,Final
Portland TremOR,Make it Rain,15,14,"09/21/2024, 10:30",Pool A,Final
pool,Pool B
Rhino Slam!,Heartbreak,15,5,"09/21/2024, 08:30",Pool B,Final
Switchback,Junco,13,15,"09/21/2024, 08:30",Pool B,Final
Rhino Slam!,Junco,15,6,"09/21/2024, 10:31",Pool B,Final
Switchback,Heartbreak,15,5,"09/21/2024, 10:31",Pool B,Final
pool,Pool C
Furious George,Seven Gills,15,7,"09/21/2024, 08:30",Pool C,Final
Bonneville Flatball Club,Surf,15,7,"09/21/2024, 08:30",Pool C,Final
Furious George,Bonneville Flatball Club,15,13,"09/21/2024, 10:30",Pool C,Final
Surf,Seven Gills,13,14,"09/21/2024, 10:30",Pool C,Final
pool,Pool D
Shrimp,Sawtooth,15,9,"09/21/2024, 08:30",Pool D,Final
Dark Star,PowderHogs,15,2,"09/21/2024, 08:30",Pool D,Final
Shrimp,Dark Star,12,13,"09/21/2024, 10:30",Pool D,Final
PowderHogs,Sawtooth,7,15,"09/21/2024, 10:30",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Finals
Sockeye,Rhino Slam!,12,14,"09/22/2024, 11:00",Finals,Final
Sockeye,Dark Star,15,5,"09/21/2024, 12:30",Semis,Final
Rhino Slam!,Furious George,15,10,"09/21/2024, 12:30",Semis,Final
bracket,Backdoor
Sockeye,Furious George,15,12,"09/22/2024, 13:00",2nd Place,Final
Bonneville Flatball Club,Furious George,11,15,"09/22/2024, 11:00",3rd Pl Finals,Final
Dark Star,Bonneville Flatball Club,14,15,"09/21/2024, 14:30",3rd Place Semi,Final
Shrimp,Furious George,12,15,"09/21/2024, 14:30",3rd Place Semi,Final
Bonneville Flatball Club,Junco,15,7,"09/21/2024, 12:30",3rd Place Qtr,Final
SOUF,Shrimp,12,14,"09/22/2024, 12:30",3rd Place Qtr,Final
bracket,G2G
Bonneville Flatball Club,Shrimp,10,15,"09/22/2024, 13:00",G2G,Final
Shrimp,Dark Star,15,13,"09/22/2024, 11:00",5th Pl Finals,Final
Junco,Shrimp,10,15,"09/22/2024, 09:00",5th Pl Semis,Final
Dark Star,Switchback,15,11,"09/22/2024, 09:00",5th Pl Semis,Final
Junco,Sawtooth,15,10,"09/21/2024, 14:30",5th Pl Qtr,Final
Switchback,SOUF,15,9,"09/21/2024, 14:30",5th Pl Qtr,Final
Portland TremOR,Sawtooth,13,15,"09/21/2024, 12:30",5th Pl Pre-Qtr,Final
Switchback,Seven Gills,15,10,"09/21/2024, 12:30",5th Pl Pre-Qtr,Final
bracket,6th Place
Dark Star,Switchback,13,9,"09/22/2024, 13:00",6th Place,Final
Junco,Switchback,9,15,"09/22/2024, 11:00",Round Name,Final
b,r,e,a,k
brackets,8th Place
bracket,8th Place
Junco,Portland TremOR,10,15,"09/22/2024, 13:00",8th Place,Final
Portland TremOR,Sawtooth,15,14,"09/22/2024, 11:00",Round Name,Final
SOUF,Portland TremOR,14,15,"09/22/2024, 09:00",Round Name,Final
Seven Gills,Sawtooth,12,15,"09/22/2024, 09:00",Round Name,Final
Portland TremOR,Heartbreak,15,6,"09/21/2024, 14:30",Round Name,Final
PowderHogs,Seven Gills,13,14,"09/21/2024, 14:30",Round Name,Final
Surf,Heartbreak,8,15,"09/21/2024, 12:30",Round Name,Final
Make it Rain,PowderHogs,14,15,"09/22/2024, 12:30",Round Name,Final
bracket,15th Place
Surf,Make it Rain,15,8,"09/22/2024, 21:00",15th Place,Final
bracket,13th Place
Heartbreak,PowderHogs,15,8,"09/22/2024, 09:00",13th Place,Final
b,r,e,a,k
