2024 Northwest Mixed Regional Championship,Club - Mixed ,21,9,2024
Corvallis,OR,2024-09-21,2024-09-22
https://play.usaultimate.org/events/2024-Northwest-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Red Flag,1
88,Brandon Li
99,Khalif El-Salaam
b,r,e,a,k
MOONDOG,6
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Addie Thompson
0,Andrew Shanafelt
0,Artie Battaglin
0,Beeman Rabut
0,Brianna Rick
0,Caldwell Armstrong
0,Caleb Stanek
0,Carolyn Lober
0,Chaz Harris
0,Cooper Hubbard
0,Jake Ralston
0,Kari Shelkey
0,Kristin Obresley
0,Kwai Philpott
0,Kyla Crisp
0,Lewis Faller
0,Lisa Keller
0,Sam Hines
0,Emily Grimes
0,Ethan Yourd
2,Jack Lokowich
4,Abbey Hustis
10,William Stewart
29,Zach Baumann
34,Davis Mossman
34,Ben Perkel
b,r,e,a,k
Smack!,11
teamInfo,,"Seattle, Washington",,,
0,Emily Berman
0,Kayla Pianh
2,Anna Pettis
3,Goda Raslan
13,Graham Manson
14,Alyssa Kelly
16,Milo Brown
17,Sheila Robles
18,Caleb Akiyama
20,Calvin Dodge
22,Jack Verzuh
23,Greta Eisenbrey
24,Bre Gauthier
26,Dexter Shafer-White
27,Marlie Somers
30,Sarah Benditt
31,Connor Dougherty
34,Sophia Dellapenta
36,Kamal Raslan
75,Zach Sadow-Hasenberg
77,Evan Reding
81,Molly Gallagher
88,Quinton Yap
95,Jamie Kauffman
96,Julien Butwin
b,r,e,a,k
Seattle Soft Serve,14
teamInfo,,"Central District, Washington",,,https://twitter.com/SeattleSofties
0,Alicia Dibble
0,George Silva
0,Jimmy Longley
0,Lauren Pattie
0,Leanne Beyel
0,Luke Jesperson
0,Peter Geertz-Larson
0,Rebecca Leong
0,Robby Anderst
0,Ruriko Araki
0,Laura Manson
0,Serene Hastings
0,Thomas Rosatto
1,Sam Landesberg
2,Kevin Black
2,Genavie Boots
6,Laura Doepker
10,Austin Roha
11,Karl Frazier
21,Alex Fussell
28,Jace Barley
42,Claire Kimball
60,Aidan Malone
68,Joseph Gooden
69,Karie Holst
99,Wade Hankin
b,r,e,a,k
Oregon Scorch,4
teamInfo,,"Oregon, Oregon",,,
0,Avery Laliberte
0,Avi Taylor
0,Benjamin Whitenack
0,Caeden Newby
0,Amir Kaghazwala
0,Eric Zimmerman
0,Jason Christian
0,Leo Farley
0,Sofie Netteberg
0,Zoey Hughes
4,Amanda Ullrick
5,Carol  Newton 
7,Max Zwerin
11,Jackie Matonis
11,Sebastian  Williamson
12,Kevin Christian
12,Danielle Lindberg
13,Erik Lindberg
13,Holly Gibson
15,Morgan Wilbur
15,Kelsey Salvo
17,Nicholas Redmond
19,Raina Kamrat
21,Kaitlyn Baker
22,Andrew Richter
88,Rebecca Hamilton
b,r,e,a,k
Lights Out,12
teamInfo,,"Seattle, Washington",,https://www.facebook.com/Lights-Out-Ultimate-982520691925825/,https://twitter.com/LightsOutUlti
0,Anna Chute
0,Bridget Wipfler
0,Claudia Vasquez
0,Dharma Khalsa
0,Emily Traylor
0,Kristine Kornmann
0,Krysia Davis
0,Kyra Wortley
0,Maya Kalmus
0,Michael Shum
0,Nathaniel Wipfler
0,Olivia Napadensky
0,Paka Ferrer
0,Roy Fang
0,Scott Glickman
0,Julia Downing
3,Casey Brandon
8,Jacob Cohen
9,John Mattes
9,Asuka Li
10,Benjamin Ostman
14,Knox Borges
25,Gavin Sing
25,Spencer Land
37,Daniel Zakaria
47,Aakar Mehra
b,r,e,a,k
Sego,5
teamInfo,,"Salt Lake City, Utah",,,
0,Aimee Gerold
0,Alexander Knock
0,Ashley Ludack
0,Chanel van Ginkel
0,Connor Lund
0,Deanna Bozone
0,Eleanor Wachtel
0,Elizabeth Cowan
0,Ellie Finigan
0,Jack Valentine
0,Morgan  Williams 
0,Noah Li
0,Sheyenne Flanary
0,Lucy Leary
1,Taylor Williams
1,Zach Wolfe
2,James Russnogle
3,Jay Kinzel
4,Eugene L'Heureux
16,Ben Guthrie
18,Mckenzie Finigan
23,Casstique Williams
28,Mack Hodges
44,Zachary Nebeker
69,Kevin Versteeg
90,Liz Bunderson
b,r,e,a,k
Pegasus,13
teamInfo,,"Seattle, Washington",,https://www.facebook.com/peggyultimate/,@PegasusUltimate
0,Anya Meleshuk
0,Caroline Passalacqua
0,Daniel Scribner
0,Edward Layne
0,Erica Stamboulian
0,Grace Stephens
0,Livia Amorosi
0,Meghan Gannon
0,Nathan Yeazel
0,Nathan Narita
0,Paul DeGennaro
0,Ria Rajput
0,Ryan Scuderi
0,Samuel Stearns
0,Siri Knudsen
0,Sophie Linde
0,Adam Elder
0,Alva Wei
0,Joseph Hess
9,Alexander Lichtenstein
11,Jacqueline Chipkin
14,Andrew Kinkele
27,Jason Angell
41,Kiran Devine
47,Anna Le
50,Lauren Pichard
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Red Flag,Hive,15,9,"09/21/2024, 08:30",Pool A,Final
Spoke,Porch Bears,15,8,"09/21/2024, 08:30",Pool A,Final
Red Flag,Spoke,15,8,"09/21/2024, 10:30",Pool A,Final
Porch Bears,Hive,12,10,"09/21/2024, 10:30",Pool A,Final
pool,Pool B
BFG,Igneous Ultimate,15,5,"09/21/2024, 08:30",Pool B,Final
TT,Grit City,14,10,"09/21/2024, 08:30",Pool B,Final
BFG,TT,15,4,"09/21/2024, 10:30",Pool B,Final
Grit City,Igneous Ultimate,15,12,"09/21/2024, 10:30",Pool B,Final
pool,Pool C
Seattle Mixtape,Seattle Soft Serve,15,7,"09/21/2024, 08:30",Pool C,Final
MOONDOG,Smack!,15,8,"09/21/2024, 08:30",Pool C,Final
Seattle Mixtape,MOONDOG,15,10,"09/21/2024, 10:30",Pool C,Final
Smack!,Seattle Soft Serve,15,11,"09/21/2024, 10:30",Pool C,Final
pool,Pool D
Oregon Scorch,Pegasus,15,7,"09/21/2024, 08:30",Pool D,Final
Sego,Lights Out,10,13,"09/21/2024, 08:30",Pool D,Final
Oregon Scorch,Lights Out,15,10,"09/21/2024, 10:30",Pool D,Final
Sego,Pegasus,14,9,"09/21/2024, 10:30",Pool D,Final
b,r,e,a,k
brackets,Finals
bracket,Finals
Red Flag,BFG,0,0,"09/22/2024, 11:00",Finals,Scheduled
Red Flag,Oregon Scorch,15,8,"09/21/2024, 12:30",Semis,Final
BFG,Seattle Mixtape,15,6,"09/21/2024, 12:30",Semis,Final
bracket,2nd Place
MOONDOG,Seattle Mixtape,0,0,"09/22/2024, 11:00",2/3 Bracket R3,Scheduled
Oregon Scorch,MOONDOG,13,14,"09/21/2024, 14:30",2/3 Bracket R2,Final
Spoke,Seattle Mixtape,10,14,"09/21/2024, 14:30",2/3 Bracket R2,Final
MOONDOG,TT,14,11,"09/21/2024, 12:30",2/3 Bracket R1,Final
Spoke,Lights Out,13,8,"09/21/2024, 12:30",2/3 Bracket R1,Final
bracket,G2G
Spoke,Oregon Scorch,0,0,"09/22/2024, 11:00",4th/5th R4,Scheduled
Spoke,Porch Bears,15,8,"09/22/2024, 09:00",4th/5th R3,Final
Lights Out,Oregon Scorch,13,15,"09/22/2024, 09:00",4th/5th R3,Final
TT,Porch Bears,12,14,"09/21/2024, 14:30",4th/5th R2,Final
Grit City,Lights Out,11,14,"09/21/2024, 14:30",4th/5th R2,Final
Porch Bears,Sego,12,10,"09/21/2024, 12:30",4th/5th R1,Final
Grit City,Smack!,15,8,"09/21/2024, 12:30",4th/5th R1,Final
bracket,6th Place
Porch Bears,Lights Out,0,0,"09/22/2024, 11:00",6th Place R1,Scheduled
b,r,e,a,k
brackets,8th Place
bracket,8th Place
Grit City,Sego,15,9,"09/22/2024, 09:00",8th Place R3,Final
Smack!,TT,0,0,"09/22/2024, 09:00",8th Place R3,Scheduled
Sego,Igneous Ultimate,14,9,"09/21/2024, 14:30",8th Place R2,Final
Pegasus,Smack!,7,14,"09/21/2024, 14:30",8th Place R2,Final
Seattle Soft Serve,Igneous Ultimate,11,15,"09/21/2024, 12:30",8th Place R1,Final
Hive,Pegasus,12,13,"09/21/2024, 12:30",8th Place R1,Final
bracket,15th Place
Seattle Soft Serve,Hive,15,11,"09/22/2024, 09:00",15th Place,Final
bracket,13th Place
Igneous Ultimate,Pegasus,0,0,"09/22/2024, 09:00",13th Place,Scheduled
b,r,e,a,k
