Northeast Classic 2024,College - Men ,30,3,2024
Middletown,NY,2024-03-30,2024-03-31
https://play.usaultimate.org/events/Northeast-Classic-2024/schedule/Men/CollegeMen/
Vermont (B),1
16,Aaron Hamilton
17,Aaron Gilbert
20,David Tacuri
21,Jiahui Xiao
23,Andrew Ebinger
24,Moiz Steenhuis
25,Celina Ohiwa
27,Matthew Newell
27,Reilly Prendergast
28,Jack Gest
31,Peter Crisileo
32,CJ Tien
37,Dimitri Lopez
39,Phoenix Werba
42,Cole Speare
44,Ava Lesser
45,Gabriella Barros
47,Audrey Kling
60,Colby Thompson
72,Bram Wegener
73,Aidan Reed
88,Andrew Gervia
95,Charlie Heffernan
99,Orestis Narliotis
99,Raj Vishnu
b,r,e,a,k
Skidmore,12
teamInfo,Wombats,"Saratoga Springs, New York",,,
0,Bodhi Smith
0,Ciaran Healey
0,Abraham Baer-Benson
0,zeke kimball
3,Jack Oren
9,Samuel Donohoe
10,Samuel Lubarr
11,George Weiler
13,Jonah Levy
18,Mason Anapolle
19,Zachary Padrick
20,Theo Taylor
21,Ezra Shamy
22,Taylor  LeClair
23,Mateo Edwards
25,Nico Markham
28,Lucas Gutierrez-Arnold
32,Heiki Kuhrt
37,Elliot Jackson-Ontkush
50,Emmett Doty
71,Benjamin Frank
74,Gordon Sather
88,Jakob Shonbrun-Siege
b,r,e,a,k
SUNY-Albany,9
teamInfo,SCAM,"Albany, New York",https://www.instagram.com/ualbanyultimate/,,
0,Brandon  Patanjo
0,Christopher Bethea
0,Giovanni Scotti
0,John Ruoff
0,Justin Ault
0,Kazuma Lomanto
0,Owen Castor
0,Pierce O'Connell
2,Jonathan Kelly
4,Daniel Bishop
5,Mason Hotaling
6,Matthew O'Brien
10,Jason San Lucas
11,Jacob Buono
18,Cory Chin
19,jeremy Doornick
20,Spencer Li
21,William Vasoll Jr.
31,Eric Riemer
57,Sean White
88,Evan Gorthy
99,Chris Cooney
b,r,e,a,k
SUNY-Buffalo (B),17
teamInfo,Buffalo Grinch,"Buffalo, New York",,,
0,Todd Sella
00,Kenny He
00,Liam Dimick
03,Carter LaFond
05,Jhan Rosario
07,Trent Meyer
08,Griffin Fielding
09,Jaden  Gorozabel 
11,Tyler Hau
14,Killian Hannigan
18,Ethan  Snyderman
20,Patrick Robisch
21,Damien Hotte
22,Jacob Korotkin
23,Thomas Chin
26,Ryan Joslyn
28,Matthew Freeland
29,Luke LaBoy
32,Luke Weber
36,ian pope
51,Nate Sciara 
87,Jay Pierce
b,r,e,a,k
Middlebury (B),10
teamInfo,Branksters,"Middlebury, Vermont",https://go.middlebury.edu/prankstersultimate,https://www.facebook.com/MiddleburyPranksters,https://twitter.com/pranksters69
0,Adam Burchell
0,Anthony Pezza
0,Avery Hackett
0,Bailey Walker
0,Beckett O'Reilly
0,Chris Clyne
0,Evan Westergren
0,Evan Yurko
0,Franklin Witter
0,Gus Morrill
0,Riley Foushee
0,Ryan Muller
0,Ryan Trinchet
0,Ryan Carron
0,Sam Millay
0,Theodore Howard
0,Thomas Walsh
0,Tristan Lundgren
0,West Currier
0,Will Hinkle
0,Joseph Gehl
0,Luke Staples
0,Max Blumenthal
0,Maya Millner
0,Murray Helzer
14,Oscar  de Swaan Arons 
15,Ned Cutler
21,Jasper Pearcy-Kahn
b,r,e,a,k
Hofstra,11
teamInfo,Flying Dutchmen,"Hempstead, New York",,,@HUFDUltimate
0,Admar Calovini
0,Brennen Steinborn
0,Christina Kyprianou
0,Darsh Patel
0,Julia Mills
0,Karl Basile-Baehr
0,Lily Friedman
0,Nadya Svidzerskaya
0,Robert Shea
0,Sam Gibney
0,Sam Rork
0,Sean Kupstas
0,Steven Samuel
0,Jake Olney
3,Robert Beanland
31,Gabriel Kritz
38,Caleb Rockhill
57,Joseph Cicione
b,r,e,a,k
SUNY-Albany (B),18
teamInfo,SCAM,"Albany, New York",,,
0,Abdourahmane Diallo
0,Owen Hoey
12,Grey Torres-Chan
13,Ryan Deveraux
14,Luke Lohrfink
15,Najeh Bey
16,Ethan Webb
25,David Green
26,Tyler Stack
28,David Mugulusi
29,Johnny Crespo 
32,David Atakora
33,James Monaco 
41,Dylan Orlando
42,Justin Kimbrough
44,Jack  Maxcy
49,Connor Allen
69,Gregory Santora
74,Eddie Penna
91,George  Delgado
b,r,e,a,k
s,t,a,g,e,s
pools,Pool
pool,Pool A
SUNY-Cortland,Wesleyan,8,9,"03/30/2024, 11:00",Pool A,Final
Vermont (B),Wesleyan,9,8,"03/30/2024, 12:35",Pool A,Final
Vermont (B),SUNY-Cortland,9,7,"03/30/2024, 14:10",Pool A,Final
pool,Pool B
College of New Jersey,Ithaca,8,6,"03/30/2024, 11:00",Pool B,Final
Amherst Regional,Ithaca,5,13,"03/30/2024, 12:35",Pool B,Final
Amherst Regional,College of New Jersey,7,10,"03/30/2024, 14:10",Pool B,Final
pool,Pool C
Swarthmore,SUNY-Binghamton (B),8,9,"03/30/2024, 12:35",Pool C,Final
Rhode Island,SUNY-Binghamton (B),12,5,"03/30/2024, 14:10",Pool C,Final
Rhode Island,Swarthmore,11,7,"03/30/2024, 15:45",Pool C,Final
pool,Pool D
Rensselaer Polytech,Vermont (C),4,13,"03/30/2024, 12:35",Pool D,Final
SUNY-Geneseo,Vermont (C),13,9,"03/30/2024, 14:10",Pool D,Final
SUNY-Geneseo,Rensselaer Polytech,12,6,"03/30/2024, 15:45",Pool D,Final
pool,Pool E
Skidmore,SUNY-Buffalo (B),12,5,"03/30/2024, 12:35",Pool E,Final
SUNY-Albany,SUNY-Buffalo (B),13,4,"03/30/2024, 14:10",Pool E,Final
SUNY-Albany,Skidmore,7,10,"03/30/2024, 15:45",Pool E,Final
pool,Pool F
Hofstra,SUNY-Albany (B),11,3,"03/30/2024, 12:35",Pool F,Final
Middlebury (B),SUNY-Albany (B),13,3,"03/30/2024, 14:10",Pool F,Final
Middlebury (B),Hofstra,11,6,"03/30/2024, 15:45",Pool F,Final
b,r,e,a,k
clusters,Saturday CO
cluster,CO
Vermont (B),Amherst Regional,0,0,"03/30/2024, 15:45",,Scheduled
College of New Jersey,SUNY-Cortland,5,8,"03/30/2024, 15:45",,Final
Wesleyan,Ithaca,9,10,"03/30/2024, 15:45",,Final
Rhode Island,SUNY-Geneseo,11,5,"03/30/2024, 17:20",,Final
SUNY-Albany,Middlebury (B),0,0,"03/30/2024, 17:20",,Scheduled
Hofstra,Skidmore,8,10,"03/30/2024, 17:20",,Final
Rensselaer Polytech,Swarthmore,8,13,"03/30/2024, 17:20",,Final
SUNY-Binghamton (B),Vermont (C),13,7,"03/30/2024, 17:20",,Final
SUNY-Buffalo (B),SUNY-Albany (B),13,12,"03/30/2024, 17:20",,Final
b,r,e,a,k
brackets,Bracket
bracket,Championship
SUNY-Cortland,Wesleyan,12,8,"03/31/2024, 15:45",Championship,Final
Vermont (B),SUNY-Cortland,10,11,"03/31/2024, 14:10",Semis,Final
Wesleyan,College of New Jersey,10,8,"03/31/2024, 14:10",Semis,Final
Skidmore,Vermont (B),4,12,"03/31/2024, 12:35",Quarters,Final
Ithaca,SUNY-Cortland,8,9,"03/31/2024, 12:35",Quarters,Final
Wesleyan,Amherst Regional,11,7,"03/31/2024, 12:35",Quarters,Final
College of New Jersey,Rhode Island,9,8,"03/31/2024, 12:35",Quarters,Final
SUNY-Geneseo,Skidmore,8,9,"03/31/2024, 09:30",Play In,Final
Rhode Island,Middlebury (B),9,6,"03/31/2024, 09:30",Play In,Final
bracket,5th Place
Skidmore,Ithaca,7,10,"03/31/2024, 14:10",5th Semis,Scheduled
Amherst Regional,Rhode Island,0,0,"03/31/2024, 14:10",5th Semis,Scheduled
bracket,7th Place
bracket,3rd Place
Vermont (B),College of New Jersey,0,0,"03/31/2024, 15:45",3rd Place,Scheduled
bracket,9th Place Bracket
SUNY-Geneseo,Hofstra,9,8,"03/31/2024, 12:35",9th Semis,Final
SUNY-Albany,Middlebury (B),0,0,"03/31/2024, 12:35",9th Semis,Scheduled
SUNY-Buffalo (B),SUNY-Geneseo,4,11,"03/31/2024, 11:00",9th Quarters,Final
SUNY-Binghamton (B),Hofstra,2,13,"03/31/2024, 11:00",9th Quarters,Final
Vermont (C),SUNY-Albany,6,10,"03/31/2024, 11:00",9th Quarters,Final
Middlebury (B),Swarthmore,11,5,"03/31/2024, 11:00",9th Quarters,Final
Rensselaer Polytech,SUNY-Buffalo (B),6,11,"03/31/2024, 09:30",9th Play In,Final
Swarthmore,SUNY-Albany (B),1,0,"03/31/2024, 09:30",9th Play In,Final
bracket,17th Place
Rensselaer Polytech,SUNY-Albany (B),1,0,"03/31/2024, 11:00",17th Place,Final
bracket,13th Place
SUNY-Binghamton (B),Vermont (C),1,0,"03/31/2024, 15:45",13th Place,Final
SUNY-Buffalo (B),SUNY-Binghamton (B),7,12,"03/31/2024, 14:30",13th Semis,Final
Vermont (C),Swarthmore,13,5,"03/31/2024, 14:30",13th Semis,Final
bracket,15th Place
SUNY-Buffalo (B),Swarthmore,0,0,"03/31/2024, 15:45",15th Place,Scheduled
bracket,11th Place
b,r,e,a,k
